--Test Summary--
Full Path and File Name	
Instrument Name	7322
Instrument Type	Model 7322 Consistometer - Variable Speed
Instrument Serial Number	
Test Start Date	08.09.2014
Test Start Time	9:17:51
Test Stop Date	08.09.2014
Test Stop Time	14:15:51
Test Length	4:58:00
Final Sample Time Offset	4:58:00
Controller Schedule Name	
Sampling Period	10 seconds
Comments	
Information	WellID	Research
Information	Customer	Trican
Information	EngName	Pavel Lebedev
Information	CementClass	75%G+25%SF-2 (bwob)
Information	CementMfr	Dyckerhoff - Suhoy Log
Information	Additives	0.5%CFL-5+0.3%LTR-7 (bwoc)
Information	Density	1500
Information	BHCT	95
Information	BHST	80
Information	FluidLoss	n/a
Information	JobType	Production
Calculated Value	Time_30Bc	4:42:30
Calculated Value	Time_70Bc	4:58:00
Initial Temperature (°C)	24 °C
Final Temperature (°C)	95 °C
Initial Pressure (MPa)	0,4 MPa
Final Pressure (MPa)	55,0 MPa
Initial Consistency (Bc)	5 Bc
Final Consistency (Bc)	71 Bc
Initial Wall Temperature (°C)	23 °C
Final Wall Temperature (°C)	94 °C
Initial Motor Speed (RPM)	150 RPM
Final Motor Speed (RPM)	150 RPM
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)	Wall Temperature (°C)	Motor Speed (RPM)
0:00:00	24	0,4	5	23	150
0:00:10	24	0,5	5	23	150
0:00:20	24	0,8	5	23	150
0:00:30	24	1,0	5	23	150
0:00:40	24	1,3	5	23	150
0:00:50	24	1,4	5	24	150
0:01:00	24	1,6	5	24	150
0:01:10	24	1,8	5	25	150
0:01:20	24	2,0	5	25	150
0:01:30	24	2,3	5	27	150
0:01:40	24	2,6	5	29	150
0:01:50	24	3,0	5	30	150
0:02:00	24	3,4	5	31	150
0:02:10	24	3,7	5	32	150
0:02:20	24	4,0	5	32	150
0:02:30	24	4,1	5	33	150
0:02:40	24	4,3	5	34	150
0:02:50	24	4,6	5	35	150
0:03:00	25	4,7	5	36	150
0:03:10	25	4,9	5	37	150
0:03:20	25	5,1	5	38	150
0:03:30	25	5,2	5	39	150
0:03:40	25	5,5	5	40	150
0:03:50	25	5,6	5	41	150
0:04:00	25	5,8	5	42	150
0:04:10	26	6,0	5	42	150
0:04:20	26	6,1	5	43	150
0:04:30	26	6,3	5	44	150
0:04:40	26	6,5	5	45	150
0:04:50	27	6,7	5	45	150
0:05:00	27	6,8	5	45	150
0:05:10	27	7,0	5	46	150
0:05:20	27	7,2	5	46	150
0:05:30	28	7,3	5	47	150
0:05:40	28	7,6	5	47	150
0:05:50	28	7,8	5	47	150
