--Test Summary--
Full Path and File Name	
Instrument Name	7322
Instrument Type	Model 7322 Consistometer - Variable Speed
Instrument Serial Number	
Test Start Date	10.11.2014
Test Start Time	13:07:28
Test Stop Date	10.11.2014
Test Stop Time	17:55:56
Test Length	4:48:28
Final Sample Time Offset	4:48:20
Controller Schedule Name	
Sampling Period	10 seconds
Comments	T: 92C (50min); P: 55MPa (50min); tap water.
Information	WellID	Research
Information	Customer	Trican
Information	EngName	Aleksanyan Mikhail
Information	CementClass	100%G+5%DART-100+30%SFA-2 (bwoc)
Information	CementMfr	Dyckerhoff - Suhoy Log
Information	Additives	0.9%CFL-5+0.5%CFR-12+0.1%HTR-100 (bwoc)
Information	Density	1920
Information	BHCT	92
Information	BHST	
Information	FluidLoss	
Information	JobType	
Calculated Value	Time_30Bc	4:28:40
Calculated Value	Time_70Bc	4:45:00
Calculated Value	Time_100Bc	N/A
Initial Temperature (°C)	29 °C
Final Temperature (°C)	92 °C
Initial Pressure (MPa)	0,4 MPa
Final Pressure (MPa)	55,0 MPa
Initial Consistency (Bc)	18 Bc
Final Consistency (Bc)	55 Bc
Initial Wall Temperature (°C)	41 °C
Final Wall Temperature (°C)	92 °C
Initial Motor Speed (RPM)	150 RPM
Final Motor Speed (RPM)	0 RPM
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)	Wall Temperature (°C)	Motor Speed (RPM)
0:00:00	29	0,4	18	41	150
0:00:10	29	0,5	17	41	150
0:00:20	29	0,7	18	41	150
0:00:30	30	0,9	16	42	150
0:00:40	30	1,1	21	42	150
0:00:50	31	1,5	19	42	150
0:01:00	31	1,7	19	42	150
0:01:10	32	1,8	18	42	150
0:01:20	32	1,9	19	42	150
0:01:30	32	2,1	20	42	150
0:01:40	33	2,2	20	42	150
0:01:50	33	2,3	20	43	150
0:02:00	33	2,9	21	43	150
0:02:10	34	3,0	21	43	150
0:02:20	34	3,1	17	43	150
0:02:30	34	3,2	14	43	150
0:02:40	35	3,3	19	43	150
0:02:50	35	3,4	18	43	150
0:03:00	35	3,9	17	43	150
0:03:10	36	4,0	22	44	150
0:03:20	36	4,1	22	44	150
0:03:30	36	4,2	21	44	150
0:03:40	37	4,4	22	44	150
0:03:50	37	4,5	23	44	150
0:04:00	37	4,9	22	44	150
0:04:10	38	4,9	23	44	150
0:04:20	38	5,2	24	44	150
0:04:30	38	5,3	24	44	150
0:04:40	38	5,6	20	44	150
0:04:50	39	5,7	25	44	150
0:05:00	39	5,8	18	44	150
0:05:10	39	6,2	23	45	150
0:05:20	39	6,3	21	45	150
0:05:30	40	6,3	25	45	150
0:05:40	40	6,7	24	45	150
0:05:50	40	6,8	18	45	150
0:06:00	40	6,9	8	45	150
0:06:10	41	7,4	20	45	150
0:06:20	41	7,5	12	45	150
0:06:30	41	7,5	18	45	150
0:06:40	41	7,6	20	45	150
0:06:50	41	8,1	16	45	150
0:07:00	41	8,1	24	45	150
0:07:10	42	8,2	15	46	150
0:07:20	42	8,7	22	46	150
0:07:30	42	8,7	24	45	150
0:07:40	42	8,7	24	46	150
0:07:50	42	9,1	25	46	150
0:08:00	42	9,3	25	46	150
0:08:10	43	9,3	22	46	150
0:08:20	43	9,7	24	46	150
0:08:30	43	9,8	24	46	150
0:08:40	43	9,8	24	46	150
0:08:50	43	10,3	24	46	150
0:09:00	43	10,3	24	46	150
0:09:10	43	10,4	23	46	150
0:09:20	43	10,8	24	46	150
0:09:30	44	10,9	25	46	150
0:09:40	44	10,9	24	46	150
0:09:50	44	11,4	23	46	150
0:10:00	44	11,4	25	46	150
0:10:10	44	11,4	25	46	150
0:10:20	44	11,9	24	46	150
0:10:30	44	11,9	24	46	150
0:10:40	44	11,9	23	46	150
0:10:50	44	12,4	21	46	150
0:11:00	45	12,4	24	46	150
0:11:10	45	12,7	22	46	150
0:11:20	45	12,7	23	46	150
0:11:30	45	12,9	23	46	150
0:11:40	45	13,2	24	46	150
0:11:50	45	13,5	22	47	150
0:12:00	45	13,6	23	46	150
0:12:10	45	13,6	16	46	150
0:12:20	45	14,1	18	47	150
0:12:30	45	14,1	24	46	150
0:12:40	45	14,2	23	46	150
0:12:50	45	14,6	23	47	150
0:13:00	46	14,6	21	46	150
0:13:10	46	14,7	23	47	150
0:13:20	46	15,1	23	46	150
0:13:30	46	15,1	21	47	150
0:13:40	46	15,5	23	47	150
0:13:50	46	15,5	22	47	150
0:14:00	46	15,6	23	47	150
0:14:10	46	16,0	22	47	150
0:14:20	46	16,0	19	46	150
0:14:30	46	16,2	23	47	150
0:14:40	46	16,5	23	47	150
0:14:50	46	16,5	22	47	150
0:15:00	46	16,8	23	47	150
0:15:10	46	16,9	22	48	150
0:15:20	46	17,1	20	48	150
0:15:30	46	17,4	21	48	150
0:15:40	46	17,6	22	49	150
0:15:50	46	17,8	21	49	150
0:16:00	47	18,1	22	50	150
0:16:10	47	18,3	20	51	150
0:16:20	47	18,6	21	51	150
0:16:30	47	18,8	23	52	150
0:16:40	47	19,1	21	52	150
0:16:50	47	19,4	22	53	150
0:17:00	47	19,6	23	54	150
0:17:10	47	19,9	22	54	150
0:17:20	47	20,1	22	54	150
0:17:30	48	20,4	21	55	150
0:17:40	48	20,6	20	55	150
0:17:50	48	20,8	21	56	150
0:18:00	48	21,0	21	56	150
0:18:10	48	21,2	20	56	150
0:18:20	49	21,1	18	57	150
0:18:30	49	21,3	13	57	150
0:18:40	49	21,5	19	57	150
0:18:50	49	21,7	20	57	150
0:19:00	50	21,9	19	58	150
0:19:10	50	22,1	21	58	150
0:19:20	50	22,3	21	58	150
0:19:30	50	22,4	21	58	150
0:19:40	50	22,6	19	59	150
0:19:50	51	22,8	22	59	150
0:20:00	51	23,0	20	59	150
0:20:10	51	23,1	20	59	150
0:20:20	51	23,3	21	60	150
0:20:30	52	23,5	21	60	150
0:20:40	52	23,7	21	60	150
0:20:50	52	23,8	22	61	150
0:21:00	52	24,0	21	61	150
0:21:10	53	24,1	21	61	150
0:21:20	53	24,3	21	61	150
0:21:30	53	24,5	21	61	150
0:21:40	53	24,7	21	62	150
0:21:50	54	24,8	21	62	150
0:22:00	54	25,0	17	62	150
0:22:10	54	25,1	20	62	150
0:22:20	54	25,3	19	63	150
0:22:30	54	25,5	21	63	150
0:22:40	55	25,6	21	63	150
0:22:50	55	25,8	20	63	150
0:23:00	55	26,0	15	64	150
0:23:10	55	26,2	5	64	150
0:23:20	56	26,3	11	64	150
0:23:30	56	26,5	14	64	150
0:23:40	56	26,6	19	64	150
0:23:50	56	26,8	13	65	150
0:24:00	57	27,0	12	65	150
0:24:10	57	27,2	19	65	150
0:24:20	57	27,3	19	66	150
0:24:30	57	27,5	19	66	150
0:24:40	57	27,7	19	66	150
0:24:50	58	27,8	18	66	150
0:25:00	58	28,0	18	66	150
0:25:10	58	28,1	18	66	150
0:25:20	58	28,3	19	67	150
0:25:30	59	28,5	18	67	150
0:25:40	59	28,6	18	67	150
0:25:50	59	28,8	19	67	150
0:26:00	59	28,9	18	68	150
0:26:10	60	29,1	17	68	150
0:26:20	60	29,3	18	68	150
0:26:30	60	29,4	18	68	150
0:26:40	60	29,6	18	69	150
0:26:50	60	29,8	15	69	150
0:27:00	61	29,9	18	69	150
0:27:10	61	30,1	18	69	150
0:27:20	61	30,3	18	69	150
0:27:30	61	30,5	17	70	150
0:27:40	61	30,7	17	70	150
0:27:50	62	30,9	17	70	150
0:28:00	62	31,0	17	70	150
0:28:10	62	31,2	18	71	150
0:28:20	62	31,4	16	71	150
0:28:30	63	31,5	15	71	150
0:28:40	63	31,7	17	72	150
0:28:50	63	31,9	16	72	150
0:29:00	63	32,0	15	72	150
0:29:10	63	32,5	14	72	150
0:29:20	64	32,7	10	72	150
0:29:30	64	32,9	12	73	150
0:29:40	64	33,1	17	73	150
0:29:50	64	33,2	13	73	150
0:30:00	65	33,4	14	73	150
0:30:10	65	33,6	15	74	150
0:30:20	65	33,8	14	74	150
0:30:30	65	33,9	14	74	150
0:30:40	65	34,1	14	74	150
0:30:50	66	34,3	13	75	150
0:31:00	66	34,5	10	75	150
0:31:10	66	34,6	15	75	150
0:31:20	66	34,8	14	75	150
0:31:30	67	35,0	12	75	150
0:31:40	67	35,2	13	76	150
0:31:50	67	35,3	15	76	150
0:32:00	67	35,5	14	76	150
0:32:10	67	35,7	14	76	150
0:32:20	68	35,8	13	76	150
0:32:30	68	36,0	12	77	150
0:32:40	68	36,2	13	77	150
0:32:50	68	36,3	16	77	150
0:33:00	68	36,5	15	77	150
0:33:10	69	36,7	14	78	150
0:33:20	69	36,9	14	78	150
0:33:30	69	37,1	16	78	150
0:33:40	69	37,2	15	78	150
0:33:50	70	37,4	15	79	150
0:34:00	70	37,6	15	79	150
0:34:10	70	37,8	15	79	150
0:34:20	70	38,0	16	79	150
0:34:30	70	38,1	16	80	150
0:34:40	71	38,3	15	80	150
0:34:50	71	38,5	16	80	150
0:35:00	71	38,6	14	80	150
0:35:10	71	38,8	15	80	150
0:35:20	72	39,0	16	81	150
0:35:30	72	39,1	14	81	150
0:35:40	72	39,3	16	81	150
