--Test Summary--
Full Path and File Name	
Instrument Name	7222
Instrument Type	Model 7222 Consistometer
Instrument Serial Number	
Test Start Date	25.12.2014
Test Start Time	13:59:15
Test Stop Date	25.12.2014
Test Stop Time	22:59:55
Test Length	9:00:40
Final Sample Time Offset	9:00:40
Controller Schedule Name	
Sampling Period	10 seconds
Comments	P: 5MPa (30min).
Information	WellID	Research
Information	Customer	Trican
Information	EngName	Aleksanyan Mikhail
Information	CementClass	100% NORD-8
Information	CementMfr	ZBTM
Information	Additives	
Information	Density	1800
Information	BHCT	23
Information	BHST	
Information	FluidLoss	
Information	JobType	
Calculated Value	Time_30Bc	6:25:10
Calculated Value	Time_70Bc	9:00:40
Initial Temperature (°C)	25 °C
Final Temperature (°C)	32 °C
Initial Pressure (MPa)	0,6 MPa
Final Pressure (MPa)	5,1 MPa
Initial Consistency (Bc)	18 Bc
Final Consistency (Bc)	70 Bc
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)
0:00:00	25	0,6	18
0:00:10	25	0,6	18
0:00:20	25	0,8	18
0:00:30	25	0,7	18
0:00:40	25	0,7	18
0:00:50	25	0,7	17
0:01:00	25	0,7	17
0:01:10	25	0,7	17
0:01:20	25	0,7	17
0:01:30	25	0,9	17
0:01:40	25	0,9	17
0:01:50	25	0,9	17
0:02:00	25	0,9	17
0:02:10	25	0,8	17
0:02:20	25	0,9	17
0:02:30	25	0,9	16
0:02:40	24	1,1	16
0:02:50	24	1,1	16
0:03:00	24	1,1	16
0:03:10	24	1,1	16
0:03:20	24	1,0	16
0:03:30	24	1,0	16
0:03:40	24	1,1	16
0:03:50	24	1,1	16
0:04:00	24	1,3	16
0:04:10	24	1,3	16
0:04:20	24	1,3	16
0:04:30	24	1,3	16
0:04:40	24	1,3	16
0:04:50	24	1,3	16
0:05:00	24	1,3	16
0:05:10	24	1,3	16
0:05:20	24	1,4	16
0:05:30	24	1,4	16
0:05:40	24	1,4	15
0:05:50	24	1,5	15
0:06:00	24	1,5	15
0:06:10	24	1,4	15
0:06:20	24	1,4	15
0:06:30	24	1,6	15
0:06:40	24	1,6	15
0:06:50	24	1,6	15
0:07:00	24	1,6	15
0:07:10	24	1,6	15
0:07:20	24	1,6	15
0:07:30	24	1,8	15
0:07:40	24	1,8	15
0:07:50	24	1,8	15
0:08:00	24	1,7	15
0:08:10	24	1,8	15
0:08:20	24	1,7	15
0:08:30	24	2,0	15
0:08:40	24	2,0	15
0:08:50	24	2,0	15
0:09:00	24	2,0	15
0:09:10	24	2,0	15
0:09:20	24	2,0	15
0:09:30	24	2,0	15
0:09:40	24	1,9	15
0:09:50	24	1,9	15
0:10:00	24	2,0	15
0:10:10	24	2,3	14
0:10:20	24	2,3	14
0:10:30	24	2,3	14
0:10:40	23	2,3	15
0:10:50	23	2,3	15
0:11:00	23	2,3	15
0:11:10	23	2,3	14
0:11:20	23	2,3	15
0:11:30	23	2,3	14
0:11:40	23	2,3	14
0:11:50	23	2,2	14
0:12:00	23	2,2	14
0:12:10	23	2,7	14
0:12:20	23	2,7	14
0:12:30	23	2,6	14
0:12:40	23	2,6	14
0:12:50	23	2,6	14
0:13:00	23	2,6	14
0:13:10	23	2,6	15
0:13:20	23	2,6	14
0:13:30	23	2,6	14
0:13:40	23	2,6	14
0:13:50	23	2,6	14
0:14:00	23	2,6	14
0:14:10	23	2,6	14
0:14:20	23	2,7	14
0:14:30	23	2,7	14
0:14:40	23	2,7	14
0:14:50	23	2,7	14
0:15:00	23	2,7	14
0:15:10	23	3,1	14
0:15:20	23	3,1	14
0:15:30	23	3,1	14
0:15:40	23	3,0	14
0:15:50	23	3,0	14
0:16:00	23	3,0	13
0:16:10	23	3,0	13
0:16:20	23	3,0	13
0:16:30	23	3,0	13
0:16:40	23	3,0	13
0:16:50	23	3,0	13
0:17:00	23	3,0	13
0:17:10	23	3,0	13
0:17:20	23	3,0	13
0:17:30	23	3,5	13
0:17:40	23	3,5	13
0:17:50	23	3,4	13
0:18:00	23	3,4	13
0:18:10	23	3,4	13
0:18:20	23	3,4	13
0:18:30	23	3,4	12
0:18:40	23	3,4	12
0:18:50	23	3,4	12
0:19:00	23	3,4	12
0:19:10	23	3,4	12
0:19:20	23	3,4	12
0:19:30	23	3,4	12
0:19:40	23	3,4	12
0:19:50	23	3,4	12
0:20:00	23	3,4	12
0:20:10	23	3,5	12
0:20:20	23	3,5	12
0:20:30	23	3,5	12
0:20:40	23	3,5	12
0:20:50	23	3,5	12
