--Test Summary--
Full Path and File Name	
Instrument Name	UCA Left Cell
Instrument Type	Model 4262 Twin Cell UCA
Instrument Serial Number	
Test Start Date	15.01.2015
Test Start Time	14:35:00
Test Stop Date	16.01.2015
Test Stop Time	16:08:15
Test Length	25:33:15
Final Sample Time Offset	25:33:00
Controller Schedule Name	
Sampling Period	30 seconds
Comments	T: 60C (30min); tap water.
Information	WellID	Research
Information	Customer	Trican
Information	EngName	Aleksanyan Mikhail
Information	CementClass	100% Light 1300
Information	CementMfr	ZBTM
Information	Additives	
Information	Density	1360
Information	BHCT	
Information	BHST	60
Information	FluidLoss	
Information	JobType	
Calculated Value	CS_50	3:27:30
Calculated Value	CS_500	11:49:00
Calculated Value	CS_Time8h	1,16 MPa
Calculated Value	CS_Time12h	3,57 MPa
Calculated Value	CS_Time24h	5,50 MPa
Calculated Value	CS_Time48h	N/A
Calculated Value	CS_Time72h	N/A
Calculated Curve	Compressive Strength	Compressive strength type A (less than 14 lb/gal)
Initial Temperature (°C)	23 °C
Final Temperature (°C)	60 °C
Initial Transit Time (microsec/in)	16,21 microsec/in
Final Transit Time (microsec/in)	11,41 microsec/in
Initial Compressive Strength (MPa)	0,00 MPa
Final Compressive Strength (MPa)	5,52 MPa
--Data--
Time (HH:MM:SS)	Temperature (°C)	Transit Time (microsec/in)	Compressive Strength (MPa)
0:00:00	23	16,21	0,00
0:00:30	23	16,22	0,00
0:01:00	23	16,22	0,00
0:01:30	23	16,22	0,00
0:02:00	23	16,23	0,00
0:02:30	23	16,23	0,00
0:03:00	23	16,23	0,00
0:03:30	23	16,23	0,00
0:04:00	23	16,23	0,00
0:04:30	24	16,23	0,00
0:05:00	24	16,23	0,00
0:05:30	24	16,23	0,00
0:06:00	25	16,22	0,00
0:06:30	26	16,21	0,00
0:07:00	26	16,21	0,00
0:07:30	27	16,20	0,00
0:08:00	28	16,19	0,01
0:08:30	29	16,18	0,01
0:09:00	29	16,18	0,01
0:09:30	30	16,16	0,02
0:10:00	30	16,15	0,02
0:10:30	31	16,14	0,03
0:11:00	31	16,12	0,04
0:11:30	32	16,12	0,04
0:12:00	32	16,10	0,04
0:12:30	33	16,09	0,05
0:13:00	33	16,08	0,05
0:13:30	34	16,06	0,06
0:14:00	34	16,05	0,07
0:14:30	35	16,04	0,07
0:15:00	36	16,02	0,07
0:15:30	36	16,01	0,08
0:16:00	37	16,00	0,09
0:16:30	38	15,98	0,09
0:17:00	39	15,96	0,10
0:17:30	39	15,95	0,11
0:18:00	40	15,94	0,11
0:18:30	41	15,93	0,12
0:19:00	42	15,92	0,12
0:19:30	42	15,91	0,13
0:20:00	43	15,90	0,13
0:20:30	44	15,89	0,13
