--Test Summary--
Full Path and File Name	
Instrument Name	UCA Left Cell
Instrument Type	Model 4262 Twin Cell UCA
Instrument Serial Number	
Test Start Date	26.01.2015
Test Start Time	10:42:08
Test Stop Date	27.01.2015
Test Stop Time	14:48:55
Test Length	28:06:47
Final Sample Time Offset	28:06:30
Controller Schedule Name	
Sampling Period	30 seconds
Comments	T: 40C (25min); tap water.
Information	WellID	Research
Information	Customer	Trican
Information	EngName	Aleksanyan Mikhail
Information	CementClass	100%÷“Œ¡ 5Ã
Information	CementMfr	ZBTM
Information	Additives	
Information	Density	1540
Information	BHCT	
Information	BHST	40
Information	FluidLoss	
Information	JobType	
Calculated Value	CS_50	4:04:30
Calculated Value	CS_500	14:37:00
Calculated Value	CS_Time8h	1,72 MPa
Calculated Value	CS_Time12h	2,84 MPa
Calculated Value	CS_Time24h	4,93 MPa
Calculated Value	CS_Time48h	N/A
Calculated Value	CS_Time72h	N/A
Calculated Curve	Compressive Strength	Compressive strength type A (less than 14 lb/gal)
Initial Temperature (∞C)	21 ∞C
Final Temperature (∞C)	40 ∞C
Initial Transit Time (microsec/in)	17,33 microsec/in
Final Transit Time (microsec/in)	11,58 microsec/in
Initial Compressive Strength (MPa)	0,00 MPa
Final Compressive Strength (MPa)	5,42 MPa
--Data--
Time (HH:MM:SS)	Temperature (∞C)	Transit Time (microsec/in)	Compressive Strength (MPa)
0:00:00	21	17,33	0,00
0:00:30	21	17,33	0,00
0:01:00	21	17,32	0,00
0:01:30	21	17,34	0,00
0:02:00	21	17,34	0,00
0:02:30	21	17,34	0,00
0:03:00	21	17,34	0,00
0:03:30	21	17,32	0,00
0:04:00	21	17,32	0,00
0:04:30	21	17,32	0,00
0:05:00	21	17,33	0,00
0:05:30	21	17,33	0,00
0:06:00	22	17,33	0,00
0:06:30	22	17,34	0,00
0:07:00	22	17,34	0,00
0:07:30	23	17,34	0,00
0:08:00	23	17,34	0,00
0:08:30	23	17,34	0,00
0:09:00	24	17,33	0,00
0:09:30	24	17,34	0,00
0:10:00	25	17,33	0,00
0:10:30	25	17,33	0,00
0:11:00	26	17,33	0,00
0:11:30	26	17,32	0,00
0:12:00	27	17,32	0,00
0:12:30	27	17,32	0,00
0:13:00	27	17,32	0,00
0:13:30	28	17,31	0,01
0:14:00	28	17,31	0,01
0:14:30	28	17,30	0,01
0:15:00	29	17,29	0,01
0:15:30	29	17,29	0,01
0:16:00	29	17,29	0,01
0:16:30	30	17,28	0,01
0:17:00	30	17,27	0,02
0:17:30	30	17,27	0,02
0:18:00	31	17,26	0,02
0:18:30	31	17,25	0,02
0:19:00	32	17,25	0,02
0:19:30	32	17,24	0,02
0:20:00	33	17,23	0,03
0:20:30	33	17,22	0,03
0:21:00	34	17,22	0,03
