--Test Summary--
Full Path and File Name	
Instrument Name	UCA Left Cell
Instrument Type	Model 4262 Twin Cell UCA
Instrument Serial Number	
Test Start Date	27.01.2015
Test Start Time	15:26:30
Test Stop Date	28.01.2015
Test Stop Time	16:11:25
Test Length	24:44:55
Final Sample Time Offset	24:44:29
Controller Schedule Name	
Sampling Period	30 seconds
Comments	T: 22C; P: 3000psi

Information	WellID	Research
Information	Customer	Trican
Information	EngName	Aleksanyan Mikhail
Information	CementClass	100%÷“Œ¡ 5Ã-50
Information	CementMfr	ZBTM
Information	Additives	
Information	Density	1510
Information	BHCT	
Information	BHST	22
Information	FluidLoss	
Information	JobType	
Calculated Value	CS_50	8:59:30
Calculated Value	CS_500	N/A
Calculated Value	CS_Time8h	0,20 MPa
Calculated Value	CS_Time12h	0,76 MPa
Calculated Value	CS_Time24h	2,08 MPa
Calculated Value	CS_Time48h	N/A
Calculated Value	CS_Time72h	N/A
Calculated Curve	Compressive Strength	Compressive strength type A (less than 14 lb/gal)
Initial Temperature (∞C)	27 ∞C
Final Temperature (∞C)	22 ∞C
Initial Transit Time (microsec/in)	17,39 microsec/in
Final Transit Time (microsec/in)	13,51 microsec/in
Initial Compressive Strength (MPa)	0,00 MPa
Final Compressive Strength (MPa)	2,16 MPa
--Data--
Time (HH:MM:SS)	Temperature (∞C)	Transit Time (microsec/in)	Compressive Strength (MPa)
0:00:00	27	17,39	0,00
0:00:30	27	17,37	0,01
0:01:00	27	17,35	0,01
0:01:30	27	17,34	0,01
0:02:00	27	17,34	0,01
0:02:30	27	17,34	0,01
0:03:00	26	17,34	0,01
0:03:30	26	17,32	0,02
0:04:00	26	17,32	0,02
0:04:30	26	17,32	0,02
0:05:00	26	17,33	0,02
0:05:30	25		
0:06:00	25	17,33	0,02
0:06:30	25	17,34	0,01
0:07:00	24	17,34	0,01
0:07:30	24	17,35	0,01
0:08:00	23	17,36	0,01
0:08:30	23	17,37	0,01
0:09:00	23	17,37	0,01
0:09:30	23	17,38	0,00
0:10:00	22	17,38	0,00
0:10:30	22	17,40	0,00
0:11:00	22	17,41	0,00
0:11:30	21	17,41	0,00
0:12:00	21	17,42	0,00
0:12:30	21	17,43	0,00
0:13:00	20	17,44	0,00
0:13:30	20	17,44	0,00
0:14:00	20	17,46	0,00
0:14:30	19	17,48	0,00
0:15:00	19	17,45	0,00
0:15:30	19	17,46	0,00
0:16:00	19	17,47	0,00
0:16:30	19	17,49	0,00
0:17:00	18	17,50	0,00
0:17:30	18	17,50	0,00
0:18:00	18	17,52	0,00
0:18:30	18	17,52	0,00
0:19:00	18	17,53	0,00
0:19:30	17	17,55	0,00
0:20:00	17	17,55	0,00
0:20:30	17	17,56	0,00
0:21:00	17	17,58	0,00
0:21:30	16	17,59	0,00
0:22:00	16	17,60	0,00
0:22:30	16	17,61	0,00
0:23:00	16	17,62	0,00
0:23:30	16	17,63	0,00
0:24:00	15	17,64	0,00
0:24:30	15	17,65	0,00
0:25:00	15	17,66	0,00
0:25:30	15	17,67	0,00
0:26:00	15	17,68	0,00
0:26:30	14	17,69	0,00
0:27:00	14	17,70	0,00
0:27:30	14	17,70	0,00
0:28:00	14	17,72	0,00
0:28:30	14	17,73	0,00
0:29:00	14	17,73	0,00
0:29:30	13	17,74	0,00
0:30:00	13	17,75	0,00
0:30:30	13	17,76	0,00
0:31:00	13	17,76	0,00
0:31:30	13	17,78	0,00
0:32:00	13	17,80	0,00
0:32:30	13	17,76	0,00
0:33:00	12	17,77	0,00
0:33:30	12	17,78	0,00
0:34:00	12	17,80	0,00
0:34:30	12	17,81	0,00
0:35:00	12	17,82	0,00
0:35:30	12	17,82	0,00
0:36:00	12	17,83	0,00
0:36:30	12	17,84	0,00
0:37:00	12	17,85	0,00
0:37:30	11	17,86	0,00
0:38:00	11	17,86	0,00
0:38:30	11	17,87	0,00
0:39:00	11	17,88	0,00
0:39:30	11	17,89	0,00
0:40:00	11	17,89	0,00
0:40:30	11	17,90	0,00
0:41:00	11	17,90	0,00
0:41:30	11	17,91	0,00
0:42:00	10	17,92	0,00
0:42:30	10	17,92	0,00
0:43:00	10	17,93	0,00
0:43:30	10	17,93	0,00
0:44:00	10	17,94	0,00
0:44:30	10	17,95	0,00
0:45:00	10	17,95	0,00
0:45:30	10	17,96	0,00
0:46:00	10	17,97	0,00
0:46:30	10	17,97	0,00
0:47:00	9	17,98	0,00
0:47:30	9	17,98	0,00
0:48:00	9	17,98	0,00
0:48:30	9	17,99	0,00
0:49:00	9	18,00	0,00
0:49:30	10	18,00	0,00
0:50:00	10	18,00	0,00
0:50:30	10	18,00	0,00
0:51:00	11	18,00	0,00
0:51:30	11	18,00	0,00
0:52:00	12	18,00	0,00
0:52:30	12	18,00	0,00
0:53:00	13	17,99	0,00
0:53:30	14	17,94	0,00
0:54:00	15	17,93	0,00
0:54:30	15	17,92	0,00
0:55:00	16	17,90	0,00
0:55:30	17	17,89	0,00
0:56:00	17	17,86	0,00
0:56:30	18	17,85	0,00
0:57:00	18	17,82	0,00
0:57:30	19	17,81	0,00
0:58:00	19	17,80	0,00
0:58:30	20	17,77	0,00
0:59:00	20	17,75	0,00
0:59:30	21	17,73	0,00
1:00:00	21	17,71	0,00
1:00:30	21	17,69	0,00
1:01:00	21	17,68	0,00
1:01:30	22	17,66	0,00
1:02:00	22	17,64	0,00
1:02:30	22	17,62	0,00
1:03:00	22	17,61	0,00
1:03:30	23	17,59	0,00
1:04:00	23	17,58	0,00
1:04:30	23	17,56	0,00
1:05:00	23	17,55	0,00
1:05:30	23	17,54	0,00
1:06:00	23	17,52	0,00
1:06:30	23	17,52	0,00
1:07:00	23	17,51	0,00
1:07:30	23	17,50	0,00
1:08:00	24	17,49	0,00
1:08:30	24	17,48	0,00
1:09:00	24	17,47	0,00
1:09:30	24	17,46	0,00
1:10:00	24	17,46	0,00
1:10:30	24	17,46	0,00
