--Test Summary--
Full Path and File Name	
Instrument Name	7322
Instrument Type	Model 7322 Consistometer - Variable Speed
Instrument Serial Number	
Test Start Date	28.01.2015
Test Start Time	10:54:57
Test Stop Date	28.01.2015
Test Stop Time	14:14:27
Test Length	3:19:30
Final Sample Time Offset	3:19:30
Controller Schedule Name	
Sampling Period	10 seconds
Comments	T: 40C (30min); P: 15MPa (30min); tap water.
Information	WellID	Research
Information	Customer	Trican
Information	EngName	Aleksanyan Mikhail
Information	CementClass	100%÷“Œ¡ 5Ã
Information	CementMfr	ZBTM
Information	Additives	
Information	Density	1540
Information	BHCT	40
Information	BHST	
Information	FluidLoss	
Information	JobType	
Calculated Value	Time_30Bc	2:25:00
Calculated Value	Time_70Bc	3:19:30
Initial Temperature (∞C)	23 ∞C
Final Temperature (∞C)	40 ∞C
Initial Pressure (MPa)	0,8 MPa
Final Pressure (MPa)	15,2 MPa
Initial Consistency (Bc)	14 Bc
Final Consistency (Bc)	71 Bc
Initial Wall Temperature (∞C)	20 ∞C
Final Wall Temperature (∞C)	38 ∞C
Initial Motor Speed (RPM)	150 RPM
Final Motor Speed (RPM)	150 RPM
--Data--
Time (HH:MM:SS)	Temperature (∞C)	Pressure (MPa)	Consistency (Bc)	Wall Temperature (∞C)	Motor Speed (RPM)
0:00:00	23	0,8	14	20	150
0:00:10	23	0,9	14	20	150
0:00:20	23	1,0	15	20	150
0:00:30	23	1,1	15	20	150
0:00:40	23	1,2	15	20	150
0:00:50	23	1,2	16	20	150
0:01:00	23	1,4	16	20	150
0:01:10	23	1,4	17	20	150
0:01:20	23	1,6	17	21	150
0:01:30	23	1,7	17	21	150
0:01:40	23	1,7	18	21	150
0:01:50	23	1,7	19	21	150
0:02:00	23	1,7	19	21	150
0:02:10	23	2,0	20	22	150
0:02:20	23	2,0	20	22	150
0:02:30	23	2,1	21	22	150
0:02:40	24	2,2	22	23	150
0:02:50	24	2,2	23	23	150
0:03:00	24	2,3	25	24	150
0:03:10	24	2,4	25	24	150
0:03:20	24	2,5	25	24	150
0:03:30	24	2,7	25	24	150
0:03:40	24	2,8	26	25	150
0:03:50	24	2,9	26	25	150
0:04:00	24	3,0	29	26	150
0:04:10	24	3,1	28	26	150
0:04:20	24	3,2	29	26	150
0:04:30	24	3,4	29	26	150
0:04:40	24	3,5	29	28	150
0:04:50	24	3,7	29	29	150
0:05:00	24	3,8	29	29	150
0:05:10	24	3,9	29	29	150
0:05:20	24	4,1	29	29	150
0:05:30	24	4,2	29	30	150
0:05:40	25	4,3	29	30	150
0:05:50	25	4,4	29	30	150
0:06:00	25	4,5	29	31	150
0:06:10	25	4,6	29	31	150
0:06:20	25	4,7	28	31	150
0:06:30	25	4,8	28	31	150
0:06:40	25	4,8	28	31	150
0:06:50	25	4,9	28	31	150
0:07:00	26	4,9	27	31	150
0:07:10	26	5,0	27	31	150
0:07:20	26	5,0	27	31	150
0:07:30	26	5,1	27	31	150
0:07:40	26	5,1	27	31	150
0:07:50	26	5,2	27	31	150
0:08:00	26	5,2	27	31	150
0:08:10	26	5,3	27	31	150
0:08:20	27	5,3	27	31	150
0:08:30	27	5,4	27	32	150
0:08:40	27	5,5	26	31	150
0:08:50	27	5,6	26	31	150
0:09:00	27	5,6	26	32	150
0:09:10	27	5,7	26	32	150
0:09:20	27	5,8	26	32	150
0:09:30	27	5,8	26	32	150
0:09:40	27	5,9	26	32	150
0:09:50	28	6,0	26	32	150
0:10:00	28	6,1	26	32	150
0:10:10	28	6,1	25	32	150
0:10:20	28	6,1	25	32	150
0:10:30	28	6,2	25	32	150
0:10:40	28	6,2	25	32	150
0:10:50	28	6,3	24	32	150
0:11:00	28	6,3	25	32	150
0:11:10	28	6,4	24	33	150
0:11:20	29	6,5	24	33	150
0:11:30	29	6,5	24	33	150
0:11:40	29	6,6	24	33	150
0:11:50	29	6,6	24	33	150
0:12:00	29	6,7	24	33	150
0:12:10	29	6,7	24	33	150
0:12:20	29	6,8	24	33	150
0:12:30	29	6,8	24	33	150
0:12:40	29	6,9	24	33	150
0:12:50	30	7,0	24	33	150
0:13:00	30	7,0	24	34	150
0:13:10	30	7,1	24	33	150
0:13:20	30	7,2	24	34	150
0:13:30	30	7,3	24	34	150
0:13:40	30	7,3	24	34	150
0:13:50	30	7,4	24	34	150
0:14:00	30	7,5	24	34	150
0:14:10	30	7,6	24	34	150
0:14:20	30	7,7	23	35	150
0:14:30	30	7,8	23	35	150
0:14:40	31	7,8	23	35	150
0:14:50	31	7,9	23	35	150
0:15:00	31	8,0	23	35	150
0:15:10	31	8,1	23	35	150
0:15:20	31	8,2	23	35	150
0:15:30	31	8,2	23	35	150
0:15:40	31	8,3	23	35	150
0:15:50	31	8,3	23	35	150
0:16:00	31	8,3	23	35	150
0:16:10	32	8,7	23	35	150
0:16:20	32	8,8	23	35	150
0:16:30	32	8,8	23	35	150
0:16:40	32	8,9	23	35	150
0:16:50	32	8,9	23	35	150
0:17:00	32	9,0	23	36	150
0:17:10	32	9,0	23	36	150
0:17:20	32	9,0	23	36	150
0:17:30	32	9,1	23	36	150
0:17:40	32	9,2	23	36	150
0:17:50	32	9,7	23	36	150
0:18:00	33	9,8	23	36	150
0:18:10	33	9,9	23	36	150
0:18:20	33	9,9	23	36	150
0:18:30	33	10,0	23	36	150
0:18:40	33	10,1	23	36	150
0:18:50	33	10,1	23	36	150
0:19:00	33	10,2	23	36	150
0:19:10	33	10,3	23	37	150
0:19:20	33	10,4	23	37	150
0:19:30	33	10,4	23	37	150
0:19:40	33	10,5	23	37	150
0:19:50	34	10,6	23	37	150
0:20:00	34	10,7	23	37	150
0:20:10	34	10,7	23	37	150
0:20:20	34	10,8	23	37	150
0:20:30	34	10,9	23	37	150
0:20:40	34	10,9	23	37	150
0:20:50	34	11,0	23	37	150
0:21:00	34	11,0	23	37	150
0:21:10	34	11,1	23	37	150
0:21:20	34	11,2	23	38	150
0:21:30	34	11,4	23	38	150
0:21:40	35	11,5	23	38	150
0:21:50	35	11,6	23	38	150
0:22:00	35	11,6	23	38	150
0:22:10	35	11,7	23	38	150
0:22:20	35	11,8	23	38	150
0:22:30	35	11,9	23	38	150
0:22:40	35	11,9	23	39	150
0:22:50	35	12,0	23	39	150
0:23:00	35	12,0	23	38	150
0:23:10	35	12,0	23	39	150
0:23:20	36	12,1	23	39	150
0:23:30	36	12,1	23	39	150
0:23:40	36	12,2	23	38	150
0:23:50	36	12,2	23	39	150
0:24:00	36	12,3	22	39	150
0:24:10	36	12,4	22	39	150
0:24:20	36	12,5	22	39	150
0:24:30	36	12,6	22	39	150
0:24:40	36	12,6	22	39	150
0:24:50	36	12,7	22	39	150
0:25:00	36	12,8	22	39	150
0:25:10	37	12,9	22	40	150
0:25:20	37	13,0	22	40	150
0:25:30	37	13,1	22	40	150
0:25:40	37	13,2	22	40	150
0:25:50	37	13,3	22	40	150
0:26:00	37	13,4	22	40	150
0:26:10	37	13,5	22	41	150
0:26:20	37	13,6	22	41	150
0:26:30	37	13,7	22	41	150
0:26:40	37	13,8	22	41	150
0:26:50	37	13,9	22	41	150
0:27:00	38	14,0	22	41	150
0:27:10	38	14,1	22	42	150
0:27:20	38	14,1	22	42	150
0:27:30	38	14,2	22	42	150
0:27:40	38	14,3	22	42	150
0:27:50	38	14,4	22	41	150
0:28:00	38	14,4	22	42	150
0:28:10	38	14,5	22	42	150
0:28:20	38	14,6	22	42	150
0:28:30	38	14,6	22	42	150
0:28:40	39	14,6	22	42	150
0:28:50	39	14,7	22	42	150
0:29:00	39	14,7	22	42	150
0:29:10	39	14,8	22	42	150
0:29:20	39	14,8	22	42	150
0:29:30	39	14,8	22	42	150
0:29:40	39	14,9	22	42	150
0:29:50	39	15,0	22	42	150
0:30:00	39	15,1	22	43	150
0:30:10	39	15,2	22	43	150
0:30:20	40	15,3	22	43	150
0:30:30	40	15,3	22	43	150
0:30:40	40	15,4	22	43	150
0:30:50	40	15,4	22	43	150
0:31:00	40	15,4	22	42	150
0:31:10	40	15,3	22	42	150
0:31:20	40	15,3	22	42	150
0:31:30	40	15,2	22	42	150
0:31:40	40	15,2	22	42	150
