--Test Summary--
Full Path and File Name	
Instrument Name	7322
Instrument Type	Model 7322 Consistometer - Variable Speed
Instrument Serial Number	
Test Start Date	29.01.2015
Test Start Time	10:03:52
Test Stop Date	29.01.2015
Test Stop Time	16:15:42
Test Length	6:11:50
Final Sample Time Offset	6:11:50
Controller Schedule Name	
Sampling Period	10 seconds
Comments	
Information	WellID	Research
Information	Customer	Trican
Information	EngName	Pavel Lebedev
Information	CementClass	56%G+44%Fly Ash (bwob)
Information	CementMfr	Dyckerhoff - Suhoy Log
Information	Additives	0.75%CFA100 (bwow)+0.5%CFL-5 (bwob)
Information	Density	1700
Information	BHCT	75
Information	BHST	85
Information	FluidLoss	n/a
Information	JobType	Research
Calculated Value	Time_30Bc	5:43:10
Calculated Value	Time_70Bc	6:11:50
Initial Temperature (°C)	23 °C
Final Temperature (°C)	75 °C
Initial Pressure (MPa)	0,8 MPa
Final Pressure (MPa)	40,2 MPa
Initial Consistency (Bc)	4 Bc
Final Consistency (Bc)	70 Bc
Initial Wall Temperature (°C)	20 °C
Final Wall Temperature (°C)	74 °C
Initial Motor Speed (RPM)	150 RPM
Final Motor Speed (RPM)	150 RPM
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)	Wall Temperature (°C)	Motor Speed (RPM)
0:00:00	23	0,8	4	20	150
0:00:10	23	0,9	4	20	150
0:00:20	23	1,1	4	20	150
0:00:30	23	1,3	4	21	150
0:00:40	23	1,7	4	21	150
0:00:50	22	1,8	5	22	150
0:01:00	22	2,0	6	23	150
0:01:10	22	2,4	6	23	150
0:01:20	22	2,7	6	24	150
0:01:30	22	3,0	5	26	150
0:01:40	22	3,3	6	29	150
0:01:50	22	3,7	6	30	150
0:02:00	22	4,1	6	31	150
0:02:10	22	4,5	6	32	150
0:02:20	23	4,8	4	33	150
0:02:30	23	5,1	4	34	150
0:02:40	23	5,3	4	35	150
0:02:50	23	5,5	4	36	150
0:03:00	23	5,8	4	37	150
0:03:10	23	5,9	4	38	150
0:03:20	24	6,1	4	39	150
0:03:30	24	6,4	5	39	150
0:03:40	24	6,6	5	40	150
0:03:50	24	6,8	5	40	150
0:04:00	25	7,0	5	41	150
0:04:10	25	7,2	5	41	150
0:04:20	25	7,4	5	42	150
0:04:30	26	7,7	5	43	150
0:04:40	26	7,8	5	43	150
0:04:50	26	8,1	5	44	150
0:05:00	26	8,3	5	45	150
0:05:10	27	8,5	5	46	150
0:05:20	27	8,7	5	46	150
0:05:30	27	8,9	5	47	150
0:05:40	28	9,2	5	47	150
0:05:50	28	9,4	5	48	150
0:06:00	28	9,6	5	48	150
0:06:10	29	9,9	5	49	150
0:06:20	29	10,0	5	49	150
0:06:30	30	10,2	5	49	150
0:06:40	30	10,4	5	50	150
0:06:50	31	10,5	5	49	150
0:07:00	31	10,7	4	50	150
0:07:10	31	10,9	4	50	150
0:07:20	32	11,0	4	50	150
