--Test Summary--
Full Path and File Name	
Instrument Name	7222
Instrument Type	Model 7222 Consistometer
Instrument Serial Number	
Test Start Date	25.02.2015
Test Start Time	11:15:10
Test Stop Date	25.02.2015
Test Stop Time	15:21:40
Test Length	4:06:30
Final Sample Time Offset	4:06:30
Controller Schedule Name	
Sampling Period	10 seconds
Comments	
Information	WellID	
Information	Customer	
Information	EngName	
Information	CementClass	100% G
Information	CementMfr	Dyckerhoff - Suhoy Log
Information	Additives	5%DART-100+0.6%TDF-3+0.1%TC-101+0.2%LTR-100 (BWOC)
Information	Density	1920
Information	BHCT	75
Information	BHST	85
Information	FluidLoss	n/a
Information	JobType	Research
Calculated Value	Time_30Bc	1:52:10
Calculated Value	Time_70Bc	4:06:30
Initial Temperature (°C)	28 °C
Final Temperature (°C)	75 °C
Initial Pressure (MPa)	0,9 MPa
Final Pressure (MPa)	25,0 MPa
Initial Consistency (Bc)	10 Bc
Final Consistency (Bc)	71 Bc
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)
0:00:00	28	0,9	10
0:00:10	28	0,9	10
0:00:20	28	1,2	9
0:00:30	27	1,3	9
0:00:40	27	1,4	9
0:00:50	27	1,6	10
0:01:00	27	1,8	10
0:01:10	27	2,0	10
0:01:20	27	2,3	9
0:01:30	27	2,6	10
0:01:40	27	2,9	10
0:01:50	27	3,1	10
0:02:00	28	3,3	10
0:02:10	28	3,3	9
0:02:20	28	3,5	9
0:02:30	28	3,6	8
0:02:40	28	3,6	9
0:02:50	28	3,8	10
0:03:00	29	3,9	16
0:03:10	29	4,1	16
0:03:20	29	4,1	12
0:03:30	29	4,3	17
0:03:40	30	4,4	15
0:03:50	30	4,5	18
0:04:00	30	4,6	16
0:04:10	30	4,6	13
0:04:20	31	4,8	16
0:04:30	31	4,9	17
0:04:40	31	5,0	13
0:04:50	32	5,2	11
0:05:00	32	5,3	11
0:05:10	32	5,5	13
0:05:20	33	5,5	15
0:05:30	33	5,6	17
0:05:40	33	5,7	16
0:05:50	33	5,9	13
0:06:00	34	5,9	9
0:06:10	34	6,1	13
0:06:20	34	6,2	13
0:06:30	34	6,2	13
0:06:40	35	6,4	15
0:06:50	35	6,4	15
0:07:00	35	6,7	15
0:07:10	36	6,7	12
0:07:20	36	6,9	8
0:07:30	36	6,9	9
0:07:40	36	7,1	9
0:07:50	37	7,2	8
0:08:00	37	7,4	9
0:08:10	37	7,3	9
0:08:20	38	7,6	9
0:08:30	38	7,7	11
0:08:40	38	7,7	11
0:08:50	38	7,9	11
0:09:00	39	8,0	11
0:09:10	39	8,2	12
0:09:20	39	8,1	12
0:09:30	39	8,3	12
0:09:40	40	8,5	12
0:09:50	40	8,7	12
0:10:00	40	8,5	12
0:10:10	40	8,8	12
0:10:20	41	8,9	12
0:10:30	41	9,1	12
0:10:40	41	9,0	12
0:10:50	41	9,2	12
0:11:00	42	9,4	12
0:11:10	42	9,6	12
0:11:20	42	9,5	13
0:11:30	42	9,8	13
0:11:40	43	9,8	12
0:11:50	43	9,8	12
0:12:00	43	10,1	12
0:12:10	43	10,0	12
0:12:20	44	10,2	11
0:12:30	44	10,4	11
0:12:40	44	10,5	11
0:12:50	44	10,7	11
0:13:00	45	10,8	11
0:13:10	45	10,9	11
0:13:20	45	11,1	11
0:13:30	45	11,0	12
0:13:40	46	11,2	12
0:13:50	46	11,4	12
0:14:00	46	11,2	12
0:14:10	46	11,4	12
0:14:20	47	11,6	12
0:14:30	47	11,8	12
0:14:40	47	11,7	12
0:14:50	47	11,9	12
0:15:00	47	12,1	12
0:15:10	48	12,4	12
0:15:20	48	12,2	12
0:15:30	48	12,4	12
0:15:40	48	12,6	12
0:15:50	49	12,8	12
0:16:00	49	12,6	12
0:16:10	49	12,8	12
0:16:20	49	13,1	12
0:16:30	50	12,9	12
0:16:40	50	13,1	12
0:16:50	50	13,3	12
0:17:00	50	13,5	12
0:17:10	51	13,7	12
0:17:20	51	13,6	12
0:17:30	51	13,8	12
0:17:40	51	14,1	12
0:17:50	51	13,8	11
0:18:00	52	14,1	11
0:18:10	52	14,3	11
