--Test Summary--
Full Path and File Name	
Instrument Name	7322
Instrument Type	Model 7322 Consistometer - Variable Speed
Instrument Serial Number	
Test Start Date	17.03.2015
Test Start Time	10:49:07
Test Stop Date	17.03.2015
Test Stop Time	12:43:47
Test Length	1:54:40
Final Sample Time Offset	1:54:40
Controller Schedule Name	
Sampling Period	10 seconds
Comments	T: 75C (40min); P: 25MPa (40min).
Information	WellID	Research
Information	Customer	Trican
Information	EngName	Aleksanyan Mikhail
Information	CementClass	100% G+10%SF-2 (BWOC)
Information	CementMfr	Dyckerhoff - Suhoy Log
Information	Additives	0.75%CFA100 (bwow)+0.5%CFL-5+0.5%SMS(bwoc)
Information	Density	1700
Information	BHCT	75
Information	BHST	
Information	FluidLoss	
Information	JobType	
Calculated Value	Time_30Bc	1:37:30
Calculated Value	Time_70Bc	1:54:40
Initial Temperature (°C)	24 °C
Final Temperature (°C)	70 °C
Initial Pressure (MPa)	0,7 MPa
Final Pressure (MPa)	25,0 MPa
Initial Consistency (Bc)	5 Bc
Final Consistency (Bc)	71 Bc
Initial Wall Temperature (°C)	22 °C
Final Wall Temperature (°C)	68 °C
Initial Motor Speed (RPM)	150 RPM
Final Motor Speed (RPM)	150 RPM
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)	Wall Temperature (°C)	Motor Speed (RPM)
0:00:00	24	0,7	5	22	150
0:00:10	24	0,7	5	22	150
0:00:20	24	0,7	5	22	150
0:00:30	24	0,8	5	22	150
0:00:40	24	0,8	5	23	150
0:00:50	24	0,9	5	23	150
0:01:00	24	1,1	5	24	150
0:01:10	24	1,2	5	24	150
0:01:20	24	1,4	4	24	150
0:01:30	24	1,5	4	27	150
0:01:40	24	1,7	4	28	150
0:01:50	24	1,7	4	29	150
0:02:00	24	1,8	4	29	150
0:02:10	24	2,0	4	30	150
0:02:20	24	2,1	4	31	150
0:02:30	24	2,3	4	31	150
0:02:40	24	2,4	3	32	150
0:02:50	24	2,4	4	32	150
0:03:00	24	2,5	4	33	150
0:03:10	25	2,6	4	33	150
0:03:20	25	2,7	4	33	150
0:03:30	25	2,7	4	34	150
0:03:40	25	2,8	4	34	150
0:03:50	25	3,1	4	34	150
0:04:00	26	3,1	4	34	150
0:04:10	26	3,2	4	34	150
0:04:20	26	3,2	4	34	150
0:04:30	27	3,5	4	34	150
0:04:40	27	3,5	4	34	150
0:04:50	27	3,5	3	34	150
0:05:00	27	3,8	3	35	150
0:05:10	27	3,9	3	34	150
0:05:20	28	3,9	3	35	150
0:05:30	28	4,0	3	35	150
0:05:40	28	4,1	3	35	150
0:05:50	28	4,2	3	35	150
0:06:00	28	4,4	3	36	150
0:06:10	29	4,5	3	36	150
0:06:20	29	4,6	3	37	150
0:06:30	29	4,7	3	37	150
0:06:40	29	4,8	3	37	150
0:06:50	29	4,8	3	37	150
0:07:00	30	4,9	3	37	150
0:07:10	30	5,0	3	38	150
0:07:20	30	5,1	3	38	150
0:07:30	30	5,4	3	38	150
0:07:40	31	5,5	3	38	150
