--Test Summary--
Full Path and File Name	
Instrument Name	SGSA/UCA
Instrument Type	Model 5265 SGSA/UCA
Instrument Serial Number	
Test Start Date	19.03.2015
Test Start Time	15:52:12
Test Stop Date	20.03.2015
Test Stop Time	16:08:05
Test Length	24:15:53
Final Sample Time Offset	24:15:30
Controller Schedule Name	
Sampling Period	30 seconds
Comments	T: 75(35), 90(240)
Information	WellID	
Information	Customer	Trican
Information	EngName	Konstantin Shut
Information	CementClass	100% G+5%DART-100 (BWOC)
Information	CementMfr	Dyckerhoff - Suhoy Log
Information	Additives	2%PVAc+0.15%LTR+0.6%TDF-3(bwoc)
Information	Density	1920
Information	BHCT	75
Information	BHST	90
Information	FluidLoss	78cc/30min
Information	JobType	Research
Calculated Value	CS_50	7:34:00
Calculated Value	CS_500	8:56:00
Calculated Value	SGS_Initial	2:17:00
Calculated Value	SGS_Final	7:00:00
Calculated Value	CS_Time8h	0,92 MPa
Calculated Value	CS_Time12h	10,92 MPa
Calculated Value	Time_SGS_100lb/100ft2	0:46:30
Calculated Value	Time_SGS_500lb/100ft2	6:11:30
Calculated Value	CS_Time24h	18,21 MPa
Calculated Value	CS_Time48h	N/A
Calculated Curve	Compressive Strength	Compressive strength type B (more than 14 lb/gal)
Calculated Curve	Static Gel Strength	Static gel strength
Initial Temperature (°C)	26 °C
Final Temperature (°C)	87 °C
Initial Pressure (MPa)	22 MPa
Final Pressure (MPa)	20 MPa
Initial Transit Time (microsec/in)	16,23 microsec/in
Final Transit Time (microsec/in)	8,51 microsec/in
Initial Gel Value	5406
Final Gel Value	7592
Initial Compressive Strength (MPa)	0,00 MPa
Final Compressive Strength (MPa)	18,43 MPa
Initial Static Gel Strength (lb/100ft2)	75,0 lb/100ft2
Final Static Gel Strength (lb/100ft2)	ERROR
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Transit Time (microsec/in)	Gel Value	Compressive Strength (MPa)	Static Gel Strength (lb/100ft2)
0:00:00	26	22	16,23	5406	0,00	75,0
0:00:30	26	22		5299		75,3
0:01:00	26	21		5175		75,5
0:01:30	26	21		5062		75,8
0:02:00	27	21	16,20	4946	0,01	76,1
0:02:30	27	21		4837		76,4
0:03:00	28	21	16,24	4745	0,00	76,6
0:03:30	28	21	16,24	4648	0,00	76,9
0:04:00	28	21	11,39	4575	4,08	77,2
0:04:30	29	21	16,24	4507	0,00	77,5
0:05:00	29	21	16,25	4466	0,00	77,7
0:05:30	30	21	16,25	4445	0,00	78,0
0:06:00	30	21	16,26	4410	0,00	78,3
0:06:30	31	21		4372		78,6
0:07:00	31	21		4352		78,8
0:07:30	32	21	16,25	4344	0,00	79,1
0:08:00	32	21	16,24	4333	0,00	79,4
0:08:30	33	21		4320		79,7
0:09:00	33	21	16,24	4320	0,00	79,9
0:09:30	34	22	16,23	4313	0,00	80,2
0:10:00	34	22	16,22	4293	0,00	80,5
0:10:30	35	22		4302		80,7
0:11:00	36	22		4295		81,0
0:11:30	36	22	16,20	4305	0,01	81,3
0:12:00	37	23	16,19	4279	0,01	81,6
0:12:30	38	23		4291		81,8
0:13:00	38	23	16,16	4287	0,02	82,1
0:13:30	39	23	16,16	4305	0,02	82,4
0:14:00	39	24	16,15	4316	0,02	82,7
0:14:30	40	24	16,14	4286	0,03	82,9
0:15:00	41	24	16,13	4308	0,03	83,2
0:15:30	41	22	16,12	4318	0,03	83,5
0:16:00	42	21	16,11	4857	0,03	83,8
0:16:30	43	21	16,10	4796	0,04	84,0
0:17:00	44	21	16,10	4779	0,04	84,3
0:17:30	44	21	16,09	4768	0,04	84,6
0:18:00	45	22	16,09	4763	0,04	84,9
0:18:30	45	22	16,07	4750	0,05	85,1
0:19:00	46	22	16,06	4731	0,05	85,4
0:19:30	47	22	16,05	4736	0,05	85,7
0:20:00	47	23	16,03	4719	0,06	85,9
0:20:30	48	23	16,02	4726	0,06	86,2
0:21:00	49	24	16,01	4728	0,06	86,5
0:21:30	50	24	16,00	4722	0,07	86,8
0:22:00	50	24	15,98	4727	0,07	87,0
0:22:30	51	25	15,96	4738	0,08	87,3
0:23:00	52	25	15,95	4739	0,08	87,6
0:23:30	53	26	15,93	4741	0,09	87,9
0:24:00	53	26	15,91	4741	0,10	88,1
0:24:30	54	26	15,91	4752	0,10	88,4
0:25:00	54	27		4768		88,7
0:25:30	55	27	15,87	4769	0,11	89,0
0:26:00	56	27	15,86	4767	0,11	89,2
0:26:30	57	28	15,85	4786	0,12	89,5
0:27:00	57	28	15,83	4779	0,12	89,8
0:27:30	58	29	15,82	4808	0,12	90,1
0:28:00	59	29	15,81	4803	0,13	90,3
0:28:30	59	29	15,80	4813	0,13	90,6
0:29:00	60	29	15,77	4820	0,14	90,9
0:29:30	61	29	15,77	4810	0,14	91,1
0:30:00	62	29	15,77	4818	0,14	91,4
0:30:30	63	29	15,76	4809	0,14	91,7
0:31:00	64	29	15,76	4805	0,15	92,0
0:31:30	64	29	15,75	4809	0,15	92,2
0:32:00	65	29	15,75	4824	0,15	92,5
0:32:30	65	29	15,74	4826	0,15	92,8
0:33:00	66	29	15,75	4819	0,15	93,1
0:33:30	67	29	15,74	4814	0,15	93,3
0:34:00	68	29	15,73	4809	0,15	93,6
0:34:30	68	29	15,73	4805	0,16	93,9
0:35:00	69	29	15,72	4806	0,16	94,2
0:35:30	69	29	15,72	4816	0,16	94,4
0:36:00	70	29	15,72	4808	0,16	94,7
0:36:30	70	29	15,72	4804	0,16	95,0
0:37:00	71	29	15,72	4814	0,16	95,3
0:37:30	71	29	15,72	4804	0,16	95,5
0:38:00	72	29	15,72	4818	0,16	95,8
0:38:30	72	29	15,72	4815	0,16	96,1
0:39:00	72	29	15,71	4809	0,16	96,4
0:39:30	73	29	15,70	4815	0,16	96,6
0:40:00	73	29	15,70	4813	0,16	96,9
0:40:30	73	29	15,71	4818	0,16	97,2
0:41:00	73	29	15,70	4814	0,16	97,4
0:41:30	74	29	15,70	4816	0,17	97,7
0:42:00	74	29	15,69	4820	0,17	98,0
0:42:30	74	29	15,70	4824	0,17	98,3
0:43:00	74	29	15,69	4809	0,17	98,5
0:43:30	74	29	15,70	4823	0,17	98,8
0:44:00	75	29	15,70	4813	0,17	99,1
0:44:30	75	29	15,70	4820	0,16	99,4
0:45:00	75	29	15,70	4821	0,17	99,6
0:45:30	75	29	15,70	4824	0,17	99,9
0:46:00	75	29	15,70	4837	0,17	100,2
0:46:30	75	29	15,70	4829	0,17	100,5
0:47:00	75	29	15,70	4831	0,17	100,7
0:47:30	75	29	15,70	4837	0,16	101,0
0:48:00	76	29	15,70	4832	0,17	101,3
0:48:30	76	29	15,71	4831	0,16	101,6
0:49:00	76	29	15,70	4822	0,16	101,8
0:49:30	76	29	15,70	4820	0,16	102,1
0:50:00	76	29	15,70	4822	0,16	102,4
0:50:30	76	29	15,71	4837	0,16	102,6
0:51:00	76	29	15,71	4837	0,16	102,9
0:51:30	76	29	15,70	4840	0,16	103,2
0:52:00	76	29	15,71	4825	0,16	103,5
0:52:30	76	29		4829		103,7
0:53:00	76	29		4828		104,0
0:53:30	76	29	15,72	4847	0,16	104,3
0:54:00	76	29	15,72	4840	0,16	104,6
0:54:30	76	29	15,72	4839	0,16	104,8
0:55:00	76	29	15,72	4836	0,16	105,1
0:55:30	76	29	15,72	4836	0,16	105,4
0:56:00	76	29	15,73	4836	0,16	105,7
0:56:30	76	28	15,73	4838	0,15	105,9
0:57:00	76	28	15,73	4840	0,15	106,2
0:57:30	76	28	15,73	4848	0,15	106,5
0:58:00	76	28	15,73	4852	0,16	106,8
0:58:30	76	28	15,73	4849	0,15	107,0
0:59:00	76	28	15,73	4847	0,15	107,3
0:59:30	76	28	15,73	4849	0,15	107,6
1:00:00	76	28	15,73	4863	0,16	107,8
1:00:30	76	28	15,73	4861	0,16	108,1
1:01:00	76	28	15,72	4860	0,16	108,4
1:01:30	76	28	15,72	4858	0,16	108,7
1:02:00	76	28	15,73	4863	0,16	108,9
1:02:30	76	28	15,73	4860	0,15	109,2
1:03:00	76	28	15,73	4866	0,16	109,5
1:03:30	76	28	15,74	4869	0,15	109,8
1:04:00	77	28	15,74	4881	0,15	110,0
1:04:30	77	28		4879		110,3
1:05:00	77	28	15,74	4881	0,15	110,6
1:05:30	77	28	15,74	4877	0,15	110,9
1:06:00	77	28	15,75	4872	0,15	111,1
1:06:30	77	28	15,74	4889	0,15	111,4
1:07:00	77	28	15,74	4886	0,15	111,7
1:07:30	77	28	15,74	4887	0,15	112,0
1:08:00	77	28	15,73	4888	0,15	112,2
1:08:30	77	28	15,74	4895	0,15	112,5
1:09:00	77	28	15,74	4888	0,15	112,8
1:09:30	77	28	15,74	4897	0,15	113,0
1:10:00	77	28	15,74	4898	0,15	113,3
1:10:30	77	28	15,74	4897	0,15	113,6
1:11:00	77	28	15,74	4899	0,15	113,9
1:11:30	77	28	15,74	4902	0,15	114,1
1:12:00	77	28	15,74	4891	0,15	114,4
1:12:30	77	28	15,74	4900	0,15	114,7
1:13:00	77	28	15,74	4906	0,15	115,0
1:13:30	77	28	15,74	4904	0,15	115,2
1:14:00	77	28	15,75	4910	0,15	115,5
1:14:30	77	28	15,74	4908	0,15	115,8
1:15:00	77	28	15,74	4912	0,15	116,1
1:15:30	77	28	15,75	4922	0,15	116,3
1:16:00	77	28	15,74	4914	0,15	116,6
1:16:30	77	28	15,75	4904	0,15	116,9
1:17:00	77	28	15,75	4906	0,15	117,2
1:17:30	77	28	15,75	4917	0,15	117,4
1:18:00	77	28	15,75	4909	0,15	117,7
1:18:30	77	28	15,75	4913	0,15	118,0
1:19:00	77	28	15,75	4904	0,15	118,2
1:19:30	77	28	15,75	4913	0,15	118,5
1:20:00	78	28	15,74	4909	0,15	118,8
1:20:30	78	28	15,74	4907	0,15	119,1
1:21:00	78	28	15,75	4913	0,15	119,3
1:21:30	78	28	15,75	4912	0,15	119,6
1:22:00	78	28	15,75	4918	0,15	119,9
1:22:30	78	28	15,75	4917	0,15	120,2
1:23:00	78	28	15,75	4905	0,15	120,4
1:23:30	78	28	15,75	4911	0,15	120,7
1:24:00	78	28	15,75	4902	0,15	121,0
1:24:30	78	28	15,75	4907	0,15	121,3
1:25:00	78	28	15,75	4897	0,15	121,5
1:25:30	78	28	15,75	4901	0,15	121,8
1:26:00	78	28	15,75	4896	0,15	122,1
1:26:30	78	28	15,75	4905	0,15	122,4
1:27:00	78	28	15,75	4893	0,15	122,6
1:27:30	78	28	15,75	4888	0,15	122,9
1:28:00	78	28	15,76	4897	0,15	123,2
1:28:30	78	28	15,76	4889	0,15	123,4
1:29:00	78	28	15,75	4896	0,15	123,7
1:29:30	78	28	15,75	4878	0,15	124,0
1:30:00	78	28	15,75	4876	0,15	124,3
1:30:30	78	28	15,75	4884	0,15	124,5
1:31:00	78	28	15,75	4874	0,15	124,8
1:31:30	78	29	15,75	4873	0,15	125,1
1:32:00	78	29	15,76	4869	0,15	125,4
1:32:30	78	29	15,76	4865	0,15	125,6
1:33:00	78	29	15,76	4856	0,14	125,9
1:33:30	78	29	15,76	4855	0,15	126,2
1:34:00	78	29	15,76	4854	0,14	126,5
1:34:30	78	29	15,76	4860	0,14	126,7
1:35:00	79	29	15,75	4840	0,15	127,0
1:35:30	79	29	15,75	4832	0,15	127,3
1:36:00	79	29	15,76	4841	0,14	127,6
1:36:30	79	29	15,76	4839	0,14	127,8
1:37:00	79	29	15,76	4840	0,15	128,1
1:37:30	79	29	15,76	4840	0,14	128,4
1:38:00	79	29	15,76	4838	0,15	128,6
1:38:30	79	29	15,76	4832	0,14	128,9
1:39:00	79	29	15,76	4818	0,15	129,2
1:39:30	79	29	15,75	4826	0,15	129,5
1:40:00	79	29	15,75	4820	0,15	129,7
1:40:30	79	29	15,76	4813	0,14	130,0
1:41:00	79	29	15,76	4816	0,14	130,3
1:41:30	79	29	15,76	4808	0,14	130,6
1:42:00	79	29	15,76	4812	0,15	130,8
1:42:30	79	29	15,76	4797	0,14	131,1
1:43:00	79	29	15,76	4806	0,14	131,4
1:43:30	79	29	15,77	4805	0,14	131,7
1:44:00	79	29	15,77	4791	0,14	131,9
1:44:30	79	29	15,77	4792	0,14	132,2
1:45:00	79	29	15,77	4800	0,14	132,5
1:45:30	79	29	15,76	4782	0,14	132,8
1:46:00	79	29	15,77	4787	0,14	133,0
1:46:30	79	29	15,77	4799	0,14	133,3
1:47:00	79	29	15,77	4784	0,14	133,6
1:47:30	79	29	15,77	4782	0,14	133,9
1:48:00	79	29	15,77	4768	0,14	134,1
