--Test Summary--
Full Path and File Name	
Instrument Name	UCA Right Cell
Instrument Type	Model 4262 Twin Cell UCA
Instrument Serial Number	
Test Start Date	23.03.2015
Test Start Time	15:55:28
Test Stop Date	26.03.2015
Test Stop Time	12:38:06
Test Length	68:42:38
Final Sample Time Offset	68:42:30
Controller Schedule Name	
Sampling Period	30 seconds
Comments	
Information	WellID	Research
Information	Customer	Trican
Information	EngName	Konstantin Shut
Information	CementClass	PCT-III- ob5-50+ob4-100
Information	CementMfr	Dyckerhoff - Suhoy Log
Information	Additives	3%CaCl2
Information	Density	1500
Information	BHCT	
Information	BHST	25
Information	FluidLoss	
Information	JobType	
Calculated Value	CS_50	5:29:30
Calculated Value	CS_500	24:31:00
Calculated Value	CS_Time8h	0,70 MPa
Calculated Value	CS_Time12h	1,28 MPa
Calculated Value	CS_Time24h	3,35 MPa
Calculated Value	CS_Time48h	7,94 MPa
Calculated Value	CS_Time72h	N/A
Calculated Curve	Compressive Strength	Compressive strength type A (less than 14 lb/gal)
Initial Temperature (°C)	25 °C
Final Temperature (°C)	24 °C
Initial Transit Time (microsec/in)	ERROR
Final Transit Time (microsec/in)	10,05 microsec/in
Initial Compressive Strength (MPa)	N/A
Final Compressive Strength (MPa)	11,03 MPa
--Data--
Time (HH:MM:SS)	Temperature (°C)	Transit Time (microsec/in)	Compressive Strength (MPa)
0:00:00	25		
0:00:30	25		
0:01:00	25	16,46	0,00
0:01:30	25	16,48	0,00
0:02:00	25	16,50	0,00
0:02:30	25	16,50	0,00
0:03:00	25	16,52	0,00
0:03:30	25	16,53	0,00
0:04:00	25	16,54	0,00
0:04:30	25	16,56	0,00
0:05:00	25	16,56	0,00
0:05:30	25	16,57	0,00
0:06:00	25	16,58	0,00
0:06:30	25	16,59	0,00
0:07:00	25	16,59	0,00
0:07:30	25	16,60	0,00
0:08:00	25	16,61	0,00
0:08:30	25	16,62	0,00
0:09:00	25	16,63	0,00
0:09:30	25	16,63	0,00
0:10:00	25	16,64	0,00
0:10:30	25	16,65	0,00
0:11:00	25	16,65	0,00
0:11:30	25	16,65	0,00
0:12:00	25	16,66	0,00
0:12:30	25	16,67	0,00
0:13:00	25	16,68	0,00
0:13:30	25	16,68	0,00
0:14:00	25	16,68	0,00
0:14:30	25	16,69	0,00
0:15:00	25	16,69	0,00
0:15:30	25	16,70	0,00
0:16:00	25	16,70	0,00
0:16:30	25	16,71	0,00
0:17:00	25	16,71	0,00
0:17:30	25	16,71	0,00
0:18:00	25	16,71	0,00
0:18:30	25	16,72	0,00
0:19:00	25	16,71	0,00
0:19:30	25	16,72	0,00
0:20:00	25	16,73	0,00
0:20:30	25	16,70	0,00
0:21:00	25	16,71	0,00
0:21:30	25	16,71	0,00
0:22:00	25	16,71	0,00
0:22:30	25	16,72	0,00
0:23:00	25	16,72	0,00
0:23:30	25	16,73	0,00
0:24:00	25	16,73	0,00
0:24:30	25	16,70	0,00
0:25:00	25	16,71	0,00
0:25:30	25	16,71	0,00
0:26:00	25	16,72	0,00
0:26:30	25	16,72	0,00
0:27:00	25	16,72	0,00
0:27:30	25	16,73	0,00
0:28:00	25	16,73	0,00
0:28:30	25	16,73	0,00
0:29:00	25	16,74	0,00
0:29:30	25	16,74	0,00
0:30:00	25	16,74	0,00
0:30:30	25	16,74	0,00
0:31:00	25	16,74	0,00
0:31:30	25	16,74	0,00
0:32:00	25	16,74	0,00
0:32:30	25	16,74	0,00
0:33:00	25	16,75	0,00
0:33:30	25	16,75	0,00
0:34:00	25	16,75	0,00
0:34:30	25	16,75	0,00
0:35:00	25	16,76	0,00
0:35:30	25	16,76	0,00
0:36:00	25	16,76	0,00
0:36:30	25	16,76	0,00
0:37:00	25	16,77	0,00
0:37:30	25	16,77	0,00
0:38:00	25	16,77	0,00
0:38:30	25	16,77	0,00
0:39:00	25	16,74	0,00
0:39:30	25	16,74	0,00
0:40:00	25	16,75	0,00
0:40:30	25	16,75	0,00
0:41:00	25	16,75	0,00
0:41:30	25	16,76	0,00
0:42:00	25	16,76	0,00
0:42:30	25	16,76	0,00
0:43:00	25	16,76	0,00
0:43:30	25	16,77	0,00
0:44:00	25	16,77	0,00
0:44:30	25	16,77	0,00
0:45:00	25	16,77	0,00
0:45:30	25	16,77	0,00
0:46:00	25	16,77	0,00
0:46:30	25	16,78	0,00
0:47:00	25	16,78	0,00
0:47:30	25	16,78	0,00
0:48:00	25	16,78	0,00
0:48:30	25	16,78	0,00
0:49:00	25	16,79	0,00
0:49:30	25	16,79	0,00
0:50:00	25	16,79	0,00
0:50:30	25	16,79	0,00
0:51:00	25	16,79	0,00
0:51:30	25	16,80	0,00
0:52:00	25	16,80	0,00
0:52:30	25	16,80	0,00
0:53:00	25	16,80	0,00
0:53:30	25	16,80	0,00
0:54:00	25	16,80	0,00
0:54:30	25	16,80	0,00
0:55:00	25	16,80	0,00
0:55:30	25	16,81	0,00
0:56:00	25	16,81	0,00
0:56:30	25	16,81	0,00
0:57:00	25	16,81	0,00
0:57:30	25	16,81	0,00
0:58:00	25	16,82	0,00
0:58:30	25	16,82	0,00
0:59:00	25	16,82	0,00
0:59:30	25	16,82	0,00
1:00:00	25	16,82	0,00
1:00:30	25	16,82	0,00
1:01:00	25	16,83	0,00
1:01:30	25	16,83	0,00
1:02:00	25	16,83	0,00
1:02:30	25	16,83	0,00
1:03:00	25	16,83	0,00
1:03:30	25	16,83	0,00
1:04:00	25	16,83	0,00
1:04:30	25	16,83	0,00
