--Test Summary--
Full Path and File Name	
Instrument Name	UCA Left Cell
Instrument Type	Model 4262 Twin Cell UCA
Instrument Serial Number	
Test Start Date	13.04.2015
Test Start Time	13:24:02
Test Stop Date	14.04.2015
Test Stop Time	15:51:09
Test Length	26:27:07
Final Sample Time Offset	26:27:00
Controller Schedule Name	
Sampling Period	30 seconds
Comments	T: 60C (30min), 75C (240min)

Information	WellID	Research
Information	Customer	Trican
Information	EngName	Aleksanyan Mikhail
Information	CementClass	100% G + 100%CaCO3(BWOC)
Information	CementMfr	Dyckerhoff - Suhoy Log
Information	Additives	0.8%TDF-3+0.2%TDH-2+0.1%TWR-3 (bwoc)
Information	Density	1700
Information	BHCT	60
Information	BHST	75
Information	FluidLoss	
Information	JobType	
Calculated Value	CS_50	10:10:00
Calculated Value	CS_500	N/A
Calculated Value	CS_Time8h	0,04 MPa
Calculated Value	CS_Time12h	0,83 MPa
Calculated Value	CS_Time24h	2,45 MPa
Calculated Value	CS_Time48h	N/A
Calculated Value	CS_Time72h	N/A
Calculated Curve	Compressive Strength	Compressive strength type B (more than 14 lb/gal)
Initial Temperature (°C)	29 °C
Final Temperature (°C)	74 °C
Initial Transit Time (microsec/in)	17,18 microsec/in
Final Transit Time (microsec/in)	12,46 microsec/in
Initial Compressive Strength (MPa)	0,00 MPa
Final Compressive Strength (MPa)	2,58 MPa
--Data--
Time (HH:MM:SS)	Temperature (°C)	Transit Time (microsec/in)	Compressive Strength (MPa)
0:00:00	29	17,18	0,00
0:00:30	29	17,19	0,00
0:01:00	29	17,20	0,00
0:01:30	29	17,20	0,00
0:02:00	29	17,19	0,00
0:02:30	29	17,19	0,00
0:03:00	30	17,19	0,00
0:03:30	30	17,19	0,00
0:04:00	30	17,19	0,00
0:04:30	30	17,19	0,00
0:05:00	30	17,19	0,00
0:05:30	31	17,18	0,00
0:06:00	31	17,18	0,00
0:06:30	31	17,17	0,00
0:07:00	32	17,17	0,00
0:07:30	32	17,16	0,00
0:08:00	33	17,16	0,00
0:08:30	33	17,16	0,00
0:09:00	34	17,14	0,01
0:09:30	35	17,14	0,01
0:10:00	35	17,13	0,01
0:10:30	36	17,12	0,01
0:11:00	36	17,11	0,02
0:11:30	37	17,10	0,02
0:12:00	37	17,09	0,02
0:12:30	38	17,08	0,02
0:13:00	38	17,07	0,02
0:13:30	38	17,06	0,02
0:14:00	39	17,05	0,03
0:14:30	39	17,04	0,03
0:15:00	40	17,03	0,03
0:15:30	40	17,02	0,03
0:16:00	41	17,02	0,03
0:16:30	42	17,00	0,04
0:17:00	42	16,99	0,04
0:17:30	43	16,98	0,04
0:18:00	43	16,97	0,04
0:18:30	44	16,96	0,05
0:19:00	44	16,95	0,05
0:19:30	45	16,93	0,05
0:20:00	46	16,92	0,06
0:20:30	46	16,90	0,06
0:21:00	47	16,90	0,06
0:21:30	47	16,88	0,06
0:22:00	48	16,86	0,07
0:22:30	49	16,85	0,07
0:23:00	49	16,84	0,07
0:23:30	50	16,83	0,08
0:24:00	50	16,82	0,08
0:24:30	51	16,80	0,08
0:25:00	51	16,80	0,08
0:25:30	52	16,79	0,08
0:26:00	52	16,77	0,09
0:26:30	53	16,77	0,09
0:27:00	53	16,76	0,09
0:27:30	54	16,74	0,10
0:28:00	54	16,74	0,10
0:28:30	55	16,73	0,10
0:29:00	55	16,73	0,10
0:29:30	56	16,73	0,10
0:30:00	57	16,72	0,10
0:30:30	57	16,72	0,10
0:31:00	58	16,71	0,10
0:31:30	58	16,71	0,10
0:32:00	59	16,71	0,10
0:32:30	60	16,71	0,10
0:33:00	60	16,71	0,10
0:33:30	60	16,71	0,10
0:34:00	61	16,71	0,10
0:34:30	61	16,71	0,10
0:35:00	62	16,71	0,10
0:35:30	62	16,70	0,11
0:36:00	62	16,71	0,10
0:36:30	62	16,71	0,10
0:37:00	62	16,71	0,10
0:37:30	63	16,71	0,10
0:38:00	63	16,71	0,10
0:38:30	63	16,71	0,10
0:39:00	63	16,71	0,10
0:39:30	63	16,71	0,10
0:40:00	63	16,71	0,10
0:40:30	63	16,71	0,10
0:41:00	63	16,71	0,10
0:41:30	63	16,72	0,10
0:42:00	63	16,72	0,10
0:42:30	63	16,72	0,10
0:43:00	63	16,73	0,10
0:43:30	63	16,73	0,10
0:44:00	63	16,73	0,10
0:44:30	63	16,74	0,10
0:45:00	63	16,73	0,10
0:45:30	63	16,74	0,10
0:46:00	63	16,74	0,10
0:46:30	63	16,74	0,10
0:47:00	63	16,74	0,10
0:47:30	63	16,74	0,10
0:48:00	62	16,75	0,09
0:48:30	62	16,75	0,09
0:49:00	62	16,75	0,09
0:49:30	62	16,75	0,09
0:50:00	62	16,76	0,09
0:50:30	62	16,76	0,09
0:51:00	62	16,76	0,09
0:51:30	62	16,76	0,09
0:52:00	62	16,77	0,09
0:52:30	62	16,77	0,09
0:53:00	62	16,77	0,09
0:53:30	62	16,77	0,09
0:54:00	62	16,77	0,09
0:54:30	62	16,77	0,09
0:55:00	62	16,77	0,09
0:55:30	62	16,77	0,09
0:56:00	62	16,77	0,09
0:56:30	62	16,77	0,09
0:57:00	62	16,78	0,09
0:57:30	62	16,78	0,09
0:58:00	62	16,78	0,09
0:58:30	62	16,78	0,09
0:59:00	62	16,79	0,08
0:59:30	62	16,79	0,08
1:00:00	62	16,79	0,08
1:00:30	62	16,79	0,08
1:01:00	62	16,80	0,08
1:01:30	62	16,80	0,08
1:02:00	62	16,80	0,08
1:02:30	62	16,80	0,08
1:03:00	62	16,80	0,08
1:03:30	62	16,80	0,08
1:04:00	62	16,80	0,08
1:04:30	62	16,80	0,08
1:05:00	62	16,80	0,08
1:05:30	62	16,80	0,08
1:06:00	62	16,80	0,08
1:06:30	62	16,80	0,08
1:07:00	63	16,80	0,08
1:07:30	63	16,80	0,08
1:08:00	63	16,80	0,08
1:08:30	63	16,80	0,08
1:09:00	63	16,80	0,08
1:09:30	63	16,80	0,08
1:10:00	63	16,81	0,08
1:10:30	63	16,81	0,08
1:11:00	63	16,81	0,08
1:11:30	63	16,81	0,08
1:12:00	63	16,81	0,08
1:12:30	63	16,81	0,08
1:13:00	63	16,81	0,08
1:13:30	63	16,81	0,08
1:14:00	63	16,81	0,08
1:14:30	63	16,81	0,08
1:15:00	63	16,81	0,08
1:15:30	63	16,81	0,08
1:16:00	63	16,81	0,08
1:16:30	63	16,81	0,08
1:17:00	63	16,81	0,08
1:17:30	63	16,82	0,08
1:18:00	63	16,81	0,08
1:18:30	63	16,81	0,08
1:19:00	63	16,81	0,08
1:19:30	63	16,81	0,08
1:20:00	63	16,81	0,08
1:20:30	63	16,81	0,08
1:21:00	63	16,82	0,08
1:21:30	63	16,82	0,08
1:22:00	63	16,82	0,08
1:22:30	63	16,82	0,08
1:23:00	63	16,82	0,08
1:23:30	63	16,82	0,08
1:24:00	63	16,82	0,08
1:24:30	63	16,82	0,08
1:25:00	63	16,82	0,08
1:25:30	63	16,82	0,08
1:26:00	63	16,82	0,08
1:26:30	63	16,82	0,08
1:27:00	63	16,82	0,08
1:27:30	63	16,82	0,08
1:28:00	63	16,82	0,08
1:28:30	63	16,82	0,08
1:29:00	63	16,82	0,08
1:29:30	63	16,82	0,08
1:30:00	63	16,82	0,08
1:30:30	63	16,82	0,08
1:31:00	64	16,82	0,08
1:31:30	64	16,82	0,08
1:32:00	64	16,82	0,08
1:32:30	64	16,82	0,08
1:33:00	64	16,82	0,08
1:33:30	64	16,82	0,08
1:34:00	64	16,82	0,08
1:34:30	64	16,82	0,08
1:35:00	64	16,82	0,08
1:35:30	64	16,82	0,08
1:36:00	64	16,82	0,08
1:36:30	64	16,82	0,08
1:37:00	64	16,82	0,08
1:37:30	64	16,82	0,08
1:38:00	64	16,82	0,08
1:38:30	64	16,82	0,08
1:39:00	64	16,82	0,08
1:39:30	64	16,82	0,08
1:40:00	64	16,82	0,08
1:40:30	64	16,82	0,08
1:41:00	64	16,82	0,08
1:41:30	64	16,82	0,08
1:42:00	64	16,82	0,08
1:42:30	64	16,82	0,08
1:43:00	64	16,82	0,08
1:43:30	64	16,82	0,08
1:44:00	64	16,82	0,08
1:44:30	64	16,82	0,08
1:45:00	64	16,82	0,08
1:45:30	64	16,82	0,08
1:46:00	64	16,82	0,08
1:46:30	64	16,82	0,08
1:47:00	64	16,82	0,08
1:47:30	64	16,82	0,08
1:48:00	64	16,82	0,08
1:48:30	64	16,81	0,08
1:49:00	64	16,82	0,08
1:49:30	65	16,82	0,08
1:50:00	65	16,82	0,08
1:50:30	65	16,82	0,08
1:51:00	65	16,82	0,08
1:51:30	65	16,82	0,08
1:52:00	65	16,82	0,08
1:52:30	65	16,81	0,08
1:53:00	65	16,81	0,08
1:53:30	65	16,81	0,08
1:54:00	65	16,81	0,08
1:54:30	65	16,82	0,08
1:55:00	65	16,81	0,08
1:55:30	65	16,81	0,08
1:56:00	65	16,81	0,08
1:56:30	65	16,81	0,08
1:57:00	65	16,82	0,08
1:57:30	65	16,81	0,08
1:58:00	65	16,81	0,08
1:58:30	65	16,81	0,08
1:59:00	65	16,81	0,08
1:59:30	65	16,81	0,08
2:00:00	65	16,81	0,08
2:00:30	65	16,81	0,08
2:01:00	65	16,81	0,08
2:01:30	65	16,81	0,08
2:02:00	65	16,81	0,08
2:02:30	65	16,81	0,08
2:03:00	65	16,81	0,08
2:03:30	65	16,81	0,08
2:04:00	65	16,81	0,08
2:04:30	65	16,81	0,08
2:05:00	65	16,81	0,08
2:05:30	66	16,81	0,08
2:06:00	66	16,81	0,08
2:06:30	66	16,81	0,08
2:07:00	66	16,81	0,08
2:07:30	66	16,81	0,08
2:08:00	66	16,81	0,08
2:08:30	66	16,81	0,08
2:09:00	66	16,81	0,08
2:09:30	66	16,81	0,08
2:10:00	66	16,81	0,08
2:10:30	66	16,81	0,08
2:11:00	66	16,81	0,08
2:11:30	66	16,81	0,08
2:12:00	66	16,81	0,08
2:12:30	66	16,81	0,08
2:13:00	66	16,81	0,08
2:13:30	66	16,81	0,08
2:14:00	66	16,81	0,08
2:14:30	66	16,81	0,08
2:15:00	66	16,81	0,08
2:15:30	66	16,81	0,08
2:16:00	66	16,81	0,08
2:16:30	66	16,81	0,08
2:17:00	66	16,81	0,08
2:17:30	66	16,81	0,08
2:18:00	66	16,81	0,08
2:18:30	66	16,81	0,08
2:19:00	66	16,81	0,08
2:19:30	66	16,82	0,08
2:20:00	66	16,81	0,08
2:20:30	66	16,81	0,08
2:21:00	66	16,81	0,08
2:21:30	66	16,82	0,08
2:22:00	67	16,81	0,08
2:22:30	67	16,81	0,08
2:23:00	67	16,82	0,08
2:23:30	67	16,81	0,08
