--Test Summary--
Full Path and File Name	
Instrument Name	7322
Instrument Type	Model 7322 Consistometer - Variable Speed
Instrument Serial Number	
Test Start Date	16.04.2015
Test Start Time	14:33:24
Test Stop Date	16.04.2015
Test Stop Time	16:00:35
Test Length	1:27:11
Final Sample Time Offset	1:27:08
Controller Schedule Name	
Sampling Period	10 seconds
Comments	API Test T: 52C (28min); P: 36.5MPa (28min). 1. 150rpm (75min)
                                                                           2. Cycles - 0rpm for 1min, 1rpm for 2min
Information	WellID	Research
Information	Customer	Trican
Information	EngName	Aleksanyan Mikhail
Information	CementClass	100%G
Information	CementMfr	Dyckerhoff - Suhoy Log
Information	Additives	
Information	Density	
Information	BHCT	
Information	BHST	
Information	FluidLoss	
Information	JobType	
Calculated Value	Time_30Bc	0:06:10
Calculated Value	Time_70Bc	1:26:20
Initial Temperature (°C)	29 °C
Final Temperature (°C)	54 °C
Initial Pressure (MPa)	0,4 MPa
Final Pressure (MPa)	35,9 MPa
Initial Consistency (Bc)	17 Bc
Final Consistency (Bc)	1 Bc
Initial Wall Temperature (°C)	31 °C
Final Wall Temperature (°C)	48 °C
Initial Motor Speed (RPM)	150 RPM
Final Motor Speed (RPM)	150 RPM
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)	Wall Temperature (°C)	Motor Speed (RPM)
0:00:00	29	0,4	17	31	150
0:00:10	29	0,5	18	31	150
0:00:20	29	0,8	19	32	150
0:00:30	29	0,9	14	32	150
0:00:40	29	1,1	19	32	150
0:00:50	29	1,5	19	32	150
0:01:00	29	1,6	19	32	150
0:01:10	29	2,0	17	32	150
0:01:20	30	2,0	20	32	150
0:01:30	30	2,4	20	32	150
0:01:40	30	2,5	18	32	150
0:01:50	30	2,6	19	32	150
0:02:00	30	3,1	21	32	150
0:02:10	30	3,1	18	32	150
0:02:20	30	3,2	19	32	150
0:02:30	30	3,8	18	33	150
0:02:40	30	3,8	18	33	150
0:02:50	31	3,9	20	33	150
0:03:00	31	4,4	25	33	150
0:03:10	31	4,4	24	33	150
0:03:20	31	4,5	21	33	150
0:03:30	31	5,0	18	33	150
0:03:40	31	5,0	19	33	150
0:03:50	31	5,2	23	33	150
0:04:00	31	5,6	21	33	150
0:04:10	31	5,7	22	33	150
0:04:20	31	5,8	23	33	150
0:04:30	31	6,2	22	34	150
0:04:40	31	6,3	21	34	150
0:04:50	32	6,4	21	34	150
0:05:00	32	6,7	20	34	150
0:05:10	32	7,3	18	35	150
0:05:20	32	7,4	20	35	150
0:05:30	32	7,5	15	35	150
0:05:40	32	7,7	27	36	150
0:05:50	32	7,8	30	36	150
0:06:00	32	7,9	31	36	150
