--Test Summary--
Full Path and File Name	
Instrument Name	7222
Instrument Type	Model 7222 Consistometer
Instrument Serial Number	
Test Start Date	08.05.2015
Test Start Time	10:27:49
Test Stop Date	08.05.2015
Test Stop Time	12:25:49
Test Length	1:58:00
Final Sample Time Offset	1:58:00
Controller Schedule Name	
Sampling Period	10 seconds
Comments	MPa:25(30), T:65C(30)
Information	WellID	
Information	Customer	Trican
Information	EngName	Konstantin Shut
Information	CementClass	50%G+50%CaCO3
Information	CementMfr	Dyckerhoff - Suhoy Log
Information	Additives	0.3%LTR-1 bwoc
Information	Density	1700
Information	BHCT	65
Information	BHST	
Information	FluidLoss	
Information	JobType	Research
Calculated Value	Time_30Bc	1:29:40
Calculated Value	Time_70Bc	1:58:00
Initial Temperature (°C)	24 °C
Final Temperature (°C)	65 °C
Initial Pressure (MPa)	1,2 MPa
Final Pressure (MPa)	24,9 MPa
Initial Consistency (Bc)	9 Bc
Final Consistency (Bc)	70 Bc
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)
0:00:00	24	1,2	9
0:00:10	24	1,2	9
0:00:20	24	1,3	9
0:00:30	24	1,7	9
0:00:40	24	1,9	9
0:00:50	24	2,1	9
0:01:00	24	2,4	9
0:01:10	24	2,7	9
0:01:20	24	3,0	9
0:01:30	24	3,2	9
0:01:40	24	3,4	9
0:01:50	24	3,4	9
0:02:00	24	3,7	10
0:02:10	24	3,8	10
0:02:20	24	3,9	15
0:02:30	24	4,0	20
0:02:40	25	4,2	19
0:02:50	25	4,3	17
0:03:00	25	4,4	16
0:03:10	25	4,5	14
0:03:20	25	4,6	15
0:03:30	26	4,8	16
0:03:40	26	4,9	13
0:03:50	26	5,1	12
0:04:00	26	5,2	11
0:04:10	27	5,3	10
0:04:20	27	5,4	10
0:04:30	27	5,6	10
0:04:40	28	5,7	10
0:04:50	28	5,9	10
0:05:00	28	6,0	10
0:05:10	28	6,2	10
0:05:20	29	6,2	10
0:05:30	29	6,5	10
0:05:40	29	6,5	10
0:05:50	30	6,8	10
0:06:00	30	6,9	10
0:06:10	30	6,9	10
0:06:20	30	7,1	10
0:06:30	31	7,2	10
0:06:40	31	7,4	10
0:06:50	31	7,4	9
0:07:00	32	7,6	9
0:07:10	32	7,8	9
0:07:20	32	7,9	10
0:07:30	32	7,9	10
0:07:40	33	8,1	9
0:07:50	33	8,3	10
0:08:00	33	8,5	10
0:08:10	34	8,4	10
0:08:20	34	8,6	10
0:08:30	34	8,8	10
0:08:40	34	9,0	10
0:08:50	35	8,9	9
0:09:00	35	9,1	9
0:09:10	35	9,3	9
0:09:20	35	9,5	9
0:09:30	36	9,7	9
0:09:40	36	9,6	10
0:09:50	36	9,8	10
0:10:00	37	10,0	10
0:10:10	37	10,2	10
0:10:20	37	10,4	10
0:10:30	37	10,3	10
0:10:40	38	10,5	10
0:10:50	38	10,7	10
0:11:00	38	10,9	10
0:11:10	38	10,8	10
0:11:20	39	11,1	10
0:11:30	39	11,3	10
0:11:40	39	11,2	10
0:11:50	39	11,4	10
0:12:00	40	11,6	10
0:12:10	40	11,7	10
0:12:20	40	11,9	10
0:12:30	40	12,1	10
0:12:40	41	12,0	10
0:12:50	41	12,2	11
0:13:00	41	12,4	11
0:13:10	41	12,6	11
0:13:20	42	12,8	11
0:13:30	42	12,9	11
0:13:40	42	13,1	11
0:13:50	42	12,9	11
0:14:00	43	13,1	11
0:14:10	43	13,3	11
0:14:20	43	13,5	11
0:14:30	43	13,7	11
0:14:40	44	13,9	11
0:14:50	44	13,8	11
0:15:00	44	14,0	11
0:15:10	44	14,2	11
0:15:20	45	14,4	11
0:15:30	45	14,2	11
0:15:40	45	14,4	11
0:15:50	45	14,6	11
0:16:00	46	14,8	11
0:16:10	46	15,0	10
0:16:20	46	15,2	10
0:16:30	46	15,4	10
0:16:40	47	15,1	10
0:16:50	47	15,4	11
0:17:00	47	15,6	11
0:17:10	47	15,8	11
0:17:20	47	16,0	10
0:17:30	48	15,7	11
0:17:40	48	15,9	11
0:17:50	48	16,1	11
0:18:00	48	16,4	11
0:18:10	49	16,6	11
0:18:20	49	16,8	11
0:18:30	49	17,0	11
0:18:40	49	16,8	11
0:18:50	50	17,0	11
0:19:00	50	17,2	11
0:19:10	50	17,3	11
0:19:20	50	17,5	11
0:19:30	51	17,8	11
0:19:40	51	17,5	11
0:19:50	51	17,8	11
0:20:00	51	18,0	11
0:20:10	51	18,2	11
0:20:20	52	18,4	11
0:20:30	52	18,4	11
0:20:40	52	18,6	11
0:20:50	52	18,8	11
0:21:00	53	19,0	11
0:21:10	53	18,7	10
0:21:20	53	18,9	10
0:21:30	53	19,1	10
0:21:40	54	19,3	10
0:21:50	54	19,4	10
0:22:00	54	19,6	10
0:22:10	54	19,8	10
0:22:20	54	19,7	11
0:22:30	55	19,8	10
0:22:40	55	20,0	10
0:22:50	55	20,3	10
0:23:00	55	20,5	10
0:23:10	56	20,7	10
0:23:20	56	20,9	10
0:23:30	56	20,6	11
0:23:40	56	20,8	10
0:23:50	56	21,1	10
0:24:00	57	21,3	10
0:24:10	57	21,5	10
0:24:20	57	21,1	11
0:24:30	57	21,4	11
0:24:40	58	21,5	11
0:24:50	58	21,7	11
0:25:00	58	22,0	11
0:25:10	58	22,2	11
0:25:20	59	22,4	11
0:25:30	59	22,0	11
0:25:40	59	22,3	11
0:25:50	59	22,5	11
0:26:00	59	22,7	11
0:26:10	60	23,0	11
0:26:20	60	23,2	11
0:26:30	60	23,4	11
0:26:40	60	23,5	11
0:26:50	61	23,2	11
0:27:00	61	23,5	11
0:27:10	61	23,8	11
0:27:20	61	24,0	11
0:27:30	62	24,2	11
0:27:40	62	23,9	11
0:27:50	62	24,1	11
0:28:00	62	24,3	11
0:28:10	62	24,6	11
0:28:20	63	24,8	11
0:28:30	63	25,1	11
0:28:40	63	24,6	11
0:28:50	63	24,8	11
0:29:00	64	25,1	11
