--Test Summary--
Full Path and File Name	
Instrument Name	7222
Instrument Type	Model 7222 Consistometer
Instrument Serial Number	
Test Start Date	15.06.2015
Test Start Time	11:06:15
Test Stop Date	15.06.2015
Test Stop Time	17:07:05
Test Length	6:00:50
Final Sample Time Offset	6:00:50
Controller Schedule Name	
Sampling Period	10 seconds
Comments	
Information	WellID	Research
Information	Customer	Trican
Information	EngName	Aleksanyan Mikhail
Information	CementClass	100%G 
Information	CementMfr	Dyckerhoff - Suhoy Log
Information	Additives	1%TC-101+0.5%SMS+5%DART-50
Information	Density	1520
Information	BHCT	25
Information	BHST	
Information	FluidLoss	
Information	JobType	
Calculated Value	Time_30Bc	4:48:20
Calculated Value	Time_70Bc	6:00:50
Initial Temperature (°C)	27 °C
Final Temperature (°C)	32 °C
Initial Pressure (MPa)	0,6 MPa
Final Pressure (MPa)	20,1 MPa
Initial Consistency (Bc)	15 Bc
Final Consistency (Bc)	72 Bc
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)
0:00:00	27	0,6	15
0:00:10	27	0,8	15
0:00:20	27	0,8	14
0:00:30	27	1,0	14
0:00:40	27	0,9	14
0:00:50	27	1,2	14
0:01:00	27	1,2	14
0:01:10	27	1,5	14
0:01:20	27	1,5	14
0:01:30	27	1,5	14
0:01:40	27	1,9	14
0:01:50	27	1,8	14
0:02:00	27	1,8	14
0:02:10	27	2,1	13
0:02:20	27	2,1	13
0:02:30	27	2,1	14
0:02:40	27	2,5	13
0:02:50	27	2,4	13
0:03:00	27	2,5	13
0:03:10	27	2,8	13
0:03:20	27	2,8	13
0:03:30	27	2,9	13
0:03:40	27	3,2	13
0:03:50	27	3,2	13
0:04:00	27	3,1	13
0:04:10	27	3,5	13
0:04:20	27	3,5	15
0:04:30	27	3,5	15
0:04:40	26	3,9	15
0:04:50	26	3,9	14
0:05:00	26	3,9	14
0:05:10	26	3,9	14
0:05:20	26	4,4	14
0:05:30	26	4,3	15
0:05:40	26	4,3	16
0:05:50	26	4,3	16
0:06:00	26	4,8	15
0:06:10	26	4,8	16
0:06:20	26	4,7	17
0:06:30	26	4,7	17
0:06:40	26	4,8	17
0:06:50	26	5,2	16
0:07:00	26	5,1	16
0:07:10	26	5,2	15
0:07:20	26	5,2	15
0:07:30	26	5,4	19
0:07:40	26	5,4	23
0:07:50	26	5,5	20
0:08:00	26	5,9	19
0:08:10	26	5,9	19
0:08:20	26	6,0	19
0:08:30	26	6,3	19
0:08:40	26	6,3	18
0:08:50	26	6,3	18
0:09:00	26	6,4	18
0:09:10	26	6,6	18
0:09:20	26	6,6	18
0:09:30	26	6,8	19
0:09:40	26	6,8	18
0:09:50	26	7,0	18
0:10:00	26	7,0	18
0:10:10	26	7,2	17
0:10:20	26	7,2	16
0:10:30	26	7,4	15
0:10:40	26	7,4	15
0:10:50	26	7,7	16
0:11:00	26	7,7	17
0:11:10	26	7,9	16
0:11:20	26	7,9	16
0:11:30	26	8,2	16
0:11:40	26	8,1	16
0:11:50	26	8,1	16
0:12:00	26	8,3	16
