--Test Summary--
Full Path and File Name	
Instrument Name	7222
Instrument Type	Model 7222 Consistometer
Instrument Serial Number	
Test Start Date	16.06.2015
Test Start Time	11:34:46
Test Stop Date	16.06.2015
Test Stop Time	18:06:37
Test Length	6:31:51
Final Sample Time Offset	6:31:50
Controller Schedule Name	
Sampling Period	10 seconds
Comments	
Information	WellID	Research
Information	Customer	Trican
Information	EngName	Aleksanyan Mikhail
Information	CementClass	90%G + 10%DART-50
Information	CementMfr	Dyckerhoff - Suhoy Log
Information	Additives	1%TC-101+0.5%SMS
Information	Density	1520
Information	BHCT	25
Information	BHST	
Information	FluidLoss	
Information	JobType	
Calculated Value	Time_30Bc	5:25:20
Calculated Value	Time_70Bc	6:31:50
Initial Temperature (°C)	28 °C
Final Temperature (°C)	33 °C
Initial Pressure (MPa)	0,6 MPa
Final Pressure (MPa)	20,2 MPa
Initial Consistency (Bc)	16 Bc
Final Consistency (Bc)	72 Bc
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)
0:00:00	28	0,6	16
0:00:10	28	0,8	16
0:00:20	28	0,8	16
0:00:30	28	1,1	16
0:00:40	28	1,1	16
0:00:50	28	1,1	16
0:01:00	28	1,3	16
0:01:10	28	1,3	16
0:01:20	28	1,4	16
0:01:30	28	1,7	16
0:01:40	28	1,7	16
0:01:50	28	2,0	17
0:02:00	28	2,0	17
0:02:10	28	2,0	17
0:02:20	28	2,3	17
0:02:30	28	2,2	17
0:02:40	28	2,2	17
0:02:50	28	2,4	17
0:03:00	28	2,9	17
0:03:10	28	2,8	16
0:03:20	28	2,8	16
0:03:30	28	2,8	16
0:03:40	28	3,4	16
0:03:50	28	3,3	16
0:04:00	28	3,3	15
0:04:10	28	3,3	15
0:04:20	28	3,7	15
0:04:30	27	3,7	14
0:04:40	27	3,7	14
0:04:50	27	3,7	14
0:05:00	27	3,9	14
0:05:10	27	3,9	14
0:05:20	27	4,2	14
0:05:30	27	4,2	14
0:05:40	27	4,3	14
0:05:50	27	4,5	14
0:06:00	27	4,5	14
0:06:10	27	4,5	13
0:06:20	27	4,7	13
0:06:30	27	5,1	14
0:06:40	27	5,1	14
0:06:50	27	5,1	13
0:07:00	27	5,0	13
0:07:10	27	5,2	13
0:07:20	27	5,5	13
0:07:30	27	5,4	13
0:07:40	27	5,4	13
0:07:50	27	5,9	13
0:08:00	27	5,8	18
0:08:10	27	5,8	15
0:08:20	27	6,0	14
0:08:30	27	6,4	14
0:08:40	27	6,4	14
0:08:50	27	6,3	14
0:09:00	27	6,3	13
0:09:10	27	6,7	13
0:09:20	27	6,7	12
0:09:30	27	6,6	12
0:09:40	27	7,1	12
0:09:50	27	7,1	12
0:10:00	27	7,1	12
0:10:10	27	7,1	11
0:10:20	27	7,2	11
0:10:30	27	7,5	11
0:10:40	27	7,5	11
0:10:50	27	7,5	11
0:11:00	27	7,8	11
0:11:10	27	7,8	12
0:11:20	27	7,8	11
0:11:30	27	8,3	11
0:11:40	27	8,3	11
0:11:50	27	8,2	11
0:12:00	27	8,2	10
0:12:10	27	8,3	10
0:12:20	27	8,8	10
0:12:30	27	8,8	10
0:12:40	27	8,7	10
0:12:50	27	8,8	10
0:13:00	27	9,3	10
0:13:10	27	9,3	10
0:13:20	27	9,2	10
0:13:30	27	9,2	10
0:13:40	27	9,3	10
0:13:50	27	9,7	10
0:14:00	27	9,7	10
0:14:10	27	9,7	10
0:14:20	27	9,8	10
0:14:30	27	10,1	10
0:14:40	27	10,1	10
0:14:50	27	10,1	10
0:15:00	27	10,4	10
0:15:10	27	10,4	10
0:15:20	27	10,4	10
0:15:30	27	10,6	10
0:15:40	27	11,1	10
0:15:50	27	11,0	11
