--Test Summary--
Full Path and File Name	
Instrument Name	7222
Instrument Type	Model 7222 Consistometer
Instrument Serial Number	
Test Start Date	19.06.2015
Test Start Time	10:16:04
Test Stop Date	19.06.2015
Test Stop Time	16:01:18
Test Length	5:45:14
Final Sample Time Offset	5:45:10
Controller Schedule Name	
Sampling Period	10 seconds
Comments	
Information	WellID	Research
Information	Customer	Trican
Information	EngName	Aleksanyan Mikhail
Information	CementClass	100%G 
Information	CementMfr	Dyckerhoff - Suhoy Log
Information	Additives	1%TC-101+0.5%SMS+5%TA-1+3%(bwow)KCL
Information	Density	1520
Information	BHCT	25
Information	BHST	
Information	FluidLoss	
Information	JobType	
Calculated Value	Time_30Bc	4:53:10
Calculated Value	Time_70Bc	N/A
Initial Temperature (°C)	26 °C
Final Temperature (°C)	31 °C
Initial Pressure (MPa)	0,6 MPa
Final Pressure (MPa)	20,0 MPa
Initial Consistency (Bc)	11 Bc
Final Consistency (Bc)	48 Bc
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)
0:00:00	26	0,6	11
0:00:10	26	0,7	10
0:00:20	26	0,8	10
0:00:30	26	0,8	10
0:00:40	26	1,0	10
0:00:50	26	1,0	10
0:01:00	26	1,3	9
0:01:10	26	1,3	9
0:01:20	26	1,3	9
0:01:30	26	1,7	14
0:01:40	26	1,6	12
0:01:50	26	1,8	12
0:02:00	26	2,1	12
0:02:10	26	2,1	12
0:02:20	26	2,1	11
0:02:30	26	2,5	11
0:02:40	26	2,4	18
0:02:50	26	2,4	17
0:03:00	26	2,4	16
0:03:10	26	2,7	17
0:03:20	26	2,7	16
0:03:30	26	2,8	16
0:03:40	26	3,3	14
0:03:50	26	3,2	17
0:04:00	26	3,2	16
0:04:10	26	3,2	15
0:04:20	26	3,5	24
0:04:30	26	3,5	15
0:04:40	26	3,5	14
0:04:50	26	3,6	13
0:05:00	26	4,0	19
0:05:10	26	4,0	19
0:05:20	26	3,9	23
0:05:30	26	4,3	18
0:05:40	26	4,3	20
0:05:50	26	4,3	16
0:06:00	26	4,4	22
0:06:10	26	4,8	22
0:06:20	26	4,8	16
0:06:30	25	4,7	18
0:06:40	25	4,8	16
0:06:50	25	5,3	14
0:07:00	25	5,2	13
0:07:10	25	5,2	14
0:07:20	25	5,7	13
0:07:30	25	5,7	21
0:07:40	25	5,6	17
0:07:50	25	5,6	15
0:08:00	25	6,1	15
0:08:10	25	6,1	16
0:08:20	25	6,1	17
0:08:30	25	6,0	18
0:08:40	25	6,2	19
0:08:50	25	6,2	18
0:09:00	25	6,6	15
0:09:10	25	6,6	15
0:09:20	25	6,6	14
0:09:30	25	6,7	14
0:09:40	25	7,2	15
0:09:50	25	7,1	15
0:10:00	25	7,1	14
0:10:10	25	7,1	13
0:10:20	25	7,2	14
0:10:30	25	7,6	14
0:10:40	25	7,6	20
0:10:50	25	7,6	16
0:11:00	25	7,6	15
0:11:10	25	7,7	14
0:11:20	25	8,0	19
0:11:30	25	7,9	19
0:11:40	25	8,3	21
0:11:50	25	8,2	20
0:12:00	25	8,2	19
0:12:10	25	8,3	18
0:12:20	25	8,7	17
0:12:30	25	8,7	16
0:12:40	25	8,7	15
0:12:50	25	8,8	14
0:13:00	25	9,2	15
0:13:10	25	9,1	17
0:13:20	25	9,1	17
0:13:30	25	9,3	26
0:13:40	25	9,3	20
0:13:50	25	9,7	17
0:14:00	25	9,6	15
0:14:10	25	9,6	15
0:14:20	25	10,0	18
0:14:30	25	10,0	24
0:14:40	25	10,0	22
0:14:50	25	10,1	27
0:15:00	25	10,4	25
0:15:10	25	10,3	18
0:15:20	25	10,6	24
0:15:30	25	10,6	20
0:15:40	25	10,6	16
0:15:50	25	10,7	12
0:16:00	25	11,1	15
0:16:10	25	11,1	17
0:16:20	25	11,1	19
0:16:30	25	11,2	19
0:16:40	25	11,6	22
0:16:50	25	11,5	14
0:17:00	25	11,5	13
0:17:10	25	11,6	12
0:17:20	25	12,0	12
0:17:30	25	11,9	13
0:17:40	25	11,9	13
0:17:50	25	12,0	12
0:18:00	25	12,4	13
0:18:10	25	12,4	14
0:18:20	25	12,3	13
0:18:30	25	12,5	12
0:18:40	25	12,7	12
0:18:50	25	12,7	13
0:19:00	25	12,9	13
0:19:10	25	12,9	17
0:19:20	25	12,9	17
0:19:30	25	13,2	17
0:19:40	25	13,2	19
0:19:50	25	13,3	20
0:20:00	25	13,6	21
0:20:10	25	13,6	16
0:20:20	25	13,6	16
0:20:30	25	13,7	15
0:20:40	25	14,1	15
0:20:50	25	14,0	15
0:21:00	25	14,0	15
0:21:10	25	14,6	19
0:21:20	25	14,6	25
0:21:30	25	14,5	24
0:21:40	25	14,5	22
0:21:50	25	15,0	24
0:22:00	25	14,9	23
0:22:10	25	14,9	27
0:22:20	25	14,9	24
0:22:30	25	15,4	21
0:22:40	25	15,4	22
0:22:50	25	15,3	21
0:23:00	25	15,3	21
0:23:10	25	15,7	20
0:23:20	25	15,7	21
0:23:30	25	15,7	21
0:23:40	25	15,7	20
0:23:50	25	16,0	21
0:24:00	25	16,0	21
0:24:10	25	16,1	21
0:24:20	25	16,4	21
0:24:30	25	16,3	22
0:24:40	25	16,5	21
0:24:50	25	16,5	21
0:25:00	25	16,7	21
0:25:10	25	16,7	21
0:25:20	25	16,8	21
0:25:30	25	16,9	21
