--Test Summary--
Full Path and File Name	
Instrument Name	7222
Instrument Type	Model 7222 Consistometer
Instrument Serial Number	
Test Start Date	25.05.2016
Test Start Time	12:30:42
Test Stop Date	25.05.2016
Test Stop Time	15:26:31
Test Length	2:55:49
Final Sample Time Offset	2:55:40
Controller Schedule Name	
Sampling Period	10 seconds
Comments	MPa: 25(30), T:40(30)
Information	WellID	
Information	Customer	RN-GRP
Information	EngName	Øóòü Êîíñòàíòèí
Information	CementClass	95%G+5%Äàðò-50
Information	CementMfr	Ñóõîé Ëîã
Information	Additives	0,6%Floss500+0.1%DPC (bwoc)
Information	Density	1900
Information	BHCT	40
Information	BHST	50
Information	FluidLoss	40cc/30min
Information	JobType	Research
Calculated Value	Time_30Bc	0:12:50
Calculated Value	Time_70Bc	2:47:40
Calculated Value	Time_100Bc	N/A
Initial Temperature (°C)	29 °C
Final Temperature (°C)	40 °C
Initial Pressure (MPa)	1,3 MPa
Final Pressure (MPa)	-0,1 MPa
Initial Consistency (Bc)	28 Bc
Final Consistency (Bc)	32 Bc
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)
0:00:00	29	1,3	28
0:00:10	29	1,5	28
0:00:20	29	1,7	24
0:00:30	29	1,9	27
0:00:40	29	2,1	24
0:00:50	29	2,3	23
0:01:00	29	2,6	23
0:01:10	29	2,8	22
0:01:20	29	3,0	22
0:01:30	29	3,2	24
0:01:40	29	3,3	23
0:01:50	29	3,5	23
0:02:00	29	3,6	23
0:02:10	29	3,8	22
0:02:20	29	3,9	24
0:02:30	30	4,0	23
0:02:40	30	4,1	23
0:02:50	30	4,2	22
0:03:00	30	4,3	22
0:03:10	30	4,5	22
0:03:20	30	4,6	22
0:03:30	30	4,7	21
0:03:40	30	4,8	22
0:03:50	30	4,8	23
0:04:00	30	4,9	23
0:04:10	30	5,0	23
0:04:20	31	5,1	23
0:04:30	31	5,2	22
0:04:40	31	5,3	23
0:04:50	31	5,3	22
0:05:00	31	5,4	22
0:05:10	31	5,5	22
0:05:20	31	5,5	22
0:05:30	31	5,6	22
0:05:40	31	5,8	22
0:05:50	31	6,2	22
0:06:00	32	6,3	22
0:06:10	32	6,3	22
0:06:20	32	6,4	22
0:06:30	32	6,5	21
0:06:40	32	6,5	21
0:06:50	32	7,0	22
0:07:00	32	7,1	22
0:07:10	32	7,1	25
0:07:20	32	7,2	24
