--Test Summary--
Full Path and File Name	
Instrument Name	7322
Instrument Type	Model 7322 Consistometer - Variable Speed
Instrument Serial Number	
Test Start Date	03.08.2016
Test Start Time	10:52:55
Test Stop Date	03.08.2016
Test Stop Time	13:15:34
Test Length	2:22:39
Final Sample Time Offset	2:22:39
Controller Schedule Name	
Sampling Period	1 second
Comments	MPa: 25(30), T:65(30)
Information	WellID	poraSpheres-3 (25MPa)
Information	Customer	RGU
Information	EngName	ÿÛÚ¸  ÓÌÒÚ‡ÌÚËÌ
Information	CementClass	G
Information	CementMfr	—ÛıÓÈ ÀÓ„
Information	Additives	13%MKU-85+47%poraSpheres-3
Information	Density	1250
Information	BHCT	65
Information	BHST	
Information	FluidLoss	
Information	JobType	Research
Calculated Value	Time_30Bc	2:13:44
Calculated Value	Time_70Bc	2:22:39
Initial Temperature (∞C)	25 ∞C
Final Temperature (∞C)	65 ∞C
Initial Pressure (MPa)	0,7 MPa
Final Pressure (MPa)	25,0 MPa
Initial Consistency (Bc)	11 Bc
Final Consistency (Bc)	70 Bc
Initial Wall Temperature (∞C)	24 ∞C
Final Wall Temperature (∞C)	64 ∞C
Initial Motor Speed (RPM)	150 RPM
Final Motor Speed (RPM)	150 RPM
--Data--
Time (HH:MM:SS)	Temperature (∞C)	Pressure (MPa)	Consistency (Bc)	Wall Temperature (∞C)	Motor Speed (RPM)
0:00:00	25	0,7	11	24	150
0:00:01	25	0,7	11	24	150
0:00:02	25	0,7	11	24	150
0:00:03	25	0,7	11	24	150
0:00:04	25	0,7	11	24	150
0:00:05	25	0,7	11	24	150
0:00:06	25	0,7	11	24	150
0:00:07	25	0,7	11	24	150
0:00:08	25	0,8	11	24	150
0:00:09	25	0,8	11	24	150
0:00:10	25	0,8	11	24	150
0:00:11	25	0,8	11	24	150
0:00:12	25	0,8	11	24	150
0:00:13	25	0,8	11	24	150
0:00:14	25	0,8	11	24	150
0:00:15	25	0,8	11	24	150
0:00:16	25	0,8	11	24	150
0:00:17	25	0,8	11	24	150
0:00:18	25	0,8	11	24	150
0:00:19	25	0,9	11	24	150
0:00:20	25	1,0	11	24	150
0:00:21	25	1,0	11	24	150
0:00:22	25	1,0	11	24	150
0:00:23	25	1,0	11	24	150
0:00:24	25	1,0	11	24	150
0:00:25	25	1,0	11	24	150
0:00:26	25	1,0	11	24	150
0:00:27	25	1,0	11	24	150
0:00:28	25	1,0	11	24	150
0:00:29	25	1,0	11	24	150
0:00:30	25	1,0	11	24	150
0:00:31	25	1,0	11	24	150
0:00:32	25	1,1	11	24	150
0:00:33	25	1,2	11	24	150
0:00:34	25	1,3	11	24	150
0:00:35	25	1,3	11	24	150
0:00:36	25	1,3	11	24	150
0:00:37	25	1,3	11	24	150
0:00:38	25	1,3	11	24	150
0:00:39	25	1,3	11	24	150
0:00:40	25	1,3	11	24	150
0:00:41	25	1,3	11	24	150
0:00:42	25	1,3	11	24	150
0:00:43	25	1,3	11	24	150
0:00:44	25	1,3	11	24	150
0:00:45	25	1,3	11	24	150
0:00:46	25	1,3	11	24	150
0:00:47	25	1,3	11	24	150
0:00:48	25	1,3	11	24	150
0:00:49	25	1,3	11	24	150
0:00:50	25	1,3	11	24	150
0:00:51	25	1,3	11	24	150
0:00:52	25	1,3	11	24	150
0:00:53	25	1,5	11	24	150
0:00:54	25	1,6	11	24	150
0:00:55	25	1,6	11	24	150
0:00:56	25	1,7	11	24	150
0:00:57	25	1,7	11	24	150
0:00:58	25	1,7	11	24	150
0:00:59	25	1,7	11	24	150
0:01:00	25	1,7	11	24	150
0:01:01	25	1,7	11	24	150
0:01:02	25	1,7	11	24	150
0:01:03	25	1,7	11	24	150
0:01:04	25	1,7	11	24	150
0:01:05	25	1,7	11	24	150
0:01:06	25	1,7	11	24	150
0:01:07	25	1,7	11	24	150
0:01:08	25	1,6	11	24	150
0:01:09	25	1,6	11	24	150
0:01:10					
2:13:39	65	25,0	56	64	150
2:13:40	65	25,0	56	64	150
2:13:41	65	25,0	56	64	150
2:13:42	65	25,0	56	64	150
2:13:43	65	25,0	56	64	150
2:13:44	65	25,0	56	64	150
2:13:45	65	25,0	56	64	150
2:13:46	65	25,0	56	64	150
2:13:47	65	25,0	56	64	150
2:13:48	65	25,0	56	64	150
2:13:49	65	25,0	56	64	150
2:13:50	65	25,0	56	64	150
2:13:51	65	25,0	56	64	150
2:13:52	65	25,0	56	64	150
2:13:53	65	25,0	56	64	150
2:13:54	65	25,0	56	64	150
2:13:55	65	25,0	56	64	150
2:13:56	65	25,0	56	64	150
2:13:57	65	25,0	56	64	150
2:13:58	65	25,0	56	64	150
2:13:59	65	25,0	56	64	150
2:14:00	65	25,0	56	64	150
2:14:01	65	25,0	56	64	150
2:14:02	65	25,0	56	64	150
2:14:03	65	25,0	56	64	150
2:14:04	65	25,0	56	64	150
2:14:05	65	25,0	56	64	150
2:14:06	65	25,0	56	64	150
2:14:07	65	25,0	56	64	150
2:14:08	65	25,0	56	64	150
2:14:09	65	25,0	56	64	150
2:14:10	65	25,0	56	64	150
2:14:11	65	25,0	56	64	150
2:14:12	65	25,0	56	64	150
2:14:13	65	25,0	56	64	150
2:14:14	65	25,0	56	64	150
2:14:15	65	25,0	56	64	150
2:14:16	65	25,0	57	64	150
2:14:17	65	25,0	57	64	150
2:14:18	65	25,0	57	64	150
2:14:19	65	25,0	57	64	150
2:14:20	65	25,0	57	64	150
2:14:21	65	25,0	57	64	150
2:14:22	65	25,0	57	64	150
2:14:23	65	25,0	57	64	150
2:14:24	65	25,0	57	64	150
2:14:25	65	25,0	57	64	150
2:14:26	65	25,0	57	64	150
2:14:27	65	25,0	57	64	150
2:14:28	65	25,0	57	64	150
2:14:29	65	25,0	57	64	150
2:14:30	65	25,0	57	64	150
2:14:31	65	25,0	57	64	150
2:14:32	65	25,0	57	64	150
2:14:33	65	25,0	57	64	150
2:14:34	65	25,0	57	64	150
2:14:35	65	25,0	57	64	150
2:14:36	65	25,0	57	64	150
2:14:37	65	25,0	57	64	150
2:14:38	65	25,0	57	64	150
2:14:39	65	25,0	57	64	150
2:14:40	65	25,0	57	64	150
2:14:41	65	25,0	57	64	150
2:14:42	65	25,0	57	64	150
2:14:43	65	25,0	57	64	150
2:14:44	65	25,0	57	64	150
2:14:45	65	25,0	57	64	150
2:14:46	65	25,0	57	64	150
2:14:47	65	25,0	57	64	150
2:14:48	65	25,0	57	64	150
2:14:49	65	25,0	57	64	150
2:14:50	65	25,0	57	64	150
2:14:51	65	25,0	57	64	150
2:14:52	65	25,0	57	64	150
2:14:53	65	25,0	57	64	150
2:14:54	65	25,0	57	64	150
2:14:55	65	25,0	57	64	150
2:14:56	65	25,0	57	64	150
2:14:57	65	25,0	57	64	150
2:14:58	65	25,0	57	64	150
2:14:59	65	25,0	58	64	150
2:15:00	65	25,0	58	64	150
2:15:01	65	25,0	58	64	150
2:15:02	65	25,0	58	64	150
2:15:03	65	25,2	58	64	150
2:15:04	65	25,3	58	64	150
2:15:05	65	25,4	58	64	150
2:15:06	65	25,4	58	64	150
2:15:07	65	25,4	58	64	150
2:15:08	65	25,4	58	64	150
2:15:09	65	25,4	58	64	150
2:15:10	65	25,4	58	64	150
2:15:11	65	25,4	58	64	150
2:15:12	65	25,4	58	64	150
2:15:13	65	25,4	58	64	150
2:15:14	65	25,4	58	64	150
2:15:15	65	25,4	58	64	150
2:15:16	65	25,4	58	64	150
2:15:17	65	25,4	58	64	150
2:15:18	65	25,4	58	64	150
2:15:19	65	25,4	58	64	150
2:15:20	65	25,4	58	64	150
2:15:21	65	25,4	58	64	150
2:15:22	65	25,4	58	64	150
2:15:23	65	25,4	58	64	150
2:15:24	65	25,3	58	64	150
2:15:25	65	25,3	58	64	150
2:15:26	65	25,3	58	64	150
2:15:27	65	25,3	58	64	150
2:15:28	65	25,3	58	64	150
2:15:29	65	25,3	58	64	150
2:15:30	65	25,3	58	64	150
2:15:31	65	25,3	58	64	150
2:15:32	65	25,3	58	64	150
2:15:33	65	25,3	58	64	150
2:15:34	65	25,3	58	64	150
2:15:35	65	25,3	58	64	150
2:15:36	65	25,3	58	64	150
2:15:37	65	25,3	58	64	150
2:15:38	65	25,3	58	64	150
2:15:39	65	25,3	58	64	150
2:15:40	65	25,3	58	64	150
2:15:41	65	25,3	58	64	150
2:15:42	65	25,3	58	64	150
2:15:43	65	25,3	58	64	150
2:15:44	65	25,3	58	64	150
2:15:45	65	25,3	58	64	150
2:15:46	65	25,3	58	64	150
2:15:47	65	25,3	58	64	150
2:15:48	65	25,3	58	64	150
2:15:49	65	25,3	58	64	150
2:15:50	65	25,3	58	64	150
2:15:51	65	25,3	58	64	150
2:15:52	65	25,3	58	64	150
2:15:53	65	25,3	58	64	150
2:15:54	65	25,3	58	64	150
2:15:55	65	25,3	58	64	150
2:15:56	65	25,3	58	64	150
2:15:57	65	25,3	58	64	150
2:15:58	65	25,3	59	64	150
2:15:59	65	25,3	59	64	150
2:16:00	65	25,3	59	64	150
2:16:01	65	25,3	59	64	150
2:16:02	65	25,3	59	64	150
2:16:03	65	25,3	59	64	150
2:16:04	65	25,3	59	64	150
2:16:05	65	25,3	59	64	150
2:16:06	65	25,3	59	64	150
2:16:07	65	25,3	59	64	150
2:16:08	65	25,3	59	64	150
2:16:09	65	25,3	59	64	150
2:16:10	65	25,2	59	64	150
2:16:11	65	25,2	59	64	150
2:16:12	65	25,2	59	64	150
2:16:13	65	25,2	59	64	150
2:16:14	65	25,2	59	64	150
2:16:15	65	25,2	59	64	150
2:16:16	65	25,2	59	64	150
2:16:17	65	25,2	59	64	150
2:16:18	65	25,2	59	64	150
2:16:19	65	25,2	59	64	150
2:16:20	65	25,2	59	64	150
2:16:21	65	25,2	59	64	150
2:16:22	65	25,2	59	64	150
2:16:23	65	25,2	59	64	150
2:16:24	65	25,2	59	64	150
2:16:25	65	25,2	59	64	150
2:16:26	65	25,2	60	64	150
2:16:27	65	25,2	60	64	150
2:16:28	65	25,2	60	64	150
2:16:29	65	25,2	60	64	150
2:16:30	65	25,2	60	64	150
2:16:31	65	25,2	60	64	150
2:16:32	65	25,2	60	64	150
2:16:33	65	25,2	60	64	150
2:16:34	65	25,2	60	64	150
2:16:35	65	25,2	60	64	150
2:16:36	65	25,2	60	64	150
2:16:37	65	25,2	60	64	150
2:16:38	65	25,2	60	64	150
2:16:39	65	25,2	60	64	150
2:16:40	65	25,2	60	64	150
2:16:41	65	25,2	60	64	150
2:16:42	65	25,2	60	64	150
2:16:43	65	25,2	60	64	150
2:16:44	65	25,2	60	64	150
2:16:45	65	25,2	60	64	150
2:16:46	65	25,2	60	64	150
2:16:47	65	25,2	60	64	150
2:16:48	65	25,2	61	64	150
2:16:49	65	25,2	61	64	150
2:16:50	65	25,2	61	64	150
2:16:51	65	25,2	61	64	150
2:16:52	65	25,2	61	64	150
2:16:53	65	25,2	61	64	150
2:16:54	65	25,2	61	64	150
2:16:55	65	25,2	61	64	150
2:16:56	65	25,2	61	64	150
2:16:57	65	25,2	61	64	150
2:16:58	65	25,2	61	64	150
2:16:59	65	25,2	61	64	150
2:17:00	65	25,2	61	64	150
2:17:01	65	25,2	61	64	150
2:17:02	65	25,2	61	64	150
2:17:03	65	25,2	62	64	150
2:17:04	65	25,2	62	64	150
2:17:05	65	25,2	62	64	150
2:17:06	65	25,2	62	64	150
2:17:07	65	25,2	62	64	150
2:17:08	65	25,2	62	64	150
2:17:09	65	25,2	62	64	150
2:17:10	65	25,2	62	64	150
2:17:11	65	25,2	62	64	150
2:17:12	65	25,2	62	64	150
2:17:13	65	25,2	62	64	150
2:17:14	65	25,2	62	64	150
2:17:15	65	25,2	62	64	150
2:17:16	65	25,2	62	64	150
2:17:17	65	25,2	62	64	150
2:17:18	65	25,2	62	64	150
2:17:19	65	25,2	62	64	150
2:17:20	65	25,2	62	64	150
2:17:21	65	25,2	63	64	150
2:17:22	65	25,2	63	64	150
2:17:23	65	25,2	63	64	150
2:17:24	65	25,2	63	64	150
2:17:25	65	25,2	63	64	150
2:17:26	65	25,2	63	64	150
2:17:27	65	25,2	63	64	150
2:17:28	65	25,2	63	64	150
2:17:29	65	25,2	63	64	150
2:17:30	65	25,2	63	64	150
2:17:31	65	25,2	63	64	150
2:17:32	65	25,2	63	64	150
2:17:33	65	25,2	63	64	150
2:17:34	65	25,2	63	64	150
2:17:35	65	25,2	63	64	150
2:17:36	65	25,2	63	64	150
2:17:37	65	25,2	63	64	150
2:17:38	65	25,2	63	64	150
