--Test Summary--
Full Path and File Name	
Instrument Name	7322
Instrument Type	Model 7322 Consistometer - Variable Speed
Instrument Serial Number	
Test Start Date	03.10.2016
Test Start Time	15:26:22
Test Stop Date	03.10.2016
Test Stop Time	16:36:50
Test Length	1:10:28
Final Sample Time Offset	1:10:27
Controller Schedule Name	
Sampling Period	1 second
Comments	
Information	WellID	
Information	Customer	
Information	EngName	
Information	CementClass	
Information	CementMfr	
Information	Additives	
Information	Density	
Information	BHCT	
Information	BHST	
Information	FluidLoss	
Information	JobType	
Calculated Value	Time_30Bc	0:01:56
Calculated Value	Time_70Bc	1:10:27
Initial Temperature (°C)	31 °C
Final Temperature (°C)	28 °C
Initial Pressure (MPa)	0,4 MPa
Final Pressure (MPa)	10,0 MPa
Initial Consistency (Bc)	28 Bc
Final Consistency (Bc)	70 Bc
Initial Wall Temperature (°C)	26 °C
Final Wall Temperature (°C)	27 °C
Initial Motor Speed (RPM)	150 RPM
Final Motor Speed (RPM)	150 RPM
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)	Wall Temperature (°C)	Motor Speed (RPM)
0:00:00	31	0,4	28	26	150
0:00:01	31	0,4	28	26	150
0:00:02	31	0,4	28	26	150
0:00:03	31	0,4	28	26	150
0:00:04	31	0,4	28	26	150
0:00:05	31	0,4	28	26	150
0:00:06	31	0,4	28	26	150
0:00:07	31	0,4	28	26	150
0:00:08	31	0,4	28	26	150
0:00:09	31	0,4	28	26	150
0:00:10	31	0,4	28	26	150
0:00:11	31	0,5	28	26	150
0:00:12	31	0,5	28	26	150
0:00:13	31	0,5	28	26	150
0:00:14	31	0,5	28	26	150
0:00:15	31	0,5	28	26	150
0:00:16	31	0,5	28	26	150
0:00:17	31	0,5	28	26	150
0:00:18	31	0,5	28	26	150
0:00:19	31	0,5	28	26	150
0:00:20	31	0,5	28	26	150
0:00:21	31	0,5	28	26	150
0:00:22	31	0,5	28	26	150
0:00:23	31	0,5	28	26	150
0:00:24	31	0,5	28	26	150
0:00:25	31	0,5	28	26	150
0:00:26	31	0,5	28	26	150
0:00:27	31	0,5	29	26	150
0:00:28	31	0,5	28	26	150
0:00:29	31	0,5	29	26	150
0:00:30	31	0,5	29	26	150
0:00:31	31	0,5	29	26	150
0:00:32	31	0,5	29	26	150
0:00:33	31	0,5	29	26	150
0:00:34	31	0,5	29	26	150
0:00:35	31	0,5	29	26	150
0:00:36	31	0,5	29	26	150
0:00:37	31	0,5	29	26	150
0:00:38	31	0,5	29	26	150
0:00:39	31	0,5	29	26	150
0:00:40	31	0,5	29	26	150
0:00:41	31	0,5	29	26	150
0:00:42	31	0,5	29	26	150
0:00:43	31	0,5	29	26	150
0:00:44	31	0,5	29	26	150
0:00:45	31	0,5	29	26	150
0:00:46	31	0,6	29	26	150
0:00:47	31	0,6	29	26	150
0:00:48	31	0,6	29	26	150
0:00:49	31	0,6	30	26	150
0:00:50	31	0,6	29	26	150
0:00:51	31	0,6	30	26	150
0:00:52	31	0,6	29	26	150
0:00:53	31	0,6	29	26	150
0:00:54	31	0,6	29	26	150
0:00:55	31	0,6	30	26	150
0:00:56	31	0,6	30	26	150
0:00:57	31	0,6	30	26	150
0:00:58	31	0,6	30	26	150
0:00:59	31	0,6	30	26	150
0:01:00	31	0,6	30	26	150
0:01:01	31	0,6	30	26	150
0:01:02	31	0,6	30	26	150
0:01:03	31	0,7	30	26	150
0:01:04	31	0,7	30	26	150
0:01:05	31	0,7	30	26	150
0:01:06	30	0,7	30	26	150
0:01:07	30	0,7	30	26	150
0:01:08	30	0,7	30	26	150
0:01:09	30	0,7	30	26	150
0:01:10	30	0,7	30	26	150
0:01:11	30	0,7	30	26	150
0:01:12	30	0,7	30	26	150
0:01:13	30	0,7	30	26	150
0:01:14	30	0,7	30	26	150
0:01:15	30	0,7	30	26	150
0:01:16	30	0,8	30	26	150
0:01:17	30	0,8	30	26	150
0:01:18	30	0,8	30	26	150
0:01:19	30	0,8	30	26	150
0:01:20	30	0,8	30	26	150
0:01:21	30	0,8	30	26	150
0:01:22	30	0,8	30	26	150
0:01:23	30	0,8	30	26	150
0:01:24	30	0,8	30	26	150
0:01:25	30	0,8	30	26	150
0:01:26	30	0,9	30	26	150
0:01:27	30	0,9	30	27	150
0:01:28	30	0,9	30	26	150
0:01:29	30	0,9	30	26	150
