--Test Summary--
Full Path and File Name	
Instrument Name	SGSA/UCA
Instrument Type	Model 5265 SGSA/UCA
Instrument Serial Number	
Test Start Date	16.12.2016
Test Start Time	15:22:37
Test Stop Date	19.12.2016
Test Stop Time	9:27:09
Test Length	66:04:32
Final Sample Time Offset	66:04:30
Controller Schedule Name	
Sampling Period	30 seconds
Comments	
Information	WellID	
Information	Customer	
Information	EngName	
Information	CementClass	G
Information	CementMfr	—ÛıÓÈ ÀÓ„
Information	Additives	20%DART-100M (ZBTM)
Information	Density	1900
Information	BHCT	75
Information	BHST	
Information	FluidLoss	
Information	JobType	
Calculated Value	CS_50	2:32:00
Calculated Value	CS_500	4:12:00
Calculated Value	SGS_Initial	1:29:30
Calculated Value	SGS_Final	2:15:30
Calculated Value	CS_Time8h	8,46 MPa
Calculated Value	CS_Time12h	11,38 MPa
Calculated Value	Time_SGS_100lb/100ft2	0:30:30
Calculated Value	Time_SGS_500lb/100ft2	2:00:00
Calculated Value	CS_Time24h	15,12 MPa
Calculated Value	CS_Time48h	17,92 MPa
Calculated Curve	Compressive Strength	Compressive strength type B (more than 14 lb/gal)
Calculated Curve	Static Gel Strength	Static gel strength
Initial Temperature (∞C)	25 ∞C
Final Temperature (∞C)	75 ∞C
Initial Pressure (psi)	3145 psi
Final Pressure (psi)	1010 psi
Initial Transit Time (microsec/in)	16,28 microsec/in
Final Transit Time (microsec/in)	8,46 microsec/in
Initial Gel Value	4993
Final Gel Value	7493
Initial Compressive Strength (MPa)	0,00 MPa
Final Compressive Strength (MPa)	18,92 MPa
Initial Static Gel Strength (lb/100ft2)	75,0 lb/100ft2
Final Static Gel Strength (lb/100ft2)	ERROR
--Data--
Time (HH:MM:SS)	Temperature (∞C)	Pressure (psi)	Transit Time (microsec/in)	Gel Value	Compressive Strength (MPa)	Static Gel Strength (lb/100ft2)
0:00:00	25	3145	16,28	4993	0,00	75,0
0:00:30	25	3109	16,23	5013	0,01	75,4
0:01:00	25	3083	16,21	4993	0,02	75,8
0:01:30	26	3065	16,20	4993	0,02	76,3
0:02:00	26	3052	16,21	4972	0,02	76,7
0:02:30	26	3048	16,21	4992	0,02	77,1
0:03:00	27	3050	16,21	4994	0,02	77,5
0:03:30	27	3057	16,21	5004	0,02	77,9
0:04:00	28	3068	16,21	5000	0,02	78,4
0:04:30	28	3083	16,21	4987	0,02	78,8
0:05:00	29	3098	16,21	4976	0,02	79,2
0:05:30	29	3113	16,20	4970	0,02	79,6
0:06:00	29	3128	16,20	4974	0,02	80,0
0:06:30	30	3142	16,19	4959	0,03	80,4
0:07:00	30	3157	16,19	4959	0,03	80,9
0:07:30	31	3173	16,18	4960	0,03	81,3
0:08:00	31	3192	16,17	4950	0,03	81,7
0:08:30	32	3214	16,16	4958	0,03	82,1
0:09:00	33	3236	16,15	4942	0,04	82,5
0:09:30	33	3265	16,14	4944	0,04	83,0
0:10:00	34	3298	16,13	4938	0,04	83,4
0:10:30	35	3334	16,12	4920	0,05	83,8
0:11:00	35	3370	16,11	4915	0,05	84,2
0:11:30	36	3407	16,09	4916	0,05	84,6
0:12:00	36	3444	16,08	4902	0,06	85,1
0:12:30	37	3480	16,06	4896	0,06	85,5
0:13:00	38	3518	16,04	4891	0,07	85,9
0:13:30	38	3558	16,03	4874	0,07	86,3
0:14:00	39	3599	16,01	4877	0,08	86,7
0:14:30	40	3641	16,00	4871	0,08	87,2
0:15:00	40	3686	15,98	4887	0,09	87,6
0:15:30	41	3732	15,96	4889	0,09	88,0
0:16:00	42	3781	15,94	4906	0,10	88,4
0:16:30	42	3829	15,92	4915	0,11	88,8
0:17:00	43	3877	15,91	4942	0,11	89,2
0:17:30	44	3882	15,89	4949	0,11	89,7
0:18:00	44	3866	15,88	4966	0,12	90,1
0:18:30	45	3863	15,87	4983	0,12	90,5
0:19:00	46	3864	15,86	5002	0,13	90,9
0:19:30	47	3864	15,84	5023	0,13	91,3
0:20:00	47	3864	15,83	5040	0,13	91,8
0:20:30	48	3864	15,83	5041	0,14	92,2
0:21:00	49	3864	15,82	5052	0,14	92,6
0:21:30	49	3864	15,81	5066	0,14	93,0
0:22:00	50	3865	15,80	5074	0,15	93,4
0:22:30	51	3867	15,79	5070	0,15	93,9
0:23:00	51	3867	15,78	5089	0,15	94,3
0:23:30	52	3867	15,77	5088	0,15	94,7
0:24:00	53	3868	15,76	5083	0,16	95,1
0:24:30	54	3867	15,75	5079	0,16	95,5
0:25:00	54	3871	15,74	5073	0,17	95,9
0:25:30	55	3874	15,73	5063	0,17	96,4
0:26:00	56	3875	15,72	5053	0,17	96,8
0:26:30	56	3874	15,71	5061	0,17	97,2
0:27:00	57	3872	15,71	5046	0,18	97,6
0:27:30	58	3871	15,70	5028	0,18	98,0
0:28:00	59	3868	15,70	5029	0,18	98,5
0:28:30	59	3865	15,69	5021	0,18	98,9
0:29:00	60	3861	15,68	5016	0,19	99,3
0:29:30	61	3860	15,67	5004	0,19	99,7
0:30:00	61	3862	15,66	5004	0,19	100,1
0:30:30	62	3865	15,66	4999	0,19	100,6
0:31:00	63	3867	15,65	4994	0,19	101,0
0:31:30	64	3869	15,65	4995	0,20	101,4
0:32:00	64	3870	15,64	4991	0,20	101,8
0:32:30	65	3870	15,64	4986	0,20	102,2
0:33:00	66	3869	15,63	4986	0,20	102,7
0:33:30	67	3868	15,62	4984	0,20	103,1
0:34:00	67	3868	15,62	4986	0,21	103,5
0:34:30	68	3869	15,61	4978	0,21	103,9
0:35:00	68	3871	15,61	4974	0,21	104,3
0:35:30	69	3874	15,61	4969	0,21	104,7
0:36:00	70	3874	15,60	4960	0,21	105,2
0:36:30	70	3869	15,61	4957	0,21	105,6
0:37:00	71	3863	15,60	4963	0,21	106,0
0:37:30	71	3852	15,59	4959	0,21	106,4
0:38:00	72	3840	15,59	4962	0,22	106,8
0:38:30	72	3826	15,59	4954	0,22	107,3
0:39:00	72	3811	15,59	4953	0,21	107,7
0:39:30	73	3797	15,60	4944	0,21	108,1
0:40:00	73	3787	15,60	4943	0,21	108,5
0:40:30	73	3777	15,60	4948	0,21	108,9
0:41:00	73	3768	15,59	4939	0,21	109,4
0:41:30	74	3760	15,59	4939	0,21	109,8
0:42:00	74	3753	15,59	4937	0,21	110,2
0:42:30	74	3747	15,59	4933	0,21	110,6
0:43:00	74	3742	15,59	4934	0,22	111,0
0:43:30	74	3738	15,59	4941	0,22	111,5
0:44:00	75	3735	15,59	4937	0,22	111,9
0:44:30	75	3733	15,59	4935	0,22	112,3
0:45:00	75	3730	15,59	4925	0,22	112,7
0:45:30	75	3727	15,59	4921	0,21	113,1
0:46:00	75	3724	15,59	4924	0,21	113,5
0:46:30	75	3722	15,59	4920	0,21	114,0
0:47:00	75	3719	15,59	4922	0,22	114,4
0:47:30	75	3716	15,59	4916	0,22	114,8
0:48:00	75	3713	15,59	4913	0,22	115,2
0:48:30	75	3710	15,59	4926	0,22	115,6
0:49:00	75	3705	15,59	4911	0,21	116,1
0:49:30	75	3700	15,60	4915	0,21	116,5
0:50:00	75	3694	15,60	4919	0,21	116,9
0:50:30	75	3688	15,60	4924	0,21	117,3
0:51:00	75	3681	15,60	4913	0,21	117,7
0:51:30	75	3674	15,60	4915	0,21	118,2
0:52:00	75	3667	15,60	4913	0,21	118,6
0:52:30	75	3659	15,60	4911	0,21	119,0
0:53:00	75	3654	15,60	4899	0,21	119,4
0:53:30	75	3652	15,61	4911	0,21	119,8
0:54:00	75	3654	15,60	4910	0,21	120,3
0:54:30	75	3652	15,60	4900	0,21	120,7
0:55:00	75	3647	15,60	4909	0,21	121,1
0:55:30	75	3643	15,60	4905	0,21	121,5
0:56:00	75	3638	15,60	4912	0,21	121,9
0:56:30	75	3632	15,61	4893	0,21	122,3
0:57:00	75	3627	15,60	4903	0,21	122,8
0:57:30	75	3622	15,61	4905	0,21	123,2
0:58:00	75	3616	15,61	4898	0,21	123,6
0:58:30	75	3611	15,61	4903	0,21	124,0
0:59:00	75	3606	15,61	4906	0,21	124,4
0:59:30	75	3602	15,61	4902	0,21	124,9
1:00:00	75	3597	15,61	4905	0,21	125,3
1:00:30	75	3594	15,61	4913	0,21	125,7
1:01:00	75	3590	15,62	4900	0,21	126,1
1:01:30	75	3586	15,61	4888	0,21	126,5
1:02:00	75	3582	15,61	4903	0,21	127,0
1:02:30	75	3578	15,61	4904	0,21	127,4
1:03:00	75	3573	15,62	4906	0,21	127,8
1:03:30	75	3569	15,61	4905	0,21	128,2
1:04:00	75	3564	15,62	4916	0,21	128,6
1:04:30	75	3560	15,62	4909	0,21	129,1
1:05:00	75	3556	15,61	4909	0,21	129,5
1:05:30	75	3552	15,62	4912	0,21	129,9
1:06:00	75	3555	15,62	4897	0,21	130,3
1:06:30	75	3558	15,62	4910	0,20	130,7
1:07:00	75	3557	15,62	4918	0,20	131,1
1:07:30	75	3553	15,62	4910	0,20	131,6
1:08:00	75	3550	15,63	4918	0,20	132,0
1:08:30	75	3546	15,63	4907	0,20	132,4
1:09:00	75	3543	15,62	4919	0,20	132,8
1:09:30	75	3539	15,63	4912	0,20	133,2
1:10:00	75	3535	15,63	4907	0,20	133,7
1:10:30	75	3532	15,63	4914	0,20	134,1
1:11:00	75	3529	15,63	4914	0,20	134,5
1:11:30	75	3526	15,64	4906	0,20	134,9
1:12:00	75	3522	15,64	4911	0,20	135,3
1:12:30	75	3519	15,63	4910	0,20	135,8
1:13:00	75	3517	15,64	4907	0,20	136,2
1:13:30	75	3514	15,64	4903	0,20	136,6
1:14:00	75	3511	15,64	4905	0,20	137,0
1:14:30	75	3509	15,64	4902	0,20	137,4
1:15:00	75	3506	15,64	4903	0,20	137,8
1:15:30	75	3504	15,64	4896	0,20	138,3
1:16:00	75	3501	15,64	4900	0,20	138,7
1:16:30	75	3498	15,65	4886	0,20	139,1
1:17:00	75	3495	15,65	4896	0,19	139,5
1:17:30	75	3492	15,66	4895	0,19	139,9
1:18:00	75	3489	15,66	4893	0,19	140,4
1:18:30	75	3485	15,66	4893	0,19	140,8
1:19:00	75	3490	15,66	4878	0,19	141,2
1:19:30	75	3490	15,66	4882	0,19	141,6
1:20:00	75	3487	15,66	4875	0,19	142,0
1:20:30	75	3485	15,66	4881	0,19	142,5
1:21:00	75	3482	15,66	4873	0,19	142,9
1:21:30	75	3481	15,67	4872	0,19	143,3
1:22:00	75	3478	15,67	4866	0,19	143,7
1:22:30	75	3474	15,67	4873	0,19	144,1
1:23:00	75	3471	15,67	4862	0,19	144,6
1:23:30	75	3468	15,68	4866	0,19	145,0
1:24:00	75	3466	15,68	4863	0,18	145,4
1:24:30	75	3463	15,68	4853	0,18	145,8
1:25:00	75	3461	15,68	4855	0,18	146,2
1:25:30	75	3459	15,68	4855	0,18	146,6
1:26:00	75	3456	15,68	4848	0,18	147,1
1:26:30	75	3454	15,69	4851	0,18	147,5
1:27:00	75	3451	15,68	4846	0,18	147,9
1:27:30	75	3448	15,69	4844	0,18	148,3
1:28:00	75	3446	15,70	4837	0,18	148,7
1:28:30	75	3443	15,70	4842	0,18	149,2
