--Test Summary--
Full Path and File Name	
Instrument Name	SGSA/UCA
Instrument Type	Model 5265 SGSA/UCA
Instrument Serial Number	
Test Start Date	20.12.2016
Test Start Time	9:45:27
Test Stop Date	27.12.2016
Test Stop Time	10:01:48
Test Length	168:16:21
Final Sample Time Offset	168:16:00
Controller Schedule Name	
Sampling Period	30 seconds
Comments	
Information	WellID	
Information	Customer	
Information	EngName	
Information	CementClass	G
Information	CementMfr	—ÛıÓÈ ÀÓ„
Information	Additives	15%DART-100 (ZBTM)
Information	Density	1900
Information	BHCT	75
Information	BHST	
Information	FluidLoss	
Information	JobType	
Calculated Value	CS_50	2:47:30
Calculated Value	CS_500	4:06:00
Calculated Value	SGS_Initial	1:35:00
Calculated Value	SGS_Final	2:39:00
Calculated Value	CS_Time8h	8,89 MPa
Calculated Value	CS_Time12h	11,70 MPa
Calculated Value	Time_SGS_100lb/100ft2	0:32:30
Calculated Value	Time_SGS_500lb/100ft2	2:25:30
Calculated Value	CS_Time24h	15,24 MPa
Calculated Value	CS_Time48h	18,06 MPa
Calculated Curve	Compressive Strength	Compressive strength type B (more than 14 lb/gal)
Calculated Curve	Static Gel Strength	Static gel strength
Initial Temperature (∞C)	23 ∞C
Final Temperature (∞C)	ERROR
Initial Pressure (psi)	3449 psi
Final Pressure (psi)	ERROR
Initial Transit Time (microsec/in)	ERROR
Final Transit Time (microsec/in)	ERROR
Initial Gel Value	ERROR
Final Gel Value	ERROR
Initial Compressive Strength (MPa)	N/A
Final Compressive Strength (MPa)	N/A
Initial Static Gel Strength (lb/100ft2)	75,0 lb/100ft2
Final Static Gel Strength (lb/100ft2)	ERROR
--Data--
Time (HH:MM:SS)	Temperature (∞C)	Pressure (psi)	Transit Time (microsec/in)	Gel Value	Compressive Strength (MPa)	Static Gel Strength (lb/100ft2)
0:00:00	23	3449				75,0
0:00:30	22	3390	16,32	4747	0,00	75,4
0:01:00	22	3351	16,25	4739	0,02	75,8
0:01:30	23	3319	16,22	4710	0,03	76,2
0:02:00	23	3299	16,21	4685	0,03	76,6
0:02:30	23	3281	16,21	4666	0,03	77,0
0:03:00	23	3265	16,21	4640	0,03	77,4
0:03:30	23	3251	16,21	4624	0,03	77,8
0:04:00	23	3238	16,21	4597	0,03	78,2
0:04:30	23	3227	16,21	4600	0,03	78,6
0:05:00	23	3154	16,22	4587	0,03	78,9
0:05:30	23	3147	16,22	4580	0,03	79,3
0:06:00	23	3139	16,22	4579	0,03	79,7
0:06:30	23	3132	16,22	4577	0,03	80,1
0:07:00	23	3125	16,22	4587	0,03	80,5
0:07:30	23	3119	16,22	4592	0,03	80,9
0:08:00	23	3112	16,22	4610	0,03	81,3
0:08:30	23	3106	16,22	4612	0,03	81,7
0:09:00	23	3100	16,22	4622	0,03	82,1
0:09:30	23	3095	16,22	4637	0,03	82,5
0:10:00	23	3089	16,22	4646	0,03	82,9
0:10:30	23	3084	16,22	4659	0,03	83,3
0:11:00	23	3079	16,22	4696	0,03	83,7
0:11:30	23	3073	16,22	4695	0,03	84,1
0:12:00	23	3068	16,23	4713	0,03	84,5
0:12:30	23	3063	16,22	4730	0,03	84,9
0:13:00	23	3059	16,22	4729	0,03	85,3
0:13:30	23	3054	16,22	4752	0,03	85,7
0:14:00	23	3049	16,23	4763	0,03	86,1
0:14:30	23	3045	16,22	4754	0,03	86,4
0:15:00	23	3041	16,22	4761	0,03	86,8
0:15:30	23	3037	16,22	4754	0,03	87,2
0:16:00	23	3033	16,23	4755	0,02	87,6
0:16:30	23	3029	16,23	4758	0,02	88,0
0:17:00	23	3025	16,23	4765	0,02	88,4
0:17:30	23	3022	16,23	4766	0,03	88,8
0:18:00	23	3018	16,23	4764	0,02	89,2
0:18:30	23	3014	16,23	4781	0,02	89,6
0:19:00	23	3010	16,22	4782	0,03	90,0
0:19:30	23	3007	16,23	4782	0,02	90,4
0:20:00	23	3004	16,23	4794	0,02	90,8
0:20:30	23	3000	16,23	4792	0,02	91,2
0:21:00	23	2997	16,24	4795	0,02	91,6
0:21:30	23	2993	16,24	4798	0,02	92,0
0:22:00	23	2991	16,24	4803	0,02	92,4
0:22:30	23	2987	16,24	4802	0,02	92,8
0:23:00	23	2981	16,23	4813	0,02	93,2
0:23:30	23	2977	16,24	4807	0,02	93,6
0:24:00	23	2973	16,24	4816	0,02	93,9
0:24:30	23	2968	16,24	4815	0,02	94,3
0:25:00	23	2957	16,24	4813	0,02	94,7
0:25:30	23	2911	16,24	4825	0,02	95,1
0:26:00	23	2861	16,24	4830	0,02	95,5
0:26:30	23	2821	16,25	4827	0,02	95,9
0:27:00	23	2786	16,26	4842	0,02	96,3
0:27:30	23	2754	16,26	4842	0,02	96,7
0:28:00	23	2724	16,26	4849	0,01	97,1
0:28:30	24	2695	16,27	4841	0,01	97,5
0:29:00	23	2667	16,27	4845	0,01	97,9
0:29:30	23	2640	16,27	4839	0,01	98,3
0:30:00	23	2613	16,28	4844	0,01	98,7
0:30:30	23	2587	16,28	4839	0,01	99,1
0:31:00	24	2564	16,28	4837	0,01	99,5
0:31:30	24	2542	16,29	4839	0,01	99,9
0:32:00	24	2520	16,29	4841	0,01	100,3
0:32:30	24	2500	16,30	4818	0,01	100,7
0:33:00	24	2481	16,29	4832	0,01	101,1
0:33:30	24	2463	16,30	4822	0,01	101,4
0:34:00	24	2444	16,30	4813	0,00	101,8
0:34:30	24	2426	16,30	4825	0,00	102,2
0:35:00	24	2408	16,30	4815	0,00	102,6
0:35:30	24	2391	16,30	4815	0,00	103,0
0:36:00	24	2375	16,31	4817	0,00	103,4
0:36:30	24	2360	16,31	4806	0,00	103,8
0:37:00	24	2345	16,31	4806	0,00	104,2
0:37:30	24	2330	16,31	4812	0,00	104,6
0:38:00	24	2315	16,32	4801	0,00	105,0
0:38:30	24	2300	16,32	4796	0,00	105,4
0:39:00	24	2284	16,32	4796	0,00	105,8
0:39:30	24	2270	16,32	4793	0,00	106,2
0:40:00	24	2256	16,33	4784	0,00	106,6
0:40:30	24	2237	16,33	4780	0,00	107,0
0:41:00	24	2223	16,33	4790	0,00	107,4
0:41:30	24	2209	16,33	4785	0,00	107,8
0:42:00	24	2197	16,33	4793	0,00	108,2
0:42:30	24	2184	16,34	4788	0,00	108,6
0:43:00	24	2172	16,34	4792	0,00	108,9
0:43:30	24	2158	16,34	4788	0,00	109,3
0:44:00	24	2145	16,34	4786	0,00	109,7
0:44:30	24	2132	16,34	4788	0,00	110,1
0:45:00	24	2120	16,34	4785	0,00	110,5
0:45:30	24	2107	16,34	4781	0,00	110,9
0:46:00	24	2095	16,34	4777	0,00	111,3
0:46:30	24	2083	16,35	4776	0,00	111,7
0:47:00	24	2070	16,35	4770	0,00	112,1
0:47:30	24	2054	16,35	4780	0,00	112,5
0:48:00	24	2037	16,35	4772	0,00	112,9
0:48:30	24	2022	16,35	4763	0,00	113,3
0:49:00	24	2006	16,36	4773	0,00	113,7
0:49:30	24	1988	16,36	4759	0,00	114,1
0:50:00	24	1972	16,36	4775	0,00	114,5
0:50:30	24	1956	16,36	4759	0,00	114,9
0:51:00	24	1940	16,36	4754	0,00	115,3
0:51:30	24	1927	16,37	4759	0,00	115,7
0:52:00	24	1913	16,37	4753	0,00	116,1
0:52:30	24	1900	16,37	4757	0,00	116,4
0:53:00	24	1885	16,38	4751	0,00	116,8
0:53:30	24	1872	16,38	4761	0,00	117,2
0:54:00	24	1858	16,38	4750	0,00	117,6
0:54:30	24	1847	16,37	4745	0,00	118,0
0:55:00	24	1835	16,38	4738	0,00	118,4
0:55:30	24	1822	16,38	4747	0,00	118,8
0:56:00	24	1810	16,38	4746	0,00	119,2
0:56:30	24	1797	16,39	4736	0,00	119,6
0:57:00	24	1785	16,39	4732	0,00	120,0
0:57:30	24	1774	16,39	4746	0,00	120,4
0:58:00	24	1763	16,38	4738	0,00	120,8
0:58:30	24	1753	16,39	4735	0,00	121,2
0:59:00	24	1742	16,39	4731	0,00	121,6
0:59:30	24	1730	16,39	4732	0,00	122,0
1:00:00	24	1719	16,40	4732	0,00	122,4
1:00:30	24	1708	16,40	4716	0,00	122,8
1:01:00	24	1696	16,40	4729	0,00	123,2
1:01:30	24	1685	16,40	4728	0,00	123,6
1:02:00	24	1673	16,40	4726	0,00	123,9
1:02:30	24	1661	16,40	4724	0,00	124,3
1:03:00	24	1649	16,40	4713	0,00	124,7
1:03:30	24	1636	16,40	4718	0,00	125,1
1:04:00	24	1623	16,40	4720	0,00	125,5
1:04:30	24	1609	16,40	4719	0,00	125,9
1:05:00	24	1596	16,40	4713	0,00	126,3
1:05:30	24	1583	16,41	4714	0,00	126,7
1:06:00	24	1568	16,41	4702	0,00	127,1
1:06:30	24	1552	16,41	4704	0,00	127,5
1:07:00	24	1535	16,41	4702	0,00	127,9
1:07:30	24	1519	16,41	4697	0,00	128,3
1:08:00	24	1496	16,42	4700	0,00	128,7
1:08:30	24	1461	16,42	4691	0,00	129,1
1:09:00	24	1431	16,42	4691	0,00	129,5
1:09:30	24	1400	16,43	4690	0,00	129,9
1:10:00	24	1369	16,44	4679	0,00	130,3
1:10:30	24	1339	16,44	4680	0,00	130,7
1:11:00	24	1310	16,45	4672	0,00	131,1
1:11:30	24	1281	16,45	4673	0,00	131,4
1:12:00	24	1251	16,46	4666	0,00	131,8
1:12:30	24	1220	16,46	4662	0,00	132,2
1:13:00	24	1189	16,46	4660	0,00	132,6
1:13:30	24	1787	16,46	4654	0,00	133,0
1:14:00	24	1740	16,42	4759	0,00	133,4
1:14:30	24	1699	16,40	4731	0,00	133,8
1:15:00	24	1657	16,39	4727	0,00	134,2
1:15:30	24	1612	16,40	4718	0,00	134,6
1:16:00	24	1568	16,40	4718	0,00	135,0
1:16:30	24	1531	16,40	4710	0,00	135,4
1:17:00	24	1499	16,41	4698	0,00	135,8
1:17:30	24	1468	16,41	4701	0,00	136,2
1:18:00	24	1439	16,42	4698	0,00	136,6
1:18:30	24	1410	16,42	4686	0,00	137,0
1:19:00	24	1381	16,42	4683	0,00	137,4
1:19:30	24	1351	16,43	4681	0,00	137,8
1:20:00	24	1323	16,43	4673	0,00	138,2
1:20:30	24	1294	16,43	4662	0,00	138,6
1:21:00	24	1265	16,44	4661	0,00	138,9
1:21:30	24	1235	16,45	4663	0,00	139,3
1:22:00	24	1207	16,44	4650	0,00	139,7
1:22:30	24	1179	16,45	4648	0,00	140,1
1:23:00	24	1142	16,46	4643	0,00	140,5
1:23:30	24	1104	16,46	4637	0,00	140,9
1:24:00	24	1687	16,44	4726	0,00	141,3
1:24:30	24	1653	16,41	4713	0,00	141,7
1:25:00	24	1619	16,40	4682	0,00	142,1
1:25:30	24	1584	16,40	4689	0,00	142,5
1:26:00	24	1566	16,40	4683	0,00	142,9
1:26:30	24	1551	16,40	4669	0,00	143,3
1:27:00	24	1537	16,40	4686	0,00	143,7
1:27:30	24	1521	16,40	4665	0,00	144,1
1:28:00	24	1504	16,41	4667	0,00	144,5
1:28:30	24	1488	16,41	4660	0,00	144,9
1:29:00	24	1473	16,41	4672	0,00	145,3
1:29:30	24	1458	16,41	4649	0,00	145,7
1:30:00	24	1445	16,42	4658	0,00	146,1
1:30:30	24	1432	16,42	4650	0,00	146,4
1:31:00	24	1418	16,42	4644	0,00	146,8
1:31:30	24	1406	16,43	4636	0,00	147,2
1:32:00	24	1393	16,43	4638	0,00	147,6
1:32:30	24	1381	16,43	4634	0,00	148,0
1:33:00	24	1369	16,43	4620	0,00	148,4
1:33:30	24	1357	16,44	4621	0,00	148,8
1:34:00	24	1344	16,44	4619	0,00	149,2
1:34:30	24	1332	16,44	4622	0,00	149,6
1:35:00	24	1320	16,44	4616	0,00	150,0
1:35:30	24	1307	16,44	4609	0,00	148,1
1:36:00	24	1293	16,44	4618	0,00	150,5
1:36:30	24	1277	16,44	4608	0,00	147,9
1:37:00	24	1261	16,45	4608	0,00	148,0
1:37:30	24	1244	16,45	4600	0,00	145,9
1:38:00	24	1227	16,45	4593	0,00	144,1
1:38:30	24	1211	16,46	4605	0,00	147,2
1:39:00	24	1196	16,46	4588	0,00	142,9
1:39:30	24	1184	16,46	4593	0,00	144,2
1:40:00	24	1170	16,46	4583	0,00	141,6
1:40:30	24	1156	16,46	4583	0,00	141,5
1:41:00	24	1142	16,47	4590	0,00	143,3
1:41:30	24	1126	16,47	4575	0,00	139,6
1:42:00	25	2965	16,46	4583	0,00	141,6
1:42:30	25	2939	16,33	4732	0,00	181,5
1:43:00	25	2919	16,27	4719	0,01	177,9
1:43:30	25	2898	16,24	4703	0,02	173,4
1:44:00	25	3452	16,23	4697	0,02	171,8
1:44:30	25	3399	16,19	4718	0,04	177,5
1:45:00	25	3352	16,17	4711	0,04	175,6
1:45:30	25	3311	16,17	4703	0,04	173,4
