--Test Summary--
Full Path and File Name	
Instrument Name	7222
Instrument Type	Model 7222 Consistometer
Instrument Serial Number	
Test Start Date	25.01.2017
Test Start Time	12:11:52
Test Stop Date	25.01.2017
Test Stop Time	17:35:22
Test Length	5:23:30
Final Sample Time Offset	5:23:20
Controller Schedule Name	
Sampling Period	10 seconds
Comments	‡ÚÏ ‰‡‚ÎÂÌËÂ
Information	WellID	
Information	Customer	
Information	EngName	
Information	CementClass	Sample
Information	CementMfr	CementOgneUpor
Information	Additives	
Information	Density	1910
Information	BHCT	25
Information	BHST	
Information	FluidLoss	
Information	JobType	
Calculated Value	Time_30Bc	5:17:40
Calculated Value	Time_70Bc	N/A
Initial Temperature (∞C)	24 ∞C
Final Temperature (∞C)	31 ∞C
Initial Pressure (MPa)	-0,1 MPa
Final Pressure (MPa)	-0,1 MPa
Initial Consistency (Bc)	8 Bc
Final Consistency (Bc)	34 Bc
--Data--
Time (HH:MM:SS)	Temperature (∞C)	Pressure (MPa)	Consistency (Bc)
0:00:00	24	-0,1	8
0:00:10	24	-0,1	9
0:00:20	24	-0,1	8
0:00:30	24	-0,1	8
0:00:40	24	-0,1	9
0:00:50	24	-0,1	14
0:01:00	24	-0,1	15
0:01:10	24	-0,1	14
0:01:20	24	-0,1	16
0:01:30	24	-0,1	12
0:01:40	24	-0,1	15
0:01:50	24	-0,1	13
0:02:00	24	-0,1	15
0:02:10	24	-0,1	15
0:02:20	24	-0,1	14
0:02:30	24	-0,1	16
0:02:40	24	-0,1	18
0:02:50	24	-0,1	16
0:03:00	25	-0,1	16
0:03:10	25	-0,1	17
0:03:20	25	-0,1	17
0:03:30	25	-0,1	18
0:03:40	25	-0,1	15
0:03:50	25	-0,1	15
0:04:00	25	-0,1	13
0:04:10	25	-0,1	13
0:04:20	25	-0,1	13
0:04:30	25	-0,1	13
0:04:40	25	-0,1	14
0:04:50	25	-0,1	17
0:05:00	25	-0,1	17
0:05:10	25	-0,1	18
0:05:20	26	-0,1	19
0:05:30	26	-0,1	25
0:05:40	26	-0,1	24
0:05:50	26	-0,1	18
0:06:00	26	-0,1	20
0:06:10	26	-0,1	20
0:06:20	26	-0,1	18
0:06:30	26	-0,1	18
0:06:40	26	-0,1	18
0:06:50	26	-0,1	18
0:07:00	26	-0,1	19
0:07:10	26	-0,1	19
0:07:20	26	-0,1	17
0:07:30	26	-0,1	11
0:07:40	26	-0,1	11
0:07:50	26	-0,1	11
0:08:00	27	-0,1	12
0:08:10	27	-0,1	15
0:08:20	27	-0,1	13
0:08:30	27	-0,1	13
0:08:40	27	-0,1	12
0:08:50	27	-0,1	13
0:09:00	27	-0,1	12
0:09:10	27	-0,1	12
0:09:20	27	-0,1	12
0:09:30	27	-0,1	12
0:09:40	27	-0,1	14
0:09:50	27	-0,1	14
0:10:00	27	-0,1	14
0:10:10	27	-0,1	14
0:10:20	27	-0,1	14
0:10:30	27	-0,1	13
0:10:40	27	-0,1	13
0:10:50	27	-0,1	13
0:11:00	27	-0,1	13
0:11:10	27	-0,1	13
0:11:20	28	-0,1	13
0:11:30	28	-0,1	13
0:11:40	28	-0,1	13
0:11:50	28	-0,1	13
0:12:00	28	-0,1	13
0:12:10	28	-0,1	13
0:12:20	28	-0,1	13
0:12:30	28	-0,1	13
0:12:40	28	-0,1	13
0:12:50	28	-0,1	13
0:13:00	28	-0,1	13
0:13:10	28	-0,1	13
0:13:20	28	-0,1	13
0:13:30	28	-0,1	13
0:13:40	28	-0,1	13
0:13:50	28	-0,1	13
0:14:00	28	-0,1	13
0:14:10	28	-0,1	13
0:14:20	28	-0,1	13
0:14:30	28	-0,1	13
0:14:40	28	-0,1	13
0:14:50	28	-0,1	13
0:15:00	28	-0,1	13
0:15:10	28	-0,1	13
0:15:20	28	-0,1	12
0:15:30	28	-0,1	12
0:15:40	28	-0,1	12
0:15:50	28	-0,1	12
0:16:00	28	-0,1	12
0:16:10	28	-0,1	12
0:16:20	28	-0,1	12
0:16:30	28	-0,1	12
0:16:40	28	-0,1	12
0:16:50	28	-0,1	13
0:17:00	28	-0,1	13
0:17:10	28	-0,1	12
0:17:20	28	-0,1	12
0:17:30	28	-0,1	12
0:17:40	28	-0,1	13
0:17:50	28	-0,1	13
0:18:00	28	-0,1	12
0:18:10	28	-0,1	13
0:18:20	28	-0,1	13
0:18:30	28	-0,1	14
0:18:40	28	-0,1	14
0:18:50	28	-0,1	13
0:19:00	28	-0,1	13
0:19:10	28	-0,1	13
0:19:20	28	-0,1	14
0:19:30	28	-0,1	15
0:19:40	29	-0,1	21
0:19:50	28	-0,1	19
0:20:00	28	-0,1	17
0:20:10	29	-0,1	15
0:20:20	29	-0,1	14
0:20:30	29	-0,1	14
0:20:40	29	-0,1	13
0:20:50	29	-0,1	13
0:21:00	29	-0,1	19
0:21:10	29	-0,1	17
0:21:20	29	-0,1	16
0:21:30	29	-0,1	16
0:21:40	29	-0,1	16
0:21:50	29	-0,1	16
0:22:00	29	-0,1	15
0:22:10	29	-0,1	15
0:22:20	29	-0,1	15
0:22:30	29	-0,1	15
0:22:40	29	-0,1	15
0:22:50	29	-0,1	14
0:23:00	29	-0,1	14
0:23:10	29	-0,1	14
0:23:20	29	-0,1	14
0:23:30	29	-0,1	14
0:23:40	29	-0,1	14
0:23:50	29	-0,1	14
0:24:00	29	-0,1	14
0:24:10	29	-0,1	14
0:24:20	29	-0,1	14
0:24:30	29	-0,1	14
0:24:40	29	-0,1	14
0:24:50	29	-0,1	14
0:25:00	29	-0,1	14
0:25:10	29	-0,1	14
0:25:20	29	-0,1	14
0:25:30	29	-0,1	14
0:25:40	29	-0,1	14
0:25:50	29	-0,1	14
0:26:00	29	-0,1	14
0:26:10	29	-0,1	14
0:26:20	29	-0,1	14
0:26:30	29	-0,1	14
0:26:40	29	-0,1	14
0:26:50	29	-0,1	14
0:27:00	29	-0,1	14
0:27:10	29	-0,1	14
0:27:20	29	-0,1	14
0:27:30	29	-0,1	14
0:27:40	29	-0,1	14
0:27:50	29	-0,1	14
0:28:00	29	-0,1	14
0:28:10	29	-0,1	14
0:28:20	29	-0,1	14
0:28:30	29	-0,1	14
0:28:40	29	-0,1	14
0:28:50	29	-0,1	14
0:29:00	29	-0,1	14
0:29:10	29	-0,1	14
0:29:20	29	-0,1	14
0:29:30	29	-0,1	14
0:29:40	29	-0,1	14
0:29:50	29	-0,1	14
0:30:00	29	-0,1	14
0:30:10	29	-0,1	14
0:30:20	29	-0,1	14
0:30:30	29	-0,1	14
0:30:40	29	-0,1	14
0:30:50	29	-0,1	14
0:31:00	29	-0,1	14
0:31:10	29	-0,1	15
0:31:20	29	-0,1	26
0:31:30	29	-0,1	23
0:31:40	29	-0,1	23
0:31:50	29	-0,1	24
0:32:00	29	-0,1	21
0:32:10	29	-0,1	20
0:32:20	29	-0,1	19
0:32:30	29	-0,1	19
0:32:40	29	-0,1	26
0:32:50	29	-0,1	21
0:33:00	29	-0,1	18
0:33:10	29	-0,1	17
0:33:20	29	-0,1	16
0:33:30	29	-0,1	15
0:33:40	29	-0,1	15
0:33:50	29	-0,1	15
0:34:00	29	-0,1	15
0:34:10	29	-0,1	15
0:34:20	29	-0,1	15
0:34:30	29	-0,1	15
0:34:40	29	-0,1	15
0:34:50	29	-0,1	15
0:35:00	29	-0,1	15
0:35:10	29	-0,1	15
0:35:20	29	-0,1	15
0:35:30	29	-0,1	15
0:35:40	29	-0,1	15
0:35:50	29	-0,1	15
0:36:00	29	-0,1	15
0:36:10	29	-0,1	15
0:36:20	29	-0,1	16
0:36:30	29	-0,1	16
0:36:40	29	-0,1	16
0:36:50	29	-0,1	16
0:37:00	29	-0,1	16
0:37:10	29	-0,1	16
0:37:20	29	-0,1	16
0:37:30	29	-0,1	16
0:37:40	29	-0,1	16
0:37:50	29	-0,1	15
0:38:00	29	-0,1	15
0:38:10	29	-0,1	15
0:38:20	29	-0,1	15
0:38:30	29	-0,1	15
0:38:40	29	-0,1	15
0:38:50	29	-0,1	15
0:39:00	29	-0,1	15
0:39:10	29	-0,1	15
0:39:20	29	-0,1	15
0:39:30	29	-0,1	15
0:39:40	29	-0,1	15
0:39:50	29	-0,1	14
0:40:00	29	-0,1	14
0:40:10	29	-0,1	14
0:40:20	29	-0,1	14
0:40:30	29	-0,1	14
0:40:40	29	-0,1	14
0:40:50	29	-0,1	14
0:41:00	29	-0,1	14
0:41:10	29	-0,1	14
0:41:20	29	-0,1	14
0:41:30	29	-0,1	14
0:41:40	29	-0,1	14
0:41:50	29	-0,1	14
0:42:00	29	-0,1	14
0:42:10	29	-0,1	14
0:42:20	29	-0,1	14
0:42:30	29	-0,1	14
0:42:40	29	-0,1	14
0:42:50	29	-0,1	15
0:43:00	29	-0,1	15
0:43:10	29	-0,1	15
0:43:20	29	-0,1	15
0:43:30	29	-0,1	15
0:43:40	29	-0,1	15
0:43:50	29	-0,1	15
0:44:00	29	-0,1	15
0:44:10	29	-0,1	15
0:44:20	29	-0,1	15
0:44:30	29	-0,1	15
0:44:40	29	-0,1	14
0:44:50	29	-0,1	14
0:45:00	29	-0,1	14
0:45:10	29	-0,1	14
0:45:20	29	-0,1	14
0:45:30	29	-0,1	14
0:45:40	29	-0,1	14
0:45:50	29	-0,1	14
0:46:00	29	-0,1	14
0:46:10	29	-0,1	14
0:46:20	29	-0,1	14
0:46:30	29	-0,1	14
0:46:40	29	-0,1	14
0:46:50	29	-0,1	14
0:47:00	29	-0,1	14
0:47:10	29	-0,1	14
0:47:20	29	-0,1	14
0:47:30	29	-0,1	14
0:47:40	29	-0,1	15
0:47:50	29	-0,1	15
0:48:00	29	-0,1	15
0:48:10	29	-0,1	19
0:48:20	29	-0,1	19
0:48:30	29	-0,1	17
0:48:40	29	-0,1	16
0:48:50	29	-0,1	16
0:49:00	29	-0,1	16
0:49:10	29	-0,1	16
0:49:20	29	-0,1	16
0:49:30	29	-0,1	16
0:49:40	29	-0,1	16
0:49:50	29	-0,1	16
0:50:00	29	-0,1	16
0:50:10	29	-0,1	16
0:50:20	29	-0,1	16
0:50:30	29	-0,1	16
0:50:40	29	-0,1	16
0:50:50	29	-0,1	16
0:51:00	29	-0,1	16
0:51:10	29	-0,1	20
0:51:20	29	-0,1	18
0:51:30	29	-0,1	17
0:51:40	29	-0,1	18
0:51:50	29	-0,1	18
0:52:00	29	-0,1	18
0:52:10	29	-0,1	17
0:52:20	29	-0,1	17
0:52:30	29	-0,1	17
0:52:40	29	-0,1	17
0:52:50	29	-0,1	16
0:53:00	29	-0,1	16
0:53:10	29	-0,1	16
0:53:20	29	-0,1	16
0:53:30	29	-0,1	16
0:53:40	29	-0,1	16
0:53:50	29	-0,1	16
0:54:00	29	-0,1	16
0:54:10	29	-0,1	16
0:54:20	29	-0,1	16
0:54:30	29	-0,1	16
0:54:40	29	-0,1	16
0:54:50	29	-0,1	16
0:55:00	29	-0,1	16
0:55:10	29	-0,1	18
0:55:20	29	-0,1	21
0:55:30	29	-0,1	17
0:55:40	29	-0,1	17
0:55:50	29	-0,1	17
0:56:00	29	-0,1	17
0:56:10	29	-0,1	16
0:56:20	29	-0,1	23
0:56:30	29	-0,1	21
0:56:40	29	-0,1	21
0:56:50	29	-0,1	20
0:57:00	29	-0,1	20
0:57:10	29	-0,1	20
0:57:20	29	-0,1	19
0:57:30	29	-0,1	19
0:57:40	29	-0,1	19
0:57:50	29	-0,1	19
0:58:00	29	-0,1	18
0:58:10	29	-0,1	17
0:58:20	29	-0,1	17
0:58:30	29	-0,1	16
0:58:40	29	-0,1	16
0:58:50	29	-0,1	16
0:59:00	29	-0,1	15
0:59:10	29	-0,1	14
0:59:20	29	-0,1	14
0:59:30	29	-0,1	14
0:59:40	29	-0,1	14
0:59:50	29	-0,1	13
1:00:00	29	-0,1	13
1:00:10	29	-0,1	13
1:00:20	29	-0,1	13
1:00:30	29	-0,1	13
1:00:40	29	-0,1	13
1:00:50	29	-0,1	13
1:01:00	29	-0,1	16
1:01:10	29	-0,1	15
1:01:20	29	-0,1	14
1:01:30	29	-0,1	13
1:01:40	29	-0,1	13
1:01:50	29	-0,1	13
1:02:00	29	-0,1	13
1:02:10	29	-0,1	13
1:02:20	29	-0,1	14
1:02:30	29	-0,1	14
1:02:40	29	-0,1	14
1:02:50	29	-0,1	14
1:03:00	29	-0,1	14
1:03:10	29	-0,1	13
1:03:20	29	-0,1	13
1:03:30	29	-0,1	13
1:03:40	29	-0,1	13
1:03:50	29	-0,1	13
1:04:00	29	-0,1	14
1:04:10	29	-0,1	14
1:04:20	29	-0,1	14
1:04:30	29	-0,1	13
1:04:40	29	-0,1	13
1:04:50	29	-0,1	13
1:05:00	29	-0,1	13
