--Test Summary--
Full Path and File Name	
Instrument Name	7222
Instrument Type	Model 7222 Consistometer
Instrument Serial Number	
Test Start Date	26.01.2017
Test Start Time	13:11:09
Test Stop Date	26.01.2017
Test Stop Time	15:25:40
Test Length	2:14:31
Final Sample Time Offset	2:14:30
Controller Schedule Name	
Sampling Period	10 seconds
Comments	MPa 40 (35)
Information	WellID	
Information	Customer	
Information	EngName	
Information	CementClass	G
Information	CementMfr	Õîëñèì
Information	Additives	95G:5Dart-100+0.3%FLOSS-500+0.1%DPC
Information	Density	1900
Information	BHCT	65
Information	BHST	
Information	FluidLoss	
Information	JobType	
Calculated Value	Time_30Bc	2:04:30
Calculated Value	Time_70Bc	2:14:30
Initial Temperature (°C)	31 °C
Final Temperature (°C)	66 °C
Initial Pressure (MPa)	0,9 MPa
Final Pressure (MPa)	39,9 MPa
Initial Consistency (Bc)	4 Bc
Final Consistency (Bc)	77 Bc
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)
0:00:00	31	0,9	4
0:00:10	32	1,1	4
0:00:20	32	1,3	5
0:00:30	32	1,5	4
0:00:40	32	1,7	4
0:00:50	32	2,0	4
0:01:00	32	2,0	4
0:01:10	32	2,3	4
0:01:20	32	2,5	4
0:01:30	32	2,6	4
0:01:40	33	2,9	4
0:01:50	33	2,9	4
0:02:00	33	3,2	4
0:02:10	33	3,3	4
0:02:20	33	3,6	4
0:02:30	33	3,7	4
0:02:40	33	4,1	4
0:02:50	33	4,2	4
0:03:00	33	4,4	4
0:03:10	33	4,6	4
0:03:20	33	4,8	4
0:03:30	34	5,0	4
0:03:40	34	5,1	4
0:03:50	34	5,3	4
0:04:00	34	5,5	4
0:04:10	34	5,7	4
0:04:20	34	5,9	5
0:04:30	34	6,2	4
0:04:40	34	6,4	5
0:04:50	35	6,6	5
0:05:00	35	6,8	5
0:05:10	35	7,0	5
0:05:20	35	7,2	5
0:05:30	35	7,4	5
0:05:40	35	7,6	7
0:05:50	36	7,8	11
0:06:00	36	7,9	19
0:06:10	36	8,1	13
0:06:20	36	8,3	16
0:06:30	36	8,5	19
0:06:40	37	8,7	13
0:06:50	37	8,8	14
0:07:00	37	9,0	12
0:07:10	37	9,2	15
0:07:20	37	9,4	13
0:07:30	37	9,5	13
0:07:40	38	9,7	12
0:07:50	38	9,8	13
0:08:00	38	10,0	16
0:08:10	38	10,1	17
0:08:20	38	10,3	20
0:08:30	39	10,5	17
0:08:40	39	10,6	13
0:08:50	39	11,0	13
0:09:00	39	11,1	11
0:09:10	39	11,3	9
0:09:20	40	11,4	12
0:09:30	40	11,6	13
0:09:40	40	11,9	19
0:09:50	40	12,0	20
0:10:00	40	12,2	15
0:10:10	41	12,3	16
0:10:20	41	12,7	21
0:10:30	41	12,9	14
0:10:40	41	13,0	15
0:10:50	41	13,1	13
0:11:00	42	13,3	16
0:11:10	42	13,4	13
0:11:20	42	13,8	15
0:11:30	42	14,0	23
0:11:40	42	14,1	14
0:11:50	42	14,3	12
0:12:00	43	14,4	11
0:12:10	43	14,5	9
0:12:20	43	14,9	15
0:12:30	43	15,0	14
0:12:40	43	15,2	14
0:12:50	44	15,3	15
0:13:00	44	15,5	14
0:13:10	44	15,9	12
0:13:20	44	16,0	12
0:13:30	44	16,2	11
0:13:40	44	16,3	11
0:13:50	45	16,5	11
0:14:00	45	16,6	10
0:14:10	45	16,8	9
0:14:20	45	16,9	9
0:14:30	45	17,3	5
0:14:40	45	17,4	4
0:14:50	46	17,6	4
0:15:00	46	17,7	3
0:15:10	46	17,9	3
0:15:20	46	18,3	2
0:15:30	46	18,4	1
0:15:40	47	18,6	1
0:15:50	47	18,7	1
0:16:00	47	18,9	1
0:16:10	47	19,0	1
0:16:20	47	19,3	1
0:16:30	47	19,5	1
0:16:40	48	19,6	1
0:16:50	48	19,9	2
0:17:00	48	20,1	2
0:17:10	48	20,2	2
0:17:20	48	20,3	2
0:17:30	48	20,6	2
0:17:40	49	20,8	3
0:17:50	49	20,9	4
0:18:00	49	21,1	6
0:18:10	49	21,6	5
0:18:20	49	21,7	4
0:18:30	49	21,9	4
0:18:40	50	22,0	4
0:18:50	50	22,2	4
0:19:00	50	22,4	3
0:19:10	50	22,5	2
0:19:20	50	22,7	2
0:19:30	50	22,9	2
0:19:40	51	23,0	2
0:19:50	51	23,2	2
0:20:00	51	23,3	1
0:20:10	51	23,9	1
0:20:20	51	24,1	1
0:20:30	52	24,2	1
0:20:40	52	24,3	1
0:20:50	52	24,5	1
0:21:00	52	24,6	1
0:21:10	52	24,8	1
0:21:20	52	25,0	1
0:21:30	53	25,1	1
0:21:40	53	25,3	2
0:21:50	53	25,4	1
0:22:00	53	25,6	1
0:22:10	53	26,0	1
0:22:20	53	26,2	2
0:22:30	54	26,3	2
0:22:40	54	26,4	2
0:22:50	54	26,6	2
0:23:00	54	26,7	2
0:23:10	54	26,8	2
0:23:20	54	27,4	2
0:23:30	55	27,6	2
0:23:40	55	27,7	2
0:23:50	55	27,9	2
0:24:00	55	28,0	2
0:24:10	55	28,2	2
0:24:20	55	28,5	2
0:24:30	56	28,6	2
0:24:40	56	28,8	3
0:24:50	56	28,9	3
0:25:00	56	29,0	2
0:25:10	56	29,2	2
0:25:20	57	29,3	2
0:25:30	57	29,6	2
0:25:40	57	29,7	2
0:25:50	57	29,8	2
0:26:00	57	30,4	2
0:26:10	57	30,5	2
0:26:20	58	30,6	3
0:26:30	58	30,8	3
0:26:40	58	30,9	4
0:26:50	58	31,1	4
0:27:00	58	31,2	5
0:27:10	58	31,4	5
0:27:20	59	31,5	5
0:27:30	59	31,7	4
0:27:40	59	32,2	14
0:27:50	59	32,3	13
0:28:00	59	32,5	20
0:28:10	59	32,6	14
0:28:20	60	32,8	14
0:28:30	60	32,9	14
0:28:40	60	33,1	16
0:28:50	60	33,2	14
0:29:00	60	33,4	15
0:29:10	60	33,6	9
0:29:20	61	33,8	8
0:29:30	61	34,3	4
0:29:40	61	34,4	4
0:29:50	61	34,5	4
0:30:00	61	34,7	4
0:30:10	61	34,8	5
0:30:20	62	34,9	5
0:30:30	62	35,1	5
0:30:40	62	35,3	6
0:30:50	62	35,5	6
0:31:00	62	35,6	6
0:31:10	62	35,8	6
0:31:20	63	36,4	6
0:31:30	63	36,6	8
0:31:40	63	36,7	11
0:31:50	63	36,9	14
0:32:00	63	37,1	15
0:32:10	63	37,2	16
0:32:20	64	37,4	18
0:32:30	64	37,5	14
0:32:40	64	37,7	14
0:32:50	64	37,8	13
0:33:00	64	38,0	12
0:33:10	64	38,1	12
0:33:20	65	38,3	12
0:33:30	65	38,4	14
0:33:40	65	38,7	10
0:33:50	65	38,9	9
0:34:00	65	39,0	8
0:34:10	65	39,2	7
0:34:20	66	39,4	6
0:34:30	66	39,6	6
0:34:40	66	40,0	14
0:34:50	66	40,1	11
0:35:00	66	40,1	7
0:35:10	66	40,2	5
0:35:20	67	40,2	4
0:35:30	67	40,3	3
0:35:40	67	40,3	2
0:35:50	67	40,3	2
0:36:00	67	40,2	2
0:36:10	67	40,1	2
0:36:20	68	39,9	2
0:36:30	68	39,8	2
0:36:40	68	40,0	2
0:36:50	68	39,9	2
0:37:00	68	39,9	2
0:37:10	68	39,8	2
0:37:20	68	39,8	2
0:37:30	68	39,9	2
0:37:40	68	39,9	2
0:37:50	68	39,9	2
0:38:00	68	39,9	2
0:38:10	68	39,8	2
0:38:20	68	39,9	2
0:38:30	68	39,9	2
0:38:40	68	39,9	2
0:38:50	68	40,2	2
0:39:00	68	40,1	2
0:39:10	68	40,0	2
0:39:20	68	39,9	2
0:39:30	68	39,9	2
0:39:40	68	39,8	2
0:39:50	68	39,9	2
0:40:00	68	40,0	2
0:40:10	68	40,0	2
0:40:20	68	40,0	2
0:40:30	68	39,9	2
0:40:40	68	39,9	2
0:40:50	68	39,9	2
0:41:00	68	39,9	2
0:41:10	68	39,9	2
0:41:20	68	39,9	2
0:41:30	68	39,9	2
0:41:40	68	39,9	2
0:41:50	67	39,8	2
0:42:00	67	40,2	2
0:42:10	67	40,1	2
0:42:20	67	40,1	2
0:42:30	67	40,1	2
0:42:40	67	40,1	2
0:42:50	67	40,1	2
0:43:00	67	40,1	2
0:43:10	67	40,1	2
0:43:20	67	40,1	2
0:43:30	67	40,0	2
0:43:40	67	40,1	2
0:43:50	67	40,1	2
0:44:00	67	40,1	2
0:44:10	67	40,1	2
0:44:20	67	40,1	2
0:44:30	67	40,0	2
0:44:40	67	40,0	2
0:44:50	67	40,0	2
0:45:00	67	40,0	2
0:45:10	67	40,0	2
0:45:20	67	40,0	2
0:45:30	67	40,0	2
0:45:40	67	40,0	2
0:45:50	67	40,0	2
0:46:00	67	40,0	2
0:46:10	67	40,0	2
0:46:20	67	40,0	2
0:46:30	67	40,0	2
0:46:40	67	40,1	2
0:46:50	67	40,1	2
0:47:00	67	40,1	2
0:47:10	67	40,0	2
0:47:20	67	40,1	2
0:47:30	67	40,1	2
0:47:40	66	40,1	2
0:47:50	66	40,1	2
0:48:00	66	40,1	2
0:48:10	66	40,1	2
0:48:20	66	40,1	2
0:48:30	66	40,1	2
0:48:40	66	40,1	2
0:48:50	66	40,1	2
0:49:00	66	40,1	2
0:49:10	66	40,1	2
0:49:20	66	40,1	2
0:49:30	66	40,1	2
0:49:40	66	40,1	2
0:49:50	66	40,1	2
0:50:00	66	40,1	2
0:50:10	66	40,1	2
0:50:20	66	40,1	2
0:50:30	66	40,1	2
0:50:40	66	40,1	2
0:50:50	66	40,1	2
0:51:00	66	40,1	2
0:51:10	66	40,1	2
0:51:20	66	40,1	2
0:51:30	66	40,1	2
0:51:40	66	40,1	2
0:51:50	66	40,1	2
0:52:00	66	40,2	2
0:52:10	66	40,2	2
0:52:20	66	40,2	2
0:52:30	66	40,2	2
0:52:40	66	40,2	2
0:52:50	66	40,2	2
0:53:00	66	40,2	2
0:53:10	66	40,2	2
0:53:20	66	40,2	2
0:53:30	66	40,2	2
0:53:40	66	40,2	2
0:53:50	66	40,2	2
0:54:00	66	40,2	2
0:54:10	66	40,2	2
0:54:20	66	40,2	2
0:54:30	66	40,2	2
0:54:40	66	40,2	2
0:54:50	66	40,2	2
0:55:00	66	40,2	2
0:55:10	66	40,3	2
0:55:20	66	40,2	2
0:55:30	66	40,2	2
0:55:40	66	40,2	2
0:55:50	66	40,2	2
0:56:00	66	40,2	2
0:56:10	66	40,2	2
0:56:20	66	40,2	2
0:56:30	66	40,2	2
0:56:40	66	40,2	2
0:56:50	66	40,2	2
0:57:00	66	40,2	2
0:57:10	66	40,2	2
0:57:20	66	40,2	2
0:57:30	66	40,2	2
0:57:40	66	40,2	2
0:57:50	66	40,2	2
0:58:00	66	40,2	2
0:58:10	66	40,2	2
0:58:20	66	40,2	2
0:58:30	66	40,2	2
0:58:40	66	40,2	2
0:58:50	66	40,2	2
0:59:00	66	40,3	2
0:59:10	66	40,3	2
0:59:20	66	40,3	2
0:59:30	66	40,2	2
0:59:40	66	40,2	2
0:59:50	66	40,2	2
1:00:00	66	40,2	2
1:00:10	66	40,3	2
1:00:20	66	40,3	2
