--Test Summary--
Full Path and File Name	
Instrument Name	UCA Left Cell
Instrument Type	Model 4262 Twin Cell UCA
Instrument Serial Number	
Test Start Date	27.01.2017
Test Start Time	11:02:47
Test Stop Date	30.01.2017
Test Stop Time	9:39:13
Test Length	70:36:26
Final Sample Time Offset	70:36:00
Controller Schedule Name	
Sampling Period	30 seconds
Comments	
Information	WellID	
Information	Customer	
Information	EngName	
Information	CementClass	G
Information	CementMfr	—Ú‡ÓˆÂÏÂÌÚÌ˚È Á‡‚Ó‰
Information	Additives	95G:5Dart-100+0.3%FLOSS-500+0.1%DPC
Information	Density	1900
Information	BHCT	65
Information	BHST	85
Information	FluidLoss	
Information	JobType	
Calculated Value	CS_50	3:42:00
Calculated Value	CS_500	4:44:30
Calculated Value	CS_Time8h	10,35 MPa
Calculated Value	CS_Time12h	13,27 MPa
Calculated Value	CS_Time24h	16,04 MPa
Calculated Value	CS_Time48h	18,60 MPa
Calculated Value	CS_Time72h	N/A
Calculated Curve	Compressive Strength	Compressive strength type B (more than 14 lb/gal)
Initial Temperature (∞C)	26 ∞C
Final Temperature (∞C)	84 ∞C
Initial Transit Time (microsec/in)	16,37 microsec/in
Final Transit Time (microsec/in)	8,37 microsec/in
Initial Compressive Strength (MPa)	0,00 MPa
Final Compressive Strength (MPa)	20,02 MPa
--Data--
Time (HH:MM:SS)	Temperature (∞C)	Transit Time (microsec/in)	Compressive Strength (MPa)
0:00:00	26	16,37	0,00
0:00:30	26	16,37	0,00
0:01:00	26	16,38	0,00
0:01:30	26	16,38	0,00
0:02:00	26	16,38	0,00
0:02:30	26	16,38	0,00
0:03:00	26	16,39	0,00
0:03:30	26	16,39	0,00
0:04:00	26	16,40	0,00
0:04:30	26	16,40	0,00
0:05:00	27	16,40	0,00
0:05:30	27	16,40	0,00
0:06:00	27	16,40	0,00
0:06:30	28	16,40	0,00
0:07:00	28	16,40	0,00
0:07:30	29	16,39	0,00
0:08:00	29	16,39	0,00
0:08:30	30	16,38	0,00
0:09:00	31	16,38	0,00
0:09:30	31	16,37	0,00
0:10:00	32	16,36	0,00
0:10:30	33	16,36	0,00
0:11:00	33	16,34	0,01
0:11:30	34	16,33	0,01
0:12:00	34	16,32	0,01
0:12:30	35	16,31	0,02
0:13:00	36	16,30	0,02
0:13:30	36	16,29	0,02
0:14:00	37	16,27	0,03
0:14:30	37	16,27	0,03
0:15:00	38	16,25	0,03
0:15:30	38	16,24	0,03
0:16:00	39	16,23	0,04
0:16:30	39	16,21	0,04
0:17:00	40	16,20	0,05
0:17:30	41	16,19	0,05
0:18:00	41	16,18	0,05
0:18:30	42	16,17	0,06
0:19:00	42	16,16	0,06
0:19:30	43	16,14	0,06
0:20:00	44	16,14	0,06
0:20:30	44	16,13	0,07
0:21:00	45	16,12	0,07
0:21:30	46	16,11	0,07
0:22:00	46	16,09	0,08
0:22:30	47	16,08	0,08
0:23:00	48	16,08	0,08
0:23:30	48	16,06	0,09
0:24:00	49	16,05	0,09
0:24:30	50	16,04	0,09
0:25:00	50	16,03	0,10
0:25:30	51	16,02	0,10
0:26:00	52	16,01	0,10
0:26:30	52	16,01	0,10
0:27:00	53	16,00	0,11
0:27:30	53	15,99	0,11
0:28:00	54	15,98	0,11
0:28:30	54	15,97	0,11
0:29:00	55	15,96	0,12
0:29:30	56	15,96	0,12
0:30:00	56	15,96	0,12
0:30:30	57	15,95	0,12
0:31:00	57	15,94	0,12
0:31:30	58	15,93	0,13
0:32:00	58	15,93	0,13
0:32:30	59	15,93	0,13
0:33:00	60	15,92	0,13
0:33:30	60	15,91	0,13
0:34:00	61	15,91	0,13
0:34:30	62	15,90	0,13
0:35:00	62	15,90	0,13
0:35:30	63	15,90	0,14
0:36:00	64	15,90	0,13
0:36:30	64	15,90	0,14
0:37:00	65	15,90	0,14
0:37:30	66	15,90	0,14
0:38:00	66	15,89	0,14
0:38:30	67	15,90	0,14
0:39:00	67	15,90	0,14
0:39:30	67	15,90	0,14
0:40:00	68	15,90	0,13
0:40:30	68	15,90	0,13
0:41:00	68	15,90	0,13
0:41:30	68	15,90	0,13
0:42:00	69	15,90	0,13
0:42:30	69	15,90	0,13
0:43:00	69	15,90	0,13
0:43:30	69	15,90	0,13
0:44:00	69	15,90	0,13
0:44:30	69	15,91	0,13
0:45:00	69	15,91	0,13
0:45:30	69	15,91	0,13
0:46:00	69	15,92	0,13
0:46:30	69	15,88	0,14
0:47:00	69	15,88	0,14
0:47:30	69	15,89	0,14
0:48:00	69	15,89	0,14
0:48:30	69	15,89	0,14
0:49:00	69	15,89	0,14
0:49:30	69	15,89	0,14
0:50:00	69	15,89	0,14
0:50:30	69	15,90	0,14
0:51:00	69	15,90	0,14
0:51:30	69	15,90	0,14
0:52:00	68	15,90	0,14
0:52:30	68	15,90	0,14
0:53:00	68	15,90	0,14
0:53:30	68	15,90	0,14
0:54:00	68	15,90	0,14
0:54:30	68	15,90	0,13
0:55:00	68	15,90	0,13
0:55:30	68	15,90	0,13
0:56:00	68	15,90	0,13
0:56:30	68	15,90	0,13
0:57:00	67	15,90	0,13
0:57:30	67	15,90	0,13
0:58:00	67	15,91	0,13
0:58:30	68	15,91	0,13
0:59:00	68	15,91	0,13
0:59:30	68	15,91	0,13
1:00:00	68	15,91	0,13
1:00:30	68	15,91	0,13
1:01:00	68	15,92	0,13
1:01:30	68	15,91	0,13
1:02:00	68	15,92	0,13
1:02:30	68	15,92	0,13
1:03:00	68	15,92	0,13
1:03:30	68	15,92	0,13
1:04:00	68	15,92	0,13
1:04:30	68	15,92	0,13
