--Test Summary--
Full Path and File Name	
Instrument Name	7322
Instrument Type	Model 7322 Consistometer - Variable Speed
Instrument Serial Number	
Test Start Date	17.02.2017
Test Start Time	9:39:45
Test Stop Date	17.02.2017
Test Stop Time	11:39:37
Test Length	1:59:52
Final Sample Time Offset	1:59:51
Controller Schedule Name	
Sampling Period	1 second
Comments	MPa 5 (30)
Information	WellID	
Information	Customer	
Information	EngName	
Information	CementClass	G
Information	CementMfr	Õîëñèì
Information	Additives	100G: 5%TA-1+2%CaCl2
Information	Density	1920
Information	BHCT	
Information	BHST	
Information	FluidLoss	
Information	JobType	
Calculated Value	Time_30Bc	0:41:28
Calculated Value	Time_70Bc	1:59:51
Initial Temperature (°C)	32 °C
Final Temperature (°C)	21 °C
Initial Pressure (MPa)	0,5 MPa
Final Pressure (MPa)	5,2 MPa
Initial Consistency (Bc)	26 Bc
Final Consistency (Bc)	70 Bc
Initial Wall Temperature (°C)	23 °C
Final Wall Temperature (°C)	20 °C
Initial Motor Speed (RPM)	150 RPM
Final Motor Speed (RPM)	150 RPM
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)	Wall Temperature (°C)	Motor Speed (RPM)
0:00:00	32	0,5	26	23	150
0:00:01	32	0,5	26	23	150
0:00:02	32	0,5	26	23	150
0:00:03	32	0,5	26	23	150
0:00:04	32	0,5	26	23	150
0:00:05	32	0,5	26	23	150
0:00:06	32	0,5	26	23	150
0:00:07	32	0,5	26	23	150
0:00:08	31	0,5	26	23	150
0:00:09	31	0,5	26	23	150
0:00:10	31	0,5	26	23	150
0:00:11	31	0,5	26	23	150
0:00:12	31	0,5	26	23	150
0:00:13	31	0,5	26	23	150
0:00:14	31	0,5	26	23	150
0:00:15	31	0,5	26	23	150
0:00:16	31	0,5	26	23	150
0:00:17	31	0,5	26	23	150
0:00:18	31	0,5	26	23	150
0:00:19	31	0,6	26	23	150
0:00:20	31	0,6	26	23	150
0:00:21	31	0,6	26	23	150
0:00:22	31	0,6	26	23	150
0:00:23	31	0,6	26	23	150
0:00:24	31	0,6	26	23	150
0:00:25	31	0,6	26	23	150
0:00:26	31	0,5	26	23	150
0:00:27	31	0,5	26	23	150
0:00:28	31	0,5	26	23	150
0:00:29	31	0,5	26	23	150
0:00:30	31	0,5	26	23	150
0:00:31	31	0,5	26	23	150
0:00:32	31	0,5	26	23	150
0:00:33	31	0,5	26	23	150
0:00:34	31	0,5	26	23	150
0:00:35	31	0,5	26	23	150
0:00:36	31	0,5	26	23	150
0:00:37	31	0,5	26	23	150
0:00:38	31	0,6	25	23	150
0:00:39	31	0,6	25	23	150
0:00:40	31	0,6	25	23	150
0:00:41	31	0,6	25	23	150
0:00:42	31	0,6	25	23	150
0:00:43	31	0,6	25	23	150
0:00:44	31	0,6	25	23	150
0:00:45	31	0,6	25	23	150
0:00:46	31	0,6	25	23	150
0:00:47	31	0,6	25	23	150
0:00:48	31	0,6	25	23	150
0:00:49	31	0,6	25	23	150
0:00:50	31	0,6	25	23	150
0:00:51	31	0,6	25	23	150
0:00:52	31	0,6	25	23	150
0:00:53	31	0,6	25	23	150
0:00:54	31	0,6	25	23	150
0:00:55	31	0,6	25	23	150
0:00:56	31	0,6	25	23	150
0:00:57	31	0,6	25	23	150
0:00:58	31	0,6	25	23	150
0:00:59	31	0,6	25	23	150
0:01:00	31	0,6	25	23	150
0:01:01	31	0,7	25	23	150
0:01:02	31	0,7	25	23	150
0:01:03	31	0,7	25	23	150
0:01:04	31	0,7	25	23	150
0:01:05	31	0,7	25	23	150
0:01:06	31	0,7	25	23	150
0:01:07	31	0,7	25	23	150
0:01:08	31	0,7	25	23	150
0:01:09	31	0,7	25	23	150
0:01:10	31	0,6	25	23	150
0:01:11	31	0,6	25	23	150
0:01:12	31	0,6	25	23	150
0:01:13	31	0,6	25	23	150
0:01:14	31	0,6	25	23	150
0:01:15	31	0,6	25	23	150
0:01:16	31	0,6	25	23	150
0:01:17	31	0,6	25	23	150
0:01:18	31	0,7	25	23	150
0:01:19	31	0,7	25	23	150
0:01:20	31	0,7	25	23	150
0:01:21	31	0,7	25	23	150
0:01:22	31	0,7	25	23	150
0:01:23	31	0,7	25	23	150
0:01:24	31	0,7	25	23	150
0:01:25	31	0,7	25	23	150
0:01:26	31	0,7	25	23	150
0:01:27	31	0,7	25	23	150
0:01:28	31	0,7	25	23	150
0:01:29	31	0,7	25	23	150
0:01:30	31	0,7	25	23	150
0:01:31	31	0,7	25	23	150
0:01:32	31	0,7	25	23	150
0:01:33	31	0,7	25	23	150
0:01:34	31	0,7	25	23	150
0:01:35	30	0,8	25	23	150
0:01:36	31	0,8	25	23	150
0:01:37	30	0,8	25	23	150
0:01:38	30	0,8	25	23	150
0:01:39	30	0,8	25	23	150
0:01:40	30	0,8	25	23	150
0:01:41	30	0,8	25	23	150
0:01:42	30	0,8	25	23	150
0:01:43	30	0,7	25	23	150
0:01:44	30	0,7	25	23	150
0:01:45	30	0,7	25	23	150
0:01:46	30	0,7	25	23	150
0:01:47	30	0,7	25	23	150
0:01:48	30	0,7	25	23	150
0:01:49	30	0,7	25	23	150
0:01:50	30	0,7	25	23	150
0:01:51	30	0,7	25	23	150
0:01:52	30	0,7	25	23	150
0:01:53	30	0,7	25	23	150
0:01:54	30	0,7	25	23	150
0:01:55	30	0,7	25	23	150
0:01:56	30	0,7	25	23	150
0:01:57	30	0,7	25	23	150
0:01:58	30	0,7	25	23	150
0:01:59	30	0,7	25	23	150
0:02:00	30	0,7	25	23	150
0:02:01	30	0,8	25	23	150
0:02:02	30	0,8	25	23	150
0:02:03	30	0,8	25	23	150
0:02:04	30	0,8	25	23	150
0:02:05	30	0,8	25	23	150
0:02:06	30	0,8	25	23	150
0:02:07	30	0,8	25	23	150
0:02:08	30	0,8	25	23	150
0:02:09	30	0,8	25	23	150
0:02:10	30	0,8	25	23	150
0:02:11	30	0,8	25	23	150
0:02:12	30	0,8	25	23	150
0:02:13	30	0,8	25	23	150
0:02:14	30	0,8	25	23	150
0:02:15	30	0,8	25	23	150
0:02:16	30	0,8	25	23	150
0:02:17	30	0,8	25	23	150
0:02:18	30	0,9	25	23	150
0:02:19	30	0,9	25	23	150
0:02:20	30	0,9	25	23	150
0:02:21	30	0,9	25	23	150
0:02:22	30	0,9	25	23	150
0:02:23	30	0,9	25	23	150
0:02:24	30	0,8	25	23	150
0:02:25	30	0,8	25	23	150
0:02:26	30	0,8	25	23	150
0:02:27	30	0,8	25	23	150
0:02:28	30	0,8	25	23	150
0:02:29	30	0,8	25	23	150
0:02:30	30	0,8	25	23	150
0:02:31	30	0,8	25	23	150
0:02:32	30	0,8	25	23	150
0:02:33	30	0,8	25	23	150
0:02:34	30	0,8	26	23	150
0:02:35	30	0,8	26	23	150
0:02:36	30	0,9	26	23	150
0:02:37	30	0,9	26	23	150
0:02:38	30	0,9	26	23	150
0:02:39	30	0,9	26	23	150
0:02:40	30	0,9	26	23	150
0:02:41	30	0,9	26	23	150
0:02:42	30	0,9	26	23	150
0:02:43	30	0,9	26	23	150
0:02:44	30	0,9	26	23	150
0:02:45	30	0,9	26	23	150
0:02:46	30	0,9	26	23	150
0:02:47	30	0,9	26	23	150
0:02:48	30	1,0	26	23	150
0:02:49	30	1,0	26	23	150
0:02:50	30	1,0	26	23	150
0:02:51	30	1,0	26	23	150
0:02:52	30	1,0	26	23	150
0:02:53	30	1,0	26	23	150
0:02:54	30	1,0	26	23	150
0:02:55	30	1,0	26	23	150
0:02:56	30	1,0	26	23	150
0:02:57	30	1,0	26	23	150
0:02:58	30	1,0	26	23	150
0:02:59	30	1,0	26	23	150
0:03:00	30	1,0	26	23	150
0:03:01	30	1,0	26	23	150
0:03:02	30	1,0	26	23	150
0:03:03	30	1,0	26	23	150
0:03:04	30	1,0	26	23	150
0:03:05	30	0,9	26	23	150
0:03:06	30	0,9	26	23	150
0:03:07	30	0,9	26	23	150
0:03:08	29	0,9	26	23	150
0:03:09	29	0,9	26	23	150
0:03:10	29	0,9	26	23	150
0:03:11	29	0,9	26	23	150
0:03:12	29	0,9	26	23	150
0:03:13	29	0,9	26	23	150
0:03:14	29	0,9	26	23	150
0:03:15	29	0,9	26	23	150
0:03:16	29	0,9	26	23	150
0:03:17	29	0,9	26	23	150
0:03:18	29	1,0	26	23	150
0:03:19	29	1,0	26	23	150
0:03:20	29	1,0	26	23	150
0:03:21	29	1,0	26	23	150
0:03:22	29	1,0	26	23	150
0:03:23	29	0,9	26	23	150
0:03:24	29	0,9	26	23	150
0:03:25	29	1,1	26	23	150
0:03:26	29	1,1	26	23	150
0:03:27	29	1,1	26	23	150
0:03:28	29	1,2	26	23	150
0:03:29	29	1,2	26	23	150
0:03:30	29	1,1	26	23	150
0:03:31	29	1,1	26	23	150
