--Test Summary--
Full Path and File Name	
Instrument Name	7322
Instrument Type	Model 7322 Consistometer - Variable Speed
Instrument Serial Number	
Test Start Date	27.03.2017
Test Start Time	12:17:22
Test Stop Date	27.03.2017
Test Stop Time	17:06:35
Test Length	4:49:13
Final Sample Time Offset	4:49:12
Controller Schedule Name	
Sampling Period	1 second
Comments	
Information	WellID	
Information	Customer	
Information	EngName	
Information	CementClass	
Information	CementMfr	Öåìåíò Îãíåóïîð (áåç ôèáðû)
Information	Additives	
Information	Density	
Information	BHCT	
Information	BHST	
Information	FluidLoss	
Information	JobType	
Calculated Value	Time_30Bc	N/A
Calculated Value	Time_70Bc	N/A
Initial Temperature (°C)	28 °C
Final Temperature (°C)	22 °C
Initial Pressure (MPa)	0,6 MPa
Final Pressure (MPa)	0,4 MPa
Initial Consistency (Bc)	2 Bc
Final Consistency (Bc)	2 Bc
Initial Wall Temperature (°C)	22 °C
Final Wall Temperature (°C)	21 °C
Initial Motor Speed (RPM)	150 RPM
Final Motor Speed (RPM)	150 RPM
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)	Wall Temperature (°C)	Motor Speed (RPM)
0:00:00	28	0,6	2	22	150
0:00:01	28	0,6	2	22	150
0:00:02	28	0,6	2	22	150
0:00:03	28	0,6	2	22	150
0:00:04	28	0,6	2	22	150
0:00:05	28	0,6	2	22	150
0:00:06	28	0,6	2	22	150
0:00:07	28	0,6	2	22	150
0:00:08	28	0,6	2	22	150
0:00:09	28	0,6	2	22	150
0:00:10	28	0,6	2	22	150
0:00:11	28	0,6	2	22	150
0:00:12	28	0,6	2	22	150
0:00:13	28	0,6	2	22	150
0:00:14	28	0,6	2	22	150
0:00:15	28	0,6	2	22	150
0:00:16	28	0,6	2	22	150
0:00:17	28	0,6	2	22	150
0:00:18	28	0,6	2	22	150
0:00:19	28	0,6	2	22	150
0:00:20	28	0,6	2	22	150
0:00:21	28	0,6	2	22	150
0:00:22	28	0,6	2	22	150
0:00:23	28	0,6	2	22	150
0:00:24	28	0,6	2	22	150
0:00:25	28	0,6	2	22	150
0:00:26	28	0,6	2	22	150
0:00:27	28	0,6	2	22	150
0:00:28	28	0,6	2	22	150
0:00:29	28	0,6	2	22	150
0:00:30	28	0,6	2	22	150
0:00:31	28	0,6	2	22	150
0:00:32	28	0,6	2	22	150
0:00:33	28	0,6	2	22	150
0:00:34	28	0,6	2	22	150
0:00:35	28	0,6	2	22	150
0:00:36	28	0,6	2	22	150
0:00:37	28	0,6	2	22	150
0:00:38	28	0,6	2	22	150
0:00:39	28	0,6	2	22	150
0:00:40	28	0,6	2	22	150
0:00:41	28	0,6	2	22	150
0:00:42	28	0,6	2	22	150
0:00:43	28	0,6	2	22	150
0:00:44	28	0,6	2	22	150
0:00:45	28	0,6	2	22	150
0:00:46	28	0,6	2	22	150
0:00:47	28	0,6	2	22	150
0:00:48	28	0,6	2	22	150
0:00:49	28	0,6	2	22	150
0:00:50	28	0,6	2	21	150
0:00:51	28	0,6	2	22	150
0:00:52	28	0,6	2	22	150
0:00:53	28	0,6	2	22	150
0:00:54	28	0,6	2	21	150
0:00:55	28	0,6	2	22	150
0:00:56	28	0,6	2	22	150
0:00:57	28	0,6	2	21	150
0:00:58	28	0,6	2	22	150
0:00:59	28	0,6	2	21	150
0:01:00	28	0,6	2	21	150
0:01:01	28	0,6	2	21	150
0:01:02	28	0,6	2	22	150
0:01:03	28	0,6	2	21	150
0:01:04	28	0,6	2	21	150
0:01:05	28	0,6	2	22	150
0:01:06	28	0,6	2	21	150
0:01:07	28	0,6	2	21	150
0:01:08	28	0,6	2	21	150
0:01:09	28	0,6	2	21	150
0:01:10	28	0,6	2	21	150
0:01:11	28	0,6	2	22	150
0:01:12	28	0,6	2	21	150
0:01:13	28	0,6	2	21	150
0:01:14	28	0,6	2	21	150
0:01:15	28	0,6	2	21	150
0:01:16	28	0,6	2	21	150
0:01:17	28	0,6	2	21	150
0:01:18	28	0,6	2	21	150
0:01:19	28	0,6	2	21	150
0:01:20	28	0,6	2	21	150
0:01:21	28	0,6	2	21	150
0:01:22	28	0,6	2	21	150
0:01:23	28	0,6	2	21	150
0:01:24	28	0,6	2	21	150
0:01:25	28	0,6	2	21	150
0:01:26	28	0,6	2	21	150
0:01:27	28	0,6	2	21	150
0:01:28	28	0,6	2	21	150
0:01:29	28	0,6	2	21	150
0:01:30	28	0,6	2	21	150
0:01:31	28	0,6	2	21	150
0:01:32	28	0,6	2	21	150
0:01:33	28	0,6	2	21	150
0:01:34	28	0,6	2	21	150
