--Test Summary--
Full Path and File Name	
Instrument Name	UCA Left Cell
Instrument Type	Model 4262 Twin Cell UCA
Instrument Serial Number	
Test Start Date	04.05.2017
Test Start Time	16:01:20
Test Stop Date	05.05.2017
Test Stop Time	9:09:47
Test Length	17:08:27
Final Sample Time Offset	17:08:00
Controller Schedule Name	
Sampling Period	30 seconds
Comments	
Information	WellID	
Information	Customer	
Information	EngName	
Information	CementClass	G
Information	CementMfr	
Information	Additives	100G:100Gipsum+0.45Sodium Cit+1.6Floss-117+0.2GMEA
Information	Density	1890
Information	BHCT	
Information	BHST	
Information	FluidLoss	
Information	JobType	
Calculated Value	CS_50	5:27:00
Calculated Value	CS_500	16:01:30
Calculated Value	CS_Time8h	3,15 MPa
Calculated Value	CS_Time12h	3,34 MPa
Calculated Value	CS_Time24h	N/A
Calculated Value	CS_Time48h	N/A
Calculated Value	CS_Time72h	N/A
Calculated Curve	Compressive Strength	Compressive strength type B (more than 14 lb/gal)
Initial Temperature (°C)	25 °C
Final Temperature (°C)	10 °C
Initial Transit Time (microsec/in)	16,35 microsec/in
Final Transit Time (microsec/in)	11,71 microsec/in
Initial Compressive Strength (MPa)	0,00 MPa
Final Compressive Strength (MPa)	3,49 MPa
--Data--
Time (HH:MM:SS)	Temperature (°C)	Transit Time (microsec/in)	Compressive Strength (MPa)
0:00:00	25	16,35	0,00
0:00:30	25		
0:01:00	25		
0:01:30	24	16,36	0,00
0:02:00	24	16,36	0,00
0:02:30	24	16,36	0,00
0:03:00	24	16,37	0,00
0:03:30	24	16,38	0,00
0:04:00	23	16,38	0,00
0:04:30	23	16,39	0,00
0:05:00	23	16,40	0,00
0:05:30	23	16,41	0,00
0:06:00	23	16,41	0,00
0:06:30	23	16,42	0,00
0:07:00	22	16,43	0,00
0:07:30	22	16,44	0,00
0:08:00	22	16,44	0,00
0:08:30	22	16,45	0,00
0:09:00	22	16,46	0,00
0:09:30	21	16,47	0,00
0:10:00	21	16,48	0,00
0:10:30	21	16,49	0,00
0:11:00	21	16,50	0,00
0:11:30	21	16,50	0,00
0:12:00	21	16,51	0,00
0:12:30	20	16,52	0,00
0:13:00	20	16,53	0,00
0:13:30	20	16,54	0,00
0:14:00	20	16,54	0,00
0:14:30	20	16,55	0,00
0:15:00	20	16,56	0,00
0:15:30	19	16,57	0,00
0:16:00	19	16,57	0,00
0:16:30	19	16,58	0,00
0:17:00	19	16,59	0,00
0:17:30	19	16,60	0,00
0:18:00	19	16,61	0,00
0:18:30	18	16,61	0,00
0:19:00	18	16,62	0,00
0:19:30	18	16,62	0,00
0:20:00	18	16,63	0,00
0:20:30	18	16,64	0,00
0:21:00	18	16,65	0,00
0:21:30	18	16,65	0,00
0:22:00	17	16,66	0,00
0:22:30	17	16,67	0,00
0:23:00	17	16,67	0,00
0:23:30	17	16,68	0,00
0:24:00	17	16,68	0,00
0:24:30	17	16,69	0,00
0:25:00	17	16,70	0,00
0:25:30	17	16,71	0,00
0:26:00	16	16,71	0,00
0:26:30	16	16,71	0,00
0:27:00	16	16,72	0,00
0:27:30	16	16,73	0,00
0:28:00	16	16,73	0,00
0:28:30	16	16,74	0,00
0:29:00	16	16,74	0,00
0:29:30	16	16,74	0,00
0:30:00	16	16,75	0,00
0:30:30	15	16,76	0,00
0:31:00	15	16,76	0,00
0:31:30	15	16,77	0,00
0:32:00	15	16,78	0,00
0:32:30	15	16,78	0,00
0:33:00	15	16,78	0,00
0:33:30	15	16,78	0,00
0:34:00	15	16,79	0,00
0:34:30	15	16,80	0,00
0:35:00	15	16,80	0,00
0:35:30	14	16,80	0,00
0:36:00	14	16,81	0,00
0:36:30	14	16,81	0,00
0:37:00	14	16,82	0,00
0:37:30	14	16,82	0,00
0:38:00	14	16,83	0,00
0:38:30	14	16,83	0,00
0:39:00	14	16,84	0,00
0:39:30	14	16,84	0,00
0:40:00	14	16,84	0,00
0:40:30	14	16,84	0,00
0:41:00	14	16,85	0,00
0:41:30	13	16,85	0,00
0:42:00	13	16,86	0,00
0:42:30	13	16,86	0,00
0:43:00	13	16,86	0,00
0:43:30	13	16,86	0,00
0:44:00	13	16,87	0,00
0:44:30	13	16,87	0,00
0:45:00	13	16,88	0,00
0:45:30	13	16,88	0,00
0:46:00	13	16,89	0,00
0:46:30	13	16,89	0,00
0:47:00	13	16,89	0,00
0:47:30	13	16,89	0,00
0:48:00	13	16,89	0,00
0:48:30	13	16,90	0,00
0:49:00	12	16,90	0,00
0:49:30	12	16,90	0,00
0:50:00	12	16,91	0,00
0:50:30	12	16,91	0,00
0:51:00	12	16,91	0,00
0:51:30	12	16,92	0,00
0:52:00	12	16,92	0,00
0:52:30	12	16,92	0,00
0:53:00	12	16,92	0,00
0:53:30	12	16,93	0,00
0:54:00	12	16,93	0,00
0:54:30	12	16,93	0,00
0:55:00	12	16,93	0,00
0:55:30	12	16,94	0,00
0:56:00	12	16,94	0,00
0:56:30	12	16,94	0,00
0:57:00	12	16,95	0,00
0:57:30	12	16,95	0,00
0:58:00	12	16,95	0,00
0:58:30	12	16,95	0,00
0:59:00	12	16,95	0,00
0:59:30	11	16,95	0,00
1:00:00	11	16,96	0,00
1:00:30	11	16,96	0,00
1:01:00	11	16,96	0,00
1:01:30	11	16,97	0,00
1:02:00	11	16,94	0,00
1:02:30	11	16,94	0,00
1:03:00	11	16,95	0,00
1:03:30	11	16,95	0,00
1:04:00	11	16,95	0,00
1:04:30	11	16,95	0,00
1:05:00	11	16,95	0,00
1:05:30	11	16,95	0,00
1:06:00	11	16,95	0,00
1:06:30	11	16,96	0,00
1:07:00	11	16,96	0,00
1:07:30	11	16,96	0,00
1:08:00	11	16,96	0,00
