--Test Summary--
Full Path and File Name	
Instrument Name	7322
Instrument Type	Model 7322 Consistometer - Variable Speed
Instrument Serial Number	
Test Start Date	19.09.2017
Test Start Time	12:03:40
Test Stop Date	19.09.2017
Test Stop Time	12:52:11
Test Length	0:48:31
Final Sample Time Offset	0:48:30
Controller Schedule Name	
Sampling Period	1 second
Comments	MPa 26 (35)
Information	WellID	
Information	Customer	
Information	EngName	
Information	CementClass	Cem550
Information	CementMfr	
Information	Additives	100Cem550+100GVVS+0.35À +0.9Floss-110LV+0.4DPC
Information	Density	1890
Information	BHCT	11
Information	BHST	
Information	FluidLoss	
Information	JobType	
Calculated Value	Time_30Bc	0:33:29
Calculated Value	Time_70Bc	N/A
Initial Temperature (∞C)	28 ∞C
Final Temperature (∞C)	14 ∞C
Initial Pressure (MPa)	0,6 MPa
Final Pressure (MPa)	26,0 MPa
Initial Consistency (Bc)	17 Bc
Final Consistency (Bc)	34 Bc
Initial Wall Temperature (∞C)	21 ∞C
Final Wall Temperature (∞C)	12 ∞C
Initial Motor Speed (RPM)	150 RPM
Final Motor Speed (RPM)	150 RPM
--Data--
Time (HH:MM:SS)	Temperature (∞C)	Pressure (MPa)	Consistency (Bc)	Wall Temperature (∞C)	Motor Speed (RPM)
0:00:00	28	0,6	17	21	150
0:00:01	28	0,6	17	21	150
0:00:02	28	0,6	17	21	150
0:00:03	28	0,6	17	20	150
0:00:04	28	0,6	17	20	150
0:00:05	28	0,6	17	20	150
0:00:06	28	0,6	17	20	150
0:00:07	28	0,6	17	20	150
0:00:08	28	0,6	17	20	150
0:00:09	28	0,6	17	20	150
0:00:10	28	0,6	17	20	150
0:00:11	28	0,6	17	20	150
0:00:12	28	0,6	17	20	150
0:00:13	28	0,6	17	20	150
0:00:14	28	0,6	17	20	150
0:00:15	28	0,6	17	20	150
0:00:16	28	0,6	17	20	150
0:00:17	28	0,6	17	21	150
0:00:18	28	0,6	17	20	150
0:00:19	28	0,6	17	20	150
0:00:20	28	0,6	17	20	150
0:00:21	28	0,6	17	20	150
0:00:22	28	0,6	17	20	150
0:00:23	28	0,6	17	20	150
0:00:24	28	0,6	17	20	150
0:00:25	28	0,6	17	20	150
0:00:26	28	0,6	17	20	150
0:00:27	28	0,7	17	20	150
0:00:28	28	0,7	17	20	150
0:00:29	28	0,7	17	20	150
0:00:30	28	0,7	17	20	150
0:00:31	28	0,7	17	20	150
0:00:32	28	0,7	17	20	150
0:00:33	28	0,7	17	20	150
0:00:34	28	0,7	17	20	150
0:00:35	28	0,7	17	20	150
0:00:36	28	0,8	17	20	150
0:00:37	28	0,7	17	20	150
0:00:38	28	0,8	17	20	150
0:00:39	28	0,8	17	20	150
0:00:40	28	0,8	17	20	150
0:00:41	28	0,8	17	20	150
0:00:42	27	0,8	17	20	150
0:00:43	27	0,8	17	20	150
0:00:44	27	0,9	17	20	150
0:00:45	27	0,9	17	20	150
0:00:46	27	0,9	17	20	150
0:00:47	27	0,9	17	20	150
0:00:48	27	0,9	17	20	150
0:00:49	27	0,9	17	20	150
0:00:50	27	0,9	17	20	150
0:00:51	27	0,9	17	20	150
0:00:52	27	1,0	17	20	150
0:00:53	27	1,0	18	20	150
0:00:54	27	1,0	18	20	150
0:00:55	27	1,0	18	20	150
0:00:56	27	1,0	18	20	150
0:00:57	27	1,1	18	20	150
0:00:58	27	1,1	18	20	150
0:00:59	27	1,1	18	20	150
0:01:00	27	1,1	18	20	150
0:01:01	27	1,1	18	20	150
0:01:02	27	1,1	18	20	150
0:01:03	27	1,2	18	20	150
0:01:04	27	1,2	18	20	150
0:01:05	27	1,2	18	20	150
0:01:06	27	1,2	18	20	150
0:01:07	27	1,2	18	20	150
0:01:08	27	1,2	18	20	150
0:01:09	27	1,3	18	20	150
0:01:10	27	1,3	18	20	150
0:01:11	27	1,3	18	20	150
0:01:12	27	1,3	18	20	150
0:01:13	27	1,3	18	20	150
0:01:14	27	1,3	18	20	150
0:01:15	27	1,3	18	20	150
0:01:16	27	1,3	18	20	150
0:01:17	27	1,3	18	20	150
0:01:18	27	1,4	18	20	150
0:01:19	27	1,4	18	20	150
0:01:20	27	1,4	18	20	150
0:01:21	27	1,4	18	20	150
0:01:22	27	1,5	18	20	150
0:01:23	27	1,5	18	20	150
0:01:24	27	1,5	18	20	150
0:01:25	27	1,5	18	20	150
0:01:26	27	1,5	18	20	150
0:01:27	27	1,5	18	20	150
0:01:28	27	1,5	18	20	150
0:01:29	27	1,5	18	20	150
0:01:30	27	1,6	18	20	150
0:01:31	27	1,6	18	20	150
0:01:32	27	1,6	18	20	150
0:01:33	27	1,6	18	20	150
0:01:34	27	1,6	18	20	150
0:01:35	27	1,6	18	20	150
0:01:36	27	1,6	18	20	150
0:01:37	27	1,6	18	20	150
0:01:38	27	1,7	18	20	150
0:01:39	27	1,7	18	20	150
0:01:40	27	1,7	18	20	150
0:01:41	27	1,7	18	20	150
0:01:42	27	1,7	18	20	150
0:01:43	27	1,8	18	20	150
0:01:44	27	1,8	18	20	150
0:01:45	27	1,8	18	20	150
0:01:46	27	1,8	18	20	150
0:01:47	27	1,8	18	20	150
0:01:48	27	1,8	18	20	150
0:01:49	27	1,8	18	20	150
0:01:50	27	1,8	18	20	150
0:01:51	27	1,8	18	20	150
0:01:52	27	1,8	18	20	150
0:01:53	27	1,8	18	20	150
0:01:54	27	1,8	18	20	150
0:01:55	27	1,9	18	20	150
0:01:56	27	1,9	18	20	150
0:01:57	27	1,9	18	20	150
0:01:58	27	1,9	18	20	150
0:01:59	27	2,0	18	19	150
0:02:00	27	2,0	18	20	150
0:02:01	27	2,0	19	20	150
0:02:02	27	2,0	19	20	150
0:02:03	27	2,0	19	20	150
0:02:04	27	2,0	19	20	150
0:02:05	27	2,0	19	20	150
0:02:06	27	2,0	19	20	150
0:02:07	26	2,0	19	20	150
0:02:08	26	2,0	19	19	150
0:02:09	26	2,1	19	20	150
0:02:10	26	2,1	19	19	150
0:02:11	26	2,1	19	20	150
0:02:12	26	2,1	19	19	150
0:02:13	26	2,2	19	20	150
0:02:14	26	2,2	19	20	150
0:02:15	26	2,2	19	19	150
0:02:16	26	2,2	19	20	150
0:02:17	26	2,2	19	19	150
0:02:18	26	2,2	19	19	150
0:02:19	26	2,2	19	19	150
0:02:20	26	2,2	19	19	150
0:02:21	26	2,2	19	19	150
0:02:22	26	2,2	19	19	150
0:02:23	26	2,2	19	19	150
0:02:24	26	2,2	19	19	150
0:02:25	26	2,2	19	19	150
0:02:26	26	2,3	19	19	150
0:02:27	26	2,3	19	19	150
0:02:28	26	2,3	19	19	150
0:02:29	26	2,3	19	20	150
0:02:30	26	2,3	19	19	150
0:02:31	26	2,3	19	19	150
0:02:32	26	2,4	19	19	150
0:02:33	26	2,4	19	19	150
0:02:34	26	2,4	19	19	150
0:02:35	26	2,4	19	19	150
0:02:36	26	2,4	19	19	150
0:02:37	26	2,4	19	19	150
0:02:38	26	2,4	19	19	150
0:02:39	26	2,4	19	19	150
0:02:40	26	2,4	19	19	150
0:02:41	26	2,4	19	19	150
0:02:42	26	2,4	19	19	150
0:02:43	26	2,4	19	19	150
0:02:44	26	2,5	19	19	150
0:02:45	26	2,6	19	19	150
0:02:46	26	2,6	19	19	150
0:02:47	26	2,6	19	19	150
0:02:48	26	2,6	19	19	150
0:02:49	26	2,6	19	19	150
0:02:50	26	2,6	19	19	150
0:02:51	26	2,6	19	19	150
0:02:52	26	2,6	19	19	150
0:02:53	26	2,6	19	19	150
0:02:54	26	2,6	19	19	150
0:02:55	26	2,6	19	19	150
0:02:56	26	2,6	19	19	150
0:02:57	26	2,6	19	19	150
0:02:58	26	2,6	19	19	150
0:02:59	26	2,7	19	19	150
0:03:00	26	2,7	19	19	150
0:03:01	26	2,7	19	19	150
0:03:02	26	2,8	19	19	150
0:03:03	26	2,8	19	19	150
0:03:04	26	2,7	19	19	150
0:03:05	26	2,7	19	19	150
0:03:06	26	2,7	19	19	150
0:03:07	26	2,8	19	19	150
0:03:08	26	2,9	19	19	150
0:03:09	26	2,9	19	19	150
0:03:10	26	2,9	19	19	150
0:03:11	26	2,9	19	19	150
0:03:12	26	2,9	19	19	150
0:03:13	26	2,9	19	19	150
0:03:14	26	2,9	19	19	150
0:03:15	26	2,9	19	19	150
0:03:16	26	2,9	19	19	150
0:03:17	26	2,9	19	19	150
0:03:18	26	2,9	19	19	150
0:03:19	26	2,9	19	19	150
0:03:20	26	2,9	19	19	150
0:03:21	26	2,9	19	19	150
0:03:22	26	2,9	19	19	150
0:03:23	26	3,0	19	19	150
0:03:24	26	3,1	19	19	150
0:03:25	26	3,1	19	19	150
0:03:26	26	3,1	19	19	150
0:03:27	26	3,1	19	19	150
0:03:28	26	3,1	19	19	150
0:03:29	26	3,1	19	19	150
0:03:30	26	3,1	19	19	150
0:03:31	26	3,1	19	19	150
0:03:32	26	3,1	19	19	150
0:03:33	26	3,1	19	19	150
0:03:34	25	3,1	19	19	150
0:03:35	25	3,1	19	19	150
0:03:36	25	3,1	19	19	150
0:03:37	25	3,1	19	19	150
0:03:38	25	3,1	19	19	150
0:03:39	25	3,2	19	19	150
0:03:40	25	3,3	19	19	150
0:03:41	25	3,3	19	19	150
0:03:42	25	3,3	19	19	150
0:03:43	25	3,3	19	19	150
0:03:44	25	3,3	19	19	150
0:03:45	25	3,3	19	19	150
0:03:46	25	3,3	19	19	150
0:03:47	25	3,3	19	19	150
0:03:48	25	3,2	19	19	150
0:03:49	25	3,2	19	19	150
0:03:50	25	3,3	19	19	150
0:03:51	25	3,3	19	19	150
0:03:52	25	3,4	19	19	150
0:03:53	25	3,4	19	19	150
0:03:54	25	3,3	19	19	150
0:03:55	25	3,3	19	19	150
0:03:56	25	3,3	19	19	150
0:03:57	25	3,4	19	19	150
0:03:58	25	3,5	19	19	150
0:03:59	25	3,5	19	19	150
0:04:00	25	3,5	19	19	150
0:04:01	25	3,5	19	19	150
0:04:02	25	3,5	19	19	150
0:04:03	25	3,4	19	19	150
0:04:04	25	3,4	19	19	150
0:04:05	25	3,4	19	19	150
0:04:06	25	3,4	19	19	150
0:04:07	25	3,6	19	19	150
0:04:08	25	3,6	19	19	150
0:04:09	25	3,6	19	19	150
0:04:10	25	3,6	19	19	150
0:04:11	25	3,6	19	19	150
0:04:12	25	3,6	19	19	150
0:04:13	25	3,6	19	19	150
0:04:14	25	3,6	20	19	150
0:04:15	25	3,6	20	19	150
0:04:16	25	3,6	20	19	150
0:04:17	25	3,6	20	19	150
0:04:18	25	3,6	20	19	150
0:04:19	25	3,6	20	19	150
0:04:20	25	3,7	20	19	150
0:04:21	25	3,7	20	19	150
0:04:22	25	3,7	20	19	150
0:04:23	25	3,7	20	19	150
0:04:24	25	3,9	20	19	150
0:04:25	25	3,9	20	19	150
0:04:26	25	3,9	20	19	150
0:04:27	25	3,9	20	19	150
0:04:28	25	3,9	20	19	150
0:04:29	25	3,9	20	19	150
0:04:30	25	3,9	20	19	150
0:04:31	25	3,9	20	19	150
0:04:32	25	3,9	20	19	150
0:04:33	25	3,9	20	19	150
0:04:34	25	3,9	20	19	150
0:04:35	25	3,9	20	19	150
0:04:36	25	3,9	20	19	150
0:04:37	25	3,9	20	19	150
0:04:38	25	3,9	20	19	150
0:04:39	25	3,8	20	19	150
0:04:40	25	3,8	20	19	150
0:04:41	25	3,9	20	19	150
0:04:42	25	3,9	20	19	150
0:04:43	25	3,9	20	19	150
0:04:44	25	4,1	20	19	150
0:04:45	25	4,1	20	19	150
0:04:46	25	4,1	20	19	150
0:04:47	25	4,1	20	19	150
0:04:48	25	4,1	20	19	150
0:04:49	25	4,1	20	19	150
0:04:50	25	4,1	20	19	150
0:04:51	25	4,1	20	19	150
0:04:52	25	4,1	20	19	150
0:04:53	25	4,1	20	19	150
0:04:54	25	4,1	20	19	150
0:04:55	25	4,1	20	19	150
0:04:56	25	4,1	20	19	150
0:04:57	25	4,1	20	19	150
0:04:58	25	4,1	20	19	150
0:04:59	25	4,1	20	19	150
0:05:00	25	4,1	20	19	150
0:05:01	25	4,2	20	18	150
0:05:02	25	4,3	20	19	150
0:05:03	25	4,3	20	19	150
0:05:04	25	4,3	20	19	150
0:05:05	25	4,3	20	19	150
0:05:06	25	4,3	20	19	150
0:05:07	25	4,3	20	18	150
0:05:08	25	4,3	20	19	150
0:05:09	25	4,3	20	19	150
0:05:10	24	4,3	20	19	150
0:05:11	24	4,3	20	19	150
0:05:12	24	4,3	20	19	150
0:05:13	24	4,3	20	19	150
0:05:14	24	4,3	20	18	150
0:05:15	24	4,3	20	18	150
0:05:16	24	4,3	20	19	150
0:05:17	24	4,4	20	18	150
0:05:18	24	4,4	20	18	150
0:05:19	24	4,4	20	18	150
0:05:20	24	4,4	20	18	150
0:05:21	24	4,4	20	18	150
0:05:22	24	4,5	20	19	150
0:05:23	24	4,6	20	18	150
0:05:24	24	4,6	20	19	150
0:05:25	24	4,6	20	18	150
0:05:26	24	4,6	20	18	150
0:05:27	24	4,6	20	19	150
0:05:28	24	4,6	20	18	150
0:05:29	24	4,6	20	18	150
0:05:30	24	4,6	20	18	150
0:05:31	24	4,5	20	18	150
0:05:32	24	4,5	20	18	150
0:05:33	24	4,5	20	19	150
0:05:34	24	4,5	20	18	150
0:05:35	24	4,5	20	18	150
0:05:36	24	4,7	20	18	150
0:05:37	24	4,8	20	18	150
0:05:38	24	4,8	20	18	150
0:05:39	24	4,8	20	18	150
0:05:40	24	4,8	20	18	150
0:05:41	24	4,8	20	18	150
0:05:42	24	4,8	20	18	150
0:05:43	24	4,8	20	18	150
0:05:44	24	4,8	20	18	150
0:05:45	24	4,8	20	18	150
0:05:46	24	4,8	20	18	150
0:05:47	24	4,8	20	18	150
0:05:48	24	4,8	21	18	150
0:05:49	24	4,8	21	18	150
0:05:50	24	4,8	21	18	150
0:05:51	24	4,8	21	18	150
0:05:52	24	4,8	21	18	150
0:05:53	24	4,7	21	18	150
0:05:54	24	4,7	21	18	150
0:05:55	24	4,8	21	18	150
0:05:56	24	4,8	21	18	150
0:05:57	24	4,8	21	18	150
0:05:58	24	4,9	21	18	150
0:05:59	24	5,0	21	18	150
0:06:00	24	5,1	21	18	150
0:06:01	24	5,1	21	18	150
0:06:02	24	5,1	21	18	150
0:06:03	24	5,1	21	18	150
0:06:04	24	5,1	21	18	150
0:06:05	24	5,1	21	18	150
0:06:06	24	5,0	21	18	150
0:06:07	24	5,0	21	18	150
0:06:08	24	5,0	21	18	150
0:06:09	24	5,0	21	18	150
0:06:10	24	5,0	21	18	150
0:06:11	24	5,0	21	18	150
0:06:12	24	5,0	21	18	150
0:06:13	24	5,0	21	18	150
0:06:14	24	5,0	21	18	150
0:06:15	24	5,0	21	18	150
0:06:16	24	5,1	21	18	150
0:06:17	24	5,1	21	18	150
0:06:18	24	5,1	21	18	150
0:06:19	24	5,1	21	18	150
0:06:20	24	5,1	21	18	150
0:06:21	24	5,1	21	18	150
0:06:22	24	5,1	21	18	150
0:06:23	24	5,2	21	18	150
0:06:24	24	5,3	21	18	150
0:06:25	24	5,3	21	18	150
0:06:26	24	5,3	21	18	150
0:06:27	24	5,3	21	18	150
0:06:28	24	5,3	21	18	150
0:06:29	24	5,3	21	18	150
0:06:30	24	5,3	21	18	150
0:06:31	24	5,3	21	18	150
0:06:32	24	5,3	21	18	150
0:06:33	24	5,3	21	18	150
0:06:34	24	5,3	21	18	150
0:06:35	24	5,3	21	18	150
0:06:36	24	5,3	21	18	150
0:06:37	24	5,4	21	18	150
0:06:38	24	5,6	21	18	150
0:06:39	24	5,6	21	18	150
0:06:40	24	5,6	21	18	150
0:06:41	24	5,6	21	18	150
0:06:42	24	5,6	21	18	150
0:06:43	24	5,6	21	18	150
0:06:44	24	5,6	21	18	150
0:06:45	24	5,6	21	18	150
0:06:46	24	5,6	21	18	150
0:06:47	24	5,6	21	18	150
0:06:48	24	5,5	21	18	150
0:06:49	24	5,5	21	18	150
0:06:50	24	5,5	21	18	150
