--Test Summary--
Full Path and File Name	
Instrument Name	7322
Instrument Type	Model 7322 Consistometer - Variable Speed
Instrument Serial Number	
Test Start Date	25.09.2017
Test Start Time	10:03:40
Test Stop Date	25.09.2017
Test Stop Time	12:04:10
Test Length	2:00:30
Final Sample Time Offset	2:00:30
Controller Schedule Name	
Sampling Period	1 second
Comments	MPa 1
Information	WellID	
Information	Customer	
Information	EngName	
Information	CementClass	G
Information	CementMfr	
Information	Additives	100G+120Gipsum+0.2À +0.3DAF+0.1NoFoam
Information	Density	1870
Information	BHCT	10
Information	BHST	
Information	FluidLoss	
Information	JobType	
Calculated Value	Time_30Bc	1:51:16
Calculated Value	Time_70Bc	2:00:30
Initial Temperature (∞C)	23 ∞C
Final Temperature (∞C)	11 ∞C
Initial Pressure (MPa)	0,9 MPa
Final Pressure (MPa)	1,0 MPa
Initial Consistency (Bc)	2 Bc
Final Consistency (Bc)	70 Bc
Initial Wall Temperature (∞C)	17 ∞C
Final Wall Temperature (∞C)	9 ∞C
Initial Motor Speed (RPM)	150 RPM
Final Motor Speed (RPM)	150 RPM
--Data--
Time (HH:MM:SS)	Temperature (∞C)	Pressure (MPa)	Consistency (Bc)	Wall Temperature (∞C)	Motor Speed (RPM)
0:00:00	23	0,9	2	17	150
0:00:01	23	0,9	2	17	150
0:00:02	23	0,9	2	18	150
0:00:03	23	0,9	2	18	150
0:00:04	23	0,9	2	17	150
0:00:05	23	0,9	2	18	150
0:00:06	23	0,9	2	17	150
0:00:07	23	0,9	2	17	150
0:00:08	23	0,9	2	17	150
0:00:09	23	0,9	2	17	150
0:00:10	23	0,9	2	17	150
0:00:11	23	0,9	2	17	150
0:00:12	23	0,9	2	17	150
0:00:13	23	0,9	2	17	150
0:00:14	23	0,9	2	17	150
0:00:15	23	0,9	2	17	150
0:00:16	23	0,9	2	17	150
0:00:17	23	0,9	2	17	150
0:00:18	23	0,9	2	17	150
0:00:19	23	0,9	2	17	150
0:00:20	23	0,9	2	17	150
0:00:21	23	0,9	2	17	150
0:00:22	23	0,9	2	17	150
0:00:23	23	0,9	2	17	150
0:00:24	23	0,9	2	17	150
0:00:25	23	0,9	2	17	150
0:00:26	23	0,9	2	17	150
0:00:27	23	0,9	2	17	150
0:00:28	23	0,9	2	17	150
0:00:29	23	0,9	2	17	150
0:00:30	23	0,9	2	17	150
0:00:31	23	0,9	2	17	150
0:00:32	23	0,9	2	17	150
0:00:33	23	0,9	2	17	150
