--Test Summary--
Full Path and File Name	
Instrument Name	UCA Left Cell
Instrument Type	Model 4262 Twin Cell UCA
Instrument Serial Number	
Test Start Date	25.09.2017
Test Start Time	14:14:53
Test Stop Date	26.09.2017
Test Stop Time	14:21:41
Test Length	24:06:48
Final Sample Time Offset	24:06:30
Controller Schedule Name	
Sampling Period	30 seconds
Comments	
Information	WellID	
Information	Customer	
Information	EngName	ÿÛÚ¸  ÓÌÒÚ‡ÌÚËÌ
Information	CementClass	G
Information	CementMfr	
Information	Additives	100G+120Gipsum+0.2À +0.3DAF+0.1NoFoam
Information	Density	1870
Information	BHCT	10
Information	BHST	
Information	FluidLoss	
Information	JobType	
Calculated Value	CS_50	2:09:30
Calculated Value	CS_500	2:43:00
Calculated Value	CS_Time8h	4,76 MPa
Calculated Value	CS_Time12h	5,05 MPa
Calculated Value	CS_Time24h	6,58 MPa
Calculated Value	CS_Time48h	N/A
Calculated Value	CS_Time72h	N/A
Calculated Curve	Compressive Strength	Compressive strength type B (more than 14 lb/gal)
Initial Temperature (∞C)	22 ∞C
Final Temperature (∞C)	9 ∞C
Initial Transit Time (microsec/in)	16,84 microsec/in
Final Transit Time (microsec/in)	10,48 microsec/in
Initial Compressive Strength (MPa)	0,00 MPa
Final Compressive Strength (MPa)	6,61 MPa
--Data--
Time (HH:MM:SS)	Temperature (∞C)	Transit Time (microsec/in)	Compressive Strength (MPa)
0:00:00	22	16,84	0,00
0:00:30	22	16,84	0,00
0:01:00	22	16,81	0,01
0:01:30	22	16,83	0,00
0:02:00	21	16,84	0,00
0:02:30	21	16,84	0,00
0:03:00	21	16,85	0,00
0:03:30	21	16,86	0,00
0:04:00	21	16,87	0,00
0:04:30	20	16,89	0,00
0:05:00	20	16,89	0,00
0:05:30	20	16,91	0,00
0:06:00	20	16,92	0,00
0:06:30	20	16,93	0,00
0:07:00	19	16,94	0,00
0:07:30	19	16,95	0,00
0:08:00	19	16,96	0,00
0:08:30	19	16,97	0,00
0:09:00	19	16,98	0,00
0:09:30	19	16,99	0,00
0:10:00	18	17,01	0,00
0:10:30	18	17,02	0,00
0:11:00	18	17,03	0,00
0:11:30	18	17,04	0,00
0:12:00	18	17,05	0,00
0:12:30	18	17,06	0,00
0:13:00	17	17,07	0,00
0:13:30	17	17,08	0,00
0:14:00	17	17,09	0,00
0:14:30	17	17,10	0,00
0:15:00	17	17,11	0,00
0:15:30	17	17,12	0,00
0:16:00	16	17,13	0,00
0:16:30	16	17,14	0,00
0:17:00	16	17,16	0,00
0:17:30	16	17,17	0,00
0:18:00	16	17,18	0,00
0:18:30	16	17,19	0,00
0:19:00	16	17,20	0,00
0:19:30	15	17,21	0,00
0:20:00	15	17,22	0,00
0:20:30	15	17,23	0,00
0:21:00	15	17,18	0,00
0:21:30	15	17,20	0,00
0:22:00	15	17,20	0,00
0:22:30	15	17,20	0,00
0:23:00	15	17,21	0,00
0:23:30	15	17,22	0,00
0:24:00	14	17,23	0,00
0:24:30	14	17,23	0,00
0:25:00	14	17,24	0,00
0:25:30	14	17,25	0,00
0:26:00	14	17,25	0,00
0:26:30	14	17,26	0,00
0:27:00	14	17,26	0,00
0:27:30	14	17,27	0,00
0:28:00	14	17,29	0,00
0:28:30	13	17,29	0,00
0:29:00	13	17,29	0,00
0:29:30	13	17,30	0,00
0:30:00	13	17,31	0,00
0:30:30	13	17,31	0,00
0:31:00	13	17,32	0,00
0:31:30	13	17,32	0,00
0:32:00	13	17,32	0,00
0:32:30	13	17,32	0,00
0:33:00	13	17,34	0,00
0:33:30	13	17,34	0,00
0:34:00	12	17,34	0,00
0:34:30	12	17,35	0,00
0:35:00	12	17,35	0,00
