--Test Summary--
Full Path and File Name	
Instrument Name	7222
Instrument Type	Model 7222 Consistometer
Instrument Serial Number	
Test Start Date	04.10.2017
Test Start Time	10:28:48
Test Stop Date	04.10.2017
Test Stop Time	12:11:37
Test Length	1:42:49
Final Sample Time Offset	1:42:40
Controller Schedule Name	
Sampling Period	10 seconds
Comments	
Information	WellID	
Information	Customer	
Information	EngName	
Information	CementClass	G
Information	CementMfr	
Information	Additives	100G+2CaCl2
Information	Density	1900
Information	BHCT	23
Information	BHST	
Information	FluidLoss	
Information	JobType	
Calculated Value	Time_30Bc	N/A
Calculated Value	Time_70Bc	N/A
Initial Temperature (°C)	31 °C
Final Temperature (°C)	29 °C
Initial Pressure (MPa)	0,4 MPa
Final Pressure (MPa)	0,6 MPa
Initial Consistency (Bc)	4 Bc
Final Consistency (Bc)	0 Bc
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)
0:00:00	31	0,4	4
0:00:10	30	0,4	8
0:00:20	30	0,4	8
0:00:30	30	0,4	6
0:00:40	30	0,4	6
0:00:50	30	0,4	6
0:01:00	30	0,4	6
0:01:10	30	0,4	5
0:01:20	30	0,4	5
0:01:30	30	0,4	5
0:01:40	29	0,3	5
0:01:50	29	0,3	5
0:02:00	29	0,3	5
0:02:10	29	0,3	5
0:02:20	29	0,3	5
0:02:30	29	0,3	5
0:02:40	29	0,3	5
0:02:50	29	0,3	5
0:03:00	29	0,3	5
0:03:10	29	0,3	4
0:03:20	29	0,3	4
0:03:30	29	0,3	4
0:03:40	29	0,3	4
0:03:50	29	0,3	4
0:04:00	28	0,3	4
0:04:10	28	0,4	4
0:04:20	28	0,4	4
0:04:30	28	0,4	4
0:04:40	28	0,4	4
0:04:50	28	0,4	4
0:05:00	28	0,4	4
0:05:10	28	0,4	4
0:05:20	28	0,4	4
0:05:30	28	0,4	4
0:05:40	28	0,4	4
0:05:50	28	0,4	4
0:06:00	28	0,4	4
0:06:10	28	0,4	4
0:06:20	28	0,4	4
0:06:30	28	0,3	4
0:06:40	28	0,3	4
0:06:50	28	0,3	4
0:07:00	28	0,3	4
0:07:10	27	0,3	4
0:07:20	27	0,3	4
0:07:30	27	0,4	4
0:07:40	27	0,4	4
0:07:50	27	0,4	4
0:08:00	27	0,4	4
0:08:10	27	0,4	4
