--Test Summary--
Full Path and File Name	
Instrument Name	7222
Instrument Type	Model 7222 Consistometer
Instrument Serial Number	
Test Start Date	25.06.2018
Test Start Time	10:47:39
Test Stop Date	25.06.2018
Test Stop Time	16:44:51
Test Length	5:57:12
Final Sample Time Offset	5:57:10
Controller Schedule Name	
Sampling Period	10 seconds
Comments	1öåìåíòà:3ñîëü
Information	WellID	
Information	Customer	
Information	EngName	
Information	CementClass	
Information	CementMfr	
Information	Additives	
Information	Density	
Information	BHCT	
Information	BHST	
Information	FluidLoss	
Information	JobType	
Calculated Value	Time_30Bc	N/A
Calculated Value	Time_70Bc	N/A
Initial Temperature (°C)	25 °C
Final Temperature (°C)	66 °C
Initial Pressure (MPa)	1,1 MPa
Final Pressure (MPa)	65,2 MPa
Initial Consistency (Bc)	7 Bc
Final Consistency (Bc)	4 Bc
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)
0:00:00	25	1,1	7
0:00:10	25	1,2	7
0:00:20	25	1,6	7
0:00:30	25	1,9	7
0:00:40	25	2,3	7
0:00:50	25	2,3	7
0:01:00	25	2,7	7
0:01:10	25	2,9	7
0:01:20	25	3,4	7
0:01:30	25	3,6	8
0:01:40	25	3,9	8
0:01:50	25	4,1	12
0:02:00	25	4,4	16
0:02:10	25	4,7	18
0:02:20	25	5,0	19
0:02:30	25	5,3	10
0:02:40	26	5,6	8
0:02:50	26	6,0	8
0:03:00	26	6,3	5
0:03:10	26	6,7	11
0:03:20	26	7,0	14
0:03:30	26	7,4	15
0:03:40	26	7,7	14
0:03:50	26	8,1	17
0:04:00	27	8,4	17
0:04:10	27	8,7	17
0:04:20	27	9,0	15
0:04:30	27	9,3	12
0:04:40	27	9,6	11
0:04:50	28	9,6	15
0:05:00	28	9,9	17
0:05:10	28	10,1	17
0:05:20	28	10,3	12
0:05:30	28	10,5	9
0:05:40	29	10,7	12
0:05:50	29	10,9	14
0:06:00	29	11,1	11
0:06:10	29	11,3	17
0:06:20	30	11,5	18
0:06:30	30	11,6	18
0:06:40	30	11,8	18
0:06:50	30	12,0	13
0:07:00	30	12,5	15
0:07:10	31	12,7	17
0:07:20	31	12,9	19
0:07:30	31	13,3	13
0:07:40	31	13,5	16
0:07:50	32	13,7	14
0:08:00	32	13,9	15
0:08:10	32	14,3	13
0:08:20	32	14,5	15
0:08:30	33	14,8	12
0:08:40	33	15,0	14
0:08:50	33	15,3	12
0:09:00	33	15,6	13
0:09:10	33	16,0	16
0:09:20	34	16,1	13
0:09:30	34	16,5	15
0:09:40	34	16,6	14
0:09:50	34	17,1	16
0:10:00	35	17,1	19
0:10:10	35	17,6	17
0:10:20	35	17,7	13
0:10:30	35	18,0	9
0:10:40	35	18,6	14
0:10:50	36	18,7	14
0:11:00	36	18,8	12
0:11:10	36	19,0	10
0:11:20	36	19,7	16
0:11:30	36	19,8	16
0:11:40	37	19,9	12
0:11:50	37	20,3	12
0:12:00	37	20,4	11
0:12:10	37	20,6	10
0:12:20	37	20,9	9
0:12:30	37	21,3	15
0:12:40	38	21,5	17
0:12:50	38	21,7	15
0:13:00	38	22,0	14
0:13:10	38	22,2	14
0:13:20	38	22,9	16
0:13:30	39	23,0	12
0:13:40	39	23,2	11
0:13:50	39	23,3	11
0:14:00	39	23,8	14
0:14:10	39	23,9	12
0:14:20	39	24,2	12
0:14:30	40	24,4	10
0:14:40	40	24,7	10
0:14:50	40	25,0	13
0:15:00	40	25,3	10
0:15:10	40	25,6	7
0:15:20	40	25,7	8
0:15:30	40	26,0	12
0:15:40	41	26,4	14
0:15:50	41	26,6	10
0:16:00	41	27,0	16
0:16:10	41	27,2	13
0:16:20	41	27,5	14
0:16:30	41	27,7	15
0:16:40	42	28,2	14
0:16:50	42	28,4	21
0:17:00	42	28,5	17
0:17:10	42	28,7	19
0:17:20	42	29,0	11
0:17:30	43	29,2	13
0:17:40	43	29,8	12
0:17:50	43	29,9	13
0:18:00	43	30,1	13
0:18:10	43	30,4	15
0:18:20	43	30,6	16
0:18:30	44	31,2	18
0:18:40	44	31,3	15
0:18:50	44	31,5	16
0:19:00	44	31,6	13
0:19:10	44	31,9	15
0:19:20	45	32,2	17
0:19:30	45	32,5	15
0:19:40	45	32,7	22
0:19:50	45	33,0	21
0:20:00	45	33,5	18
0:20:10	45	33,7	14
0:20:20	45	33,8	14
0:20:30	46	34,4	16
0:20:40	46	34,5	18
0:20:50	46	34,7	15
0:21:00	46	34,9	16
0:21:10	46	35,2	20
0:21:20	47	35,4	25
0:21:30	47	35,8	17
0:21:40	47	36,0	15
0:21:50	47	36,3	13
0:22:00	47	36,8	12
0:22:10	47	36,9	15
0:22:20	48	37,1	19
0:22:30	48	37,3	14
0:22:40	48	37,6	18
0:22:50	48	37,8	13
0:23:00	48	38,3	16
0:23:10	48	38,5	24
0:23:20	49	38,6	16
0:23:30	49	39,1	18
0:23:40	49	39,3	18
0:23:50	49	39,5	15
0:24:00	49	39,7	14
0:24:10	49	40,2	18
0:24:20	50	40,4	14
0:24:30	50	40,6	17
0:24:40	50	41,1	16
0:24:50	50	41,2	17
0:25:00	50	41,4	20
0:25:10	50	41,6	19
0:25:20	51	42,3	22
0:25:30	51	42,4	20
0:25:40	51	42,6	21
0:25:50	51	42,7	22
0:26:00	51	43,3	18
0:26:10	52	43,5	20
0:26:20	52	43,7	21
0:26:30	52	43,8	20
0:26:40	52	44,2	19
0:26:50	52	44,4	23
0:27:00	52	44,5	17
0:27:10	52	45,0	13
0:27:20	53	45,2	16
0:27:30	53	45,4	12
0:27:40	53	45,7	16
0:27:50	53	45,9	24
0:28:00	53	46,3	14
0:28:10	54	46,5	18
0:28:20	54	46,7	19
0:28:30	54	47,2	16
0:28:40	54	47,4	9
0:28:50	54	47,5	9
0:29:00	54	47,9	18
0:29:10	55	48,0	20
0:29:20	55	48,5	15
0:29:30	55	48,6	13
0:29:40	55	49,1	13
0:29:50	55	49,2	13
0:30:00	55	49,4	13
0:30:10	56	49,6	14
0:30:20	56	50,2	14
0:30:30	56	50,3	15
0:30:40	56	50,5	12
0:30:50	56	51,0	14
0:31:00	57	51,1	13
0:31:10	57	51,3	13
0:31:20	57	51,5	16
0:31:30	57	51,8	18
0:31:40	57	52,1	17
0:31:50	57	52,3	23
0:32:00	58	52,7	26
0:32:10	58	52,9	17
0:32:20	58	53,2	20
0:32:30	58	53,5	20
0:32:40	58	53,7	16
0:32:50	58	54,0	10
0:33:00	58	54,2	8
0:33:10	59	54,5	14
0:33:20	59	54,8	14
0:33:30	59	55,1	11
0:33:40	59	55,3	14
0:33:50	59	55,9	16
0:34:00	60	56,1	15
0:34:10	60	56,2	15
0:34:20	60	56,4	10
0:34:30	60	56,7	14
0:34:40	60	57,2	13
0:34:50	60	57,3	12
0:35:00	61	57,5	12
0:35:10	61	58,0	8
0:35:20	61	58,2	13
0:35:30	61	58,3	14
0:35:40	61	58,6	12
0:35:50	61	58,8	6
0:36:00	62	59,1	9
0:36:10	62	59,3	10
0:36:20	62	59,6	19
0:36:30	62	60,1	14
0:36:40	62	60,3	14
0:36:50	62	60,4	13
0:37:00	63	60,8	16
0:37:10	63	60,9	15
0:37:20	63	61,2	17
0:37:30	63	61,6	13
0:37:40	63	61,8	14
0:37:50	63	62,1	10
0:38:00	64	62,3	9
0:38:10	64	62,6	8
0:38:20	64	62,9	10
0:38:30	64	63,2	12
0:38:40	64	63,5	12
0:38:50	64	63,6	14
0:39:00	65	64,0	15
0:39:10	65	64,2	16
0:39:20	65	64,5	18
0:39:30	65	64,7	14
0:39:40	65	64,9	14
0:39:50	65	65,1	12
0:40:00	66	65,3	14
0:40:10	66	65,4	13
0:40:20	66	65,5	13
0:40:30	66	65,6	13
0:40:40	66	65,6	13
0:40:50	67	65,6	14
0:41:00	67	65,6	14
0:41:10	67	65,5	15
0:41:20	67	65,5	16
0:41:30	67	65,5	16
0:41:40	67	65,4	16
0:41:50	67	65,4	18
0:42:00	67	65,3	18
0:42:10	68	65,2	19
0:42:20	68	65,1	18
0:42:30	68	64,9	18
0:42:40	68	65,3	18
0:42:50	68	65,2	18
0:43:00	68	65,1	18
0:43:10	68	65,0	18
0:43:20	68	65,4	18
0:43:30	68	65,3	18
0:43:40	68	65,1	18
0:43:50	68	65,0	18
0:44:00	68	64,9	18
0:44:10	68	65,1	18
0:44:20	68	65,0	18
0:44:30	68	65,0	18
0:44:40	68	64,9	17
0:44:50	68	65,0	18
0:45:00	68	65,0	18
0:45:10	68	65,0	18
0:45:20	68	64,9	18
0:45:30	68	65,0	18
0:45:40	68	65,0	19
0:45:50	68	65,0	19
0:46:00	68	65,0	18
0:46:10	68	64,9	19
0:46:20	68	64,9	18
0:46:30	68	66,8	3
0:46:40	68	65,6	6
0:46:50	67	65,6	6
0:47:00	67	65,6	6
0:47:10	67	65,5	6
0:47:20	67	65,5	6
0:47:30	67	65,5	6
0:47:40	67	65,5	6
0:47:50	67	65,5	6
0:48:00	67	65,4	6
0:48:10	67	65,4	6
0:48:20	67	65,4	6
0:48:30	67	65,4	6
0:48:40	67	65,4	6
0:48:50	67	65,4	6
0:49:00	67	65,4	6
0:49:10	67	65,4	6
0:49:20	67	65,4	6
0:49:30	67	65,4	6
0:49:40	67	65,4	6
0:49:50	67	65,4	6
0:50:00	67	65,4	5
0:50:10	67	65,4	5
0:50:20	67	65,4	6
0:50:30	67	65,4	6
0:50:40	67	65,4	6
0:50:50	67	65,4	6
0:51:00	67	65,4	6
0:51:10	67	65,4	5
0:51:20	66	65,4	5
0:51:30	67	65,4	5
0:51:40	66	65,4	5
0:51:50	66	65,4	6
0:52:00	66	65,4	5
0:52:10	66	65,4	6
0:52:20	66	65,4	6
0:52:30	66	65,4	6
0:52:40	66	65,4	6
0:52:50	66	65,5	6
0:53:00	66	65,4	6
0:53:10	66	65,4	6
0:53:20	66	65,4	6
0:53:30	66	65,4	6
0:53:40	66	65,4	6
0:53:50	66	65,4	6
0:54:00	66	65,4	6
0:54:10	66	65,4	6
0:54:20	66	65,4	6
0:54:30	66	65,4	6
0:54:40	66	65,4	6
0:54:50	66	65,4	5
0:55:00	66	65,4	5
0:55:10	66	65,4	5
0:55:20	66	65,4	5
0:55:30	66	65,4	5
0:55:40	66	65,4	5
0:55:50	66	65,4	5
0:56:00	66	65,4	6
0:56:10	66	65,4	6
0:56:20	66	65,4	6
0:56:30	66	65,5	6
0:56:40	66	65,5	6
0:56:50	66	65,5	6
