--Test Summary--
Full Path and File Name	
Instrument Name	7222
Instrument Type	Model 7222 Consistometer
Instrument Serial Number	
Test Start Date	24.01.2019
Test Start Time	15:30:11
Test Stop Date	24.01.2019
Test Stop Time	18:03:20
Test Length	2:33:09
Final Sample Time Offset	2:33:00
Controller Schedule Name	
Sampling Period	10 seconds
Comments	
Information	WellID	
Information	Customer	
Information	EngName	
Information	CementClass	
Information	CementMfr	
Information	Additives	
Information	Density	
Information	BHCT	
Information	BHST	
Information	FluidLoss	
Information	JobType	
Calculated Value	Time_30Bc	0:00:10
Calculated Value	Time_70Bc	N/A
Calculated Value	Time_100Bc	N/A
Initial Temperature (°C)	28 °C
Final Temperature (°C)	76 °C
Initial Pressure (MPa)	0,9 MPa
Final Pressure (MPa)	28,2 MPa
Initial Consistency (Bc)	34 Bc
Final Consistency (Bc)	39 Bc
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)
0:00:00	28	0,9	34
0:00:10	28	1,2	33
0:00:20	28	1,3	35
0:00:30	27	1,4	39
0:00:40	27	1,6	38
0:00:50	27	1,9	33
0:01:00	27	2,2	35
0:01:10	27	2,6	32
0:01:20	27	2,8	31
0:01:30	27	2,9	34
0:01:40	27	2,9	35
0:01:50	27	3,0	32
0:02:00	27	3,3	32
0:02:10	27	3,3	33
0:02:20	27	3,4	34
0:02:30	28	3,5	32
0:02:40	28	3,6	39
0:02:50	28	3,8	33
0:03:00	28	4,0	33
0:03:10	28	4,1	33
0:03:20	29	4,1	33
0:03:30	29	4,2	32
0:03:40	29	4,3	32
0:03:50	29	4,5	32
0:04:00	30	4,5	32
0:04:10	30	4,7	32
0:04:20	30	4,8	32
0:04:30	31	4,9	35
0:04:40	31	5,0	37
0:04:50	31	5,2	34
0:05:00	31	5,2	34
0:05:10	32	5,4	34
0:05:20	32	5,5	36
0:05:30	32	5,6	35
0:05:40	33	5,7	34
0:05:50	33	5,9	34
0:06:00	33	5,9	33
0:06:10	33	6,1	34
0:06:20	34	6,1	32
0:06:30	34	6,3	32
0:06:40	34	6,4	32
0:06:50	34	6,5	31
0:07:00	35	6,6	32
0:07:10	35	6,7	31
0:07:20	35	6,8	31
0:07:30	35	6,9	31
0:07:40	36	7,1	31
0:07:50	36	7,2	31
0:08:00	36	7,2	31
0:08:10	36	7,4	31
0:08:20	37	7,6	31
0:08:30	37	7,6	31
0:08:40	37	7,8	31
0:08:50	37	7,8	31
0:09:00	37	7,9	31
0:09:10	38	8,1	31
0:09:20	38	8,1	31
0:09:30	38	8,3	31
0:09:40	38	8,5	31
0:09:50	39	8,4	31
0:10:00	39	8,6	31
0:10:10	39	8,7	31
0:10:20	39	8,9	31
0:10:30	40	9,0	31
0:10:40	40	9,1	32
0:10:50	40	9,3	32
0:11:00	40	9,2	32
0:11:10	41	9,3	32
0:11:20	41	9,5	32
0:11:30	41	9,5	31
0:11:40	41	9,8	31
0:11:50	41	9,9	31
0:12:00	42	9,9	31
0:12:10	42	10,0	31
0:12:20	42	10,2	31
0:12:30	42	10,3	31
0:12:40	43	10,4	31
0:12:50	43	10,6	31
0:13:00	43	10,7	31
0:13:10	43	10,7	31
0:13:20	43	10,9	31
0:13:30	44	11,0	31
0:13:40	44	11,2	31
0:13:50	44	11,3	31
0:14:00	44	11,2	31
