--Test Summary--
Full Path and File Name	
Instrument Name	7322
Instrument Type	Model 7322 Consistometer - Variable Speed
Instrument Serial Number	
Test Start Date	19.04.2019
Test Start Time	9:20:46
Test Stop Date	19.04.2019
Test Stop Time	13:43:36
Test Length	4:22:50
Final Sample Time Offset	4:22:49
Controller Schedule Name	
Sampling Period	1 second
Comments	
Information	WellID	
Information	Customer	
Information	EngName	
Information	CementClass	G
Information	CementMfr	
Information	Additives	100G+6Gel+6MKU+2.5CaCl2+0.3DPC+0.25FL-2
Information	Density	1820
Information	BHCT	
Information	BHST	
Information	FluidLoss	
Information	JobType	
Calculated Value	Time_30Bc	3:26:47
Calculated Value	Time_70Bc	4:15:55
Calculated Value	Time_100Bc	N/A
Initial Temperature (°C)	29 °C
Final Temperature (°C)	27 °C
Initial Pressure (MPa)	0,8 MPa
Final Pressure (MPa)	16,0 MPa
Initial Consistency (Bc)	11 Bc
Final Consistency (Bc)	86 Bc
Initial Wall Temperature (°C)	24 °C
Final Wall Temperature (°C)	27 °C
Initial Motor Speed (RPM)	150 RPM
Final Motor Speed (RPM)	150 RPM
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)	Wall Temperature (°C)	Motor Speed (RPM)
0:00:00	29	0,8	11	24	150
0:00:01	29	0,8	11	24	150
0:00:02	29	0,8	11	24	150
0:00:03	29	0,8	11	24	150
0:00:04	29	0,8	11	24	150
0:00:05	29	0,8	11	24	150
0:00:06	29	0,8	12	24	150
0:00:07	29	0,8	12	23	150
0:00:08	29	0,8	12	24	150
0:00:09	29	0,9	12	24	150
0:00:10	29	0,9	12	24	150
0:00:11	30	0,9	12	24	150
0:00:12	29	0,9	12	24	150
0:00:13	29	0,9	12	24	150
0:00:14	29	0,9	12	24	150
0:00:15	29	0,9	12	24	150
0:00:16	29	0,9	12	24	150
0:00:17	29	0,9	13	24	150
0:00:18	29	0,9	13	24	150
0:00:19	30	1,0	13	24	150
0:00:20	29	1,0	13	24	150
0:00:21	30	1,0	13	24	150
0:00:22	30	1,0	13	24	150
0:00:23	30	1,0	13	24	150
0:00:24	30	1,0	13	24	150
0:00:25	30	1,0	13	24	150
0:00:26	30	1,0	13	24	150
0:00:27	30	1,1	13	24	150
0:00:28	29	1,1	13	24	150
0:00:29	30	1,1	13	24	150
0:00:30	30	1,1	13	24	150
0:00:31	30	1,1	13	24	150
0:00:32	30	1,1	13	24	150
0:00:33	30	1,1	13	24	150
0:00:34	30	1,1	14	24	150
0:00:35	30	1,1	14	24	150
0:00:36	30	1,2	14	24	150
0:00:37	30	1,2	14	24	150
0:00:38	30	1,2	14	24	150
0:00:39	30	1,3	14	24	150
0:00:40	30	1,3	14	24	150
0:00:41	30	1,3	14	24	150
0:00:42	30	1,3	14	24	150
0:00:43	30	1,3	14	24	150
0:00:44	30	1,3	15	24	150
0:00:45	30	1,3	15	24	150
0:00:46	30	1,3	15	24	150
0:00:47	30	1,3	15	24	150
0:00:48	30	1,2	15	24	150
0:00:49	30	1,4	15	24	150
0:00:50	30	1,4	15	24	150
0:00:51	30	1,4	15	24	150
0:00:52	30	1,4	16	24	150
0:00:53	30	1,4	16	24	150
0:00:54	30	1,4	16	24	150
0:00:55	30	1,4	16	24	150
0:00:56	30	1,4	16	24	150
0:00:57	30	1,4	16	24	150
0:00:58	30	1,4	16	24	150
