--Test Summary--
Full Path and File Name	
Instrument Name	7222
Instrument Type	Model 7222 Consistometer
Instrument Serial Number	
Test Start Date	25.06.2019
Test Start Time	11:25:58
Test Stop Date	25.06.2019
Test Stop Time	15:41:22
Test Length	4:15:24
Final Sample Time Offset	4:15:20
Controller Schedule Name	
Sampling Period	10 seconds
Comments	T:RT(40),49(134); P:atm(40), 39(134)
Information	WellID	Áåëàðóñü, Ðå÷èöû
Information	Customer	Õîëñèì
Information	EngName	
Information	CementClass	OneCem
Information	CementMfr	Õîëñèì
Information	Additives	5%SMS+27%NaCl(MixWater)
Information	Density	1500
Information	BHCT	49
Information	BHST	
Information	FluidLoss	na
Information	JobType	Research
Calculated Value	Time_30Bc	1:19:30
Calculated Value	Time_70Bc	N/A
Calculated Value	Time_100Bc	N/A
Initial Temperature (°C)	29 °C
Final Temperature (°C)	50 °C
Initial Pressure (MPa)	0,5 MPa
Final Pressure (MPa)	38,9 MPa
Initial Consistency (Bc)	17 Bc
Final Consistency (Bc)	53 Bc
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)
0:00:00	29	0,5	17
0:00:10	29	0,5	17
0:00:20	29	0,5	17
0:00:30	29	0,5	17
0:00:40	29	0,5	17
0:00:50	29	0,5	17
0:01:00	29	0,5	17
0:01:10	29	0,5	17
0:01:20	29	0,5	17
0:01:30	29	0,5	17
0:01:40	29	0,5	17
0:01:50	29	0,6	17
0:02:00	29	0,6	17
0:02:10	29	0,6	17
0:02:20	29	0,6	17
0:02:30	29	0,6	17
0:02:40	29	0,6	17
0:02:50	29	0,6	17
0:03:00	29	0,5	17
0:03:10	29	0,5	17
0:03:20	29	0,5	17
0:03:30	29	0,5	17
0:03:40	29	0,5	17
0:03:50	29	0,5	17
0:04:00	29	0,5	17
0:04:10	29	0,5	17
0:04:20	29	0,5	17
0:04:30	29	0,5	17
0:04:40	29	0,5	17
0:04:50	29	0,5	17
0:05:00	29	0,5	17
0:05:10	29	0,5	17
0:05:20	29	0,5	17
0:05:30	29	0,5	17
0:05:40	29	0,5	17
0:05:50	29	0,5	17
0:06:00	29	0,5	17
0:06:10	29	0,5	17
0:06:20	29	0,5	17
0:06:30	29	0,5	17
0:06:40	29	0,5	17
0:06:50	29	0,5	17
0:07:00	29	0,5	17
0:07:10	29	0,5	17
0:07:20	29	0,5	17
0:07:30	29	0,5	17
0:07:40	29	0,5	17
0:07:50	29	0,5	17
0:08:00	29	0,5	17
0:08:10	29	0,4	17
0:08:20	29	0,4	17
0:08:30	29	0,4	17
0:08:40	29	0,4	17
0:08:50	28	0,4	17
0:09:00	28	0,4	17
0:09:10	28	0,4	17
0:09:20	28	0,4	17
0:09:30	28	0,4	17
0:09:40	28	0,4	17
0:09:50	28	0,4	17
0:10:00	28	0,4	17
0:10:10	28	0,4	17
0:10:20	28	0,4	17
0:10:30	28	0,4	17
0:10:40	28	0,4	17
0:10:50	28	0,4	17
0:11:00	28	0,4	17
0:11:10	28	0,4	17
0:11:20	28	0,4	17
0:11:30	28	0,4	17
0:11:40	28	0,4	17
0:11:50	28	0,4	17
0:12:00	28	0,4	17
0:12:10	28	0,4	17
0:12:20	28	0,4	17
0:12:30	28	0,4	17
0:12:40	28	0,4	17
0:12:50	28	0,4	17
0:13:00	28	0,4	17
0:13:10	28	0,4	17
0:13:20	28	0,4	17
0:13:30	28	0,4	17
0:13:40	28	0,4	17
0:13:50	28	0,4	17
0:14:00	28	0,4	17
0:14:10	28	0,4	17
0:14:20	28	0,4	17
0:14:30	28	0,4	17
0:14:40	28	0,4	17
0:14:50	28	0,4	17
0:15:00	28	0,4	17
0:15:10	28	0,4	17
0:15:20	28	0,4	17
0:15:30	28	0,4	17
0:15:40	28	0,4	17
0:15:50	28	0,4	17
0:16:00	28	0,4	17
0:16:10	28	0,4	17
