--Test Summary--
Full Path and File Name	
Instrument Name	7322
Instrument Type	Model 7322 Consistometer - Variable Speed
Instrument Serial Number	
Test Start Date	20.09.2019
Test Start Time	11:46:13
Test Stop Date	20.09.2019
Test Stop Time	16:59:19
Test Length	5:13:06
Final Sample Time Offset	5:13:05
Controller Schedule Name	
Sampling Period	1 second
Comments	MPa 28(47)
Information	WellID	
Information	Customer	
Information	EngName	
Information	CementClass	G
Information	CementMfr	—ÛıÓÈ ÀÓ„
Information	Additives	80G+20MKU+1.2Floss-100(A)+0.1CR-225
Information	Density	1560
Information	BHCT	53
Information	BHST	
Information	FluidLoss	
Information	JobType	
Calculated Value	Time_30Bc	4:07:50
Calculated Value	Time_70Bc	5:13:02
Calculated Value	Time_100Bc	N/A
Initial Temperature (∞C)	32 ∞C
Final Temperature (∞C)	54 ∞C
Initial Pressure (MPa)	0,8 MPa
Final Pressure (MPa)	28,0 MPa
Initial Consistency (Bc)	1 Bc
Final Consistency (Bc)	70 Bc
Initial Wall Temperature (∞C)	29 ∞C
Final Wall Temperature (∞C)	47 ∞C
Initial Motor Speed (RPM)	150 RPM
Final Motor Speed (RPM)	150 RPM
--Data--
Time (HH:MM:SS)	Temperature (∞C)	Pressure (MPa)	Consistency (Bc)	Wall Temperature (∞C)	Motor Speed (RPM)
0:00:00	32	0,8	1	29	150
0:00:01	32	0,8	1	29	150
0:00:02	32	0,8	1	29	150
0:00:03	32	0,8	1	29	150
0:00:04	32	0,8	1	29	150
0:00:05	32	0,8	1	29	150
0:00:06	32	0,8	1	29	150
0:00:07	32	0,8	1	29	150
0:00:08	32	0,8	1	29	150
0:00:09	32	0,9	1	29	150
0:00:10	32	0,9	1	29	150
0:00:11	32	0,9	1	29	150
0:00:12	32	0,9	1	29	150
0:00:13	32	0,9	1	29	150
0:00:14	32	0,9	1	29	150
0:00:15	32	0,9	1	29	150
0:00:16	32	0,9	1	29	150
0:00:17	32	0,9	1	29	150
0:00:18	32	0,9	1	29	150
0:00:19	32	0,9	1	29	150
0:00:20	32	0,9	1	29	150
0:00:21	32	1,0	1	29	150
0:00:22	32	1,0	1	29	150
0:00:23	32	1,1	1	29	150
0:00:24	32	1,1	1	29	150
0:00:25	32	1,1	1	29	150
0:00:26	32	1,1	1	29	150
0:00:27	32	1,1	1	29	150
0:00:28	32	1,1	1	29	150
0:00:29	32	1,1	1	29	150
0:00:30	32	1,1	1	29	150
0:00:31	32	1,1	1	29	150
0:00:32	32	1,1	1	29	150
0:00:33	32	1,1	1	29	150
0:00:34	32	1,1	1	29	150
0:00:35	32	1,1	1	29	150
0:00:36	32	1,1	1	29	150
0:00:37	32	1,1	1	29	150
0:00:38	32	1,2	1	29	150
0:00:39	32	1,2	1	29	150
0:00:40	32	1,2	1	29	150
0:00:41	32	1,2	1	29	150
0:00:42	32	1,2	1	29	150
0:00:43	32	1,2	1	29	150
0:00:44	32	1,2	1	29	150
0:00:45	32	1,2	1	29	150
0:00:46	32	1,2	1	29	150
0:00:47	32	1,2	1	29	150
0:00:48	32	1,2	1	29	150
0:00:49	32	1,2	1	29	150
0:00:50	31	1,3	1	29	150
0:00:51	31	1,4	1	29	150
0:00:52	31	1,4	1	29	150
0:00:53	31	1,5	1	29	150
0:00:54	31	1,5	1	29	150
0:00:55	31	1,5	1	29	150
0:00:56	31	1,5	1	29	150
0:00:57	31	1,5	1	29	150
0:00:58	31	1,5	1	30	150
0:00:59	31	1,5	1	29	150
0:01:00	31	1,5	1	30	150
0:01:01	31	1,5	1	29	150
0:01:02	31	1,5	1	30	150
0:01:03	31	1,5	1	30	150
0:01:04	31	1,5	1	30	150
0:01:05	31	1,5	1	30	150
0:01:06	31	1,5	1	30	150
0:01:07	31	1,5	1	30	150
0:01:08	31	1,5	1	30	150
0:01:09	31	1,5	1	30	150
0:01:10	31	1,5	1	30	150
0:01:11	31	1,5	1	30	150
0:01:12	31	1,5	1	30	150
0:01:13	31	1,5	1	30	150
0:01:14	31	1,6	1	30	150
0:01:15	31	1,6	1	30	150
0:01:16	31	1,6	1	30	150
0:01:17	31	1,6	1	30	150
0:01:18	31	1,6	1	30	150
0:01:19	31	1,6	1	30	150
0:01:20	31	1,6	1	30	150
0:01:21	31	1,6	1	30	150
0:01:22	31	1,6	1	31	150
0:01:23	31	1,6	1	31	150
0:01:24	31	1,7	1	31	150
0:01:25	31	1,7	1	31	150
0:01:26	31	1,7	1	31	150
0:01:27	31	1,7	1	31	150
0:01:28	31	1,7	1	31	150
0:01:29	31	1,7	1	31	150
0:01:30	31	1,7	1	31	150
0:01:31	31	1,7	1	31	150
0:01:32	31	1,7	1	31	150
0:01:33	31	1,8	1	31	150
0:01:34	31	1,8	1	31	150
0:01:35	31	1,8	1	31	150
0:01:36	31	1,8	1	31	150
0:01:37	31	1,8	1	32	150
0:01:38	31	1,8	1	31	150
0:01:39	31	1,8	1	31	150
0:01:40	31	1,8	1	32	150
0:01:41	31	1,9	1	32	150
0:01:42	31	1,9	1	32	150
0:01:43	31	1,9	1	32	150
0:01:44	31	1,9	1	32	150
0:01:45	31	1,9	1	32	150
0:01:46	31	1,9	1	32	150
0:01:47	31	2,0	1	32	150
0:01:48	31	2,0	1	32	150
0:01:49	31	2,0	1	32	150
0:01:50	31	2,0	1	33	150
0:01:51	31	2,0	1	33	150
0:01:52	31	2,0	1	33	150
0:01:53	31	2,0	1	33	150
0:01:54	31	2,1	1	33	150
0:01:55	31	2,1	1	33	150
0:01:56	31	2,1	1	33	150
0:01:57	31	2,1	1	33	150
0:01:58	31	2,1	1	33	150
0:01:59	31	2,2	1	33	150
0:02:00	31	2,2	1	33	150
0:02:01	31	2,2	1	33	150
0:02:02	31	2,2	1	33	150
0:02:03	31	2,2	1	33	150
0:02:04	31	2,3	1	33	150
0:02:05	31	2,3	1	33	150
0:02:06	31	2,3	1	33	150
0:02:07	31	2,3	1	33	150
0:02:08	31	2,3	1	34	150
0:02:09	31	2,4	1	34	150
0:02:10	31	2,4	1	34	150
0:02:11	31	2,4	1	34	150
0:02:12	31	2,4	1	34	150
0:02:13	31	2,4	1	34	150
0:02:14	31	2,5	1	34	150
0:02:15	31	2,5	1	34	150
0:02:16	31	2,5	1	34	150
0:02:17	31	2,5	1	34	150
0:02:18	31	2,6	1	34	150
0:02:19	31	2,6	1	34	150
0:02:20	31	2,6	1	35	150
0:02:21	31	2,6	1	35	150
0:02:22	31	2,6	1	35	150
0:02:23	31	2,7	1	35	150
0:02:24	31	2,7	1	35	150
0:02:25	31	2,7	1	35	150
0:02:26	31	2,7	1	35	150
0:02:27	31	2,7	1	35	150
0:02:28	31	2,8	1	35	150
0:02:29	31	2,8	1	35	150
0:02:30	31	2,8	1	35	150
0:02:31	31	2,8	1	35	150
0:02:32	31	2,9	1	35	150
0:02:33	31	2,9	1	35	150
0:02:34	31	2,9	1	35	150
0:02:35	31	2,9	1	35	150
0:02:36	31	2,9	1	36	150
0:02:37	31	3,0	1	36	150
0:02:38	31	3,0	1	35	150
0:02:39	31	3,0	1	36	150
0:02:40	31	3,0	1	36	150
0:02:41	31	3,1	1	36	150
0:02:42	31	3,1	1	36	150
0:02:43	31	3,1	1	36	150
0:02:44	31	3,1	1	36	150
0:02:45	31	3,1	1	36	150
0:02:46	31	3,2	1	36	150
0:02:47	31	3,2	1	36	150
0:02:48	31	3,2	1	36	150
0:02:49	31	3,2	1	36	150
0:02:50	31	3,3	1	36	150
0:02:51	31	3,3	1	36	150
0:02:52	31	3,3	1	37	150
0:02:53	31	3,3	1	36	150
0:02:54	31	3,3	1	37	150
0:02:55	31	3,4	1	37	150
0:02:56	31	3,4	1	37	150
0:02:57	31	3,4	1	37	150
0:02:58	31	3,4	1	37	150
0:02:59	31	3,4	1	37	150
0:03:00	31	3,5	1	37	150
0:03:01	31	3,5	1	37	150
0:03:02	31	3,5	1	37	150
0:03:03	31	3,5	1	37	150
0:03:04	31	3,5	1	37	150
0:03:05	31	3,6	1	37	150
0:03:06	31	3,6	1	37	150
0:03:07	31	3,6	1	37	150
0:03:08	31	3,6	1	37	150
0:03:09	31	3,6	1	37	150
0:03:10	31	3,7	1	37	150
0:03:11	31	3,7	1	37	150
0:03:12	31	3,7	1	37	150
0:03:13	31	3,7	1	37	150
0:03:14	31	3,7	1	38	150
0:03:15	31	3,7	1	37	150
0:03:16	31	3,7	1	38	150
0:03:17	31	3,7	1	37	150
0:03:18	31	3,7	1	38	150
0:03:19	31	3,8	1	38	150
0:03:20	31	3,8	1	38	150
0:03:21	31	3,8	1	38	150
0:03:22	31	3,8	1	38	150
0:03:23	31	3,8	1	38	150
0:03:24	31	3,8	1	38	150
0:03:25	31	3,8	1	38	150
0:03:26	31	3,8	1	38	150
0:03:27	31	3,8	1	38	150
0:03:28	31	3,8	1	38	150
0:03:29	31	3,8	1	38	150
0:03:30	31	3,8	1	38	150
0:03:31	31	3,9	1	38	150
0:03:32	31	3,9	1	38	150
0:03:33	31	3,9	1	38	150
0:03:34	31	3,9	1	38	150
0:03:35	31	3,9	1	38	150
0:03:36	31	3,9	1	38	150
0:03:37	31	3,9	1	38	150
0:03:38	31	3,9	1	38	150
0:03:39	31	3,9	1	38	150
0:03:40	31	3,9	1	38	150
0:03:41	32	3,9	1	38	150
0:03:42	32	3,9	1	38	150
0:03:43	32	3,9	1	38	150
0:03:44	32	4,0	1	38	150
0:03:45	32	4,0	1	38	150
0:03:46	32	4,0	1	38	150
0:03:47	32	4,0	1	38	150
0:03:48	32	4,0	1	38	150
0:03:49	32	4,0	1	38	150
0:03:50	32	4,0	1	38	150
0:03:51	32	4,0	1	38	150
0:03:52	32	4,0	1	38	150
0:03:53	32	4,0	1	38	150
0:03:54	32	4,0	1	38	150
0:03:55	32	4,0	1	38	150
0:03:56	32	4,0	1	38	150
0:03:57	32	4,0	1	38	150
0:03:58	32	4,0	1	38	150
0:03:59	32	4,0	1	38	150
0:04:00	32	4,0	1	38	150
0:04:01	32	4,0	1	38	150
0:04:02	32	4,0	1	38	150
0:04:03	32	4,0	1	38	150
0:04:04	32	4,0	1	38	150
0:04:05	32	4,0	1	38	150
0:04:06	32	4,0	1	38	150
0:04:07	32	4,0	1	38	150
0:04:08	32	4,0	1	38	150
0:04:09	32	4,0	1	38	150
0:04:10	32	4,0	1	38	150
0:04:11	32	4,0	1	38	150
0:04:12	32	4,0	1	38	150
0:04:13	32	4,0	1	38	150
0:04:14	32	4,0	1	38	150
0:04:15	32	4,0	1	38	150
0:04:16	32	4,0	1	38	150
0:04:17	32	4,0	1	38	150
0:04:18	32	4,0	1	38	150
0:04:19	32	4,0	1	38	150
0:04:20	32	4,0	1	38	150
0:04:21	32	4,0	1	38	150
0:04:22	32	4,0	1	38	150
0:04:23	32	4,0	1	38	150
0:04:24	32	4,0	1	38	150
0:04:25	32	4,0	1	38	150
0:04:26	32	4,0	1	38	150
