--Test Summary--
Full Path and File Name	
Instrument Name	7222
Instrument Type	Model 7222 Consistometer
Instrument Serial Number	
Test Start Date	10.10.2019
Test Start Time	12:39:19
Test Stop Date	10.10.2019
Test Stop Time	15:17:14
Test Length	2:37:55
Final Sample Time Offset	2:37:50
Controller Schedule Name	
Sampling Period	10 seconds
Comments	
Information	WellID	
Information	Customer	RGU
Information	EngName	DENIS
Information	CementClass	G
Information	CementMfr	—ÛıÓÈ ÀÓ„
Information	Additives	5%SEBS+5%MKU+0.3%FLOSS500+0.2%DPC+0.15%TA100+0.1%LR
Information	Density	1940
Information	BHCT	
Information	BHST	
Information	FluidLoss	
Information	JobType	
Calculated Value	Time_30Bc	N/A
Calculated Value	Time_70Bc	N/A
Initial Temperature (∞C)	26 ∞C
Final Temperature (∞C)	76 ∞C
Initial Pressure (MPa)	0,5 MPa
Final Pressure (MPa)	28,7 MPa
Initial Consistency (Bc)	4 Bc
Final Consistency (Bc)	-1 Bc
--Data--
Time (HH:MM:SS)	Temperature (∞C)	Pressure (MPa)	Consistency (Bc)
0:00:00	26	0,5	4
0:00:10	26	0,7	4
0:00:20	26	0,9	4
0:00:30	26	1,0	4
0:00:40	26	1,2	4
0:00:50	26	1,5	4
0:01:00	26	1,9	4
0:01:10	26	2,3	4
0:01:20	26	2,4	4
0:01:30	26	2,6	4
0:01:40	26	2,7	4
0:01:50	26	2,8	4
0:02:00	26	2,8	4
0:02:10	27	3,1	4
0:02:20	27	3,1	4
0:02:30	27	3,3	4
0:02:40	27	3,3	4
0:02:50	28	3,4	4
0:03:00	28	3,6	4
0:03:10	28	3,7	4
0:03:20	28	3,7	4
0:03:30	29	3,9	4
0:03:40	29	4,0	4
0:03:50	29	4,1	4
0:04:00	29	4,3	4
0:04:10	30	4,4	4
0:04:20	30	4,5	4
0:04:30	30	4,6	4
0:04:40	30	4,7	4
0:04:50	31	4,9	4
0:05:00	31	5,0	4
0:05:10	31	5,1	4
0:05:20	31	5,2	4
0:05:30	32	5,3	4
0:05:40	32	5,4	4
0:05:50	32	5,4	4
0:06:00	32	5,6	4
0:06:10	33	5,7	4
0:06:20	33	5,8	4
0:06:30	33	6,0	4
0:06:40	33	6,1	4
0:06:50	34	6,1	4
0:07:00	34	6,3	4
0:07:10	34	6,4	4
0:07:20	34	6,6	4
0:07:30	35	6,6	4
0:07:40	35	6,8	5
0:07:50	35	6,9	5
0:08:00	35	6,9	5
0:08:10	36	7,1	5
0:08:20	36	7,1	5
0:08:30	36	7,3	5
0:08:40	36	7,5	5
0:08:50	37	7,5	5
0:09:00	37	7,7	5
0:09:10	37	7,8	5
0:09:20	37	7,9	5
0:09:30	38	7,8	5
0:09:40	38	8,0	5
0:09:50	38	8,2	5
0:10:00	38	8,3	5
0:10:10	38	8,4	5
0:10:20	39	8,6	4
0:10:30	39	8,7	4
0:10:40	39	8,9	4
0:10:50	39	8,8	5
0:11:00	40	9,0	5
0:11:10	40	9,2	5
0:11:20	40	9,3	4
0:11:30	40	9,3	5
0:11:40	40	9,5	5
0:11:50	41	9,7	4
0:12:00	41	9,6	5
0:12:10	41	9,8	4
0:12:20	41	10,0	5
0:12:30	42	10,2	5
0:12:40	42	10,1	4
0:12:50	42	10,3	4
0:13:00	42	10,4	4
0:13:10	43	10,6	4
0:13:20	43	10,5	4
0:13:30	43	10,7	4
0:13:40	43	10,9	4
0:13:50	43	11,0	4
0:14:00	44	11,0	4
0:14:10	44	11,1	4
0:14:20	44	11,3	4
