--Test Summary--
Full Path and File Name	
Instrument Name	UCA Right Cell
Instrument Type	Model 4262 Twin Cell UCA
Instrument Serial Number	
Test Start Date	16.12.2019
Test Start Time	16:23:11
Test Stop Date	17.12.2019
Test Stop Time	17:37:48
Test Length	25:14:37
Final Sample Time Offset	25:14:30
Controller Schedule Name	
Sampling Period	30 seconds
Comments	
Information	WellID	
Information	Customer	
Information	EngName	
Information	CementClass	
Information	CementMfr	
Information	Additives	
Information	Density	
Information	BHCT	
Information	BHST	
Information	FluidLoss	
Information	JobType	
Calculated Value	CS_50	5:18:30
Calculated Value	CS_500	5:55:30
Calculated Value	CS_Time8h	12,37 MPa
Calculated Value	CS_Time12h	16,42 MPa
Calculated Value	CS_Time24h	19,46 MPa
Calculated Value	CS_Time48h	N/A
Calculated Value	CS_Time72h	N/A
Calculated Curve	Compressive Strength	Compressive strength type B (more than 14 lb/gal)
Initial Temperature (°C)	24 °C
Final Temperature (°C)	92 °C
Initial Transit Time (microsec/in)	16,50 microsec/in
Final Transit Time (microsec/in)	8,41 microsec/in
Initial Compressive Strength (MPa)	0,00 MPa
Final Compressive Strength (MPa)	19,54 MPa
--Data--
Time (HH:MM:SS)	Temperature (°C)	Transit Time (microsec/in)	Compressive Strength (MPa)
0:00:00	24	16,50	0,00
0:00:30	24	16,50	0,00
0:01:00	24	16,50	0,00
0:01:30	24	16,51	0,00
0:02:00	24	16,51	0,00
0:02:30	24	16,51	0,00
0:03:00	24	16,52	0,00
0:03:30	25	16,52	0,00
0:04:00	25	16,52	0,00
0:04:30	26	16,52	0,00
0:05:00	26	16,52	0,00
0:05:30	27	16,52	0,00
0:06:00	27	16,51	0,00
0:06:30	28	16,51	0,00
0:07:00	29	16,50	0,00
0:07:30	30	16,50	0,00
0:08:00	30	16,49	0,00
0:08:30	31	16,48	0,01
0:09:00	32	16,47	0,01
0:09:30	33	16,46	0,01
0:10:00	33	16,44	0,02
0:10:30	34	16,43	0,02
0:11:00	35	16,41	0,02
0:11:30	36	16,40	0,03
0:12:00	36	16,39	0,03
0:12:30	37	16,38	0,03
0:13:00	38	16,37	0,04
0:13:30	39	16,35	0,04
0:14:00	40	16,34	0,04
0:14:30	40	16,32	0,05
0:15:00	41	16,33	0,05
0:15:30	42	16,32	0,05
0:16:00	43	16,30	0,05
0:16:30	44	16,29	0,06
0:17:00	45	16,27	0,06
0:17:30	46	16,26	0,07
0:18:00	47	16,24	0,07
0:18:30	48	16,23	0,07
0:19:00	49	16,21	0,08
0:19:30	49	16,20	0,08
0:20:00	50	16,18	0,09
0:20:30	51	16,17	0,09
0:21:00	52	16,16	0,09
0:21:30	53	16,14	0,10
0:22:00	54	16,13	0,10
0:22:30	55	16,11	0,11
0:23:00	56	16,11	0,11
0:23:30	56	16,10	0,11
0:24:00	57	16,08	0,12
0:24:30	58	16,08	0,12
0:25:00	59	16,07	0,12
0:25:30	60	16,06	0,12
0:26:00	61	16,05	0,13
0:26:30	62	16,04	0,13
0:27:00	63	16,03	0,13
0:27:30	63	16,02	0,13
0:28:00	64	16,02	0,13
0:28:30	65	16,02	0,14
0:29:00	67	16,01	0,14
0:29:30	68	16,00	0,14
0:30:00	69	15,99	0,14
0:30:30	69	15,99	0,14
0:31:00	70	15,99	0,14
0:31:30	71	15,99	0,14
0:32:00	71	15,99	0,14
0:32:30	72	15,99	0,14
0:33:00	72	15,99	0,14
0:33:30	73	15,99	0,14
0:34:00	73	15,99	0,14
0:34:30	74	15,99	0,14
0:35:00	74	15,99	0,14
0:35:30	75	15,99	0,14
0:36:00	75	15,99	0,14
0:36:30	75	16,00	0,14
0:37:00	76	16,00	0,14
0:37:30	76	16,01	0,14
0:38:00	76	16,01	0,14
0:38:30	76	16,01	0,14
0:39:00	76	16,02	0,14
0:39:30	76	16,02	0,14
0:40:00	77	16,02	0,14
0:40:30	77	16,02	0,13
0:41:00	77	16,02	0,13
0:41:30	77	16,02	0,13
0:42:00	77	16,03	0,13
0:42:30	76	16,03	0,13
0:43:00	76	16,03	0,13
0:43:30	76	16,03	0,13
0:44:00	76	16,04	0,13
0:44:30	76	16,04	0,13
0:45:00	76	16,05	0,13
0:45:30	76	16,05	0,13
0:46:00	76	16,05	0,12
0:46:30	76	16,05	0,12
0:47:00	76	16,06	0,12
0:47:30	75	16,06	0,12
0:48:00	75	16,07	0,12
0:48:30	75	16,07	0,12
0:49:00	75	16,08	0,12
0:49:30	75	16,08	0,12
0:50:00	75	16,08	0,12
0:50:30	75	16,08	0,12
0:51:00	75	16,09	0,11
0:51:30	75	16,09	0,11
0:52:00	75	16,09	0,11
0:52:30	75	16,09	0,11
0:53:00	75	16,10	0,11
0:53:30	75	16,10	0,11
