--Test Summary--
Full Path and File Name	
Instrument Name	7322
Instrument Type	Model 7322 Consistometer - Variable Speed
Instrument Serial Number	
Test Start Date	21.01.2020
Test Start Time	15:22:23
Test Stop Date	21.01.2020
Test Stop Time	15:25:42
Test Length	0:03:19
Final Sample Time Offset	0:03:19
Controller Schedule Name	
Sampling Period	1 second
Comments	
Information	WellID	
Information	Customer	
Information	EngName	
Information	CementClass	
Information	CementMfr	
Information	Additives	
Information	Density	
Information	BHCT	
Information	BHST	
Information	FluidLoss	
Information	JobType	
Calculated Value	Time_30Bc	0:00:05
Calculated Value	Time_70Bc	0:03:19
Initial Temperature (°C)	23 °C
Final Temperature (°C)	23 °C
Initial Pressure (MPa)	-0,1 MPa
Final Pressure (MPa)	-0,1 MPa
Initial Consistency (Bc)	59 Bc
Final Consistency (Bc)	71 Bc
Initial Wall Temperature (°C)	23 °C
Final Wall Temperature (°C)	23 °C
Initial Motor Speed (RPM)	150 RPM
Final Motor Speed (RPM)	0 RPM
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)	Wall Temperature (°C)	Motor Speed (RPM)
0:00:00	23	-0,1	59	23	150
0:00:01	23	-0,1	59	23	114
0:00:02	23	-0,1	56	23	27
0:00:03	23	-0,1	51	23	6
0:00:04	23	-0,1	48	23	2
0:00:05	23	-0,1	48	23	1
0:00:06	23	-0,1	49	23	1
0:00:07	23	-0,1	50	23	1
0:00:08	23	-0,1	51	23	0
0:00:09	23	-0,1	52	23	0
0:00:10	23	-0,1	53	23	0
0:00:11	23	-0,1	53	23	0
0:00:12	23	-0,1	54	23	0
0:00:13	23	-0,1	53	23	0
0:00:14	23	-0,1	53	23	0
0:00:15	23	-0,1	53	23	0
0:00:16	23	-0,1	53	23	0
0:00:17	23	-0,1	53	23	0
0:00:18	23	-0,1	53	23	0
0:00:19	23	-0,1	53	23	0
0:00:20	23	-0,1	53	23	0
0:00:21	23	-0,1	54	23	0
0:00:22	23	-0,1	54	23	0
0:00:23	23	-0,1	54	23	0
0:00:24	23	-0,1	54	23	0
0:00:25	23	-0,1	54	23	0
0:00:26	23	-0,1	54	23	0
0:00:27	23	-0,1	54	23	0
0:00:28	23	-0,1	54	23	0
0:00:29	23	-0,1	54	23	0
0:00:30	23	-0,1	54	23	0
0:00:31	23	-0,1	55	23	0
0:00:32	23	-0,1	55	23	0
0:00:33	23	-0,1	55	23	0
0:00:34	23	-0,1	55	23	0
0:00:35	23	-0,1	55	23	0
0:00:36	23	-0,1	55	23	0
0:00:37	23	-0,1	56	23	0
0:00:38	23	-0,1	56	23	0
0:00:39	23	-0,1	56	23	0
0:00:40	23	-0,1	56	23	0
0:00:41	23	-0,1	56	23	0
0:00:42	23	-0,1	56	23	0
0:00:43	23	-0,1	56	23	0
0:00:44	23	-0,1	56	23	0
0:00:45	23	-0,1	56	23	0
0:00:46	23	-0,1	56	23	0
0:00:47	23	-0,1	55	23	0
0:00:48	23	-0,1	54	23	0
0:00:49	23	-0,1	54	23	0
0:00:50	23	-0,1	54	23	0
0:00:51	23	-0,1	54	23	0
0:00:52	23	-0,1	55	23	0
0:00:53	23	-0,1	55	23	0
0:00:54	23	-0,1	55	23	0
0:00:55	23	-0,1	55	23	0
0:00:56	23	-0,1	55	23	0
0:00:57	23	-0,1	55	23	0
0:00:58	23	-0,1	56	23	0
0:00:59	23	-0,1	56	23	0
0:01:00	23	-0,1	56	23	0
0:01:01	23	-0,1	56	23	0
0:01:02	23	-0,1	55	23	0
0:01:03	23	-0,1	54	23	0
0:01:04	23	-0,1	53	23	0
0:01:05	23	-0,1	51	23	0
0:01:06	23	-0,1	49	23	0
0:01:07	23	-0,1	48	23	0
0:01:08	23	-0,1	47	23	0
0:01:09	23	-0,1	46	23	0
0:01:10	23	-0,1	46	23	0
0:01:11	23	-0,1	46	23	0
0:01:12	23	-0,1	46	23	0
0:01:13	23	-0,1	46	23	0
0:01:14	23	-0,1	46	23	0
0:01:15	23	-0,1	46	23	0
0:01:16	23	-0,1	46	23	0
0:01:17	23	-0,1	47	23	0
0:01:18	23	-0,1	47	23	0
0:01:19	23	-0,1	47	23	0
0:01:20	23	-0,1	47	23	0
0:01:21	23	-0,1	47	23	0
0:01:22	23	-0,1	48	23	0
0:01:23	23	-0,1	48	23	0
0:01:24	23	-0,1	48	23	0
0:01:25	23	-0,1	48	23	0
0:01:26	23	-0,1	49	23	0
0:01:27	23	-0,1	49	23	0
0:01:28	23	-0,1	49	23	0
0:01:29	23	-0,1	50	23	0
0:01:30	23	-0,1	50	23	0
0:01:31	23	-0,1	50	23	0
0:01:32	23	-0,1	51	23	0
0:01:33	23	-0,1	51	23	0
0:01:34	23	-0,1	51	23	0
0:01:35	23	-0,1	51	23	0
0:01:36	23	-0,1	51	23	0
0:01:37	23	-0,1	52	23	0
0:01:38	23	-0,1	52	23	0
0:01:39	23	-0,1	52	23	0
0:01:40	23	-0,1	52	23	0
0:01:41	23	-0,1	53	23	0
0:01:42	23	-0,1	53	23	0
0:01:43	23	-0,1	53	23	0
0:01:44	23	-0,1	53	23	0
0:01:45	23	-0,1	54	23	0
0:01:46	23	-0,1	54	23	0
0:01:47	23	-0,1	54	23	0
0:01:48	23	-0,1	54	23	0
0:01:49	23	-0,1	54	23	0
0:01:50	23	-0,1	54	23	0
0:01:51	23	-0,1	55	23	0
0:01:52	23	-0,1	55	23	0
0:01:53	23	-0,1	55	23	0
0:01:54	23	-0,1	55	23	0
0:01:55	23	-0,1	55	23	0
0:01:56	23	-0,1	56	23	0
0:01:57	23	-0,1	56	23	0
0:01:58	23	-0,1	56	23	0
0:01:59	23	-0,1	56	23	0
0:02:00	23	-0,1	56	23	0
0:02:01	23	-0,1	56	23	0
0:02:02	23	-0,1	56	23	0
0:02:03	23	-0,1	57	23	0
0:02:04	23	-0,1	57	23	0
0:02:05	23	-0,1	57	23	0
0:02:06	23	-0,1	57	23	0
0:02:07	23	-0,1	57	23	0
0:02:08	23	-0,1	58	23	0
0:02:09	23	-0,1	58	23	0
0:02:10	23	-0,1	58	23	0
0:02:11	23	-0,1	58	23	0
0:02:12	23	-0,1	59	23	0
0:02:13	23	-0,1	59	23	0
0:02:14	23	-0,1	59	23	0
0:02:15	23	-0,1	59	23	0
0:02:16	23	-0,1	59	23	0
0:02:17	23	-0,1	59	23	0
0:02:18	23	-0,1	60	23	0
0:02:19	23	-0,1	60	23	0
0:02:20	23	-0,1	60	23	0
0:02:21	23	-0,1	60	23	0
0:02:22	23	-0,1	61	23	0
0:02:23	23	-0,1	61	23	0
0:02:24	23	-0,1	61	23	0
0:02:25	23	-0,1	61	23	0
0:02:26	23	-0,1	61	23	0
0:02:27	23	-0,1	61	23	0
0:02:28	23	-0,1	62	23	0
0:02:29	23	-0,1	62	23	0
0:02:30	23	-0,1	62	23	0
0:02:31	23	-0,1	62	23	0
0:02:32	23	-0,1	62	23	0
0:02:33	23	-0,1	63	23	0
0:02:34	23	-0,1	63	23	0
0:02:35	23	-0,1	63	23	0
0:02:36	23	-0,1	63	23	0
0:02:37	23	-0,1	63	23	0
0:02:38	23	-0,1	64	23	0
0:02:39	23	-0,1	64	23	0
0:02:40	23	-0,1	64	23	0
0:02:41	23	-0,1	64	23	0
0:02:42	23	-0,1	64	23	0
0:02:43	23	-0,1	64	23	0
0:02:44	23	-0,1	64	23	0
0:02:45	23	-0,1	65	23	0
0:02:46	23	-0,1	65	23	0
0:02:47	23	-0,1	65	23	0
0:02:48	23	-0,1	65	23	0
0:02:49	23	-0,1	65	23	0
0:02:50	23	-0,1	65	23	0
0:02:51	23	-0,1	66	23	0
0:02:52	23	-0,1	66	23	0
0:02:53	23	-0,1	66	23	0
0:02:54	23	-0,1	66	23	0
0:02:55	23	-0,1	67	23	0
0:02:56	23	-0,1	67	23	0
0:02:57	23	-0,1	67	23	0
0:02:58	23	-0,1	67	23	0
0:02:59	23	-0,1	67	23	0
0:03:00	23	-0,1	67	23	0
0:03:01	23	-0,1	68	23	0
0:03:02	23	-0,1	68	23	0
0:03:03	23	-0,1	68	23	0
0:03:04	23	-0,1	68	23	0
0:03:05	23	-0,1	68	23	0
0:03:06	23	-0,1	69	23	0
0:03:07	23	-0,1	69	23	0
0:03:08	23	-0,1	69	23	0
0:03:09	23	-0,1	69	23	0
0:03:10	23	-0,1	69	23	0
0:03:11	23	-0,1	70	23	0
0:03:12	23	-0,1	70	23	0
0:03:13	23	-0,1	70	23	0
0:03:14	23	-0,1	70	23	0
0:03:15	23	-0,1	70	23	0
0:03:16	23	-0,1	71	23	0
0:03:17	23	-0,1	71	23	0
0:03:18	23	-0,1	71	23	0
0:03:19	23	-0,1	71	23	0
