--Test Summary--
Full Path and File Name	
Instrument Name	SGSA/UCA
Instrument Type	Model 5265 SGSA/UCA
Instrument Serial Number	
Test Start Date	16.03.2020
Test Start Time	12:42:10
Test Stop Date	17.03.2020
Test Stop Time	14:48:49
Test Length	26:06:39
Final Sample Time Offset	26:06:30
Controller Schedule Name	
Sampling Period	30 seconds
Comments	Oil Energy
Information	WellID	
Information	Customer	
Information	EngName	
Information	CementClass	G
Information	CementMfr	—ÛıÓÈ ÀÓ„
Information	Additives	100G+5DART-100+0.5Floss-100(A)+0.1DPC
Information	Density	1900
Information	BHCT	40
Information	BHST	
Information	FluidLoss	
Information	JobType	
Calculated Value	CS_50	3:35:30
Calculated Value	CS_500	4:49:30
Calculated Value	SGS_Initial	2:36:30
Calculated Value	SGS_Final	2:58:30
Calculated Value	CS_Time8h	10,52 MPa
Calculated Value	CS_Time12h	15,51 MPa
Calculated Value	Time_SGS_100lb/100ft2	2:43:00
Calculated Value	Time_SGS_500lb/100ft2	2:52:30
Calculated Value	CS_Time24h	20,27 MPa
Calculated Value	CS_Time48h	N/A
Calculated Curve	Compressive Strength	Compressive strength type B (more than 14 lb/gal)
Calculated Curve	Static Gel Strength	Static gel strength
Initial Temperature (∞C)	22 ∞C
Final Temperature (∞C)	55 ∞C
Initial Pressure (psi)	3369 psi
Final Pressure (psi)	722 psi
Initial Transit Time (microsec/in)	16,11 microsec/in
Final Transit Time (microsec/in)	8,33 microsec/in
Initial Gel Value	6143
Final Gel Value	8091
Initial Compressive Strength (MPa)	0,00 MPa
Final Compressive Strength (MPa)	20,36 MPa
Initial Static Gel Strength (lb/100ft2)	6,3 lb/100ft2
Final Static Gel Strength (lb/100ft2)	ERROR
--Data--
Time (HH:MM:SS)	Temperature (∞C)	Pressure (psi)	Transit Time (microsec/in)	Gel Value	Compressive Strength (MPa)	Static Gel Strength (lb/100ft2)
0:00:00	22	3369	16,11	6143	0,00	6,3
0:00:30	23	3336	16,11	6133	0,00	6,5
0:01:00	23	3312	16,11	6114	0,00	6,7
0:01:30	23	3292	16,12	6104	0,00	7,0
0:02:00	23	3278	16,12	6094	0,00	7,2
0:02:30	23	3268	16,12	6082	0,00	7,5
0:03:00	24	3263	16,12	6076	0,00	7,7
0:03:30	24	3256	16,13	6069	0,00	7,9
0:04:00	24	3249	16,12	6060	0,00	8,2
0:04:30	24	3240	16,12	6057	0,00	8,4
0:05:00	24	3232	16,13	6048	0,00	8,7
0:05:30	25	3224	16,13	6056	0,00	8,9
0:06:00	25	3217	16,12	6051	0,00	9,1
0:06:30	25	3213	16,12	6047	0,00	9,4
0:07:00	25	3211	16,12	6046	0,00	9,6
0:07:30	26	3212	16,13	6038	0,00	9,9
0:08:00	26	3214	16,13	6040	0,00	10,1
0:08:30	26	3218	16,12	6035	0,00	10,3
0:09:00	26	3221	16,12	6033	0,00	10,6
0:09:30	27	3225	16,12	6037	0,00	10,8
0:10:00	27	3228	16,12	6033	0,00	11,1
0:10:30	27	3231	16,11	6032	0,00	11,3
0:11:00	27	3235	16,11	6034	0,00	11,5
0:11:30	28	3240	16,10	6029	0,00	11,8
0:12:00	28	3246	16,10	6027	0,00	12,0
0:12:30	28	3253	16,10	6027	0,00	12,3
0:13:00	28	3261	16,09	6026	0,01	12,5
0:13:30	29	3271	16,09	6029	0,01	12,7
0:14:00	29	3279	16,08	6024	0,01	13,0
0:14:30	29	3288	16,07	6029	0,01	13,2
0:15:00	30	3297	16,07	6032	0,01	13,5
0:15:30	30	3306	16,06	6031	0,01	13,7
0:16:00	30	3315	16,05	6028	0,02	13,9
0:16:30	30	3325	16,05	6030	0,02	14,2
0:17:00	31	3335	16,04	6033	0,02	14,4
0:17:30	31	3345	16,03	6029	0,02	14,7
0:18:00	31	3356	16,02	6026	0,03	14,9
0:18:30	32	3368	16,02	6025	0,03	15,1
0:19:00	32	3380	16,01	6027	0,03	15,4
0:19:30	32	3393	16,01	6028	0,03	15,6
0:20:00	33	3405	16,00	6021	0,03	15,9
0:20:30	33	3419	16,00	6024	0,03	16,1
0:21:00	33	3432	15,99	6029	0,04	16,3
0:21:30	33	3445	15,98	6029	0,04	16,6
0:22:00	34	3459	15,98	6032	0,04	16,8
0:22:30	34	3474	15,97	6028	0,04	17,0
0:23:00	34	3490	15,96	6036	0,05	17,3
0:23:30	35	3506	15,95	6032	0,05	17,5
0:24:00	35	3522	15,94	6032	0,05	17,8
0:24:30	35	3539	15,93	6041	0,05	18,0
0:25:00	35	3554	15,93	6036	0,06	18,2
0:25:30	36	3570	15,92	6032	0,06	18,5
0:26:00	36	3585	15,91	6036	0,06	18,7
0:26:30	36	3601	15,91	6033	0,06	19,0
0:27:00	37	3617	15,90	6043	0,06	19,2
0:27:30	37	3635	15,89	6039	0,07	19,4
0:28:00	37	3654	15,88	6036	0,07	19,7
0:28:30	38	3673	15,88	6039	0,07	19,9
0:29:00	38	3691	15,87	6040	0,07	20,2
0:29:30	38	3709	15,85	6035	0,08	20,4
0:30:00	38	3725	15,85	6030	0,08	20,6
0:30:30	39	3741	15,84	6041	0,08	20,9
0:31:00	39	3756	15,83	6042	0,09	21,1
0:31:30	39	3769	15,82	6083	0,09	21,4
0:32:00	39	3782	15,82	6043	0,09	21,6
0:32:30	39	3795	15,81	6042	0,09	21,8
0:33:00	40	3807	15,81	6042	0,09	22,1
0:33:30	40	3819	15,80	6042	0,10	22,3
0:34:00	40	3829	15,80	6042	0,10	22,6
0:34:30	40	3839	15,79	6047	0,10	22,8
0:35:00	40	3847	15,79	6049	0,10	23,0
0:35:30	40	3853	15,78	6047	0,10	23,3
0:36:00	40	3859	15,77	6052	0,10	23,5
0:36:30	40	3865	15,77	6046	0,11	23,8
0:37:00	40	3871	15,77	6045	0,11	24,0
0:37:30	41	3876	15,76	6047	0,11	24,2
0:38:00	41	3881	15,76	6048	0,11	24,5
0:38:30	41	3885	15,75	6049	0,11	24,7
