--Test Summary--
Full Path and File Name	
Instrument Name	SGSA/UCA
Instrument Type	Model 5265 SGSA/UCA
Instrument Serial Number	
Test Start Date	24.03.2020
Test Start Time	10:33:07
Test Stop Date	25.03.2020
Test Stop Time	10:49:49
Test Length	24:16:42
Final Sample Time Offset	24:16:30
Controller Schedule Name	
Sampling Period	30 seconds
Comments	¿Î¸Ù‡ÏÓÌÓÎËÚ
Information	WellID	
Information	Customer	
Information	EngName	
Information	CementClass	G
Information	CementMfr	—ÛıÓÈ ÀÓ„
Information	Additives	100G+5DART-100+0.5CG610S-P
Information	Density	1900
Information	BHCT	40
Information	BHST	55
Information	FluidLoss	
Information	JobType	
Calculated Value	CS_50	6:59:00
Calculated Value	CS_500	9:00:00
Calculated Value	SGS_Initial	N/A
Calculated Value	SGS_Final	N/A
Calculated Value	CS_Time8h	2,04 MPa
Calculated Value	CS_Time12h	6,70 MPa
Calculated Value	Time_SGS_100lb/100ft2	N/A
Calculated Value	Time_SGS_500lb/100ft2	N/A
Calculated Value	CS_Time24h	10,48 MPa
Calculated Value	CS_Time48h	N/A
Calculated Curve	Compressive Strength	Compressive strength type B (more than 14 lb/gal)
Calculated Curve	Static Gel Strength	Static gel strength
Initial Temperature (∞C)	34 ∞C
Final Temperature (∞C)	56 ∞C
Initial Pressure (psi)	3637 psi
Final Pressure (psi)	4359 psi
Initial Transit Time (microsec/in)	ERROR
Final Transit Time (microsec/in)	8,35 microsec/in
Initial Gel Value	ERROR
Final Gel Value	7368
Initial Compressive Strength (MPa)	N/A
Final Compressive Strength (MPa)	10,51 MPa
Initial Static Gel Strength (lb/100ft2)	N/A
Final Static Gel Strength (lb/100ft2)	N/A
--Data--
Time (HH:MM:SS)	Temperature (∞C)	Pressure (psi)	Transit Time (microsec/in)	Gel Value	Compressive Strength (MPa)	Static Gel Strength (lb/100ft2)
0:00:00	34	3637				
0:00:30	33	3555				
0:01:00	33	3486				
0:01:30	33	3447				
0:02:00	34	3448				
0:02:30	34	3475				
0:03:00	35	3505				
0:03:30	35	3531				
0:04:00	36	3552				
0:04:30	36	3570				
0:05:00	36	3584				
0:05:30	36	3594				
0:06:00	36	3602				
0:06:30	36	3768				
0:07:00	37	4212				
0:07:30	37	4208				
0:08:00	37	4205				
0:08:30	37	4203				
0:09:00	37	4200				
0:09:30	37	4197				
0:10:00	37	4193				
0:10:30	37	4189				
0:11:00	37	4184				
0:11:30	37	4179				
0:12:00	37	4173				
0:12:30	37	4167				
0:13:00	37	4160				
0:13:30	37	4154				
0:14:00	37	4147				
0:14:30	37	4142				
0:15:00	37	4141				
0:15:30	37	4141				
0:16:00	37	4141				
0:16:30	37	4140				
0:17:00	37	4139				
0:17:30	37	4136				
0:18:00	38	4133				
0:18:30	38	4131				
0:19:00	38	4130				
0:19:30	38	4130				
0:20:00	38	4133				
0:20:30	38	4134				
0:21:00	38	4134				
0:21:30	38	4134				
0:22:00	38	4134				
0:22:30	38	4134				
0:23:00	38	4135				
0:23:30	38	4138				
0:24:00	39	4141				
0:24:30	39	4145				
0:25:00	39	4147				
0:25:30	39	4149				
0:26:00	39	4151				
0:26:30	39	4154				
0:27:00	39	4157				
0:27:30	39	4161				
0:28:00	39	4165				
0:28:30	40	4168				
0:29:00	40	4172				
0:29:30	40	4175				
0:30:00	40	4179				
0:30:30	40	4183				
0:31:00	40	4187				
0:31:30	40	4191				
0:32:00	40	4193				
0:32:30	40	4196				
0:33:00	40	4197				
0:33:30	40	4199				
0:34:00	40	4200				
0:34:30	40	4202				
0:35:00	40	4203				
0:35:30	41	4204				
0:36:00	41	4205				
0:36:30	41	4207				
0:37:00	41	4208				
0:37:30	41	4209				
0:38:00	41	4209				
0:38:30	41	4208				
