--Test Summary--
Full Path and File Name	
Instrument Name	7222
Instrument Type	Model 7222 Consistometer
Instrument Serial Number	
Test Start Date	13.05.2020
Test Start Time	10:12:59
Test Stop Date	13.05.2020
Test Stop Time	15:13:49
Test Length	5:00:50
Final Sample Time Offset	5:00:50
Controller Schedule Name	
Sampling Period	10 seconds
Comments	
Information	WellID	
Information	Customer	
Information	EngName	
Information	CementClass	
Information	CementMfr	
Information	Additives	90G+10ASPM+3CaCl2+0.2CEX-201
Information	Density	1500
Information	BHCT	
Information	BHST	
Information	FluidLoss	
Information	JobType	
Calculated Value	Time_30Bc	4:14:30
Calculated Value	Time_70Bc	5:00:50
Initial Temperature (°C)	25 °C
Final Temperature (°C)	38 °C
Initial Pressure (MPa)	0,5 MPa
Final Pressure (MPa)	11,9 MPa
Initial Consistency (Bc)	4 Bc
Final Consistency (Bc)	71 Bc
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)
0:00:00	25	0,5	4
0:00:10	25	0,6	4
0:00:20	25	0,6	4
0:00:30	25	0,7	4
0:00:40	25	0,7	4
0:00:50	25	0,8	4
0:01:00	25	0,8	4
0:01:10	25	1,0	4
0:01:20	25	1,0	4
0:01:30	25	1,1	4
0:01:40	25	1,2	4
0:01:50	25	1,3	4
0:02:00	25	1,4	4
0:02:10	25	1,4	4
0:02:20	25	1,6	4
0:02:30	25	1,7	4
0:02:40	25	1,8	4
0:02:50	25	2,0	4
0:03:00	25	2,1	4
0:03:10	25	2,3	4
0:03:20	25	2,5	4
0:03:30	25	2,6	4
0:03:40	25	2,8	4
0:03:50	25	2,9	4
0:04:00	25	3,0	4
0:04:10	25	3,1	4
0:04:20	25	3,1	4
0:04:30	25	3,2	4
0:04:40	25	3,3	4
0:04:50	25	3,3	4
0:05:00	26	3,4	4
0:05:10	26	3,4	4
0:05:20	26	3,5	4
0:05:30	26	3,5	3
0:05:40	26	3,6	3
0:05:50	26	3,6	3
0:06:00	26	3,7	3
0:06:10	26	3,7	3
0:06:20	27	3,8	3
0:06:30	27	3,8	3
0:06:40	27	3,9	3
0:06:50	27	3,9	3
0:07:00	27	4,0	3
0:07:10	27	4,0	3
0:07:20	27	4,0	3
0:07:30	27	4,0	3
0:07:40	27	4,1	3
0:07:50	28	4,1	3
0:08:00	28	4,2	3
0:08:10	28	4,2	4
0:08:20	28	4,2	4
0:08:30	28	4,3	4
0:08:40	28	4,3	4
0:08:50	28	4,4	4
0:09:00	28	4,4	4
0:09:10	28	4,4	4
0:09:20	28	4,5	4
0:09:30	28	4,5	4
0:09:40	29	4,6	4
0:09:50	29	4,6	4
0:10:00	29	4,7	4
0:10:10	29	4,7	4
0:10:20	29	4,7	4
0:10:30	29	4,8	4
0:10:40	29	4,8	4
0:10:50	29	4,8	4
0:11:00	29	4,8	4
0:11:10	29	4,9	4
0:11:20	29	4,9	4
0:11:30	29	5,0	4
0:11:40	30	5,0	4
0:11:50	30	5,1	4
0:12:00	30	5,1	4
0:12:10	30	5,2	4
0:12:20	30	5,2	4
0:12:30	30	5,3	4
0:12:40	30	5,4	4
0:12:50	30	5,4	4
0:13:00	30	5,5	4
0:13:10	30	5,5	4
0:13:20	30	5,6	4
0:13:30	30	5,7	4
0:13:40	30	5,7	4
0:13:50	30	5,8	4
0:14:00	30	5,9	4
0:14:10	31	5,9	4
0:14:20	31	5,9	4
0:14:30	31	6,0	4
