--Test Summary--
Full Path and File Name	
Instrument Name	7222
Instrument Type	Model 7222 Consistometer
Instrument Serial Number	
Test Start Date	21.05.2020
Test Start Time	11:50:52
Test Stop Date	21.05.2020
Test Stop Time	17:33:54
Test Length	5:43:02
Final Sample Time Offset	5:43:00
Controller Schedule Name	
Sampling Period	10 seconds
Comments	
Information	WellID	
Information	Customer	
Information	EngName	
Information	CementClass	
Information	CementMfr	
Information	Additives	100G+10ASPM+0.6CFL-450+0.5CEX-201
Information	Density	1500
Information	BHCT	
Information	BHST	
Information	FluidLoss	
Information	JobType	
Calculated Value	Time_30Bc	3:31:20
Calculated Value	Time_70Bc	N/A
Initial Temperature (°C)	21 °C
Final Temperature (°C)	40 °C
Initial Pressure (MPa)	0,8 MPa
Final Pressure (MPa)	25,7 MPa
Initial Consistency (Bc)	11 Bc
Final Consistency (Bc)	47 Bc
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)
0:00:00	21	0,8	11
0:00:10	21	0,9	10
0:00:20	21	1,0	10
0:00:30	21	1,2	11
0:00:40	21	1,2	8
0:00:50	21	1,4	9
0:01:00	21	1,6	10
0:01:10	21	1,7	12
0:01:20	21	2,0	14
0:01:30	21	2,1	12
0:01:40	21	2,2	13
0:01:50	21	2,4	10
0:02:00	21	2,5	13
0:02:10	21	2,7	11
0:02:20	21	2,9	12
0:02:30	21	3,1	10
0:02:40	21	3,3	12
0:02:50	21	3,5	10
0:03:00	21	3,6	11
0:03:10	21	3,8	13
0:03:20	21	4,0	12
0:03:30	22	4,2	10
0:03:40	22	4,3	12
0:03:50	22	4,4	14
0:04:00	22	4,5	12
0:04:10	22	4,6	13
0:04:20	22	4,7	11
0:04:30	22	4,8	12
0:04:40	23	4,9	14
0:04:50	23	4,9	11
0:05:00	23	5,0	8
0:05:10	23	5,0	8
0:05:20	23	5,1	7
0:05:30	24	5,3	7
0:05:40	24	5,3	7
0:05:50	24	5,5	8
0:06:00	24	5,7	9
0:06:10	24	5,9	12
0:06:20	24	5,9	12
0:06:30	25	6,1	12
0:06:40	25	6,3	12
0:06:50	25	6,3	11
0:07:00	25	6,4	9
0:07:10	25	6,6	9
0:07:20	25	6,7	12
