--Test Summary--
Full Path and File Name	
Instrument Name	7322
Instrument Type	Model 7322 Consistometer - Variable Speed
Instrument Serial Number	
Test Start Date	02.06.2020
Test Start Time	12:23:41
Test Stop Date	02.06.2020
Test Stop Time	16:58:22
Test Length	4:34:41
Final Sample Time Offset	4:34:41
Controller Schedule Name	
Sampling Period	1 second
Comments	
Information	WellID	
Information	Customer	
Information	EngName	
Information	CementClass	I-50
Information	CementMfr	—ÛıÓÈ ÀÓ„
Information	Additives	85I-50+15ASPM+4CaCl2+0.75SMS+0.1CEX-201
Information	Density	1500
Information	BHCT	19
Information	BHST	
Information	FluidLoss	
Information	JobType	
Calculated Value	Time_30Bc	2:38:24
Calculated Value	Time_70Bc	4:34:41
Initial Temperature (∞C)	25 ∞C
Final Temperature (∞C)	21 ∞C
Initial Pressure (MPa)	0,8 MPa
Final Pressure (MPa)	12,3 MPa
Initial Consistency (Bc)	22 Bc
Final Consistency (Bc)	70 Bc
Initial Wall Temperature (∞C)	20 ∞C
Final Wall Temperature (∞C)	20 ∞C
Initial Motor Speed (RPM)	150 RPM
Final Motor Speed (RPM)	150 RPM
--Data--
Time (HH:MM:SS)	Temperature (∞C)	Pressure (MPa)	Consistency (Bc)	Wall Temperature (∞C)	Motor Speed (RPM)
0:00:00	25	0,8	22	20	150
0:00:01	25	0,8	22	20	150
0:00:02	25	0,8	22	20	150
0:00:03	25	0,8	22	20	150
0:00:04	25	0,8	22	20	150
0:00:05	25	0,8	22	20	150
0:00:06	25	0,8	22	20	150
0:00:07	25	0,8	22	20	150
0:00:08	25	0,8	22	20	150
0:00:09	25	0,8	22	20	150
0:00:10	25	0,8	22	20	150
0:00:11	25	0,8	22	20	150
0:00:12	25	0,8	22	20	150
0:00:13	25	0,8	22	20	150
0:00:14	25	0,8	22	20	150
0:00:15	25	0,8	22	20	150
0:00:16	25	0,8	22	20	150
0:00:17	25	0,8	22	20	150
0:00:18	25	0,8	22	20	150
0:00:19	25	0,8	22	20	150
0:00:20	25	0,8	22	20	150
0:00:21	25	0,8	22	20	150
0:00:22	25	0,8	22	20	150
0:00:23	25	0,8	22	20	150
0:00:24	25	0,8	22	20	150
0:00:25	25	0,8	22	20	150
0:00:26	25	0,8	22	20	150
0:00:27	25	0,8	22	20	150
0:00:28	25	0,9	22	20	150
0:00:29	25	0,9	22	20	150
0:00:30	25	0,8	22	20	150
0:00:31	25	0,8	22	20	150
0:00:32	25	0,9	22	20	150
0:00:33	25	0,9	22	20	150
0:00:34	25	0,9	22	20	150
0:00:35	25	0,9	22	20	150
0:00:36	25	0,9	22	20	150
0:00:37	25	0,9	22	20	150
0:00:38	25	0,9	22	20	150
0:00:39	25	0,9	22	20	150
0:00:40	25	0,9	22	20	150
0:00:41	25	0,9	22	20	150
0:00:42	25	0,9	22	20	150
0:00:43	25	0,9	22	20	150
0:00:44	25	0,9	22	20	150
0:00:45	25	0,9	22	20	150
0:00:46	25	0,9	22	20	150
0:00:47	25	0,9	22	20	150
0:00:48	25	0,9	22	20	150
0:00:49	25	0,9	22	20	150
0:00:50	25	0,9	22	20	150
0:00:51	25	0,9	22	20	150
0:00:52	25	0,9	22	20	150
0:00:53	25	0,9	22	20	150
0:00:54	25	0,9	22	20	150
0:00:55	25	0,9	22	20	150
0:00:56	25	0,9	22	20	150
0:00:57	25	0,9	22	20	150
0:00:58	25	0,9	22	20	150
0:00:59	25	0,9	22	20	150
0:01:00	25	0,9	22	20	150
0:01:01	25	0,9	22	20	150
0:01:02	25	0,9	22	20	150
0:01:03	25	0,9	22	20	150
0:01:04	25	0,9	22	20	150
0:01:05	25	0,9	22	20	150
0:01:06	25	1,0	22	20	150
0:01:07	25	0,9	22	20	150
0:01:08	25	1,0	22	20	150
0:01:09	25	1,0	22	20	150
0:01:10	25	0,9	22	20	150
0:01:11	25	1,0	22	20	150
0:01:12	25	1,0	22	20	150
0:01:13	25	1,0	22	20	150
0:01:14	25	1,0	22	20	150
0:01:15	25	1,0	22	20	150
0:01:16	25	1,0	22	20	150
0:01:17	25	1,0	22	20	150
0:01:18	25	1,0	22	20	150
0:01:19	25	1,0	22	20	150
0:01:20	25	1,0	22	20	150
0:01:21	25	1,0	22	20	150
0:01:22	25	1,0	22	20	150
0:01:23	25	1,0	22	20	150
0:01:24	25	1,0	22	20	150
0:01:25	25	1,0	22	20	150
0:01:26	25	1,0	22	20	150
0:01:27	25	1,0	22	20	150
0:01:28	25	1,1	22	20	150
0:01:29	25	1,0	23	20	150
0:01:30	25	1,1	22	20	150
0:01:31	25	1,1	23	20	150
0:01:32	25	1,1	23	20	150
0:01:33	25	1,1	23	20	150
0:01:34	25	1,1	23	20	150
0:01:35	25	1,1	23	20	150
0:01:36	25	1,1	23	20	150
0:01:37	25	1,1	23	20	150
0:01:38	25	1,1	23	20	150
0:01:39	25	1,1	22	20	150
0:01:40	25	1,1	22	20	150
0:01:41	25	1,1	22	20	150
0:01:42	25	1,1	22	20	150
0:01:43	25	1,1	22	20	150
0:01:44	25	1,1	22	20	150
