--Test Summary--
Full Path and File Name	
Instrument Name	SGSA/UCA
Instrument Type	Model 5265 SGSA/UCA
Instrument Serial Number	
Test Start Date	03.06.2020
Test Start Time	14:25:34
Test Stop Date	03.06.2020
Test Stop Time	17:06:16
Test Length	2:40:42
Final Sample Time Offset	2:40:30
Controller Schedule Name	
Sampling Period	30 seconds
Comments	120 ÏËÌ ÍÓÌ‰Ëˆ ‚ 7322
Information	WellID	
Information	Customer	
Information	EngName	
Information	CementClass	G
Information	CementMfr	—ÛıÓÈ ÀÓ„
Information	Additives	100G+5DART+0.5CFL-450+0.1CD-301
Information	Density	1900
Information	BHCT	
Information	BHST	
Information	FluidLoss	
Information	JobType	
Calculated Value	CS_50	N/A
Calculated Value	CS_500	N/A
Calculated Value	SGS_Initial	1:30:30
Calculated Value	SGS_Final	1:54:00
Calculated Value	CS_Time8h	N/A
Calculated Value	CS_Time12h	N/A
Calculated Value	Time_SGS_100lb/100ft2	0:31:00
Calculated Value	Time_SGS_500lb/100ft2	1:47:00
Calculated Value	CS_Time24h	N/A
Calculated Value	CS_Time48h	N/A
Calculated Curve	Compressive Strength	Compressive strength type B (more than 14 lb/gal)
Calculated Curve	Static Gel Strength	Static gel strength
Initial Temperature (∞C)	22 ∞C
Final Temperature (∞C)	50 ∞C
Initial Pressure (psi)	3974 psi
Final Pressure (psi)	3510 psi
Initial Transit Time (microsec/in)	ERROR
Final Transit Time (microsec/in)	15,23 microsec/in
Initial Gel Value	5827
Final Gel Value	7431
Initial Compressive Strength (MPa)	N/A
Final Compressive Strength (MPa)	0,24 MPa
Initial Static Gel Strength (lb/100ft2)	75,0 lb/100ft2
Final Static Gel Strength (lb/100ft2)	ERROR
--Data--
Time (HH:MM:SS)	Temperature (∞C)	Pressure (psi)	Transit Time (microsec/in)	Gel Value	Compressive Strength (MPa)	Static Gel Strength (lb/100ft2)
0:00:00	22	3974		5827		75,0
0:00:30	22	3903	15,91	5830	0,00	75,4
0:01:00	22	3843	15,92	5833	0,00	75,8
0:01:30	22	3794	15,93	5837	0,00	76,2
0:02:00	23	3761	15,95	5829	0,00	76,7
0:02:30	24	3748	15,96	5833	0,00	77,1
0:03:00	25	3750	15,97	5834	0,00	77,5
0:03:30	25	3757	15,98	5840	0,00	77,9
0:04:00	26	3764	15,99	5836	0,00	78,3
0:04:30	26	3770	15,99	5840	0,00	78,7
0:05:00	26	3772	15,99	5843	0,00	79,1
0:05:30	27	3776	15,99	5843	0,00	79,6
0:06:00	28	3783	15,99	5848	0,00	80,0
0:06:30	28	3796	15,99	5850	0,00	80,4
0:07:00	29	3817	16,00	5848	0,00	80,8
0:07:30	30	3844	15,99	5848	0,00	81,2
0:08:00	31	3874	15,99	5853	0,00	81,6
0:08:30	31	3904	15,99	5855	0,00	82,0
0:09:00	32	3933	15,98	5854	0,00	82,5
0:09:30	32	3961	15,97	5860	0,00	82,9
0:10:00	33	3993	15,96	5859	0,00	83,3
0:10:30	34	4032	15,95	5863	0,00	83,7
0:11:00	35	4073	15,94	5865	0,00	84,1
0:11:30	35	4112	15,93	5865	0,00	84,5
0:12:00	36	4147	15,92	5869	0,00	84,9
0:12:30	36	4177	15,91	5876	0,00	85,4
0:13:00	36	4204	15,90	5881	0,00	85,8
0:13:30	37	4226	15,89	5878	0,01	86,2
0:14:00	37	4246	15,88	5884	0,01	86,6
0:14:30	37	4266	15,87	5890	0,01	87,0
0:15:00	38	4286	15,86	5888	0,01	87,4
0:15:30	38	4305	15,85	5891	0,02	87,8
0:16:00	38	4324	15,84	5889	0,02	88,3
0:16:30	38	4339	15,83	5889	0,02	88,7
0:17:00	39	4354	15,82	5890	0,03	89,1
0:17:30	39	4368	15,82	5896	0,03	89,5
0:18:00	39	4381	15,81	5895	0,03	89,9
0:18:30	39	4392	15,80	5896	0,03	90,3
0:19:00	39	4404	15,80	5901	0,04	90,7
0:19:30	39	4417	15,79	5898	0,04	91,2
0:20:00	40	4429	15,79	5900	0,04	91,6
0:20:30	40	4441	15,78	5901	0,04	92,0
0:21:00	40	4451	15,77	5900	0,05	92,4
0:21:30	40	4459	15,76	5905	0,05	92,8
0:22:00	40	4465	15,75	5904	0,05	93,2
0:22:30	40	4471	15,75	5908	0,05	93,6
0:23:00	41	4474	15,74	5906	0,05	94,1
0:23:30	41	4476	15,74	5910	0,06	94,5
0:24:00	41	4478	15,73	5912	0,06	94,9
0:24:30	41	4477	15,73	5911	0,06	95,3
0:25:00	41	4478	15,73	5912	0,06	95,7
0:25:30	41	4478	15,73	5907	0,06	96,1
0:26:00	41	4481	15,73	5909	0,06	96,5
0:26:30	41	4483	15,72	5912	0,06	97,0
0:27:00	41	4486	15,72	5912	0,06	97,4
0:27:30	41	4488	15,71	5911	0,06	97,8
0:28:00	41	4488	15,71	5911	0,06	98,2
0:28:30	41	4487	15,71	5911	0,06	98,6
0:29:00	41	4485	15,71	5911	0,06	99,0
0:29:30	41	4482	15,71	5909	0,06	99,4
0:30:00	41	4479	15,71	5914	0,06	99,9
0:30:30	41	4475	15,71	5908	0,06	100,3
0:31:00	42	4472	15,71	5909	0,06	100,7
0:31:30	42	4470	15,71	5911	0,07	101,1
0:32:00	42	4468	15,71	5905	0,07	101,5
0:32:30	42	4465	15,71	5910	0,07	101,9
0:33:00	42	4462	15,71	5903	0,07	102,3
0:33:30	42	4459	15,71	5912	0,07	102,8
0:34:00	42	4454	15,70	5907	0,07	103,2
0:34:30	42	4449	15,71	5905	0,07	103,6
0:35:00	42	4444	15,71	5912	0,07	104,0
0:35:30	42	4438	15,70	5903	0,07	104,4
0:36:00	42	4433	15,70	5908	0,07	104,8
0:36:30	42	4427	15,70	5912	0,07	105,2
0:37:00	42	4422	15,71	5908	0,07	105,7
0:37:30	42	4417	15,71	5901	0,07	106,1
0:38:00	42	4413	15,71	5907	0,07	106,5
0:38:30	42	4408	15,70	5902	0,07	106,9
0:39:00	42	4403	15,71	5905	0,07	107,3
0:39:30	42	4398	15,71	5899	0,07	107,7
0:40:00	42	4392	15,71	5901	0,07	108,1
0:40:30	42	4386	15,71	5900	0,07	108,6
0:41:00	42	4380	15,71	5894	0,07	109,0
0:41:30	42	4374	15,71	5898	0,07	109,4
0:42:00	42	4368	15,71	5895	0,07	109,8
0:42:30	42	4365	15,71	5893	0,07	110,2
0:43:00	43	4362	15,71	5895	0,07	110,6
0:43:30	43	4360	15,71	5890	0,07	111,0
0:44:00	43	4358	15,71	5890	0,07	111,5
0:44:30	43	4354	15,71	5889	0,07	111,9
