--Test Summary--
Full Path and File Name	
Instrument Name	UCA Right Cell
Instrument Type	Model 4262 Twin Cell UCA
Instrument Serial Number	
Test Start Date	15.06.2020
Test Start Time	14:34:04
Test Stop Date	16.06.2020
Test Stop Time	9:07:12
Test Length	18:33:08
Final Sample Time Offset	18:33:00
Controller Schedule Name	
Sampling Period	30 seconds
Comments	
Information	WellID	
Information	Customer	
Information	EngName	
Information	CementClass	G
Information	CementMfr	
Information	Additives	100G+120GVVS-16+0.5Floss-500+0.1DPC+0.2CitA+0.1NoFoam
Information	Density	1900
Information	BHCT	
Information	BHST	5
Information	FluidLoss	
Information	JobType	
Calculated Value	CS_50	0:51:00
Calculated Value	CS_500	1:14:00
Calculated Value	CS_Time8h	6,20 MPa
Calculated Value	CS_Time12h	6,25 MPa
Calculated Value	CS_Time24h	N/A
Calculated Value	CS_Time48h	N/A
Calculated Value	CS_Time72h	N/A
Calculated Curve	Compressive Strength	Compressive strength type B (more than 14 lb/gal)
Initial Temperature (°C)	25 °C
Final Temperature (°C)	8 °C
Initial Transit Time (microsec/in)	16,29 microsec/in
Final Transit Time (microsec/in)	10,44 microsec/in
Initial Compressive Strength (MPa)	0,00 MPa
Final Compressive Strength (MPa)	6,59 MPa
--Data--
Time (HH:MM:SS)	Temperature (°C)	Transit Time (microsec/in)	Compressive Strength (MPa)
0:00:00	25	16,29	0,00
0:00:30	25	16,30	0,00
0:01:00	25	16,30	0,00
0:01:30	25	16,32	0,00
0:02:00	25	16,32	0,00
0:02:30	24	16,33	0,00
0:03:00	24	16,34	0,00
0:03:30	24	16,35	0,00
0:04:00	24	16,36	0,00
0:04:30	24	16,36	0,00
0:05:00	24	16,37	0,00
0:05:30	23	16,39	0,00
0:06:00	23	16,39	0,00
0:06:30	23	16,40	0,00
0:07:00	23	16,41	0,00
0:07:30	23	16,42	0,00
0:08:00	22	16,42	0,00
0:08:30	22	16,44	0,00
0:09:00	22	16,45	0,00
0:09:30	22	16,45	0,00
0:10:00	22	16,47	0,00
0:10:30	22	16,48	0,00
0:11:00	22	16,49	0,00
0:11:30	21	16,50	0,00
0:12:00	21	16,51	0,00
0:12:30	21	16,53	0,00
0:13:00	21	16,54	0,00
0:13:30	21	16,55	0,00
0:14:00	21	16,56	0,00
0:14:30	21	16,57	0,00
0:15:00	20	16,59	0,00
0:15:30	20	16,60	0,00
0:16:00	20	16,61	0,00
0:16:30	20	16,62	0,00
0:17:00	20	16,63	0,00
0:17:30	20	16,64	0,00
0:18:00	20	16,65	0,00
0:18:30	19	16,66	0,00
0:19:00	19	16,66	0,00
0:19:30	19	16,68	0,00
0:20:00	19	16,68	0,00
0:20:30	19	16,69	0,00
