--Test Summary--
Full Path and File Name	
Instrument Name	UCA Right Cell
Instrument Type	Model 4262 Twin Cell UCA
Instrument Serial Number	
Test Start Date	16.06.2020
Test Start Time	9:38:20
Test Stop Date	16.06.2020
Test Stop Time	17:38:24
Test Length	8:00:04
Final Sample Time Offset	8:00:00
Controller Schedule Name	
Sampling Period	30 seconds
Comments	woc
Information	WellID	
Information	Customer	
Information	EngName	
Information	CementClass	G
Information	CementMfr	
Information	Additives	100G+150GVVS-16+0.5Floss-500+0.1DPC+0.4CitA+0.1NoFoam
Information	Density	1900
Information	BHCT	5
Information	BHST	
Information	FluidLoss	
Information	JobType	
Calculated Value	CS_50	4:37:30
Calculated Value	CS_500	5:08:30
Calculated Value	CS_Time8h	9,15 MPa
Calculated Value	CS_Time12h	N/A
Calculated Value	CS_Time24h	N/A
Calculated Value	CS_Time48h	N/A
Calculated Value	CS_Time72h	N/A
Calculated Curve	Compressive Strength	Compressive strength type B (more than 14 lb/gal)
Initial Temperature (°C)	19 °C
Final Temperature (°C)	6 °C
Initial Transit Time (microsec/in)	16,32 microsec/in
Final Transit Time (microsec/in)	9,80 microsec/in
Initial Compressive Strength (MPa)	0,00 MPa
Final Compressive Strength (MPa)	9,15 MPa
--Data--
Time (HH:MM:SS)	Temperature (°C)	Transit Time (microsec/in)	Compressive Strength (MPa)
0:00:00	19	16,32	0,00
0:00:30	18	16,32	0,00
0:01:00	18	16,33	0,00
0:01:30	18	16,34	0,00
0:02:00	17	16,36	0,00
0:02:30	17	16,37	0,00
0:03:00	17	16,39	0,00
0:03:30	17	16,40	0,00
0:04:00	17	16,42	0,00
0:04:30	17	16,43	0,00
0:05:00	16	16,45	0,00
0:05:30	16	16,45	0,00
0:06:00	16	16,47	0,00
0:06:30	16	16,48	0,00
0:07:00	16	16,50	0,00
0:07:30	16	16,51	0,00
0:08:00	16	16,52	0,00
0:08:30	15	16,54	0,00
0:09:00	15	16,55	0,00
0:09:30	15	16,56	0,00
0:10:00	15	16,57	0,00
0:10:30	15	16,59	0,00
0:11:00	15	16,60	0,00
0:11:30	15	16,61	0,00
0:12:00	15	16,63	0,00
0:12:30	14	16,63	0,00
0:13:00	14	16,65	0,00
0:13:30	14	16,66	0,00
0:14:00	14	16,67	0,00
0:14:30	14	16,68	0,00
0:15:00	14	16,69	0,00
0:15:30	14	16,70	0,00
0:16:00	14	16,71	0,00
0:16:30	14	16,72	0,00
0:17:00	13	16,73	0,00
0:17:30	13	16,74	0,00
0:18:00	13	16,75	0,00
0:18:30	13	16,76	0,00
0:19:00	13	16,77	0,00
0:19:30	13	16,78	0,00
0:20:00	13	16,79	0,00
0:20:30	13	16,80	0,00
0:21:00	13	16,80	0,00
0:21:30	13	16,81	0,00
0:22:00	12	16,82	0,00
0:22:30	12	16,84	0,00
0:23:00	12	16,84	0,00
0:23:30	12	16,85	0,00
0:24:00	12	16,86	0,00
0:24:30	12	16,86	0,00
0:25:00	12	16,87	0,00
0:25:30	12	16,88	0,00
0:26:00	12	16,89	0,00
0:26:30	11	16,90	0,00
0:27:00	11	16,90	0,00
0:27:30	11	16,91	0,00
0:28:00	11	16,92	0,00
0:28:30	11	16,93	0,00
0:29:00	11	16,93	0,00
0:29:30	11	16,93	0,00
0:30:00	11	16,95	0,00
0:30:30	11	16,96	0,00
0:31:00	11	16,96	0,00
0:31:30	11	16,96	0,00
0:32:00	10	16,97	0,00
0:32:30	10	16,98	0,00
0:33:00	10	16,98	0,00
0:33:30	10	16,99	0,00
0:34:00	10	17,00	0,00
0:34:30	10	17,01	0,00
0:35:00	10	17,02	0,00
0:35:30	10	17,02	0,00
0:36:00	10	17,02	0,00
0:36:30	10	17,03	0,00
0:37:00	10	17,04	0,00
0:37:30	10	17,04	0,00
0:38:00	10	17,04	0,00
0:38:30	9	17,05	0,00
0:39:00	9	17,06	0,00
0:39:30	9	17,06	0,00
0:40:00	9	17,07	0,00
