--Test Summary--
Full Path and File Name	
Instrument Name	SGSA/UCA
Instrument Type	Model 5265 SGSA/UCA
Instrument Serial Number	
Test Start Date	03.02.2021
Test Start Time	17:33:47
Test Stop Date	04.02.2021
Test Stop Time	9:26:33
Test Length	15:52:46
Final Sample Time Offset	15:52:30
Controller Schedule Name	
Sampling Period	30 seconds
Comments	
Information	WellID	
Information	Customer	
Information	EngName	
Information	CementClass	
Information	CementMfr	
Information	Additives	30G+55Silica+15MKU+3CaCl2+0.1DPC
Information	Density	1900
Information	BHCT	
Information	BHST	
Information	FluidLoss	
Information	JobType	
Calculated Value	CS_50	6:19:00
Calculated Value	CS_500	15:22:00
Calculated Value	SGS_Initial	N/A
Calculated Value	SGS_Final	N/A
Calculated Value	CS_Time8h	0,98 MPa
Calculated Value	CS_Time12h	2,47 MPa
Calculated Value	Time_SGS_100lb/100ft2	N/A
Calculated Value	Time_SGS_500lb/100ft2	N/A
Calculated Value	CS_Time24h	N/A
Calculated Value	CS_Time48h	N/A
Calculated Curve	Compressive Strength	Compressive strength type B (more than 14 lb/gal)
Calculated Curve	Static Gel Strength	Static gel strength
Initial Temperature (°C)	23 °C
Final Temperature (°C)	25 °C
Initial Pressure (psi)	73 psi
Final Pressure (psi)	78 psi
Initial Transit Time (microsec/in)	ERROR
Final Transit Time (microsec/in)	11,60 microsec/in
Initial Gel Value	ERROR
Final Gel Value	6960
Initial Compressive Strength (MPa)	N/A
Final Compressive Strength (MPa)	3,59 MPa
Initial Static Gel Strength (lb/100ft2)	N/A
Final Static Gel Strength (lb/100ft2)	N/A
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (psi)	Transit Time (microsec/in)	Gel Value	Compressive Strength (MPa)	Static Gel Strength (lb/100ft2)
0:00:00	23	73				
0:00:30	23	72				
0:01:00	23	73				
0:01:30	23	81				
0:02:00	23	93				
0:02:30	23	91				
0:03:00	23	95				
0:03:30	23	94	16,03	3608	0,00	
0:04:00	23	93	15,65	4378	0,12	
0:04:30	23	93	15,56	5024	0,15	
0:05:00	23	93	15,55	5447	0,15	
0:05:30	23	93	15,56	5735	0,15	
0:06:00	23	92	15,57	5896	0,15	
0:06:30	23	95	15,58	6040	0,14	
0:07:00	23	95	15,59	6074	0,14	
0:07:30	23	95	15,60	6091	0,14	
0:08:00	23	94	15,61	6112	0,14	
0:08:30	23	94	15,62	6106	0,13	
0:09:00	23	94	15,62	6112	0,13	
0:09:30	23	94	15,62	6101	0,13	
0:10:00	23	94	15,62	6108	0,13	
0:10:30	23	93	15,62	6101	0,13	
0:11:00	23	93	15,63	6095	0,13	
0:11:30	23	94	15,63	6096	0,13	
0:12:00	23	93	15,63	6086	0,13	
0:12:30	23	93	15,63	6086	0,13	
0:13:00	23	93	15,63	6081	0,13	
0:13:30	23	93	15,63	6078	0,13	
0:14:00	23	93	15,63	6078	0,13	
0:14:30	23	93	15,63	6074	0,13	
0:15:00	23	93	15,63	6066	0,13	
0:15:30	23	93	15,64	6056	0,12	
0:16:00	23	93	15,64	6064	0,13	
0:16:30	23	93	15,64	6052	0,12	
0:17:00	23	92	15,64	6053	0,12	
0:17:30	23	92	15,64	6055	0,12	
0:18:00	23	92	15,64	6045	0,12	
0:18:30	23	92	15,64	6050	0,12	
0:19:00	23	92	15,64	6053	0,12	
0:19:30	23	92	15,64	6042	0,12	
0:20:00	23	92	15,64	6041	0,12	
0:20:30	23	92	15,64	6042	0,12	
0:21:00	23	92	15,65	6031	0,12	
