--Test Summary--
Full Path and File Name	
Instrument Name	SGSA/UCA
Instrument Type	Model 5265 SGSA/UCA
Instrument Serial Number	
Test Start Date	05.02.2021
Test Start Time	15:03:10
Test Stop Date	05.02.2021
Test Stop Time	17:11:12
Test Length	2:08:02
Final Sample Time Offset	2:08:00
Controller Schedule Name	
Sampling Period	30 seconds
Comments	
Information	WellID	
Information	Customer	
Information	EngName	
Information	CementClass	
Information	CementMfr	
Information	Additives	90G+10ASPM+2CaCl2
Information	Density	
Information	BHCT	
Information	BHST	
Information	FluidLoss	
Information	JobType	
Calculated Value	CS_50	N/A
Calculated Value	CS_500	N/A
Calculated Value	SGS_Initial	0:48:00
Calculated Value	SGS_Final	1:19:00
Calculated Value	CS_Time8h	N/A
Calculated Value	CS_Time12h	N/A
Calculated Value	CS_Time24h	N/A
Calculated Value	CS_Time48h	N/A
Calculated Value	Time_SGS_100lb/100ft2	0:55:00
Calculated Value	Time_SGS_500lb/100ft2	1:10:00
Calculated Curve	Compressive Strength	Compressive strength type A (less than 14 lb/gal)
Calculated Curve	Static Gel Strength	Static gel strength
Initial Temperature (°C)	29 °C
Final Temperature (°C)	50 °C
Initial Pressure (psi)	78 psi
Final Pressure (psi)	83 psi
Initial Transit Time (microsec/in)	ERROR
Final Transit Time (microsec/in)	14,65 microsec/in
Initial Gel Value	ERROR
Final Gel Value	6541
Initial Compressive Strength (MPa)	N/A
Final Compressive Strength (MPa)	0,33 MPa
Initial Static Gel Strength (lb/100ft2)	8,4 lb/100ft2
Final Static Gel Strength (lb/100ft2)	ERROR
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (psi)	Transit Time (microsec/in)	Gel Value	Compressive Strength (MPa)	Static Gel Strength (lb/100ft2)
0:00:00	29	78				8,4
0:00:30	29	78				9,1
0:01:00	30	77				9,9
0:01:30	30	78				10,7
0:02:00	30	79				11,5
0:02:30	30	78				12,3
0:03:00	31	99				13,0
0:03:30	31	98				13,8
0:04:00	31	97				14,6
0:04:30	32	97				15,4
0:05:00	33	97				16,2
0:05:30	33	98				16,9
0:06:00	34	98				17,7
0:06:30	34	99				18,5
0:07:00	35	99				19,3
0:07:30	35	100				20,1
0:08:00	36	100				20,9
0:08:30	36	101				21,6
0:09:00	37	102				22,4
0:09:30	38	104				23,2
0:10:00	38	105				24,0
0:10:30	39	106				24,8
0:11:00	39	108				25,5
0:11:30	40	110				26,3
0:12:00	41	112				27,1
0:12:30	41	113				27,9
0:13:00	42	115				28,7
0:13:30	43	7				29,4
0:14:00	33	7				30,2
0:14:30	32	8				31,0
0:15:00	31	8				31,8
0:15:30	30	8				32,6
0:16:00	28	8				33,4
0:16:30	44	28	15,19	5359	0,00	34,1
0:17:00	44	80	15,24	5355	0,00	34,9
0:17:30	44	80	15,37	5296	0,00	35,7
0:18:00	44	81	15,44	5361	0,00	36,5
0:18:30	45	81	15,47	5354	0,00	37,3
0:19:00	45	81	15,48	5309	0,00	38,0
0:19:30	45	91	15,49	5227	0,00	38,8
0:20:00	45	91	15,49	5137	0,00	39,6
0:20:30	45	91	15,50	5063	0,00	40,4
0:21:00	45	91	15,50	4997	0,00	41,2
0:21:30	45	91	15,49	4951	0,00	41,9
0:22:00	45	91	15,49	4896	0,00	42,7
0:22:30	45	91	15,48	4858	0,00	43,5
0:23:00	46	91	15,49	4824	0,00	44,3
0:23:30	46	91	15,49	4778	0,00	45,1
0:24:00	46	91	15,49	4739	0,00	45,9
