--Test Summary--
Full Path and File Name	
Instrument Name	SGSA/UCA
Instrument Type	Model 5265 SGSA/UCA
Instrument Serial Number	
Test Start Date	08.02.2021
Test Start Time	11:17:28
Test Stop Date	08.02.2021
Test Stop Time	15:29:04
Test Length	4:11:36
Final Sample Time Offset	4:11:30
Controller Schedule Name	
Sampling Period	30 seconds
Comments	
Information	WellID	
Information	Customer	
Information	EngName	
Information	CementClass	
Information	CementMfr	
Information	Additives	80G+20MKU+2CaCl2+0.4Cex
Information	Density	1500
Information	BHCT	
Information	BHST	
Information	FluidLoss	
Information	JobType	
Calculated Value	CS_50	3:36:00
Calculated Value	CS_500	N/A
Calculated Value	SGS_Initial	0:56:00
Calculated Value	SGS_Final	1:33:00
Calculated Value	CS_Time8h	N/A
Calculated Value	CS_Time12h	N/A
Calculated Value	CS_Time24h	N/A
Calculated Value	CS_Time48h	N/A
Calculated Value	Time_SGS_100lb/100ft2	1:01:00
Calculated Value	Time_SGS_500lb/100ft2	1:19:30
Calculated Curve	Compressive Strength	Compressive strength type A (less than 14 lb/gal)
Calculated Curve	Static Gel Strength	Static gel strength
Initial Temperature (°C)	20 °C
Final Temperature (°C)	50 °C
Initial Pressure (psi)	87 psi
Final Pressure (psi)	109 psi
Initial Transit Time (microsec/in)	16,59 microsec/in
Final Transit Time (microsec/in)	15,40 microsec/in
Initial Gel Value	5963
Final Gel Value	6824
Initial Compressive Strength (MPa)	0,00 MPa
Final Compressive Strength (MPa)	0,50 MPa
Initial Static Gel Strength (lb/100ft2)	16,7 lb/100ft2
Final Static Gel Strength (lb/100ft2)	ERROR
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (psi)	Transit Time (microsec/in)	Gel Value	Compressive Strength (MPa)	Static Gel Strength (lb/100ft2)
0:00:00	20	87	16,59	5963	0,00	16,7
0:00:30	20	85	16,61	5966	0,00	17,4
0:01:00	20	85	16,62	5960	0,00	18,0
0:01:30	21	85	16,63	5954	0,00	18,7
0:02:00	21	85	16,64	5933	0,00	19,4
0:02:30	22	86	16,65	5917	0,00	20,1
0:03:00	23	86	16,66	5912	0,00	20,7
0:03:30	23	86	16,67	5904	0,00	21,4
0:04:00	24	86	16,68	5891	0,00	22,1
0:04:30	24	87	16,69	5880	0,00	22,7
0:05:00	25	106	16,70	5864	0,00	23,4
0:05:30	25	110	16,70	5872	0,00	24,1
0:06:00	26	110	16,71	5862	0,00	24,7
0:06:30	27	110	16,71	5859	0,00	25,4
0:07:00	28	112	16,72	5849	0,00	26,1
0:07:30	29	113	16,72	5843	0,00	26,8
0:08:00	29	115	16,72	5838	0,00	27,4
0:08:30	30	116	16,72	5829	0,00	28,1
0:09:00	31	118	16,72	5827	0,00	28,8
0:09:30	32	120	16,72	5827	0,00	29,4
0:10:00	33	123	16,72	5824	0,00	30,1
0:10:30	33	125	16,72	5821	0,00	30,8
0:11:00	34	128	16,72	5819	0,00	31,4
0:11:30	35	131	16,72	5809	0,00	32,1
0:12:00	36	135	16,71	5794	0,00	32,8
0:12:30	37	138	16,71	5788	0,00	33,4
0:13:00	38	142	16,71	5775	0,00	34,1
0:13:30	39	147	16,70	5772	0,00	34,8
0:14:00	40	151	16,69	5757	0,00	35,5
0:14:30	41	153	16,68	5747	0,00	36,1
0:15:00	41	160	16,68	5725	0,00	36,8
0:15:30	42	166	16,67	5717	0,00	37,5
0:16:00	43	174	16,66	5704	0,00	38,1
0:16:30	44	182	16,65	5696	0,00	38,8
0:17:00	45	189	16,63	5685	0,00	39,5
