--Test Summary--
Full Path and File Name	
Instrument Name	7222
Instrument Type	Model 7222 Consistometer
Instrument Serial Number	
Test Start Date	16.02.2021
Test Start Time	11:26:10
Test Stop Date	16.02.2021
Test Stop Time	12:44:00
Test Length	1:17:50
Final Sample Time Offset	1:17:50
Controller Schedule Name	
Sampling Period	10 seconds
Comments	
Information	WellID	
Information	Customer	
Information	EngName	DENIS
Information	CementClass	G Holsim
Information	CementMfr	
Information	Additives	DPC 0,2% + MKU 5% + SR 5% + Í‚. ÏÛÍ‡ 30%
Information	Density	
Information	BHCT	
Information	BHST	
Information	FluidLoss	
Information	JobType	
Calculated Value	Time_30Bc	0:32:30
Calculated Value	Time_70Bc	1:17:50
Initial Temperature (∞C)	22 ∞C
Final Temperature (∞C)	76 ∞C
Initial Pressure (MPa)	1,1 MPa
Final Pressure (MPa)	40,5 MPa
Initial Consistency (Bc)	9 Bc
Final Consistency (Bc)	71 Bc
--Data--
Time (HH:MM:SS)	Temperature (∞C)	Pressure (MPa)	Consistency (Bc)
0:00:00	22	1,1	9
0:00:10	22	1,2	9
0:00:20	22	1,4	9
0:00:30	22	1,6	9
0:00:40	22	1,9	9
0:00:50	21	2,1	9
0:01:00	21	2,5	9
0:01:10	21	2,9	10
0:01:20	21	3,4	10
0:01:30	21	3,8	10
0:01:40	21	3,9	10
0:01:50	21	4,1	10
0:02:00	21	4,3	10
0:02:10	21	4,4	11
0:02:20	21	4,7	10
0:02:30	21	4,9	10
0:02:40	22	5,0	10
0:02:50	22	5,1	10
0:03:00	22	5,3	10
0:03:10	22	5,4	10
0:03:20	22	5,8	11
0:03:30	22	5,9	10
0:03:40	23	6,0	10
0:03:50	23	6,3	10
0:04:00	23	6,3	10
0:04:10	24	6,6	10
0:04:20	24	6,8	10
0:04:30	25	6,9	9
0:04:40	25	7,1	9
0:04:50	25	7,3	9
0:05:00	26	7,6	10
0:05:10	26	7,6	10
0:05:20	27	7,7	9
0:05:30	27	7,8	9
0:05:40	28	7,9	10
0:05:50	28	8,1	10
0:06:00	29	8,2	9
0:06:10	29	8,3	10
0:06:20	30	8,3	10
0:06:30	30	8,3	9
0:06:40	30	8,4	10
0:06:50	31	8,6	10
0:07:00	31	8,8	10
0:07:10	32	8,9	10
0:07:20	32	9,1	10
0:07:30	32	9,3	9
0:07:40	33	9,5	10
0:07:50	33	9,7	9
0:08:00	33	9,9	10
0:08:10	33	10,1	10
0:08:20	34	10,3	9
0:08:30	34	10,5	10
0:08:40	34	10,7	10
0:08:50	34	10,9	9
0:09:00	35	11,1	10
0:09:10	35	11,4	9
0:09:20	35	11,7	10
0:09:30	35	12,0	10
0:09:40	35	12,3	10
0:09:50	36	12,6	10
0:10:00	36	12,9	10
0:10:10	36	13,2	10
0:10:20	36	13,3	11
0:10:30	37	13,3	10
0:10:40	37	13,7	10
0:10:50	37	13,8	10
0:11:00	37	14,1	10
0:11:10	38	14,0	11
0:11:20	38	14,4	10
0:11:30	38	14,6	11
0:11:40	38	14,6	11
0:11:50	39	14,9	11
0:12:00	39	15,1	12
0:12:10	39	15,4	12
0:12:20	39	15,6	14
0:12:30	40	15,6	16
0:12:40	40	15,8	14
0:12:50	40	16,0	13
0:13:00	41	16,2	13
0:13:10	41	16,4	14
0:13:20	41	16,6	14
0:13:30	42	16,9	14
0:13:40	42	17,1	15
0:13:50	42	17,2	16
0:14:00	42	17,4	15
0:14:10	43	17,5	17
0:14:20	43	17,7	17
0:14:30	43	17,9	18
0:14:40	43	18,0	14
0:14:50	44	18,2	13
0:15:00	44	18,4	13
0:15:10	44	18,6	12
0:15:20	45	18,8	12
0:15:30	45	19,0	13
0:15:40	45	19,1	13
0:15:50	45	19,2	13
0:16:00	46	19,4	13
0:16:10	46	19,6	13
0:16:20	46	19,8	12
0:16:30	46	19,9	13
0:16:40	47	20,2	13
0:16:50	47	20,4	13
0:17:00	47	20,6	13
0:17:10	47	20,8	13
0:17:20	48	21,0	14
0:17:30	48	21,2	14
0:17:40	48	21,5	14
0:17:50	48	21,4	13
0:18:00	49	21,6	14
0:18:10	49	21,9	14
0:18:20	49	22,2	14
0:18:30	49	22,1	14
0:18:40	49	22,4	15
0:18:50	50	22,6	15
0:19:00	50	22,8	15
0:19:10	50	22,8	15
0:19:20	50	22,9	15
0:19:30	51	23,2	15
0:19:40	51	23,4	16
0:19:50	51	23,7	16
0:20:00	51	23,5	15
0:20:10	52	23,9	16
0:20:20	52	24,1	16
0:20:30	52	24,3	16
0:20:40	52	24,5	16
0:20:50	53	24,7	16
0:21:00	53	24,9	16
0:21:10	53	25,1	17
0:21:20	53	25,3	17
0:21:30	54	25,5	17
0:21:40	54	25,7	17
0:21:50	54	25,8	18
0:22:00	54	26,0	17
0:22:10	55	26,2	17
0:22:20	55	26,4	18
0:22:30	55	26,6	18
0:22:40	56	26,8	19
0:22:50	56	27,0	20
0:23:00	56	27,2	20
0:23:10	56	27,3	18
0:23:20	57	27,6	19
0:23:30	57	27,5	19
0:23:40	57	27,6	19
0:23:50	57	27,8	19
0:24:00	58	27,9	20
0:24:10	58	28,2	20
0:24:20	58	28,4	20
0:24:30	58	28,5	19
0:24:40	59	28,7	20
0:24:50	59	29,0	20
0:25:00	59	29,1	20
0:25:10	59	29,3	21
0:25:20	59	29,5	21
0:25:30	60	29,7	21
0:25:40	60	29,9	20
0:25:50	60	30,1	21
0:26:00	60	30,4	21
0:26:10	61	30,6	21
0:26:20	61	30,8	21
0:26:30	61	31,1	21
0:26:40	61	31,2	21
0:26:50	62	31,3	21
0:27:00	62	31,5	22
0:27:10	62	31,8	22
0:27:20	62	30,9	22
0:27:30	63	31,3	22
0:27:40	63	31,7	22
0:27:50	63	31,9	22
0:28:00	63	32,1	22
0:28:10	64	32,6	22
0:28:20	64	33,0	22
0:28:30	64	33,4	22
0:28:40	64	32,8	22
0:28:50	64	33,0	22
0:29:00	65	33,2	22
0:29:10	65	33,4	22
0:29:20	65	33,7	23
0:29:30	65	33,9	23
0:29:40	66	34,2	24
0:29:50	66	34,4	23
0:30:00	66	34,6	23
0:30:10	66	34,9	23
0:30:20	67	35,2	23
0:30:30	67	35,4	24
0:30:40	67	35,7	24
0:30:50	67	35,2	24
0:31:00	68	35,5	23
0:31:10	68	35,8	24
0:31:20	68	36,1	24
0:31:30	68	36,3	24
0:31:40	68	36,6	24
0:31:50	69	36,8	25
0:32:00	69	37,1	25
0:32:10	69	37,3	25
0:32:20	70	37,6	33
0:32:30	70	37,2	32
0:32:40	70	37,4	32
0:32:50	70	37,6	32
0:33:00	71	37,8	33
0:33:10	71	38,1	32
0:33:20	71	38,3	33
0:33:30	71	38,4	33
0:33:40	72	38,6	34
0:33:50	72	38,8	34
0:34:00	72	38,9	34
0:34:10	73	39,0	34
0:34:20	73	39,1	33
0:34:30	73	39,2	34
0:34:40	74	39,3	33
0:34:50	74	39,5	34
0:35:00	74	39,7	34
0:35:10	74	39,8	35
0:35:20	75	40,0	34
0:35:30	75	40,2	34
0:35:40	75	40,3	34
0:35:50	75	40,6	34
0:36:00	76	40,7	34
0:36:10	76	40,9	34
0:36:20	76	40,1	34
0:36:30	76	40,2	34
0:36:40	76	40,4	34
0:36:50	76	40,5	35
0:37:00	77	40,5	32
0:37:10	77	40,5	34
0:37:20	77	40,6	35
0:37:30	77	40,5	35
0:37:40	77	40,5	35
0:37:50	77	40,4	34
0:38:00	78	40,3	35
0:38:10	78	40,2	35
0:38:20	78	40,1	37
0:38:30	78	40,0	37
0:38:40	78	39,9	37
0:38:50	78	39,7	36
0:39:00	78	39,7	38
0:39:10	78	39,7	36
0:39:20	78	39,7	36
0:39:30	78	39,6	35
0:39:40	78	39,7	35
0:39:50	78	39,7	35
0:40:00	78	39,7	34
0:40:10	78	39,7	34
0:40:20	78	39,8	35
0:40:30	78	39,8	35
0:40:40	78	39,8	34
0:40:50	78	39,8	35
0:41:00	78	39,8	34
0:41:10	78	39,8	35
0:41:20	78	39,8	35
0:41:30	78	39,8	34
0:41:40	78	39,7	35
0:41:50	78	39,7	34
0:42:00	78	39,6	35
0:42:10	78	39,8	34
0:42:20	78	39,8	35
0:42:30	78	39,8	34
0:42:40	78	39,8	34
0:42:50	78	39,8	33
0:43:00	78	39,7	34
0:43:10	78	39,7	34
0:43:20	78	39,7	33
0:43:30	78	39,7	33
0:43:40	78	39,7	33
0:43:50	77	39,7	33
0:44:00	77	39,7	25
0:44:10	77	39,7	34
0:44:20	77	39,7	34
0:44:30	77	39,7	35
0:44:40	77	39,7	34
0:44:50	77	39,8	34
0:45:00	77	39,9	34
0:45:10	77	39,9	34
0:45:20	77	39,9	34
0:45:30	77	39,9	34
0:45:40	77	39,8	34
0:45:50	77	39,9	35
0:46:00	77	39,9	35
0:46:10	77	39,9	35
0:46:20	77	39,9	36
0:46:30	77	39,9	34
0:46:40	77	39,8	35
0:46:50	77	39,9	34
0:47:00	77	39,9	33
0:47:10	77	39,9	33
0:47:20	77	39,9	33
0:47:30	77	40,0	34
0:47:40	77	39,9	34
0:47:50	77	39,9	35
0:48:00	77	40,0	35
0:48:10	77	39,9	35
0:48:20	77	39,9	34
0:48:30	77	39,9	35
0:48:40	77	40,0	35
0:48:50	76	40,0	35
0:49:00	76	40,0	34
0:49:10	76	39,9	34
0:49:20	76	40,0	33
0:49:30	76	40,0	33
0:49:40	76	40,0	33
0:49:50	76	40,0	33
0:50:00	76	40,0	34
0:50:10	76	40,0	34
0:50:20	76	40,1	35
0:50:30	76	40,1	36
0:50:40	76	40,0	35
0:50:50	76	40,0	34
0:51:00	76	40,0	33
0:51:10	76	40,0	34
0:51:20	76	39,9	34
0:51:30	76	39,9	34
0:51:40	76	40,0	34
0:51:50	76	39,9	35
