--Test Summary--
Full Path and File Name	
Instrument Name	UCA Left Cell
Instrument Type	Model 4262 Twin Cell UCA
Instrument Serial Number	
Test Start Date	01.03.2021
Test Start Time	12:53:29
Test Stop Date	02.03.2021
Test Stop Time	13:27:00
Test Length	24:33:31
Final Sample Time Offset	24:33:30
Controller Schedule Name	
Sampling Period	30 seconds
Comments	STIM

Information	WellID	
Information	Customer	
Information	EngName	
Information	CementClass	
Information	CementMfr	
Information	Additives	
Information	Density	1820
Information	BHCT	
Information	BHST	
Information	FluidLoss	
Information	JobType	
Calculated Value	CS_50	2:10:30
Calculated Value	CS_500	2:54:30
Calculated Value	CS_Time8h	27,62 MPa
Calculated Value	CS_Time12h	32,45 MPa
Calculated Value	CS_Time24h	42,45 MPa
Calculated Value	CS_Time48h	N/A
Calculated Value	CS_Time72h	N/A
Calculated Curve	Compressive Strength	Compressive strength type B (more than 14 lb/gal)
Initial Temperature (°C)	21 °C
Final Temperature (°C)	1299 °C
Initial Transit Time (microsec/in)	17,12 microsec/in
Final Transit Time (microsec/in)	ERROR
Initial Compressive Strength (MPa)	0,00 MPa
Final Compressive Strength (MPa)	N/A
--Data--
Time (HH:MM:SS)	Temperature (°C)	Transit Time (microsec/in)	Compressive Strength (MPa)
0:00:00	21	17,12	0,00
0:00:30	21	17,09	0,01
0:01:00	21	17,10	0,00
0:01:30	20	17,11	0,00
0:02:00	20	17,12	0,00
0:02:30	20	17,13	0,00
0:03:00	20	17,14	0,00
0:03:30	20	17,15	0,00
0:04:00	19	17,16	0,00
0:04:30	19	17,17	0,00
0:05:00	19	17,18	0,00
0:05:30	19	17,20	0,00
0:06:00	19	17,20	0,00
0:06:30	19	17,22	0,00
0:07:00	18	17,22	0,00
0:07:30	18	17,24	0,00
0:08:00	18	17,25	0,00
0:08:30	18	17,28	0,00
0:09:00	18	17,29	0,00
0:09:30	18	17,30	0,00
0:10:00	18	17,31	0,00
0:10:30	17	17,32	0,00
0:11:00	17	17,33	0,00
0:11:30	17	17,34	0,00
0:12:00	17	17,34	0,00
0:12:30	17	17,35	0,00
0:13:00	17	17,37	0,00
0:13:30	17	17,38	0,00
0:14:00	17	17,38	0,00
0:14:30	16	17,39	0,00
0:15:00	16	17,40	0,00
0:15:30	16	17,41	0,00
0:16:00	16	17,42	0,00
0:16:30	16	17,43	0,00
0:17:00	16	17,44	0,00
0:17:30	16	17,46	0,00
0:18:00	16	17,46	0,00
0:18:30	16	17,48	0,00
0:19:00	16	17,49	0,00
