--Test Summary--
Full Path and File Name	
Instrument Name	SGSA/UCA
Instrument Type	Model 5265 SGSA/UCA
Instrument Serial Number	
Test Start Date	15.03.2021
Test Start Time	17:35:38
Test Stop Date	16.03.2021
Test Stop Time	12:05:18
Test Length	18:29:40
Final Sample Time Offset	18:29:30
Controller Schedule Name	
Sampling Period	30 seconds
Comments	
Information	WellID	
Information	Customer	
Information	EngName	
Information	CementClass	I-50
Information	CementMfr	—ÛıÓÈ ÀÓ„
Information	Additives	100I-50+0.25PHV+0.1PlastA+0.1CR
Information	Density	1890
Information	BHCT	35
Information	BHST	40
Information	FluidLoss	
Information	JobType	
Calculated Value	CS_50	4:24:00
Calculated Value	CS_500	5:48:00
Calculated Value	SGS_Initial	2:03:00
Calculated Value	SGS_Final	3:30:30
Calculated Value	CS_Time8h	12,53 MPa
Calculated Value	CS_Time12h	21,40 MPa
Calculated Value	Time_SGS_100lb/100ft2	0:41:30
Calculated Value	Time_SGS_500lb/100ft2	3:07:30
Calculated Value	CS_Time24h	N/A
Calculated Value	CS_Time48h	N/A
Calculated Curve	Compressive Strength	Compressive strength type B (more than 14 lb/gal)
Calculated Curve	Static Gel Strength	Static gel strength
Initial Temperature (∞C)	22 ∞C
Final Temperature (∞C)	41 ∞C
Initial Pressure (psi)	3371 psi
Final Pressure (psi)	1662 psi
Initial Transit Time (microsec/in)	16,31 microsec/in
Final Transit Time (microsec/in)	7,74 microsec/in
Initial Gel Value	5843
Final Gel Value	7733
Initial Compressive Strength (MPa)	0,00 MPa
Final Compressive Strength (MPa)	28,99 MPa
Initial Static Gel Strength (lb/100ft2)	75,0 lb/100ft2
Final Static Gel Strength (lb/100ft2)	ERROR
--Data--
Time (HH:MM:SS)	Temperature (∞C)	Pressure (psi)	Transit Time (microsec/in)	Gel Value	Compressive Strength (MPa)	Static Gel Strength (lb/100ft2)
0:00:00	22	3371	16,31	5843	0,00	75,0
0:00:30	22	3304	16,18	5813	0,04	75,3
0:01:00	22	3244	16,12	5786	0,05	75,6
0:01:30	23	3192	16,10	5753	0,06	75,9
0:02:00	23	3734	16,09	5726	0,06	76,2
0:02:30	23	3689	16,05	5712	0,07	76,5
0:03:00	23	3656	16,03	5680	0,08	76,8
0:03:30	23	3628	16,03	5659	0,08	77,1
0:04:00	23	3603	16,03	5640	0,08	77,4
0:04:30	23	3580	16,03	5623	0,08	77,7
0:05:00	24	3561	16,04	5604	0,08	78,0
0:05:30	24	3546	16,04	5594	0,08	78,4
0:06:00	24	3534	16,04	5579	0,08	78,7
0:06:30	24	3524	16,05	5564	0,07	79,0
0:07:00	24	3515	16,05	5554	0,07	79,3
0:07:30	25	3506	16,06	5543	0,07	79,6
0:08:00	25	3497	16,06	5537	0,07	79,9
0:08:30	25	3489	16,06	5526	0,07	80,2
0:09:00	25	3482	16,06	5518	0,07	80,5
0:09:30	25	3476	16,06	5512	0,07	80,8
0:10:00	25	3472	16,06	5506	0,07	81,1
0:10:30	26	3469	16,06	5491	0,07	81,4
0:11:00	26	3468	16,06	5498	0,07	81,7
0:11:30	26	3467	16,06	5484	0,07	82,0
0:12:00	26	3466	16,06	5482	0,07	82,3
0:12:30	26	3466	16,06	5477	0,07	82,6
0:13:00	27	3466	16,06	5473	0,07	82,9
0:13:30	27	3467	16,06	5471	0,07	83,2
0:14:00	27	3469	16,05	5465	0,07	83,5
0:14:30	27	3472	16,05	5459	0,07	83,8
0:15:00	27	3476	16,05	5452	0,07	84,1
0:15:30	28	3480	16,05	5444	0,07	84,5
0:16:00	28	3484	16,04	5439	0,08	84,8
0:16:30	28	3489	16,04	5439	0,08	85,1
0:17:00	28	3494	16,03	5428	0,08	85,4
0:17:30	29	3500	16,03	5428	0,08	85,7
