--Test Summary--
Full Path and File Name	
Instrument Name	7222
Instrument Type	Model 7222 Consistometer
Instrument Serial Number	
Test Start Date	17.03.2021
Test Start Time	13:22:32
Test Stop Date	17.03.2021
Test Stop Time	16:56:38
Test Length	3:34:06
Final Sample Time Offset	3:34:00
Controller Schedule Name	
Sampling Period	10 seconds
Comments	ïî ÷àñòÿì
Information	WellID	
Information	Customer	
Information	EngName	
Information	CementClass	
Information	CementMfr	
Information	Additives	
Information	Density	
Information	BHCT	
Information	BHST	
Information	FluidLoss	
Information	JobType	
Calculated Value	Time_30Bc	N/A
Calculated Value	Time_70Bc	N/A
Initial Temperature (°C)	23 °C
Final Temperature (°C)	6 °C
Initial Pressure (MPa)	0,3 MPa
Final Pressure (MPa)	0,3 MPa
Initial Consistency (Bc)	20 Bc
Final Consistency (Bc)	18 Bc
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)
0:00:00	23	0,3	20
0:00:10	23	0,3	20
0:00:20	23	0,3	19
0:00:30	23	0,3	19
0:00:40	23	0,3	20
0:00:50	23	0,3	20
0:01:00	23	0,3	20
0:01:10	23	0,3	20
0:01:20	23	0,3	20
0:01:30	23	0,2	20
0:01:40	23	0,3	20
0:01:50	22	0,3	20
0:02:00	22	0,3	20
0:02:10	22	0,3	20
0:02:20	22	0,3	21
0:02:30	22	0,3	21
0:02:40	22	0,2	21
0:02:50	22	0,3	20
0:03:00	22	0,3	20
0:03:10	22	0,3	20
0:03:20	21	0,3	20
0:03:30	21	0,3	21
0:03:40	21	0,3	20
0:03:50	21	0,3	21
0:04:00	21	0,3	21
0:04:10	21	0,3	21
0:04:20	21	0,3	21
0:04:30	21	0,3	21
0:04:40	21	0,3	21
0:04:50	20	0,3	20
0:05:00	20	0,3	20
0:05:10	20	0,3	20
0:05:20	20	0,3	21
0:05:30	20	0,3	21
0:05:40	20	0,3	20
0:05:50	20	0,3	21
0:06:00	20	0,3	21
0:06:10	20	0,3	21
0:06:20	19	0,3	21
0:06:30	19	0,3	20
0:06:40	19	0,3	20
0:06:50	19	0,3	20
0:07:00	19	0,3	19
0:07:10	19	0,3	19
0:07:20	19	0,3	19
0:07:30	19	0,3	19
0:07:40	19	0,3	19
0:07:50	19	0,3	19
0:08:00	19	0,3	20
0:08:10	18	0,3	19
0:08:20	18	0,3	19
0:08:30	18	0,3	19
0:08:40	18	0,3	18
0:08:50	18	0,3	19
0:09:00	18	0,3	18
0:09:10	18	0,3	19
0:09:20	18	0,3	19
0:09:30	18	0,3	19
0:09:40	18	0,3	19
0:09:50	18	0,3	19
0:10:00	17	0,3	19
0:10:10	17	0,3	18
0:10:20	17	0,3	19
0:10:30	17	0,3	19
0:10:40	17	0,3	19
0:10:50	17	0,3	20
0:11:00	17	0,3	21
0:11:10	17	0,3	20
0:11:20	17	0,3	20
0:11:30	17	0,3	20
0:11:40	17	0,3	20
0:11:50	17	0,3	20
0:12:00	17	0,3	20
0:12:10	17	0,3	20
0:12:20	16	0,3	20
0:12:30	16	0,3	20
0:12:40	16	0,3	19
0:12:50	16	0,3	19
0:13:00	16	0,3	19
0:13:10	16	0,3	19
0:13:20	16	0,3	19
0:13:30	16	0,3	19
0:13:40	16	0,3	19
0:13:50	16	0,3	19
0:14:00	16	0,3	19
0:14:10	16	0,3	18
0:14:20	16	0,3	19
0:14:30	16	0,3	18
0:14:40	16	0,3	18
0:14:50	15	0,3	18
0:15:00	15	0,3	18
0:15:10	15	0,3	18
0:15:20	15	0,3	18
0:15:30	15	0,3	19
0:15:40	15	0,3	19
0:15:50	15	0,3	19
0:16:00	15	0,3	19
0:16:10	15	0,3	18
0:16:20	15	0,3	19
0:16:30	15	0,3	18
0:16:40	15	0,3	19
0:16:50	15	0,3	19
0:17:00	15	0,3	18
0:17:10	15	0,3	18
0:17:20	15	0,3	18
0:17:30	15	0,3	18
0:17:40	15	0,3	18
0:17:50	15	0,3	18
0:18:00	14	0,3	19
0:18:10	14	0,3	19
0:18:20	14	0,3	19
0:18:30	14	0,3	19
0:18:40	14	0,3	18
0:18:50	14	0,3	18
0:19:00	14	0,3	18
0:19:10	14	0,3	18
0:19:20	14	0,3	18
0:19:30	14	0,3	18
0:19:40	14	0,3	18
0:19:50	14	0,3	18
0:20:00	14	0,3	18
0:20:10	14	0,3	18
0:20:20	14	0,3	19
0:20:30	14	0,3	19
0:20:40	14	0,3	19
0:20:50	14	0,3	19
0:21:00	14	0,3	19
0:21:10	14	0,3	19
0:21:20	14	0,3	19
0:21:30	14	0,3	18
0:21:40	13	0,3	18
0:21:50	13	0,3	18
0:22:00	13	0,3	18
0:22:10	13	0,3	18
0:22:20	13	0,3	18
0:22:30	13	0,3	19
0:22:40	13	0,3	18
0:22:50	13	0,3	18
0:23:00	13	0,3	18
0:23:10	13	0,3	19
0:23:20	13	0,3	19
0:23:30	13	0,3	18
0:23:40	13	0,3	18
0:23:50	13	0,3	18
0:24:00	13	0,3	18
0:24:10	13	0,3	18
0:24:20	13	0,3	18
0:24:30	13	0,3	18
0:24:40	13	0,3	18
0:24:50	13	0,3	18
0:25:00	13	0,3	18
0:25:10	13	0,3	18
0:25:20	13	0,3	18
0:25:30	13	0,3	18
0:25:40	13	0,3	18
0:25:50	13	0,3	19
0:26:00	13	0,3	18
0:26:10	13	0,3	18
0:26:20	12	0,3	18
0:26:30	12	0,3	18
0:26:40	12	0,3	18
0:26:50	12	0,3	18
0:27:00	12	0,3	18
0:27:10	12	0,3	18
0:27:20	12	0,3	18
0:27:30	12	0,3	18
0:27:40	12	0,3	18
0:27:50	12	0,3	19
0:28:00	12	0,3	19
0:28:10	12	0,3	19
0:28:20	12	0,3	20
0:28:30	12	0,3	20
0:28:40	12	0,3	20
0:28:50	12	0,3	20
0:29:00	12	0,3	20
0:29:10	12	0,3	19
0:29:20	12	0,3	19
0:29:30	12	0,3	19
0:29:40	12	0,3	19
0:29:50	12	0,3	19
0:30:00	12	0,3	18
0:30:10	12	0,3	18
0:30:20	12	0,3	19
0:30:30	12	0,3	19
0:30:40	12	0,3	18
0:30:50	12	0,3	18
0:31:00	12	0,3	19
0:31:10	12	0,3	18
0:31:20	12	0,3	18
0:31:30	12	0,3	18
0:31:40	12	0,3	18
0:31:50	11	0,3	18
0:32:00	11	0,3	18
0:32:10	11	0,3	18
0:32:20	11	0,3	18
0:32:30	11	0,3	18
0:32:40	11	0,3	18
0:32:50	11	0,3	18
0:33:00	11	0,3	18
0:33:10	11	0,3	18
0:33:20	11	0,3	18
0:33:30	11	0,3	18
0:33:40	11	0,3	18
0:33:50	11	0,3	18
0:34:00	11	0,3	18
0:34:10	11	0,3	18
0:34:20	11	0,3	18
0:34:30	11	0,3	18
0:34:40	11	0,3	18
0:34:50	11	0,3	18
0:35:00	11	0,3	18
0:35:10	11	0,3	18
0:35:20	11	0,3	18
0:35:30	11	0,3	18
0:35:40	11	0,3	18
0:35:50	11	0,3	18
0:36:00	11	0,3	18
0:36:10	11	0,3	18
0:36:20	11	0,3	18
0:36:30	11	0,3	18
0:36:40	11	0,3	18
0:36:50	11	0,3	18
0:37:00	11	0,3	18
0:37:10	11	0,3	18
0:37:20	11	0,3	18
0:37:30	11	0,3	18
0:37:40	11	0,3	18
0:37:50	11	0,3	18
0:38:00	11	0,3	18
0:38:10	11	0,3	18
0:38:20	10	0,3	18
0:38:30	10	0,3	18
0:38:40	10	0,3	18
0:38:50	10	0,3	18
0:39:00	10	0,3	18
0:39:10	10	0,3	18
0:39:20	10	0,3	18
0:39:30	10	0,3	18
0:39:40	10	0,3	18
0:39:50	10	0,3	18
0:40:00	10	0,3	18
0:40:10	10	0,3	18
0:40:20	10	0,3	18
0:40:30	10	0,3	18
0:40:40	10	0,3	18
0:40:50	10	0,3	18
0:41:00	10	0,3	18
0:41:10	10	0,3	18
0:41:20	10	0,3	18
0:41:30	10	0,3	18
0:41:40	10	0,3	18
0:41:50	10	0,3	18
0:42:00	10	0,3	18
0:42:10	10	0,3	18
0:42:20	10	0,3	18
0:42:30	10	0,3	18
0:42:40	10	0,3	18
0:42:50	10	0,3	18
0:43:00	10	0,3	18
0:43:10	10	0,3	18
0:43:20	10	0,3	18
0:43:30	10	0,3	18
0:43:40	10	0,3	18
0:43:50	10	0,3	18
0:44:00	10	0,3	18
0:44:10	10	0,3	18
0:44:20	10	0,3	18
0:44:30	10	0,3	18
0:44:40	10	0,3	18
0:44:50	10	0,3	18
0:45:00	10	0,3	18
0:45:10	10	0,3	18
0:45:20	10	0,3	18
0:45:30	10	0,3	18
0:45:40	10	0,3	18
0:45:50	10	0,3	18
0:46:00	10	0,3	18
0:46:10	10	0,3	18
0:46:20	10	0,3	18
0:46:30	10	0,3	18
0:46:40	10	0,3	18
0:46:50	10	0,3	18
0:47:00	9	0,3	18
0:47:10	9	0,3	18
0:47:20	9	0,3	18
0:47:30	9	0,3	18
0:47:40	9	0,3	18
0:47:50	9	0,3	18
0:48:00	9	0,3	18
0:48:10	9	0,3	18
0:48:20	9	0,3	18
0:48:30	9	0,3	18
0:48:40	9	0,3	18
0:48:50	9	0,3	18
0:49:00	9	0,3	18
0:49:10	9	0,3	18
0:49:20	9	0,3	18
0:49:30	9	0,3	18
0:49:40	9	0,3	18
0:49:50	9	0,3	18
0:50:00	9	0,3	18
0:50:10	9	0,3	18
0:50:20	9	0,3	18
0:50:30	9	0,3	18
