--Test Summary--
Full Path and File Name	
Instrument Name	SGSA/UCA
Instrument Type	Model 5265 SGSA/UCA
Instrument Serial Number	
Test Start Date	31.03.2021
Test Start Time	15:26:16
Test Stop Date	02.04.2021
Test Stop Time	16:00:22
Test Length	48:34:06
Final Sample Time Offset	48:34:00
Controller Schedule Name	
Sampling Period	30 seconds
Comments	
Information	WellID	
Information	Customer	
Information	EngName	
Information	CementClass	
Information	CementMfr	
Information	Additives	
Information	Density	1500
Information	BHCT	5
Information	BHST	
Information	FluidLoss	
Information	JobType	
Calculated Value	CS_50	3:01:00
Calculated Value	CS_500	3:18:30
Calculated Value	SGS_Initial	2:45:30
Calculated Value	SGS_Final	2:54:30
Calculated Value	CS_Time8h	6,97 MPa
Calculated Value	CS_Time12h	7,48 MPa
Calculated Value	CS_Time24h	9,76 MPa
Calculated Value	CS_Time48h	12,03 MPa
Calculated Value	Time_SGS_100lb/100ft2	2:46:30
Calculated Value	Time_SGS_500lb/100ft2	2:48:30
Calculated Curve	Compressive Strength	Compressive strength type A (less than 14 lb/gal)
Calculated Curve	Static Gel Strength	Static gel strength
Initial Temperature (°C)	19 °C
Final Temperature (°C)	5 °C
Initial Pressure (psi)	2829 psi
Final Pressure (psi)	2544 psi
Initial Transit Time (microsec/in)	ERROR
Final Transit Time (microsec/in)	9,65 microsec/in
Initial Gel Value	6450
Final Gel Value	7308
Initial Compressive Strength (MPa)	N/A
Final Compressive Strength (MPa)	12,07 MPa
Initial Static Gel Strength (lb/100ft2)	10,4 lb/100ft2
Final Static Gel Strength (lb/100ft2)	ERROR
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (psi)	Transit Time (microsec/in)	Gel Value	Compressive Strength (MPa)	Static Gel Strength (lb/100ft2)
0:00:00	19	2829		6450		10,4
0:00:30	18	2669	13,89	6405	0,00	10,7
0:01:00	17	3250	13,90	6356	0,00	10,9
0:01:30	16	2730	13,91	6318	0,00	11,1
0:02:00	15	2893	13,92	6284	0,00	11,3
0:02:30	15	3124	13,94	6231	0,00	11,6
0:03:00	14	2759	13,95	6213	0,00	11,8
0:03:30	14	3007		6208		12,0
0:04:00	13	2714	13,97	6163	0,00	12,3
0:04:30	13	3014	13,97	6164	0,00	12,5
0:05:00	12	2760	13,98	6119	0,00	12,7
0:05:30	12	3113	14,00	6091	0,00	12,9
0:06:00	12	2881	14,00	6091	0,00	13,2
0:06:30	11	2677	14,01	6057	0,00	13,4
0:07:00	11	2508	14,04	6035	0,00	13,6
0:07:30	11	2902	14,04	6040	0,00	13,8
0:08:00	11	2725	14,05	6021	0,00	14,1
0:08:30	10	2565	14,07	5992	0,00	14,3
0:09:00	10	3504	14,08	5974	0,00	14,5
0:09:30	10	3331	14,06	6145	0,00	14,7
0:10:00	10	3160	14,06	6084	0,00	15,0
0:10:30	9	3009	14,07	6047	0,00	15,2
0:11:00	9	3451	14,09	6010	0,00	15,4
0:11:30	9	3292	14,08	6037	0,00	15,7
0:12:00	9	3153	14,09	5988	0,00	15,9
0:12:30	9	3028	14,10	5957	0,00	16,1
0:13:00	9	2910	14,12	5932	0,00	16,3
0:13:30	9	3377	14,13	5920	0,00	16,6
0:14:00	8	3250	14,12	5937	0,00	16,8
0:14:30	8	3136	14,13	5909	0,00	17,0
0:15:00	8	3031	14,15	5887	0,00	17,2
0:15:30	8	2933	14,16	5859	0,00	17,5
0:16:00	8	2839	14,17	5840	0,00	17,7
0:16:30	8	3320	14,17	5882	0,00	17,9
