--Test Summary--
Full Path and File Name	
Instrument Name	SGSA/UCA
Instrument Type	Model 5265 SGSA/UCA
Instrument Serial Number	
Test Start Date	05.04.2021
Test Start Time	11:04:27
Test Stop Date	07.04.2021
Test Stop Time	12:51:44
Test Length	49:47:17
Final Sample Time Offset	49:47:00
Controller Schedule Name	
Sampling Period	30 seconds
Comments	
Information	WellID	
Information	Customer	
Information	EngName	
Information	CementClass	
Information	CementMfr	
Information	Additives	
Information	Density	1800
Information	BHCT	15
Information	BHST	
Information	FluidLoss	
Information	JobType	
Calculated Value	CS_50	2:37:30
Calculated Value	CS_500	2:55:00
Calculated Value	SGS_Initial	2:57:30
Calculated Value	SGS_Final	3:07:00
Calculated Value	CS_Time8h	11,98 MPa
Calculated Value	CS_Time12h	15,05 MPa
Calculated Value	Time_SGS_100lb/100ft2	2:58:30
Calculated Value	Time_SGS_500lb/100ft2	2:59:30
Calculated Value	CS_Time24h	20,08 MPa
Calculated Value	CS_Time48h	23,18 MPa
Calculated Curve	Compressive Strength	Compressive strength type B (more than 14 lb/gal)
Calculated Curve	Static Gel Strength	Static gel strength
Initial Temperature (°C)	18 °C
Final Temperature (°C)	16 °C
Initial Pressure (psi)	3668 psi
Final Pressure (psi)	3467 psi
Initial Transit Time (microsec/in)	14,98 microsec/in
Final Transit Time (microsec/in)	8,07 microsec/in
Initial Gel Value	6476
Final Gel Value	7404
Initial Compressive Strength (MPa)	0,00 MPa
Final Compressive Strength (MPa)	23,38 MPa
Initial Static Gel Strength (lb/100ft2)	10,4 lb/100ft2
Final Static Gel Strength (lb/100ft2)	ERROR
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (psi)	Transit Time (microsec/in)	Gel Value	Compressive Strength (MPa)	Static Gel Strength (lb/100ft2)
0:00:00	18	3668	14,98	6476	0,00	10,4
0:00:30	19	3406	14,98	6439	0,00	10,7
0:01:00	19	3200	14,99	6427	0,00	10,9
0:01:30	19	3643	15,00	6419	0,00	11,1
0:02:00	19	3461	14,99	6403	0,00	11,3
0:02:30	19	3301	14,99	6388	0,00	11,5
0:03:00	19	3155	15,00	6373	0,00	11,7
0:03:30	19	3663	15,02	6359	0,00	11,9
0:04:00	19	3515	15,00	6367	0,00	12,1
0:04:30	19	3380	15,00	6353	0,00	12,3
0:05:00	18	3255	15,01	6337	0,00	12,6
0:05:30	18	3796	15,03	6320	0,00	12,8
0:06:00	18	3668	15,02	6350	0,00	13,0
0:06:30	18	3561	15,01	6328	0,00	13,2
0:07:00	18	3465	15,01	6311	0,00	13,4
0:07:30	18	3376	15,02	6294	0,00	13,6
0:08:00	18	3872		6378		13,8
0:08:30	18	3767	14,99	6367	0,00	14,0
0:09:00	18	3673	14,99	6342	0,00	14,2
0:09:30	18	3588	15,00	6324	0,00	14,5
0:10:00	18	3512	15,01	6300	0,00	14,7
0:10:30	18	4015	15,03	6287	0,00	14,9
0:11:00	18	3929	15,00	6371	0,00	15,1
0:11:30	18	3849	15,00	6333	0,00	15,3
0:12:00	18	3776	15,00	6312	0,00	15,5
0:12:30	17	3709	15,00	6295	0,00	15,7
0:13:00	17	3645	15,02	6279	0,00	15,9
0:13:30	17	3584	15,03	6263	0,00	16,1
0:14:00	17	4073	15,02	6347	0,00	16,4
0:14:30	17	4039	15,00	6329	0,00	16,6
0:15:00	17	3978	15,00	6290	0,00	16,8
0:15:30	17	3916	15,00	6266	0,00	17,0
0:16:00	17	3857	15,01	6250	0,00	17,2
0:16:30	17	3804	15,01	6232	0,00	17,4
0:17:00	17	3753	15,02	6218	0,00	17,6
0:17:30	17	3705	15,03	6207	0,00	17,8
0:18:00	17	4150	15,04	6193	0,00	18,0
0:18:30	17	4135	15,02	6295	0,00	18,3
0:19:00	17	4111	15,01	6259	0,00	18,5
0:19:30	17	4082	15,01	6234	0,00	18,7
0:20:00	17	4028	15,01	6214	0,00	18,9
0:20:30	17	3979	15,02	6197	0,00	19,1
0:21:00	16	3933	15,03	6181	0,00	19,3
0:21:30	16	3891	15,04	6167	0,00	19,5
0:22:00	16	3852	15,05	6152	0,00	19,7
0:22:30	16	3814	15,05	6140	0,00	19,9
0:23:00	16	3777	15,06	6132	0,00	20,2
0:23:30	16	4199	15,06	6122	0,00	20,4
0:24:00	16	4186	15,02	6228	0,00	20,6
0:24:30	16	4170	15,02	6204	0,00	20,8
0:25:00	16	4153	15,02	6178	0,00	21,0
0:25:30	16	4133	15,03	6163	0,00	21,2
0:26:00	16	4112	15,03	6136	0,00	21,4
0:26:30	16	4074	15,04	6141	0,00	21,6
0:27:00	16	4037	15,04	6116	0,00	21,9
0:27:30	16	4001	15,05	6099	0,00	22,1
0:28:00	16	3966	15,06	6094	0,00	22,3
0:28:30	16	3933	15,07	6081	0,00	22,5
0:29:00	16	3900	15,07	6071	0,00	22,7
0:29:30	16	3869	15,08	6060	0,00	22,9
0:30:00	16	3840	15,08	6053	0,00	23,1
0:30:30	16	3812	15,09	6043	0,00	23,3
0:31:00	16	3785	15,09	6031	0,00	23,5
0:31:30	16	4212	15,10	6028	0,00	23,8
0:32:00	16	4214	15,07	6115	0,00	24,0
0:32:30	16	4209	15,07	6095	0,00	24,2
0:33:00	15	4200	15,06	6100	0,00	24,4
0:33:30	15	4189	15,06	6079	0,00	24,6
0:34:00	15	4177	15,06	6066	0,00	24,8
0:34:30	15	4164	15,06	6045	0,00	25,0
0:35:00	15	4141	15,07	6037	0,00	25,2
0:35:30	15	4113	15,07	6022	0,00	25,4
0:36:00	15	4086	15,08	6015	0,00	25,7
0:36:30	15	4060	15,08	6005	0,00	25,9
0:37:00	15	4035	15,09	6000	0,00	26,1
0:37:30	15	4010	15,09	5992	0,00	26,3
0:38:00	15	3987	15,10	5984	0,00	26,5
0:38:30	15	3963	15,10	5978	0,00	26,7
0:39:00	15	3942	15,11	5969	0,00	26,9
0:39:30	15	3922	15,11	5963	0,00	27,1
0:40:00	15	3901	15,12	5957	0,00	27,3
0:40:30	15	4212	15,12	5949	0,00	27,6
0:41:00	15	4259	15,10	6074	0,00	27,8
0:41:30	15	4260	15,09	6074	0,00	28,0
0:42:00	15	4258	15,08	6037	0,00	28,2
0:42:30	15	4255	15,08	6018	0,00	28,4
0:43:00	15	4249	15,08	6006	0,00	28,6
0:43:30	15	4241	15,08	5994	0,00	28,8
0:44:00	15	4233	15,08	5980	0,00	29,0
0:44:30	15	4224	15,08	5978	0,00	29,2
0:45:00	15	4214	15,09	5963	0,00	29,5
0:45:30	15	4206	15,09	5961	0,00	29,7
0:46:00	15	4192	15,09	5947	0,00	29,9
0:46:30	15	4174	15,09	5941	0,00	30,1
0:47:00	15	4155	15,09	5941	0,00	30,3
0:47:30	15	4136	15,10	5935	0,00	30,5
0:48:00	15	4118	15,10	5925	0,00	30,7
0:48:30	15	4099	15,11	5924	0,00	30,9
0:49:00	15	4081	15,11	5917	0,00	31,1
0:49:30	15	4062	15,12	5909	0,00	31,4
0:50:00	15	4044	15,12	5905	0,00	31,6
0:50:30	15	4026	15,12	5900	0,00	31,8
0:51:00	15	4009	15,13	5898	0,00	32,0
0:51:30	15	3992	15,13	5893	0,00	32,2
0:52:00	15	3975	15,13	5885	0,00	32,4
0:52:30	15	3958	15,14	5884	0,00	32,6
0:53:00	15	3942	15,14	5878	0,00	32,8
0:53:30	15	3926	15,14	5873	0,00	33,0
0:54:00	15	3910	15,14	5873	0,00	33,3
0:54:30	15	3894	15,15	5869	0,00	33,5
0:55:00	15	3878	15,15	5864	0,00	33,7
0:55:30	15	3862	15,15	5861	0,00	33,9
0:56:00	15	3847	15,16	5859	0,00	34,1
0:56:30	15	3831	15,16	5856	0,00	34,3
0:57:00	16	3816	15,16	5856	0,00	34,5
0:57:30	16	3801	15,17	5850	0,00	34,7
0:58:00	16	3785	15,17	5849	0,00	34,9
0:58:30	16	3770	15,17	5848	0,00	35,2
0:59:00	16	3755	15,17	5843	0,00	35,4
0:59:30	16	3740	15,18	5841	0,00	35,6
1:00:00	16	3725	15,18	5839	0,00	35,8
1:00:30	16	3711	15,18	5836	0,00	36,0
1:01:00	16	3697	15,18	5838	0,00	36,2
1:01:30	16	3682	15,19	5834	0,00	36,4
1:02:00	16	3668	15,19	5834	0,00	36,6
1:02:30	16	3654	15,19	5834	0,00	36,9
1:03:00	16	3640	15,19	5833	0,00	37,1
1:03:30	16	3627	15,19	5838	0,00	37,3
1:04:00	16	3612	15,20	5834	0,00	37,5
1:04:30	16	3598	15,20	5835	0,00	37,7
1:05:00	16	3585	15,20	5834	0,00	37,9
1:05:30	16	3570	15,21	5836	0,00	38,1
1:06:00	16	3557	15,21	5834	0,00	38,3
1:06:30	16	3544	15,21	5837	0,00	38,5
1:07:00	16	3531	15,22	5841	0,00	38,8
1:07:30	16	3518	15,22	5842	0,00	39,0
1:08:00	16	3505	15,22	5841	0,00	39,2
1:08:30	16	3491	15,22	5841	0,00	39,4
1:09:00	16	3478	15,23	5844	0,00	39,6
1:09:30	16	3464	15,23	5847	0,00	39,8
1:10:00	16	3448	15,23	5850	0,00	40,0
1:10:30	16	3435	15,23	5855	0,00	40,2
1:11:00	16	3423	15,23	5855	0,00	40,4
1:11:30	16	3411	15,24	5863	0,00	40,7
1:12:00	16	3973	15,24	5884	0,00	40,9
1:12:30	16	3984	15,20	5888	0,00	41,1
1:13:00	16	3988	15,18	5866	0,00	41,3
1:13:30	16	3973	15,17	5857	0,00	41,5
1:14:00	16	3956	15,17	5858	0,00	41,7
1:14:30	16	3940	15,17	5860	0,00	41,9
1:15:00	16	3924	15,17	5859	0,00	42,1
1:15:30	16	3909	15,17	5865	0,00	42,3
1:16:00	16	3894	15,18	5865	0,00	42,6
1:16:30	16	3879	15,18	5873	0,00	42,8
1:17:00	16	3864	15,18	5880	0,00	43,0
1:17:30	16	3849	15,19	5883	0,00	43,2
1:18:00	16	3834	15,19	5892	0,00	43,4
1:18:30	16	3820	15,19	5897	0,00	43,6
1:19:00	16	3806	15,20	5905	0,00	43,8
1:19:30	16	3791	15,20	5913	0,00	44,0
1:20:00	16	3775	15,20	5925	0,00	44,2
1:20:30	15	3760	15,21	5932	0,00	44,5
1:21:00	15	3743	15,21	5940	0,00	44,7
1:21:30	15	3728	15,21	5950	0,00	44,9
1:22:00	15	3713	15,22	5960	0,00	45,1
1:22:30	15	3700	15,22	5969	0,00	45,3
1:23:00	15	3686	15,22	5981	0,00	45,5
1:23:30	15	3674	15,22	5993	0,00	45,7
1:24:00	15	3662	15,23	6007	0,00	45,9
1:24:30	15	3649	15,23	6014	0,00	46,1
1:25:00	15	3636	15,23	6029	0,00	46,4
1:25:30	15	3623	15,23	6042	0,00	46,6
1:26:00	15	3610	15,23	6051	0,00	46,8
1:26:30	15	3598	15,23	6069	0,00	47,0
1:27:00	15	3586	15,24	6077	0,00	47,2
1:27:30	15	3574	15,24	6094	0,00	47,4
1:28:00	15	3562	15,24	6107	0,00	47,6
1:28:30	15	3549	15,24	6117	0,00	47,8
1:29:00	15	3536	15,24	6132	0,00	48,0
1:29:30	15	4034	15,22	5993	0,00	48,3
1:30:00	15	4045	15,19	5997	0,00	48,5
1:30:30	15	4052	15,18	6018	0,00	48,7
1:31:00	15	4055	15,18	6032	0,00	48,9
1:31:30	15	4057	15,17	6048	0,00	49,1
1:32:00	15	4052	15,17	6064	0,00	49,3
1:32:30	15	4036	15,17	6080	0,00	49,5
1:33:00	15	4022	15,18	6098	0,00	49,7
1:33:30	15	4006	15,18	6114	0,00	49,9
1:34:00	15	3992	15,18	6132	0,00	50,2
1:34:30	15	3977	15,18	6149	0,00	50,4
1:35:00	15	3962	15,18	6168	0,00	50,6
1:35:30	15	3947	15,18	6183	0,00	50,8
1:36:00	15	3932	15,18	6201	0,00	51,0
1:36:30	15	3917	15,18	6219	0,00	51,2
1:37:00	15	3902	15,19	6238	0,00	51,4
1:37:30	15	3888	15,19	6258	0,00	51,6
1:38:00	15	3875	15,19	6277	0,00	51,9
1:38:30	15	3862	15,19	6297	0,00	52,1
1:39:00	15	3848	15,19	6319	0,00	52,3
1:39:30	15	3833	15,19	6337	0,00	52,5
1:40:00	15	3818	15,19	6356	0,00	52,7
1:40:30	15	3804	15,19	6378	0,00	52,9
1:41:00	15	3791	15,19	6393	0,00	53,1
1:41:30	16	3777	15,19	6418	0,00	53,3
1:42:00	15	3764	15,19	6435	0,00	53,5
1:42:30	15	3749	15,19	6454	0,00	53,8
1:43:00	15	3735	15,19	6477	0,00	54,0
1:43:30	15	3721	15,19	6498	0,00	54,2
1:44:00	15	3707	15,19	6515	0,00	54,4
1:44:30	16	3693	15,19	6536	0,00	54,6
1:45:00	16	3679	15,19	6558	0,00	54,8
1:45:30	16	3666	15,19	6575	0,00	55,0
1:46:00	16	3652	15,19	6597	0,00	55,2
1:46:30	16	3638	15,19	6616	0,00	55,4
1:47:00	16	3625	15,19	6634	0,00	55,7
1:47:30	16	3610	15,19	6655	0,00	55,9
1:48:00	16	3597	15,19	6675	0,00	56,1
1:48:30	16	3584	15,19	6693	0,00	56,3
1:49:00	16	3570	15,19	6711	0,00	56,5
1:49:30	16	3557	15,19	6730	0,00	56,7
1:50:00	16	3543	15,19	6751	0,00	56,9
1:50:30	16	3530	15,19	6772	0,00	57,1
1:51:00	16	3516	15,19	6790	0,00	57,3
1:51:30	16	3503	15,18	6808	0,00	57,6
1:52:00	16	3490	15,18	6818	0,00	57,8
1:52:30	16	3476	15,18	6833	0,00	58,0
1:53:00	16	3462	15,18	6853	0,00	58,2
1:53:30	16	3449	15,18	6871	0,00	58,4
1:54:00	16	3435	15,18	6889	0,00	58,6
1:54:30	16	3421	15,18	6903	0,00	58,8
1:55:00	16	3407	15,18	6920	0,00	59,0
1:55:30	16	3394	15,17	6936	0,00	59,2
1:56:00	16	3381	15,17	6953	0,00	59,5
1:56:30	16	3368	15,17	6965	0,00	59,7
1:57:00	16	3354	15,17	6983	0,00	59,9
1:57:30	16	3342	15,16	6997	0,00	60,1
1:58:00	16	3328	15,16	7013	0,00	60,3
1:58:30	16	3315	15,16	7027	0,00	60,5
1:59:00	16	3302	15,15	7036	0,00	60,7
1:59:30	16	3289	15,15	7049	0,00	60,9
2:00:00	16	3277	15,15	7062	0,00	61,1
2:00:30	16	3264	15,14	7071	0,00	61,4
2:01:00	16	3251	15,14	7083	0,00	61,6
2:01:30	16	3238	15,13	7097	0,00	61,8
2:02:00	16	3225	15,13	7103	0,00	62,0
2:02:30	16	3213	15,12	7115	0,00	62,2
2:03:00	16	3201	15,12	7124	0,00	62,4
2:03:30	16	3188	15,11	7134	0,00	62,6
2:04:00	16	3175	15,11	7140	0,00	62,8
