--Test Summary--
Full Path and File Name	
Instrument Name	7322
Instrument Type	Model 7322 Consistometer - Variable Speed
Instrument Serial Number	
Test Start Date	18.06.2021
Test Start Time	19:16:39
Test Stop Date	18.06.2021
Test Stop Time	21:34:12
Test Length	2:17:33
Final Sample Time Offset	2:17:33
Controller Schedule Name	
Sampling Period	1 second
Comments	
Information	WellID	
Information	Customer	
Information	EngName	DENIS
Information	CementClass	G Holsim
Information	CementMfr	
Information	Additives	Bulk Luk Lab 2.5%R + 0.15%LR
Information	Density	
Information	BHCT	
Information	BHST	
Information	FluidLoss	
Information	JobType	
Calculated Value	Time_30Bc	0:50:50
Calculated Value	Time_70Bc	N/A
Initial Temperature (°C)	60 °C
Final Temperature (°C)	65 °C
Initial Pressure (MPa)	32,1 MPa
Final Pressure (MPa)	35,6 MPa
Initial Consistency (Bc)	22 Bc
Final Consistency (Bc)	29 Bc
Initial Wall Temperature (°C)	65 °C
Final Wall Temperature (°C)	65 °C
Initial Motor Speed (RPM)	150 RPM
Final Motor Speed (RPM)	150 RPM
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)	Wall Temperature (°C)	Motor Speed (RPM)
0:00:00	60	32,1	22	65	150
0:00:01	60	32,1	22	65	150
0:00:02	60	32,1	22	65	150
0:00:03	60	32,1	22	65	150
0:00:04	60	32,1	22	65	150
0:00:05	60	32,0	22	64	150
0:00:06	60	32,0	22	64	150
0:00:07	60	31,9	22	64	150
0:00:08	60	31,9	22	64	150
0:00:09	60	32,0	22	64	150
0:00:10	60	32,0	22	64	150
0:00:11	60	32,0	22	64	150
0:00:12	60	32,0	23	63	150
0:00:13	60	32,0	23	63	150
0:00:14	60	32,0	23	63	150
0:00:15	60	32,0	23	63	150
0:00:16	60	32,0	23	63	150
0:00:17	60	32,0	23	62	150
0:00:18	60	31,9	23	62	150
0:00:19	60	32,0	23	62	150
0:00:20	60	32,1	23	62	150
0:00:21	60	32,2	23	62	150
0:00:22	60	32,2	23	62	150
0:00:23	60	32,1	23	61	150
0:00:24	60	32,1	22	61	150
0:00:25	60	32,1	22	61	150
0:00:26	60	32,2	22	61	150
0:00:27	60	32,2	22	61	150
0:00:28	60	32,3	23	61	150
0:00:29	60	32,3	23	61	150
0:00:30	60	32,2	23	60	150
0:00:31	60	32,2	23	60	150
0:00:32	60	32,2	23	60	150
0:00:33	60	32,1	23	60	150
0:00:34	60	32,1	23	60	150
0:00:35	60	32,2	23	60	150
0:00:36	60	32,3	23	60	150
0:00:37	60	32,4	23	60	150
0:00:38	60	32,4	23	60	150
0:00:39	60	32,4	23	59	150
0:00:40	60	32,4	23	59	150
0:00:41	60	32,5	23	59	150
0:00:42	60	32,5	23	59	150
0:00:43	60	32,5	23	59	150
0:00:44	60	32,5	23	59	150
0:00:45	60	32,5	23	59	150
0:00:46	60	32,5	23	59	150
0:00:47	60	32,5	23	59	150
0:00:48	60	32,4	23	59	150
0:00:49	60	32,4	23	59	150
0:00:50	60	32,4	23	58	150
0:00:51	61	32,5	23	58	150
0:00:52	61	32,6	23	58	150
0:00:53	61	32,6	23	58	150
0:00:54	61	32,6	23	58	150
0:00:55	61	32,6	23	58	150
0:00:56	61	32,6	23	58	150
0:00:57	61	32,6	23	58	150
0:00:58	61	32,5	23	58	150
0:00:59	61	32,5	23	58	150
0:01:00	61	32,5	23	58	150
0:01:01	61	32,5	23	58	150
0:01:02	61	32,7	23	58	150
0:01:03	61	32,8	23	58	150
0:01:04	61	32,8	23	57	150
0:01:05	61	32,7	23	57	150
0:01:06	61	32,7	23	57	150
0:01:07	61	32,7	23	57	150
0:01:08	61	32,6	23	57	150
0:01:09	61	32,6	23	57	150
0:01:10	61	32,7	23	57	150
0:01:11	61	32,9	23	57	150
0:01:12	61	32,9	23	57	150
0:01:13	61	32,9	23	57	150
0:01:14	61	32,9	23	57	150
0:01:15	61	32,9	23	57	150
0:01:16	61	32,8	23	57	150
0:01:17	61	32,8	23	57	150
0:01:18	61	32,9	23	56	150
0:01:19	61	32,9	23	56	150
0:01:20	61	32,9	23	56	150
0:01:21	61	33,0	23	56	150
0:01:22	61	33,0	23	56	150
0:01:23	61	33,0	23	56	150
0:01:24	61	33,0	23	56	150
0:01:25	61	33,0	23	56	150
0:01:26	61	33,0	23	56	150
0:01:27	61	33,0	23	56	150
0:01:28	61	33,0	23	56	150
0:01:29	61	33,0	23	56	150
0:01:30	61	33,0	23	56	150
0:01:31	61	33,0	23	56	150
0:01:32	61	33,0	23	56	150
0:01:33	61	33,0	23	56	150
0:01:34	61	33,0	23	56	150
0:01:35	61	33,0	23	56	150
0:01:36	60	32,9	23	56	150
0:01:37	60	33,2	23	56	150
0:01:38	60	33,3	24	56	150
0:01:39	60	33,4	25	56	150
0:01:40	60	33,4	25	56	150
0:01:41	60	33,4	25	56	150
0:01:42	60	33,4	25	56	150
0:01:43	60	33,4	24	56	150
0:01:44	60	33,4	25	56	150
0:01:45	60	33,4	24	56	150
0:01:46	60	33,4	24	56	150
0:01:47	60	33,4	24	56	150
0:01:48	60	33,4	24	56	150
0:01:49	60	33,4	24	57	150
0:01:50	60	33,4	24	57	150
0:01:51	60	33,4	24	57	150
0:01:52	60	33,4	24	57	150
0:01:53	60	33,4	24	57	150
0:01:54	60	33,4	24	57	150
0:01:55	60	33,5	24	57	150
0:01:56	60	33,6	24	57	150
0:01:57	60	33,7	25	57	150
0:01:58	60	33,8	25	57	150
0:01:59	60	33,8	25	57	150
0:02:00	60	33,8	25	57	150
0:02:01	60	33,8	24	57	150
0:02:02	60	33,8	25	57	150
0:02:03	60	33,9	25	57	150
0:02:04	60	33,9	25	57	150
0:02:05	60	33,9	24	58	150
0:02:06	60	33,9	25	58	150
0:02:07	60	33,9	25	58	150
0:02:08	60	34,0	24	58	150
0:02:09	60	34,0	24	58	150
0:02:10	60	34,0	24	58	150
0:02:11	60	34,0	25	58	150
0:02:12	60	34,1	24	58	150
0:02:13	60	34,1	24	58	150
0:02:14	60	34,1	24	58	150
0:02:15	60	34,2	24	58	150
0:02:16	60	34,2	25	59	150
0:02:17	60	34,2	24	59	150
0:02:18	60	34,3	25	59	150
0:02:19	60	34,3	24	59	150
0:02:20	60	34,3	24	59	150
0:02:21	60	34,4	24	59	150
0:02:22	60	34,4	25	59	150
0:02:23	60	34,4	25	59	150
0:02:24	60	34,5	24	59	150
0:02:25	60	34,5	25	60	150
0:02:26	60	34,6	25	60	150
0:02:27	60	34,6	24	60	150
0:02:28	60	34,6	24	60	150
0:02:29	60	34,7	25	60	150
0:02:30	60	34,7	25	60	150
0:02:31	60	34,8	25	60	150
0:02:32	60	34,8	25	60	150
0:02:33	60	34,8	25	60	150
0:02:34	60	34,9	25	61	150
0:02:35	60	34,9	25	61	150
0:02:36	60	35,0	25	61	150
0:02:37	60	35,0	25	61	150
0:02:38	60	34,9	25	61	150
0:02:39	60	34,5	25	61	150
0:02:40	60	34,4	24	61	150
0:02:41	60	34,4	24	61	150
0:02:42	60	34,4	24	61	150
0:02:43	60	34,4	24	62	150
0:02:44	60	34,5	24	62	150
0:02:45	60	34,5	24	62	150
0:02:46	60	34,6	24	62	150
0:02:47	60	34,6	24	62	150
0:02:48	60	34,7	24	62	150
0:02:49	60	34,7	24	62	150
0:02:50	60	34,8	24	62	150
0:02:51	60	34,8	24	62	150
0:02:52	60	34,9	24	62	150
0:02:53	60	34,9	24	63	150
0:02:54	60	35,0	24	63	150
0:02:55	60	35,0	24	63	150
0:02:56	60	35,1	24	63	150
0:02:57	60	35,1	24	63	150
0:02:58	60	35,2	24	63	150
0:02:59	60	35,2	24	63	150
0:03:00	60	35,2	24	63	150
0:03:01	60	35,3	24	63	150
0:03:02	60	35,3	24	63	150
0:03:03	60	35,0	24	64	150
0:03:04	60	34,8	24	64	150
0:03:05	60	34,7	24	64	150
0:03:06	60	34,8	24	64	150
0:03:07	60	34,8	24	64	150
0:03:08	60	34,8	24	64	150
0:03:09	60	34,9	24	64	150
0:03:10	60	34,9	24	64	150
0:03:11	60	35,0	24	64	150
0:03:12	60	35,0	24	65	150
0:03:13	60	35,1	24	65	150
0:03:14	60	35,1	24	65	150
0:03:15	60	35,2	24	65	150
0:03:16	60	35,2	24	65	150
0:03:17	60	35,3	24	65	150
0:03:18	60	35,3	24	65	150
0:03:19	60	35,4	24	65	150
0:03:20	60	35,4	24	65	150
0:03:21	60	35,5	24	65	150
0:03:22	60	35,5	24	65	150
0:03:23	60	35,6	23	65	150
0:03:24	60	35,5	24	66	150
0:03:25	60	35,0	24	66	150
0:03:26	60	34,9	24	66	150
0:03:27	60	34,9	24	66	150
0:03:28	60	34,9	24	66	150
0:03:29	60	34,9	24	66	150
0:03:30	60	35,0	24	66	150
