--Test Summary--
Full Path and File Name	
Instrument Name	7322
Instrument Type	Model 7322 Consistometer - Variable Speed
Instrument Serial Number	
Test Start Date	05.04.2021
Test Start Time	13:10:28
Test Stop Date	05.04.2021
Test Stop Time	16:09:27
Test Length	2:58:59
Final Sample Time Offset	2:58:59
Controller Schedule Name	
Sampling Period	1 second
Comments	
Information	WellID	
Information	Customer	
Information	EngName	
Information	CementClass	I-50
Information	CementMfr	
Information	Additives	100I-50+120G-19+0.1PlastA+0.3CA
Information	Density	1890
Information	BHCT	5
Information	BHST	
Information	FluidLoss	
Information	JobType	
Calculated Value	Time_30Bc	2:43:24
Calculated Value	Time_70Bc	2:58:59
Initial Temperature (°C)	23 °C
Final Temperature (°C)	5 °C
Initial Pressure (MPa)	0,4 MPa
Final Pressure (MPa)	10,1 MPa
Initial Consistency (Bc)	12 Bc
Final Consistency (Bc)	71 Bc
Initial Wall Temperature (°C)	14 °C
Final Wall Temperature (°C)	2 °C
Initial Motor Speed (RPM)	150 RPM
Final Motor Speed (RPM)	150 RPM
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)	Wall Temperature (°C)	Motor Speed (RPM)
0:00:00	23	0,4	12	14	150
0:00:01	23	0,4	12	14	150
0:00:02	23	0,4	12	14	150
0:00:03	23	0,4	12	14	150
0:00:04	23	0,4	12	14	150
0:00:05	23	0,4	12	14	150
0:00:06	23	0,4	12	14	150
0:00:07	23	0,4	12	13	150
0:00:08	23	0,4	12	13	150
0:00:09	23	0,4	12	14	150
0:00:10	23	0,4	12	14	150
0:00:11	23	0,4	12	13	150
0:00:12	23	0,5	12	13	150
0:00:13	23	0,5	12	14	150
0:00:14	23	0,5	12	13	150
0:00:15	23	0,5	12	13	150
0:00:16	23	0,5	12	13	150
0:00:17	23	0,5	12	13	150
0:00:18	23	0,5	12	13	150
0:00:19	23	0,5	12	13	150
0:00:20	23	0,5	12	13	150
0:00:21	23	0,5	12	13	150
0:00:22	23	0,5	12	13	150
0:00:23	23	0,5	12	13	150
0:00:24	23	0,5	12	14	150
0:00:25	23	0,5	11	13	150
0:00:26	23	0,5	11	13	150
0:00:27	23	0,5	11	13	150
0:00:28	23	0,5	11	14	150
0:00:29	23	0,5	11	14	150
0:00:30	23	0,5	12	14	150
0:00:31	23	0,5	12	14	150
0:00:32	23	0,5	12	14	150
0:00:33	23	0,5	12	14	150
0:00:34	22	0,5	12	14	150
0:00:35	22	0,5	12	14	150
0:00:36	22	0,5	12	14	150
0:00:37	22	0,5	12	14	150
0:00:38	22	0,6	12	14	150
0:00:39	22	0,7	12	14	150
0:00:40	22	0,7	12	14	150
0:00:41	22	0,7	12	14	150
0:00:42	22	0,7	12	14	150
0:00:43	22	0,7	12	14	150
0:00:44	22	0,7	12	14	150
0:00:45	22	0,7	12	14	150
0:00:46	22	0,7	12	14	150
0:00:47	22	0,7	12	14	150
0:00:48	22	0,7	12	15	150
0:00:49	22	0,7	12	15	150
0:00:50	22	0,7	12	15	150
0:00:51	22	0,7	12	15	150
0:00:52	22	0,7	12	15	150
0:00:53	22	0,7	12	15	150
0:00:54	22	0,7	12	15	150
0:00:55	22	0,7	12	15	150
0:00:56	22	0,7	12	15	150
0:00:57	22	0,7	12	15	150
0:00:58	22	0,7	12	15	150
0:00:59	22	0,7	12	15	150
0:01:00	22	0,7	12	15	150
0:01:01	22	0,7	12	15	150
0:01:02	22	0,7	12	16	150
0:01:03	22	0,7	12	15	150
0:01:04	22	0,7	12	16	150
0:01:05	22	0,7	12	16	150
0:01:06	22	0,7	12	16	150
0:01:07	22	0,8	12	16	150
0:01:08	22	0,8	12	16	150
0:01:09	22	0,8	13	16	150
0:01:10	22	0,8	13	16	150
0:01:11	22	0,8	13	16	150
0:01:12	22	0,8	13	16	150
0:01:13	22	0,8	13	16	150
0:01:14	22	0,8	13	16	150
0:01:15	22	0,8	13	16	150
0:01:16	22	0,8	13	16	150
0:01:17	22	0,8	13	16	150
0:01:18	22	0,8	13	16	150
0:01:19	22	0,9	13	17	150
0:01:20	22	1,0	13	17	150
0:01:21	22	1,0	13	17	150
0:01:22	22	1,0	13	17	150
0:01:23	22	1,0	13	17	150
0:01:24	22	1,0	13	17	150
0:01:25	22	1,1	13	17	150
0:01:26	22	1,1	13	17	150
0:01:27	22	1,1	13	17	150
0:01:28	22	1,1	13	17	150
0:01:29	22	1,1	13	17	150
0:01:30	22	1,1	13	17	150
0:01:31	21	1,1	13	17	150
0:01:32	21	1,1	13	18	150
0:01:33	21	1,1	13	18	150
0:01:34	21	1,1	13	18	150
0:01:35	21	1,1	13	18	150
0:01:36	21	1,1	13	18	150
0:01:37	21	1,1	13	18	150
0:01:38	21	1,2	13	18	150
0:01:39	21	1,2	13	18	150
0:01:40	21	1,2	13	18	150
0:01:41	21	1,2	13	18	150
0:01:42	21	1,2	13	18	150
0:01:43	21	1,2	13	18	150
0:01:44	21	1,2	13	18	150
0:01:45	21	1,2	13	19	150
0:01:46	21	1,2	14	19	150
0:01:47	21	1,2	14	19	150
0:01:48	21	1,3	14	19	150
0:01:49	21	1,3	14	19	150
0:01:50	21	1,3	14	19	150
0:01:51	21	1,3	14	19	150
0:01:52	21	1,3	14	19	150
0:01:53	21	1,3	14	19	150
0:01:54	21	1,3	14	19	150
0:01:55	21	1,3	14	19	150
0:01:56	21	1,3	14	19	150
0:01:57	21	1,3	14	19	150
0:01:58	21	1,3	14	19	150
0:01:59	21	1,4	13	19	150
0:02:00	21	1,4	13	19	150
0:02:01	21	1,4	13	19	150
0:02:02	21	1,4	13	20	150
0:02:03	21	1,4	13	20	150
0:02:04	21	1,4	13	20	150
0:02:05	21	1,4	13	20	150
0:02:06	21	1,4	13	20	150
0:02:07	21	1,4	13	20	150
0:02:08	21	1,4	13	20	150
0:02:09	21	1,4	13	20	150
0:02:10	21	1,5	13	20	150
0:02:11	21	1,5	13	20	150
0:02:12	21	1,5	13	20	150
0:02:13	21	1,5	13	20	150
0:02:14	21	1,5	13	20	150
0:02:15	21	1,5	13	20	150
0:02:16	21	1,5	13	20	150
0:02:17	21	1,5	13	20	150
0:02:18	21	1,5	13	21	150
0:02:19	21	1,5	13	20	150
0:02:20	21	1,6	13	21	150
0:02:21	21	1,6	13	21	150
0:02:22	21	1,6	13	21	150
0:02:23	21	1,6	13	21	150
0:02:24	21	1,6	13	21	150
0:02:25	21	1,6	13	21	150
0:02:26	21	1,6	13	21	150
0:02:27	21	1,6	13	21	150
0:02:28	21	1,6	13	21	150
0:02:29	21	1,6	12	21	150
0:02:30	21	1,6	12	21	150
0:02:31	21	1,6	12	21	150
0:02:32	21	1,7	12	21	150
0:02:33	21	1,7	12	21	150
0:02:34	21	1,7	12	21	150
0:02:35	21	1,7	12	21	150
0:02:36	21	1,7	12	21	150
0:02:37	21	1,7	12	21	150
0:02:38	21	1,7	12	21	150
0:02:39	21	1,7	12	21	150
0:02:40	21	1,7	12	21	150
0:02:41	21	1,7	12	21	150
0:02:42	21	1,7	12	21	150
0:02:43	21	1,7	12	21	150
0:02:44	21	1,7	12	21	150
0:02:45	21	1,7	12	21	150
0:02:46	21	1,7	12	21	150
0:02:47	21	1,7	12	21	150
0:02:48	21	1,7	12	21	150
0:02:49	21	1,7	12	21	150
0:02:50	21	1,8	12	21	150
0:02:51	21	1,8	12	21	150
0:02:52	21	1,8	12	21	150
0:02:53	21	1,8	12	21	150
0:02:54	21	1,8	12	21	150
0:02:55	21	1,8	12	21	150
0:02:56	21	1,8	12	22	150
0:02:57	21	1,8	12	22	150
0:02:58	21	1,8	12	22	150
0:02:59	21	1,8	12	21	150
0:03:00	21	1,8	12	22	150
0:03:01	21	1,8	12	22	150
0:03:02	21	1,8	12	22	150
0:03:03	21	1,8	12	22	150
0:03:04	20	1,8	12	22	150
0:03:05	21	1,8	12	22	150
0:03:06	21	1,8	12	22	150
0:03:07	20	1,8	12	22	150
0:03:08	20	1,8	12	22	150
0:03:09	20	1,8	12	22	150
0:03:10	20	1,8	12	22	150
0:03:11	20	1,8	12	22	150
0:03:12	20	1,8	12	22	150
0:03:13	20	1,8	12	22	150
0:03:14	20	1,8	12	22	150
0:03:15	20	1,8	12	22	150
0:03:16	20	1,8	12	22	150
0:03:17	20	1,8	12	22	150
0:03:18	20	1,8	12	22	150
0:03:19	20	1,8	12	22	150
0:03:20	20	1,8	12	22	150
0:03:21	20	1,8	12	22	150
0:03:22	20	1,8	12	22	150
0:03:23	20	1,8	12	22	150
0:03:24	20	1,8	12	22	150
0:03:25	20	1,8	12	22	150
0:03:26	20	1,8	12	22	150
0:03:27	20	1,8	12	22	150
0:03:28	20	1,8	12	22	150
0:03:29	20	1,8	12	22	150
0:03:30	20	1,8	12	22	150
0:03:31	20	1,8	12	22	150
0:03:32	20	1,8	12	22	150
0:03:33	20	1,8	12	22	150
0:03:34	20	1,8	12	22	150
0:03:35	20	1,8	12	22	150
0:03:36	20	1,8	12	22	150
0:03:37	20	1,8	12	22	150
0:03:38	20	1,8	12	22	150
