--Test Summary--
Full Path and File Name	
Instrument Name	7322
Instrument Type	Model 7322 Consistometer - Variable Speed
Instrument Serial Number	
Test Start Date	13.05.2021
Test Start Time	16:03:19
Test Stop Date	13.05.2021
Test Stop Time	22:05:20
Test Length	6:02:01
Final Sample Time Offset	6:02:01
Controller Schedule Name	
Sampling Period	1 second
Comments	¡‡Á‡ ¿ÁËÏÛÚ
Information	WellID	
Information	Customer	
Information	EngName	
Information	CementClass	Class G
Information	CementMfr	—ÛıÓÈ ÀÓ„
Information	Additives	90G+10ASPM(0.81)+1FL-500(wob)
Information	Density	1500
Information	BHCT	40
Information	BHST	
Information	FluidLoss	
Information	JobType	
Calculated Value	Time_30Bc	4:42:20
Calculated Value	Time_70Bc	6:02:01
Initial Temperature (∞C)	24 ∞C
Final Temperature (∞C)	40 ∞C
Initial Pressure (MPa)	0,3 MPa
Final Pressure (MPa)	20,9 MPa
Initial Consistency (Bc)	15 Bc
Final Consistency (Bc)	70 Bc
Initial Wall Temperature (∞C)	27 ∞C
Final Wall Temperature (∞C)	38 ∞C
Initial Motor Speed (RPM)	150 RPM
Final Motor Speed (RPM)	150 RPM
--Data--
Time (HH:MM:SS)	Temperature (∞C)	Pressure (MPa)	Consistency (Bc)	Wall Temperature (∞C)	Motor Speed (RPM)
0:00:00	24	0,3	15	27	150
0:00:01	24	0,3	16	27	150
0:00:02	24	0,3	16	27	150
0:00:03	24	0,3	16	27	150
0:00:04	24	0,3	16	27	150
0:00:05	24	0,3	16	27	150
0:00:06	24	0,3	16	27	150
0:00:07	24	0,3	16	27	150
0:00:08	24	0,3	16	27	150
0:00:09	24	0,4	16	27	150
0:00:10	24	0,4	16	27	150
0:00:11	24	0,4	16	27	150
0:00:12	24	0,4	16	27	150
0:00:13	24	0,4	16	27	150
0:00:14	24	0,4	16	27	150
0:00:15	24	0,4	16	27	150
0:00:16	24	0,4	16	27	150
0:00:17	24	0,4	16	27	150
0:00:18	24	0,4	16	27	150
0:00:19	24	0,5	16	27	150
0:00:20	24	0,5	16	28	150
0:00:21	24	0,5	16	27	150
0:00:22	24	0,5	16	27	150
0:00:23	24	0,5	16	28	150
0:00:24	24	0,5	16	28	150
0:00:25	24	0,5	16	28	150
0:00:26	24	0,5	16	28	150
0:00:27	24	0,5	16	28	150
0:00:28	24	0,5	16	27	150
0:00:29	24	0,5	16	28	150
0:00:30	24	0,6	16	28	150
0:00:31	24	0,5	16	28	150
0:00:32	24	0,6	16	28	150
0:00:33	24	0,6	16	28	150
0:00:34	24	0,6	16	28	150
0:00:35	24	0,6	16	28	150
0:00:36	25	0,7	16	28	150
0:00:37	25	0,7	16	28	150
0:00:38	25	0,7	16	28	150
0:00:39	25	0,7	16	28	150
0:00:40	25	0,7	16	28	150
0:00:41	25	0,7	16	28	150
0:00:42	25	0,7	16	28	150
0:00:43	25	0,7	16	28	150
0:00:44	25	0,7	16	28	150
0:00:45	25	0,7	16	28	150
0:00:46	25	0,7	16	28	150
0:00:47	25	0,8	16	28	150
0:00:48	25	0,8	16	28	150
0:00:49	25	0,8	16	28	150
0:00:50	25	0,8	15	28	150
0:00:51	25	0,8	15	28	150
0:00:52	25	0,8	15	28	150
0:00:53	25	0,8	15	28	150
0:00:54	25	0,9	15	28	150
0:00:55	25	0,9	15	28	150
0:00:56	25	0,9	15	28	150
0:00:57	25	0,9	15	28	150
0:00:58	25	0,9	15	28	150
0:00:59	25	0,9	15	28	150
0:01:00	25	0,9	15	28	150
0:01:01	25	0,9	15	28	150
0:01:02	25	0,9	15	28	150
0:01:03	25	1,0	15	28	150
0:01:04	25	1,0	15	28	150
0:01:05	25	1,0	15	28	150
0:01:06	25	1,0	15	28	150
0:01:07	25	1,0	15	28	150
0:01:08	25	1,0	15	28	150
0:01:09	25	1,0	15	28	150
0:01:10	25	1,1	15	28	150
0:01:11	25	1,2	15	28	150
0:01:12	25	1,2	15	28	150
0:01:13	25	1,2	15	28	150
0:01:14	25	1,2	15	28	150
0:01:15	25	1,2	15	28	150
0:01:16	25	1,2	15	28	150
0:01:17	25	1,2	15	28	150
0:01:18	25	1,2	15	28	150
0:01:19	25	1,2	15	28	150
0:01:20	25	1,2	15	28	150
0:01:21	25	1,2	15	28	150
0:01:22	25	1,2	15	28	150
0:01:23	25	1,2	15	28	150
0:01:24	25	1,2	15	28	150
0:01:25	25	1,2	15	28	150
0:01:26	25	1,2	15	28	150
0:01:27	25	1,2	15	28	150
0:01:28	25	1,2	15	28	150
0:01:29	25	1,2	15	28	150
0:01:30	25	1,2	15	28	150
0:01:31	25	1,2	15	28	150
0:01:32	25	1,2	15	28	150
0:01:33	25	1,4	15	28	150
0:01:34	25	1,4	15	28	150
0:01:35	25	1,4	15	28	150
0:01:36	25	1,5	15	28	150
0:01:37	25	1,5	15	28	150
0:01:38	25	1,5	14	28	150
0:01:39	25	1,5	14	28	150
0:01:40	25	1,5	14	28	150
0:01:41	25	1,5	15	28	150
0:01:42	25	1,5	14	28	150
0:01:43	25	1,5	15	28	150
0:01:44	25	1,5	14	28	150
0:01:45	25	1,5	14	28	150
0:01:46	25	1,5	14	28	150
0:01:47	25	1,5	15	28	150
0:01:48	25	1,5	14	28	150
0:01:49	26	1,5	15	28	150
0:01:50	26	1,5	15	28	150
0:01:51	26	1,5	15	28	150
0:01:52	26	1,5	15	28	150
0:01:53	26	1,5	14	28	150
0:01:54	26	1,5	15	28	150
0:01:55	26	1,5	15	28	150
0:01:56	26	1,5	15	28	150
0:01:57	26	1,6	15	28	150
0:01:58	26	1,6	15	28	150
0:01:59	26	1,6	15	28	150
0:02:00	26	1,6	15	28	150
0:02:01	26	1,6	15	28	150
0:02:02	26	1,6	15	28	150
0:02:03	26	1,6	15	29	150
0:02:04	26	1,6	15	29	150
0:02:05	26	1,7	15	29	150
0:02:06	26	1,8	15	29	150
0:02:07	26	1,9	15	29	150
0:02:08	26	1,9	15	29	150
0:02:09	26	1,9	15	28	150
0:02:10	26	1,9	14	29	150
0:02:11	26	1,9	14	29	150
0:02:12	26	1,9	14	29	150
0:02:13	26	1,9	14	29	150
0:02:14	26	1,9	14	29	150
0:02:15	26	1,9	14	29	150
0:02:16	26	1,9	14	28	150
0:02:17	26	1,9	14	29	150
0:02:18	26	1,9	14	29	150
0:02:19	26	1,9	14	29	150
0:02:20	26	1,9	14	29	150
0:02:21	26	1,9	14	29	150
0:02:22	26	1,9	14	29	150
0:02:23	26	1,9	15	29	150
0:02:24	26	1,9	14	29	150
0:02:25	26	1,9	14	29	150
0:02:26	26	1,9	14	29	150
0:02:27	26	1,9	14	29	150
0:02:28	26	1,9	15	29	150
0:02:29	26	1,9	15	29	150
0:02:30	26	1,9	14	29	150
0:02:31	26	1,9	14	29	150
0:02:32	26	1,9	15	29	150
0:02:33	26	1,9	14	29	150
0:02:34	26	1,9	15	29	150
0:02:35	26	1,9	14	29	150
0:02:36	26	1,9	14	29	150
0:02:37	26	1,9	14	29	150
0:02:38	26	2,1	14	29	150
0:02:39	26	2,2	14	29	150
0:02:40	26	2,2	14	29	150
0:02:41	26	2,3	14	29	150
0:02:42	26	2,3	14	29	150
0:02:43	26	2,3	14	29	150
0:02:44	26	2,3	14	29	150
0:02:45	26	2,3	14	29	150
0:02:46	26	2,3	14	29	150
0:02:47	26	2,3	14	29	150
0:02:48	26	2,3	14	29	150
0:02:49	26	2,3	14	29	150
0:02:50	26	2,3	14	29	150
0:02:51	26	2,3	14	29	150
0:02:52	26	2,3	14	29	150
0:02:53	26	2,3	14	29	150
0:02:54	26	2,3	14	29	150
0:02:55	26	2,3	14	29	150
0:02:56	26	2,3	14	29	150
0:02:57	26	2,3	14	29	150
0:02:58	26	2,3	14	29	150
0:02:59	26	2,3	14	29	150
0:03:00	26	2,3	14	29	150
0:03:01	26	2,3	15	29	150
0:03:02	26	2,3	14	29	150
0:03:03	26	2,3	14	29	150
0:03:04	26	2,3	15	29	150
0:03:05	26	2,3	14	29	150
0:03:06	26	2,3	15	29	150
0:03:07	26	2,3	14	29	150
0:03:08	26	2,3	15	29	150
0:03:09	26	2,3	14	29	150
0:03:10	26	2,5	14	29	150
0:03:11	26	2,6	15	29	150
0:03:12	26	2,6	14	29	150
0:03:13	26	2,6	15	29	150
0:03:14	26	2,6	15	29	150
0:03:15	26	2,6	15	29	150
0:03:16	26	2,6	15	29	150
0:03:17	26	2,6	15	29	150
0:03:18	26	2,6	15	29	150
0:03:19	26	2,6	15	29	150
0:03:20	26	2,6	15	29	150
0:03:21	26	2,6	15	29	150
0:03:22	27	2,6	15	29	150
0:03:23	27	2,6	15	29	150
0:03:24	27	2,6	15	29	150
0:03:25	27	2,6	15	29	150
