--Test Summary--
Full Path and File Name	
Instrument Name	7222
Instrument Type	Model 7222 Consistometer
Instrument Serial Number	
Test Start Date	24.05.2021
Test Start Time	17:09:30
Test Stop Date	25.05.2021
Test Stop Time	3:33:30
Test Length	10:24:00
Final Sample Time Offset	10:24:00
Controller Schedule Name	
Sampling Period	10 seconds
Comments	
Information	WellID	
Information	Customer	
Information	EngName	
Information	CementClass	
Information	CementMfr	
Information	Additives	90G+10ASPM(0.81)+1FL-Extra(wob)+1CaCl2
Information	Density	1500
Information	BHCT	40
Information	BHST	
Information	FluidLoss	
Information	JobType	
Calculated Value	Time_30Bc	5:22:00
Calculated Value	Time_70Bc	10:24:00
Initial Temperature (°C)	27 °C
Final Temperature (°C)	41 °C
Initial Pressure (MPa)	0,5 MPa
Final Pressure (MPa)	9,5 MPa
Initial Consistency (Bc)	15 Bc
Final Consistency (Bc)	79 Bc
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)
0:00:00	27	0,5	15
0:00:10	27	0,6	13
0:00:20	28	0,6	14
0:00:30	28	0,6	14
0:00:40	28	0,6	13
0:00:50	28	0,7	13
0:01:00	28	1,3	15
0:01:10	28	5,4	21
0:01:20	29	5,3	17
0:01:30	29	5,3	14
0:01:40	29	5,4	13
0:01:50	29	5,4	13
0:02:00	29	5,4	13
0:02:10	29	5,5	13
0:02:20	30	5,5	14
0:02:30	30	5,5	13
0:02:40	30	5,6	13
0:02:50	30	5,6	14
0:03:00	30	5,6	13
0:03:10	30	5,7	17
0:03:20	30	5,7	18
0:03:30	31	5,7	14
0:03:40	31	5,8	14
0:03:50	31	5,8	13
0:04:00	31	5,8	14
0:04:10	31	5,9	15
0:04:20	31	5,9	14
0:04:30	31	5,9	13
0:04:40	31	5,9	14
0:04:50	31	6,0	14
0:05:00	32	6,0	18
0:05:10	32	6,0	14
0:05:20	32	6,0	17
0:05:30	32	6,1	16
0:05:40	32	6,1	14
0:05:50	32	6,1	17
0:06:00	32	6,1	20
0:06:10	32	6,1	15
0:06:20	32	6,2	13
0:06:30	32	6,2	14
0:06:40	33	6,2	14
0:06:50	33	6,2	12
0:07:00	33	6,2	13
0:07:10	33	6,2	13
0:07:20	33	6,3	12
0:07:30	33	6,3	13
0:07:40	33	6,3	13
0:07:50	33	6,3	12
0:08:00	33	6,3	12
0:08:10	33	6,3	12
0:08:20	33	6,3	12
0:08:30	33	6,4	12
0:08:40	33	6,4	12
0:08:50	33	6,4	13
0:09:00	33	6,4	12
0:09:10	34	6,4	19
0:09:20	34	6,4	14
0:09:30	34	6,4	14
0:09:40	34	6,4	15
0:09:50	34	6,4	16
0:10:00	34	6,4	14
0:10:10	34	6,5	18
0:10:20	34	6,5	13
0:10:30	34	6,5	14
0:10:40	34	6,5	13
0:10:50	34	6,5	18
0:11:00	34	6,5	20
0:11:10	34	6,5	18
0:11:20	34	6,5	18
0:11:30	34	6,5	18
0:11:40	34	6,5	20
0:11:50	34	6,5	18
0:12:00	34	6,5	21
0:12:10	34	6,5	21
0:12:20	34	6,5	18
0:12:30	34	6,5	18
0:12:40	34	6,5	20
0:12:50	34	6,6	20
0:13:00	34	6,6	17
0:13:10	34	6,6	18
0:13:20	34	6,6	17
0:13:30	34	6,6	12
0:13:40	34	6,6	17
0:13:50	35	6,6	18
0:14:00	35	6,6	13
0:14:10	35	6,6	14
0:14:20	35	6,6	14
0:14:30	35	6,6	14
0:14:40	35	6,6	13
0:14:50	35	6,7	19
0:15:00	35	6,7	14
0:15:10	35	6,8	13
0:15:20	35	6,8	19
0:15:30	35	6,9	18
0:15:40	35	6,9	13
0:15:50	35	7,0	15
0:16:00	35	7,1	13
0:16:10	35	7,1	13
0:16:20	35	7,2	13
0:16:30	35	7,2	17
0:16:40	35	7,3	13
0:16:50	35	7,4	13
0:17:00	35	7,4	17
0:17:10	35	7,5	17
0:17:20	35	10,2	13
0:17:30	35	12,3	24
0:17:40	35	12,2	19
0:17:50	35	12,1	19
0:18:00	36	13,0	20
0:18:10	36	13,0	19
0:18:20	36	12,9	18
0:18:30	36	12,9	17
0:18:40	36	12,9	17
0:18:50	36	12,9	18
0:19:00	36	12,9	17
0:19:10	36	12,9	17
0:19:20	36	13,0	18
0:19:30	36	13,0	17
0:19:40	36	13,1	17
0:19:50	36	13,1	17
0:20:00	36	13,2	18
0:20:10	36	13,2	17
0:20:20	36	13,3	17
0:20:30	36	13,3	17
0:20:40	36	13,4	17
0:20:50	36	13,4	17
0:21:00	37	13,5	17
0:21:10	37	13,5	15
0:21:20	37	13,6	15
0:21:30	37	13,6	17
0:21:40	37	13,7	17
0:21:50	37	13,7	17
0:22:00	37	13,8	17
0:22:10	37	13,8	16
0:22:20	37	13,9	14
0:22:30	37	13,9	17
0:22:40	37	14,0	12
0:22:50	37	14,0	11
0:23:00	37	14,1	12
0:23:10	37	14,1	12
0:23:20	37	14,2	11
0:23:30	38	14,2	11
0:23:40	38	14,3	11
0:23:50	38	14,3	11
0:24:00	38	14,4	11
0:24:10	38	14,4	15
0:24:20	38	14,5	11
0:24:30	38	14,6	12
0:24:40	38	14,6	12
0:24:50	38	14,7	11
0:25:00	38	14,7	12
0:25:10	38	14,7	12
0:25:20	38	14,8	11
0:25:30	39	14,8	11
0:25:40	39	14,8	12
0:25:50	39	14,9	11
0:26:00	39	14,9	12
0:26:10	39	14,9	12
0:26:20	39	15,0	12
0:26:30	39	15,0	12
0:26:40	39	15,1	13
0:26:50	39	15,1	14
0:27:00	39	15,2	14
0:27:10	39	15,2	14
0:27:20	39	15,3	13
0:27:30	40	15,3	13
0:27:40	40	15,4	13
0:27:50	40	15,4	13
0:28:00	40	15,5	12
0:28:10	40	15,5	17
0:28:20	40	15,6	16
0:28:30	40	15,6	16
0:28:40	40	15,7	17
0:28:50	40	15,7	16
0:29:00	40	15,7	12
0:29:10	40	15,8	12
0:29:20	40	15,8	12
0:29:30	40	15,9	12
0:29:40	41	15,9	12
0:29:50	41	18,1	20
0:30:00	41	18,1	19
0:30:10	41	18,0	18
0:30:20	41	19,0	18
0:30:30	41	18,9	17
0:30:40	41	18,8	18
0:30:50	41	18,7	18
0:31:00	41	18,7	16
0:31:10	41	18,6	18
0:31:20	41	18,5	17
0:31:30	41	18,4	17
0:31:40	41	18,4	17
0:31:50	41	18,3	17
0:32:00	41	18,2	17
0:32:10	41	18,2	16
0:32:20	41	18,1	11
0:32:30	42	18,1	12
0:32:40	42	18,0	16
0:32:50	42	18,0	14
0:33:00	42	17,9	11
0:33:10	42	17,9	16
0:33:20	42	17,8	16
0:33:30	42	17,8	15
0:33:40	42	17,8	16
0:33:50	42	17,7	17
0:34:00	42	17,7	16
0:34:10	42	17,7	17
0:34:20	42	17,7	17
0:34:30	42	17,6	17
0:34:40	42	17,6	17
0:34:50	42	17,6	17
0:35:00	42	17,5	16
0:35:10	42	17,5	16
0:35:20	42	17,5	16
0:35:30	42	17,5	11
0:35:40	41	17,5	17
0:35:50	41	17,4	17
0:36:00	41	17,4	18
0:36:10	41	17,4	27
0:36:20	41	17,4	27
0:36:30	41	17,4	23
0:36:40	41	17,4	22
0:36:50	41	17,4	22
0:37:00	41	17,4	15
0:37:10	41	17,3	16
0:37:20	41	17,3	19
0:37:30	41	17,3	18
0:37:40	41	17,3	19
0:37:50	41	17,3	19
0:38:00	41	17,3	17
0:38:10	41	17,3	15
0:38:20	41	17,3	19
0:38:30	41	17,3	15
0:38:40	41	17,3	19
0:38:50	41	17,3	18
0:39:00	41	17,3	14
0:39:10	41	17,3	13
0:39:20	41	17,3	18
0:39:30	41	17,3	13
0:39:40	41	17,3	13
0:39:50	41	17,2	18
0:40:00	41	17,2	16
0:40:10	41	17,2	13
0:40:20	41	17,2	18
0:40:30	41	17,2	16
0:40:40	41	17,2	13
0:40:50	41	17,2	18
0:41:00	41	17,2	18
0:41:10	41	17,2	13
0:41:20	41	17,2	18
0:41:30	41	17,2	15
0:41:40	41	17,2	13
0:41:50	41	17,2	18
0:42:00	41	17,2	18
0:42:10	41	17,2	13
0:42:20	41	17,2	18
