--Test Summary--
Full Path and File Name	
Instrument Name	SGSA/UCA
Instrument Type	Model 5265 SGSA/UCA
Instrument Serial Number	
Test Start Date	01.06.2021
Test Start Time	12:46:10
Test Stop Date	02.06.2021
Test Stop Time	12:47:04
Test Length	24:00:54
Final Sample Time Offset	24:00:30
Controller Schedule Name	
Sampling Period	30 seconds
Comments	
Information	WellID	
Information	Customer	
Information	EngName	
Information	CementClass	
Information	CementMfr	
Information	Additives	100G+5DART+0.6ChemCFL-443+0.1DispPCE
Information	Density	1900
Information	BHCT	72
Information	BHST	95
Information	FluidLoss	
Information	JobType	
Calculated Value	CS_50	1:40:30
Calculated Value	CS_500	4:05:30
Calculated Value	SGS_Initial	2:09:00
Calculated Value	SGS_Final	2:30:30
Calculated Value	CS_Time8h	13,71 MPa
Calculated Value	CS_Time12h	16,62 MPa
Calculated Value	Time_SGS_100lb/100ft2	2:11:00
Calculated Value	Time_SGS_500lb/100ft2	2:24:30
Calculated Value	CS_Time24h	20,17 MPa
Calculated Value	CS_Time48h	N/A
Calculated Curve	Compressive Strength	Compressive strength type B (more than 14 lb/gal)
Calculated Curve	Static Gel Strength	Static gel strength
Initial Temperature (°C)	29 °C
Final Temperature (°C)	96 °C
Initial Pressure (psi)	3649 psi
Final Pressure (psi)	4247 psi
Initial Transit Time (microsec/in)	14,23 microsec/in
Final Transit Time (microsec/in)	8,28 microsec/in
Initial Gel Value	5652
Final Gel Value	7767
Initial Compressive Strength (MPa)	0,00 MPa
Final Compressive Strength (MPa)	20,19 MPa
Initial Static Gel Strength (lb/100ft2)	20,9 lb/100ft2
Final Static Gel Strength (lb/100ft2)	ERROR
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (psi)	Transit Time (microsec/in)	Gel Value	Compressive Strength (MPa)	Static Gel Strength (lb/100ft2)
0:00:00	29	3649	14,23	5652	0,00	20,9
0:00:30	28	3583		5652		21,2
0:01:00	28	3533		5664		21,5
0:01:30	28	3492		5660		21,8
0:02:00	27	3456	15,96	5660	0,00	22,0
0:02:30	27	3424		5654		22,3
0:03:00	27	3393		5647		22,6
0:03:30	27	3364		5653		22,9
0:04:00	27	3339		5649		23,2
0:04:30	27	3321		5646		23,5
0:05:00	27	3313	16,01	5634	0,00	23,8
0:05:30	28	3313	16,01	5640	0,00	24,1
0:06:00	28	3323		5630		24,4
0:06:30	29	3338	16,03	5626	0,00	24,7
0:07:00	29	3355		5602		25,0
0:07:30	30	3373		5614		25,2
0:08:00	30	3388	16,01	5619	0,00	25,5
0:08:30	30	3401		5606		25,8
0:09:00	30	3412	15,98	5608	0,00	26,1
0:09:30	31	3423	16,00	5613	0,00	26,4
0:10:00	31	3435	16,00	5612	0,00	26,7
0:10:30	31	3449	15,99	5614	0,00	27,0
0:11:00	32	3468		5606		27,3
0:11:30	32	3491		5605		27,6
0:12:00	33	3520		5603		27,9
0:12:30	34	3553	15,94	5602	0,00	28,2
0:13:00	34	3588		5607		28,4
0:13:30	35	3624	15,93	5603	0,00	28,7
0:14:00	35	3658	15,93	5612	0,00	29,0
0:14:30	36	3690	15,92	5617	0,00	29,3
0:15:00	36	3722		5622		29,6
0:15:30	37	3752	15,88	5622	0,00	29,9
0:16:00	37	3782	15,88	5635	0,00	30,2
0:16:30	38	3815	15,87	5629	0,00	30,5
0:17:00	38	3850		5633		30,8
0:17:30	39	3887		5647		31,1
0:18:00	39	3926		5647		31,4
0:18:30	40	3966		5649		31,6
0:19:00	40	4007		5658		31,9
0:19:30	41	4048	15,78	5660	0,00	32,2
0:20:00	42	4090		5662		32,5
0:20:30	42	4131		5649		32,8
0:21:00	43	4176	15,76	5673	0,00	33,1
0:21:30	43	4222	15,74	5675	0,00	33,4
0:22:00	44	4271	15,73	5687	0,00	33,7
0:22:30	44	4323	15,72	5688	0,00	34,0
0:23:00	45	4377	15,70	5682	0,00	34,3
0:23:30	45	4431	15,69	5691	0,00	34,5
0:24:00	46	4486	15,67	5687	0,00	34,8
0:24:30	47	4543	15,65	5707	0,00	35,1
0:25:00	47	4601		5700		35,4
0:25:30	48	4661		5702		35,7
0:26:00	49	4719	15,61	5707	0,00	36,0
0:26:30	49	4772	9,18	5720	11,89	36,3
0:27:00	50	4820	15,59	5720	0,00	36,6
0:27:30	50	4863	15,57	5725	0,00	36,9
0:28:00	50	4903	15,56	5735	0,00	37,2
0:28:30	51	4946		5741		37,5
0:29:00	51	4997	15,52	5746	0,00	37,7
0:29:30	52	5059	15,51	5747	0,00	38,0
0:30:00	53	5127	15,50	5751	0,00	38,3
0:30:30	53	5200	15,50	5754	0,00	38,6
0:31:00	54	5272	15,49	5757	0,00	38,9
0:31:30	55	5342	15,46	5762	0,00	39,2
0:32:00	56	5408	15,41	5758	0,00	39,5
0:32:30	56	5466	15,43	5759	0,00	39,8
0:33:00	57	5518	15,42	5761	0,00	40,1
0:33:30	57	5561	15,41	5759	0,00	40,4
0:34:00	57	5604	8,73	5756	15,47	40,7
0:34:30	58	5655	15,39	5766	0,00	40,9
0:35:00	59	5718		5755		41,2
0:35:30	59	5790		5752		41,5
0:36:00	60	5866		5751		41,8
0:36:30	60	5937		5759		42,1
0:37:00	61	6002	15,32	5755	0,00	42,4
0:37:30	61	6059		5745		42,7
0:38:00	62	6123	15,30	5738	0,00	43,0
0:38:30	63	6190	15,31	5745	0,00	43,3
0:39:00	63	6263	15,29	5745	0,00	43,6
0:39:30	64	6338	15,29	5745	0,00	43,9
