--Test Summary--
Full Path and File Name	
Instrument Name	7322
Instrument Type	Model 7322 Consistometer - Variable Speed
Instrument Serial Number	
Test Start Date	02.06.2021
Test Start Time	11:44:49
Test Stop Date	02.06.2021
Test Stop Time	13:36:07
Test Length	1:51:18
Final Sample Time Offset	1:51:18
Controller Schedule Name	
Sampling Period	1 second
Comments	
Information	WellID	
Information	Customer	
Information	EngName	
Information	CementClass	
Information	CementMfr	
Information	Additives	100G+5DART+0.35CFL-500+0.23CD-301
Information	Density	1900
Information	BHCT	72
Information	BHST	
Information	FluidLoss	
Information	JobType	
Calculated Value	Time_30Bc	0:48:15
Calculated Value	Time_70Bc	1:51:18
Initial Temperature (°C)	29 °C
Final Temperature (°C)	72 °C
Initial Pressure (MPa)	0,3 MPa
Final Pressure (MPa)	45,4 MPa
Initial Consistency (Bc)	16 Bc
Final Consistency (Bc)	70 Bc
Initial Wall Temperature (°C)	30 °C
Final Wall Temperature (°C)	71 °C
Initial Motor Speed (RPM)	150 RPM
Final Motor Speed (RPM)	150 RPM
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)	Wall Temperature (°C)	Motor Speed (RPM)
0:00:00	29	0,3	16	30	150
0:00:01	29	0,3	16	30	150
0:00:02	29	0,3	16	30	150
0:00:03	29	0,3	16	30	150
0:00:04	29	0,3	16	30	150
0:00:05	29	0,3	16	30	150
0:00:06	29	0,3	16	30	150
0:00:07	29	0,4	16	30	150
0:00:08	29	0,4	16	30	150
0:00:09	29	0,4	16	30	150
0:00:10	29	0,4	16	30	150
0:00:11	29	0,4	16	30	150
0:00:12	29	0,4	16	30	150
0:00:13	29	0,4	16	30	150
0:00:14	29	0,5	16	30	150
0:00:15	29	0,5	16	30	150
0:00:16	29	0,5	16	30	150
0:00:17	29	0,5	16	30	150
0:00:18	29	0,5	16	30	150
0:00:19	29	0,6	16	30	150
0:00:20	29	0,6	16	30	150
0:00:21	29	0,6	16	30	150
0:00:22	29	0,6	16	30	150
0:00:23	29	0,6	16	30	150
0:00:24	29	0,7	16	30	150
0:00:25	29	0,7	16	30	150
0:00:26	29	0,7	16	30	150
0:00:27	29	0,7	16	30	150
0:00:28	29	0,7	16	30	150
0:00:29	29	0,7	16	30	150
0:00:30	29	0,8	16	30	150
0:00:31	29	0,8	16	30	150
0:00:32	29	0,8	15	30	150
0:00:33	29	0,8	15	30	150
0:00:34	29	0,9	15	30	150
0:00:35	29	1,0	15	30	150
0:00:36	29	1,0	15	30	150
0:00:37	29	1,0	15	30	150
0:00:38	29	1,0	15	30	150
0:00:39	29	1,0	15	30	150
0:00:40	29	1,0	15	29	150
0:00:41	29	1,0	15	30	150
0:00:42	29	1,0	15	30	150
0:00:43	29	1,0	15	30	150
0:00:44	29	1,1	15	29	150
0:00:45	29	1,2	15	29	150
0:00:46	29	1,2	15	29	150
0:00:47	29	1,2	15	29	150
0:00:48	29	1,2	15	29	150
0:00:49	29	1,2	15	29	150
0:00:50	29	1,2	15	29	150
0:00:51	29	1,2	15	29	150
0:00:52	29	1,2	15	29	150
0:00:53	29	1,2	15	29	150
0:00:54	29	1,3	15	29	150
0:00:55	29	1,3	15	29	150
0:00:56	29	1,3	15	29	150
0:00:57	29	1,3	15	29	150
0:00:58	29	1,3	15	29	150
0:00:59	29	1,3	15	29	150
0:01:00	29	1,4	15	29	150
0:01:01	29	1,5	15	29	150
0:01:02	29	1,5	15	29	150
0:01:03	29	1,5	15	29	150
0:01:04	29	1,5	15	29	150
0:01:05	29	1,5	15	29	150
0:01:06	29	1,4	15	29	150
0:01:07	29	1,4	15	29	150
0:01:08	29	1,6	15	29	150
0:01:09	30	1,6	15	29	150
0:01:10	30	1,7	15	29	150
0:01:11	29	1,7	15	29	150
0:01:12	30	1,7	15	29	150
0:01:13	29	1,6	15	29	150
0:01:14	30	1,6	15	29	150
0:01:15	30	1,6	15	29	150
0:01:16	30	1,6	15	29	150
0:01:17	30	1,6	15	29	150
0:01:18	30	1,7	15	29	150
0:01:19	30	1,8	15	29	150
0:01:20	30	1,8	15	29	150
0:01:21	30	1,8	15	29	150
0:01:22	30	1,8	15	29	150
0:01:23	30	1,8	15	29	150
0:01:24	30	1,9	14	29	150
0:01:25	30	1,9	14	29	150
0:01:26	30	1,9	14	29	150
0:01:27	30	1,9	14	29	150
0:01:28	30	1,9	14	29	150
0:01:29	30	1,9	14	29	150
0:01:30	30	1,9	14	29	150
0:01:31	30	1,9	14	29	150
0:01:32	30	1,9	14	29	150
0:01:33	30	2,0	14	29	150
0:01:34	30	2,1	14	29	150
0:01:35	30	2,1	14	29	150
0:01:36	30	2,1	14	29	150
0:01:37	30	2,1	14	29	150
0:01:38	30	2,1	14	30	150
0:01:39	30	2,1	15	29	150
0:01:40	30	2,1	15	30	150
0:01:41	30	2,1	15	30	150
0:01:42	30	2,1	15	30	150
0:01:43	30	2,1	15	30	150
0:01:44	30	2,1	15	30	150
0:01:45	30	2,4	15	30	150
0:01:46	30	2,5	15	30	150
0:01:47	30	2,5	15	30	150
0:01:48	30	2,5	15	30	150
0:01:49	30	2,6	15	30	150
0:01:50	30	2,6	14	30	150
0:01:51	30	2,6	14	30	150
0:01:52	30	2,6	14	30	150
0:01:53	30	2,6	14	30	150
0:01:54	30	2,6	14	30	150
0:01:55	30	2,6	14	30	150
0:01:56	30	2,6	14	30	150
0:01:57	30	2,6	14	30	150
0:01:58	30	2,6	14	30	150
0:01:59	30	2,6	14	30	150
0:02:00	30	2,6	14	30	150
0:02:01	30	2,6	14	30	150
0:02:02	30	2,6	14	30	150
0:02:03	30	2,6	14	30	150
0:02:04	30	2,7	14	30	150
0:02:05	30	2,7	14	30	150
0:02:06	30	2,7	14	30	150
0:02:07	30	2,7	14	30	150
0:02:08	30	2,7	14	31	150
0:02:09	30	2,7	14	31	150
0:02:10	30	2,7	14	31	150
0:02:11	30	2,7	14	31	150
0:02:12	30	2,7	14	31	150
0:02:13	30	2,8	14	31	150
0:02:14	30	2,8	14	31	150
0:02:15	30	2,8	14	31	150
0:02:16	30	2,8	14	31	150
0:02:17	30	2,8	14	31	150
0:02:18	30	3,0	14	31	150
0:02:19	30	3,2	14	31	150
0:02:20	30	3,2	14	31	150
0:02:21	30	3,2	14	31	150
0:02:22	30	3,3	14	31	150
0:02:23	30	3,3	14	31	150
0:02:24	30	3,3	14	31	150
0:02:25	30	3,3	14	31	150
0:02:26	30	3,3	14	32	150
0:02:27	30	3,3	14	32	150
0:02:28	30	3,4	14	32	150
0:02:29	30	3,4	14	31	150
0:02:30	30	3,4	14	32	150
0:02:31	30	3,4	14	32	150
0:02:32	30	3,4	14	32	150
0:02:33	30	3,4	14	32	150
0:02:34	30	3,5	14	32	150
0:02:35	30	3,5	14	32	150
0:02:36	30	3,5	14	32	150
0:02:37	30	3,5	14	32	150
0:02:38	30	3,5	14	32	150
0:02:39	30	3,5	14	32	150
0:02:40	30	3,6	14	32	150
0:02:41	30	3,6	14	32	150
0:02:42	30	3,6	14	32	150
0:02:43	30	3,6	14	32	150
0:02:44	30	3,6	14	33	150
0:02:45	30	3,7	14	32	150
0:02:46	30	3,7	14	33	150
0:02:47	30	3,7	14	33	150
0:02:48	30	3,7	14	33	150
0:02:49	30	3,7	14	33	150
0:02:50	30	3,8	14	33	150
0:02:51	30	3,8	14	33	150
0:02:52	30	3,8	14	33	150
0:02:53	30	3,8	14	33	150
0:02:54	30	3,9	14	33	150
0:02:55	30	3,9	14	33	150
0:02:56	30	3,9	14	33	150
0:02:57	30	3,9	14	33	150
0:02:58	30	3,9	14	33	150
0:02:59	30	4,0	14	33	150
0:03:00	30	4,0	14	34	150
0:03:01	30	4,0	14	34	150
0:03:02	30	4,0	14	34	150
0:03:03	30	4,0	14	34	150
0:03:04	30	4,1	14	34	150
0:03:05	30	4,1	14	34	150
0:03:06	30	4,1	14	34	150
0:03:07	30	4,1	14	34	150
0:03:08	30	4,1	14	34	150
0:03:09	30	4,2	14	34	150
0:03:10	30	4,2	14	34	150
0:03:11	30	4,2	14	34	150
0:03:12	30	4,2	14	34	150
0:03:13	30	4,2	14	34	150
0:03:14	30	4,3	14	34	150
0:03:15	30	4,3	14	34	150
0:03:16	30	4,3	14	34	150
0:03:17	30	4,3	14	34	150
0:03:18	30	4,3	14	34	150
0:03:19	30	4,4	14	35	150
0:03:20	30	4,4	14	35	150
0:03:21	30	4,4	14	35	150
0:03:22	30	4,4	14	35	150
0:03:23	30	4,4	14	35	150
0:03:24	30	4,5	14	35	150
0:03:25	30	4,5	14	35	150
0:03:26	30	4,5	14	35	150
0:03:27	30	4,5	14	35	150
0:03:28	30	4,5	14	35	150
0:03:29	30	4,5	14	35	150
0:03:30	30	4,5	14	35	150
0:03:31	30	4,6	14	35	150
0:03:32	30	4,6	14	35	150
0:03:33	30	4,6	14	35	150
0:03:34	30	4,6	14	35	150
0:03:35	30	4,6	14	35	150
0:03:36	30	4,7	14	35	150
0:03:37	30	4,7	14	35	150
0:03:38	30	4,7	14	35	150
0:03:39	30	4,7	14	36	150
0:03:40	30	4,7	14	35	150
0:03:41	30	4,7	14	35	150
0:03:42	30	4,8	14	35	150
0:03:43	30	4,8	14	36	150
0:03:44	31	4,8	14	36	150
0:03:45	31	4,8	14	36	150
0:03:46	31	4,8	14	36	150
0:03:47	31	4,8	14	36	150
0:03:48	31	4,8	14	36	150
0:03:49	31	4,9	14	36	150
0:03:50	31	4,9	14	36	150
0:03:51	31	4,9	14	36	150
0:03:52	31	4,9	14	36	150
0:03:53	31	4,9	14	36	150
0:03:54	31	4,9	14	36	150
0:03:55	31	4,9	14	36	150
0:03:56	31	5,0	14	36	150
0:03:57	31	5,0	14	36	150
0:03:58	31	5,0	14	36	150
0:03:59	31	5,0	14	36	150
0:04:00	31	5,0	14	36	150
0:04:01	31	5,0	14	36	150
0:04:02	31	5,0	14	36	150
0:04:03	31	5,1	14	36	150
0:04:04	31	5,1	14	36	150
0:04:05	31	5,1	14	36	150
0:04:06	31	5,1	14	36	150
0:04:07	31	5,1	14	36	150
0:04:08	31	5,1	14	36	150
0:04:09	31	5,1	14	36	150
0:04:10	31	5,2	14	36	150
0:04:11	31	5,2	14	36	150
0:04:12	31	5,2	14	37	150
0:04:13	31	5,2	14	37	150
0:04:14	31	5,2	14	37	150
0:04:15	31	5,2	14	37	150
0:04:16	31	5,2	14	37	150
0:04:17	31	5,2	14	37	150
0:04:18	31	5,3	14	37	150
0:04:19	31	5,3	14	37	150
0:04:20	31	5,3	14	37	150
0:04:21	31	5,3	15	37	150
0:04:22	31	5,3	15	37	150
0:04:23	31	5,3	15	37	150
0:04:24	31	5,3	15	37	150
0:04:25	31	5,4	15	37	150
0:04:26	31	5,4	15	37	150
0:04:27	31	5,4	15	37	150
0:04:28	31	5,4	15	37	150
0:04:29	31	5,4	15	37	150
0:04:30	31	5,4	15	37	150
0:04:31	31	5,4	15	37	150
0:04:32	31	5,5	15	37	150
0:04:33	31	5,5	15	37	150
0:04:34	31	5,5	15	37	150
0:04:35	31	5,5	15	37	150
0:04:36	31	5,5	15	37	150
0:04:37	31	5,5	15	37	150
0:04:38	31	5,5	15	37	150
0:04:39	31	5,5	15	37	150
0:04:40	31	5,5	15	38	150
0:04:41	31	5,6	15	37	150
0:04:42	31	5,6	15	37	150
0:04:43	31	5,6	15	37	150
0:04:44	32	5,6	15	37	150
0:04:45	32	5,6	15	37	150
0:04:46	32	5,6	15	38	150
0:04:47	32	5,6	15	38	150
0:04:48	32	5,6	15	38	150
0:04:49	32	5,7	15	37	150
0:04:50	32	5,7	16	38	150
0:04:51	32	5,7	16	38	150
0:04:52	32	5,7	16	38	150
0:04:53	32	5,8	16	38	150
0:04:54	32	5,9	16	38	150
0:04:55	32	6,0	15	38	150
0:04:56	32	6,0	15	38	150
0:04:57	32	6,0	15	38	150
0:04:58	32	6,0	15	38	150
0:04:59	32	6,1	15	38	150
0:05:00	32	6,1	15	38	150
0:05:01	32	6,1	15	38	150
0:05:02	32	6,1	15	38	150
0:05:03	32	6,1	15	38	150
0:05:04	32	6,1	15	38	150
0:05:05	32	6,1	15	38	150
0:05:06	32	6,1	15	38	150
0:05:07	32	6,2	15	38	150
0:05:08	32	6,2	15	38	150
0:05:09	32	6,2	15	38	150
0:05:10	32	6,2	15	38	150
0:05:11	32	6,2	15	38	150
0:05:12	32	6,2	15	38	150
0:05:13	32	6,2	15	38	150
0:05:14	32	6,2	15	38	150
0:05:15	32	6,3	15	39	150
0:05:16	32	6,3	15	38	150
0:05:17	32	6,3	15	38	150
0:05:18	32	6,3	15	38	150
0:05:19	32	6,3	15	38	150
0:05:20	32	6,3	15	38	150
0:05:21	32	6,3	15	38	150
0:05:22	32	6,3	15	38	150
0:05:23	32	6,3	15	38	150
0:05:24	32	6,4	16	39	150
0:05:25	32	6,4	16	38	150
0:05:26	32	6,4	16	39	150
0:05:27	32	6,4	16	39	150
0:05:28	32	6,4	15	39	150
0:05:29	32	6,4	15	39	150
0:05:30	32	6,4	15	39	150
0:05:31	32	6,5	15	39	150
0:05:32	32	6,5	15	39	150
0:05:33	32	6,5	15	39	150
0:05:34	32	6,5	15	39	150
0:05:35	32	6,5	15	39	150
0:05:36	32	6,5	15	39	150
0:05:37	33	6,6	15	39	150
0:05:38	33	6,7	15	39	150
0:05:39	33	6,7	15	39	150
0:05:40	33	6,7	15	39	150
0:05:41	33	6,8	15	39	150
0:05:42	33	6,8	15	39	150
0:05:43	33	6,8	15	39	150
0:05:44	33	6,8	15	39	150
0:05:45	33	6,8	15	39	150
0:05:46	33	6,8	15	39	150
0:05:47	33	6,8	15	39	150
0:05:48	33	6,8	15	39	150
